# DONNEES MENSUELLES HOMOGENEISEES de TX : Moyenne mensuelle de la température maximale sous abri (en °C et 1/10) 
# NUM_POSTE= 38366001
# NOM_USUEL= ST-BAUDILLE
# LATITUDE (°) = 44.796
# LONGITUDE(°)= 5.796
# ALTITUDE (m) = 1040
# NUM_SERIE= MTX038366001
# Amplitude minimale détectable de la série = 0.19
# Période homogénéisée : 196101 202012
# Date(s) de rupture(s) d'homogénéité : 196912 197112 199112 199612 201205
#     Periode homogénéisée  196101 202012  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
196101;3.4;1
196102;9.1;1
196103;12.2;1
196104;15.2;1
196105;15.1;1
196106;20.4;1
196107;21.5;1
196108;23.1;1
196109;24;1
196110;14.4;1
196111;7.9;1
196112;5.5;1
196201;4.6;1
196202;2.5;1
196203;5;1
196204;11.7;1
196205;14.9;1
196206;19.8;1
196207;23.4;1
196208;25.5;1
196209;19.7;1
196210;13.4;1
196211;4.9;1
196212;1.7;1
196301;-0.9;1
196302;3;1
196303;8.7;1
196304;13.1;1
196305;15.3;1
196306;19.7;1
196307;23.7;1
196308;20.8;1
196309;17.1;1
196310;14.5;1
196311;10.6;1
196312;3.2;1
196401;4.8;1
196402;5.3;1
196403;7.4;1
196404;13.5;1
196405;19.2;1
196406;21.5;1
196407;25.7;1
196408;22;1
196409;20.5;1
196410;10.1;1
196411;7.5;1
196412;2.5;1
196501;2.7;1
196502;0.6;1
196503;9;1
196504;10.1;1
196505;17;1
196506;21.6;1
196507;22.7;1
196508;21.2;1
196509;16.7;1
196510;16.5;1
196511;7.4;1
196512;4.2;1
196601;2.2;1
196602;9.2;1
196603;6.6;1
196604;13.8;1
196605;17;1
196606;22.5;1
196607;19.6;1
196608;21.1;1
196609;22.4;1
196610;14.6;1
196611;4.5;1
196612;3;1
196701;3.6;1
196702;6.8;1
196703;9.5;1
196704;11.7;1
196705;16.3;1
196706;18.2;1
196707;25.7;1
196708;23.2;1
196709;17.9;1
196710;18.6;1
196711;9.5;1
196712;-0.4;1
196801;2.5;1
196802;6;1
196803;9.5;1
196804;14.8;1
196805;15;1
196806;19.3;1
196807;22.6;1
196808;19.6;1
196809;17.8;1
196810;17.5;1
196811;7.6;1
196812;2.3;1
196901;4.1;1
196902;2.4;1
196903;8.1;1
196904;11.4;1
196905;18.4;1
196906;17.3;1
196907;22.8;1
196908;21.3;1
196909;19;1
196910;16.6;1
196911;7.3;1
196912;-0.4;1
197001;4.2;1
197002;3.4;1
197003;4.2;1
197004;10;1
197005;15.6;1
197006;21.4;1
197007;23;1
197008;23.3;1
197009;21.4;1
197010;13.6;1
197011;10.3;1
197012;1.3;1
197101;4.4;1
197102;4.4;1
197103;3.9;1
197104;14.5;1
197105;16.2;1
197106;18.7;1
197107;23.7;1
197108;25.9;1
197109;19;1
197110;16.7;1
197111;3.8;1
197112;6;1
197201;4.1;1
197202;7.4;1
197203;10.7;1
197204;10;1
197205;15.8;1
197206;18.8;1
197207;21.1;1
197208;20.7;1
197209;14.9;1
197210;13.3;1
197211;9.9;1
197212;7.3;1
197301;3.3;1
197302;3.3;1
197303;7.4;1
197304;8.9;1
