# DONNEES MENSUELLES HOMOGENEISEES de TX : Moyenne mensuelle de la température maximale sous abri (en °C et 1/10) 
# NUM_POSTE= 42059001
# NOM_USUEL= CHAZELLES-LYON
# LATITUDE (°) = 45.642
# LONGITUDE(°)= 4.396
# ALTITUDE (m) = 632
# NUM_SERIE= MTX042059001
# Amplitude minimale détectable de la série = 0.21
# Période homogénéisée : 195701 201512
# Date(s) de rupture(s) d'homogénéité : 197112 197412 198912 199812
#     Periode homogénéisée  195701 201512  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195701;4.6;1
195702;9.2;1
195703;14.7;1
195704;13.2;1
195705;14.5;1
195706;21.1;1
195707;23.3;1
195708;22.5;1
195709;19.8;1
195710;15.9;1
195711;6.2;1
195712;3.7;1
195801;4.5;1
195802;8.6;1
195803;7.4;1
195804;9.6;1
195805;20.2;1
195806;19.9;1
195807;22.5;1
195808;22.9;1
195809;21.2;1
195810;12.5;1
195811;5.7;1
195812;5.4;1
195901;4.6;1
195902;8.9;1
195903;12;1
195904;13.6;1
195905;18;1
195906;21.7;1
195907;26.5;1
195908;22.6;1
195909;21.2;1
195910;15.2;1
195911;8.3;1
195912;7.1;1
196001;3.7;1
196002;8.6;1
196003;10.5;1
196004;12.2;1
196005;20.5;1
196006;22;1
196007;20.8;1
196008;21.5;1
196009;16.9;1
196010;13.3;1
196011;10;1
196012;2.4;1
196101;4.4;1
196102;10.9;1
196103;12.3;1
196104;17;1
196105;16.7;1
196106;22.4;1
196107;22.9;1
196108;22.9;1
196109;25.1;1
196110;14.7;1
196111;7.5;1
196112;6.5;1
196201;5.3;1
196202;3.4;1
196203;5.9;1
196204;12.4;1
196205;16.2;1
196206;20.3;1
196207;23.7;1
196208;26.3;1
196209;20.4;1
196210;14.4;1
196211;5.7;1
196212;2.2;1
196301;-0.7;1
196302;1.3;1
196303;9.6;1
196304;12.8;1
196305;16.2;1
196306;20.8;1
196307;23.8;1
196308;20.1;1
196309;18;1
196310;14.5;1
196311;11.6;1
196312;2.8;1
196401;2.4;1
196402;7.1;1
196403;7.4;1
196404;13.7;1
196405;19.1;1
196406;22.4;1
196407;27.1;1
196408;22.8;1
196409;21.3;1
196410;11.1;1
196411;7.1;1
196412;4.3;1
196501;4.4;1
196502;1.3;1
196503;9.3;1
196504;10.5;1
196505;16.7;1
196506;21.7;1
196507;21.6;1
196508;21.6;1
196509;17.1;1
196510;16.4;1
196511;9;1
196512;7.1;1
196601;3.8;1
196602;10.6;1
196603;7.9;1
196604;14.9;1
196605;18.2;1
196606;21.7;1
196607;20.3;1
196608;21;1
196609;22.2;1
196610;16.1;1
196611;5.1;1
196612;5.1;1
196701;4;1
196702;7.6;1
196703;10;1
196704;12.5;1
196705;17.1;1
196706;19.6;1
196707;25.8;1
196708;22.7;1
196709;18.4;1
196710;17.8;1
196711;9.5;1
196712;1.5;1
196801;3.9;1
196802;6.4;1
196803;10;1
196804;14.7;1
196805;14.9;1
196806;20.6;1
196807;23.4;1
196808;19.9;1
196809;17.8;1
196810;17.1;1
196811;8.5;1
196812;4.2;1
196901;6;1
196902;3.8;1
196903;8.3;1
196904;12.1;1
196905;18;1
196906;17.5;1
196907;23.3;1
196908;21.5;1
196909;19.3;1
196910;16.1;1
196911;9.4;1
196912;0.5;1
197001;6.1;1
197002;5.8;1
197003;5.9;1
197004;10.7;1
197005;17;1
197006;22.6;1
197007;22.8;1
197008;23.7;1
197009;21.9;1
197010;13.5;1
197011;11.8;1
197012;2.6;1
197101;5.4;1
197102;4.4;1
197103;4;1
197104;15.7;1
197105;18;1
197106;19.6;1
197107;25.7;1
197108;24.2;1
