# DONNEES MENSUELLES HOMOGENEISEES de TX : Moyenne mensuelle de la température maximale sous abri (en °C et 1/10) 
# NUM_POSTE= 42152001
# NOM_USUEL= NANDAX
# LATITUDE (°) = 46.097
# LONGITUDE(°)= 4.191
# ALTITUDE (m) = 374
# NUM_SERIE= MTX042152001
# Amplitude minimale détectable de la série = 0.17
# Période homogénéisée : 195401 201512
# Date(s) de rupture(s) d'homogénéité : 195712 195912 197112 197912 200506
#     Periode homogénéisée  195401 201512  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195401;2.6;1
195402;4.2;1
195403;12.3;1
195404;12.1;1
195405;17.6;1
195406;22;1
195407;21.5;1
195408;22.1;1
195409;19.7;1
195410;16.6;1
195411;11.6;1
195412;7.8;1
195501;8.1;1
195502;7.1;1
195503;8.5;1
195504;15.6;1
195505;18.5;1
195506;21.4;1
195507;23.7;1
195508;24.1;1
195509;20.6;1
195510;14.6;1
195511;10.1;1
195512;9.7;1
195601;6.8;1
195602;-2.6;1
195603;11.1;1
195604;12.2;1
195605;19.6;1
195606;18.5;1
195607;22.3;1
195608;21;1
195609;22;1
195610;14.3;1
195611;6.4;1
195612;7.2;1
195701;5.4;1
195702;10.5;1
195703;15.2;1
195704;14.3;1
195705;16.3;1
195706;22.4;1
195707;23.7;1
195708;23.2;1
195709;20.4;1
195710;17.5;1
195711;8.8;1
195712;5.7;1
195801;6.7;1
195802;10.1;1
195803;8.7;1
195804;11;1
195805;20.8;1
195806;20.5;1
195807;22.9;1
195808;23.4;1
195809;22.4;1
195810;14;1
195811;7.1;1
195812;6.7;1
195901;5.8;1
195902;9.4;1
195903;13.3;1
195904;15;1
195905;19.7;1
195906;22.7;1
195907;27.8;1
195908;25.4;1
195909;23.3;1
195910;16.4;1
195911;9.9;1
195912;9.2;1
196001;4.4;1
196002;9.5;1
196003;11.8;1
196004;14.2;1
196005;21.6;1
196006;22.7;1
196007;21.3;1
196008;22.4;1
196009;17.9;1
196010;14.9;1
196011;11;1
196012;3.6;1
196101;5.6;1
196102;11.9;1
196103;13.8;1
196104;18.2;1
196105;17.8;1
196106;23;1
196107;23.4;1
196108;23.9;1
196109;25.6;1
196110;15.9;1
196111;8.9;1
196112;7.5;1
196201;7.2;1
196202;5.3;1
196203;7.2;1
196204;13.2;1
196205;17.1;1
196206;21.7;1
196207;24.1;1
196208;26.6;1
196209;21.4;1
196210;15.8;1
196211;7.4;1
196212;3.2;1
196301;0.6;1
196302;2.8;1
196303;11.2;1
196304;14.1;1
196305;17.8;1
196306;22.1;1
196307;25.5;1
196308;21.6;1
