# DONNEES MENSUELLES HOMOGENEISEES de TX : Moyenne mensuelle de la température maximale sous abri (en °C et 1/10) 
# NUM_POSTE= 44110002
# NOM_USUEL= NORT-SUR-ERDRE
# LATITUDE (°) = 47.425
# LONGITUDE(°)= -1.514
# ALTITUDE (m) = 13
# NUM_SERIE= MTX044110002
# Amplitude minimale détectable de la série = 0.16
# Période homogénéisée : 195601 201612
# Date(s) de rupture(s) d'homogénéité : 196912 197910 198412 198911 200404
#     Periode homogénéisée  195601 201612  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195601;9.6;1
195602;3.2;1
195603;13.1;1
195604;14.2;1
195605;21.4;1
195606;20.6;1
195607;23.4;1
195608;21;1
195609;21.7;1
195610;16;1
195611;9.8;1
195612;9.5;1
195701;8;1
195702;11.5;1
195703;15.8;1
195704;16.1;1
195705;17.7;1
195706;24;1
195707;24.3;1
195708;23.2;1
195709;20.5;1
195710;17.8;1
195711;10.2;1
195712;7.6;1
195801;8.7;1
195802;10.6;1
195803;9.8;1
195804;13.8;1
195805;19;1
195806;20.2;1
195807;22.3;1
195808;22.6;1
195809;22.7;1
195810;16;1
195811;11.8;1
195812;8.9;1
195901;8;1
195902;11.2;1
195903;14.1;1
195904;15.7;1
195905;19.4;1
195906;23.2;1
195907;27.5;1
195908;25.6;1
195909;25.6;1
195910;18.6;1
195911;12.3;1
195912;10.2;1
196001;8.9;1
196002;9.5;1
196003;13.5;1
196004;16;1
196005;21.2;1
196006;24.7;1
196007;22.2;1
196008;23.1;1
196009;20.2;1
196010;16.1;1
196011;13.4;1
196012;7.5;1
196101;8.9;1
196102;12;1
196103;15.1;1
196104;17;1
196105;18.5;1
196106;22.2;1
196107;24.2;1
196108;24.6;1
196109;24.7;1
196110;16.8;1
196111;10.9;1
196112;8.1;1
196201;9.4;1
196202;9;1
196203;9;1
196204;14.7;1
196205;16.5;1
196206;23.6;1
196207;23.6;1
196208;23.8;1
196209;21.3;1
196210;17.9;1
196211;10.7;1
196212;6.7;1
196301;2;1
196302;4.4;1
196303;11.7;1
196304;14.1;1
196305;17.4;1
196306;20.1;1
196307;23.2;1
196308;20.7;1
196309;20.3;1
196310;16.7;1
196311;13.8;1
196312;5.2;1
196401;5.4;1
196402;9.4;1
196403;10.6;1
196404;14.2;1
196405;19.9;1
196406;21.9;1
196407;25.1;1
196408;24.8;1
