# DONNEES MENSUELLES HOMOGENEISEES de TX : Moyenne mensuelle de la température maximale sous abri (en °C et 1/10) 
# NUM_POSTE= 50277001
# NOM_USUEL= LONGUEVILLE
# LATITUDE (°) = 48.862
# LONGITUDE(°)= -1.573
# ALTITUDE (m) = 5
# NUM_SERIE= MTX050277001
# Amplitude minimale détectable de la série = 0.17
# Période homogénéisée : 195101 201612
# Date(s) de rupture(s) d'homogénéité : 197405 197912 198712
#     Periode homogénéisée  195101 201612  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195101;8;1
195102;8;1
195103;8.7;1
195104;12;1
195105;14.1;1
195106;18.7;1
195107;20.2;1
195108;19.3;1
195109;19.5;1
195110;15.3;1
195111;12.4;1
195112;9.4;1
195201;7.5;1
195202;7.1;1
195203;11.1;1
195204;13.7;1
195205;18.5;1
195206;20.2;1
195207;21.7;1
195208;21.4;1
195209;16.7;1
195210;14.4;1
195211;9.5;1
195212;7.4;1
195301;6.2;1
195302;7.2;1
195303;12.5;1
195304;13.5;1
195305;18;1
195306;17.7;1
195307;19.9;1
195308;22;1
195309;19.4;1
195310;15.8;1
195311;10.7;1
195312;12;1
195401;6.8;1
195402;6.3;1
195403;11.1;1
195404;12.6;1
195405;15.1;1
195406;17.3;1
195407;18;1
195408;19.2;1
195409;18.2;1
195410;16.7;1
195411;12.5;1
195412;10.4;1
195501;7.6;1
195502;7.3;1
195503;7.6;1
195504;13.9;1
195505;15.5;1
195506;19.4;1
195507;22.7;1
195508;24;1
195509;20.2;1
195510;14.6;1
195511;11.5;1
195512;10.5;1
195601;8.8;1
195602;2.7;1
195603;11.5;1
195604;12.1;1
195605;16.2;1
195606;16.3;1
195607;20.2;1
195608;18.3;1
195609;19.2;1
195610;14.9;1
195611;10.5;1
195612;9.5;1
195701;7.6;1
195702;9.9;1
195703;14.4;1
195704;13.4;1
195705;15.6;1
195706;20.3;1
195707;20.8;1
195708;20.5;1
195709;17.9;1
195710;16.2;1
195711;10.4;1
195712;8.2;1
195801;8.2;1
195802;9.8;1
195803;8.6;1
195804;11;1
195805;16.7;1
195806;17.8;1
195807;19.5;1
195808;20.2;1
195809;20.4;1
195810;15.2;1
195811;10.6;1
195812;9.3;1
195901;8.2;1
195902;9.6;1
195903;12.2;1
195904;13.7;1
195905;17;1
195906;19.4;1
195907;22.8;1
195908;21.9;1
195909;22.5;1
195910;17.8;1
195911;11.4;1
195912;10.1;1
196001;8.4;1
196002;8.9;1
196003;12.4;1
196004;13.3;1
196005;18.5;1
196006;21.2;1
196007;19.5;1
196008;20;1
196009;18.4;1
196010;14.9;1
196011;12.2;1
196012;8.3;1
196101;7.7;1
196102;10.7;1
196103;12.5;1
196104;14.8;1
196105;16.9;1
196106;18.7;1
196107;20.7;1
196108;21.2;1
196109;21.8;1
196110;16.1;1
196111;10.7;1
196112;8.2;1
196201;8.2;1
196202;7.8;1
196203;7.5;1
196204;11.8;1
196205;14.4;1
196206;18.9;1
196207;20.4;1
196208;20.1;1
196209;18.8;1
196210;16.5;1
196211;10.7;1
196212;7;1
196301;2.2;1
196302;4.1;1
196303;9.8;1
196304;12;1
196305;14.6;1
