# DONNEES MENSUELLES HOMOGENEISEES de TX : Moyenne mensuelle de la température maximale sous abri (en °C et 1/10) 
# NUM_POSTE= 60382001
# NOM_USUEL= MARGNY-LES-COMPIEGNE
# LATITUDE (°) = 49.432
# LONGITUDE(°)= 2.804
# ALTITUDE (m) = 92
# NUM_SERIE= MTX060382001
# Amplitude minimale détectable de la série = 0.11
# Période homogénéisée : 195901 202212
# Date(s) de rupture(s) d'homogénéité : 197012 197412 198112 201012
#     Periode homogénéisée  195901 202212  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195901;5.2;1
195902;8.2;1
195903;13;1
195904;14.6;1
195905;18.7;1
195906;22.7;1
195907;26.1;1
195908;23.9;1
195909;23.7;1
195910;17.4;1
195911;8.8;1
195912;7;1
196001;5.9;1
196002;7.7;1
196003;11.7;1
196004;14;1
196005;19.9;1
196006;22.1;1
196007;19.9;1
196008;21.1;1
196009;18.1;1
196010;14.1;1
196011;10.8;1
196012;4.7;1
196101;4.8;1
196102;11.3;1
196103;13.3;1
196104;16.4;1
196105;17;1
196106;21.2;1
196107;21.6;1
196108;22.8;1
196109;23.5;1
196110;14.8;1
196111;8.1;1
196112;6.4;1
196201;6.8;1
196202;6.1;1
196203;6.7;1
196204;12.8;1
196205;15.1;1
196206;20.5;1
196207;21;1
196208;21.8;1
196209;18.8;1
196210;15.5;1
196211;7;1
196212;3.4;1
196301;-1.2;1
196302;0.8;1
196303;10.2;1
196304;13.5;1
196305;16;1
196306;19.9;1
196307;22.9;1
196308;19.6;1
196309;18.5;1
196310;14.1;1
196311;12.5;1
196312;1.8;1
196401;2.4;1
196402;7.7;1
196403;7.7;1
196404;13.6;1
196405;19.9;1
196406;21.7;1
196407;24;1
196408;22.8;1
196409;21;1
196410;12.3;1
196411;8.7;1
196412;4.5;1
196501;4.9;1
196502;3.4;1
196503;10.2;1
196504;12.7;1
196505;16.7;1
196506;20.7;1
196507;19.6;1
196508;21.1;1
196509;17.1;1
196510;16;1
196511;7.9;1
196512;8;1
196601;3.6;1
196602;10.4;1
196603;9.8;1
196604;14.5;1
196605;17.1;1
196606;22.5;1
196607;20.4;1
196608;21.6;1
196609;20.4;1
196610;14.8;1
196611;7.5;1
196612;7.6;1
196701;5.5;1
196702;8.9;1
196703;11.4;1
196704;12.9;1
196705;16.6;1
196706;20.1;1
196707;25.5;1
196708;22.1;1
196709;19;1
196710;15.6;1
196711;8.4;1
196712;5;1
196801;5.6;1
196802;5.3;1
196803;10.7;1
196804;15.3;1
196805;14.9;1
196806;19.8;1
196807;21.5;1
196808;20.9;1
196809;18.6;1
196810;16;1
196811;7.7;1
196812;3.1;1
196901;6.6;1
196902;4.7;1
196903;9.3;1
196904;13.7;1
196905;18.1;1
196906;19.4;1
196907;24.3;1
196908;22.2;1
196909;20;1
196910;17.6;1
196911;9.8;1
196912;2.4;1
197001;5.7;1
197002;6.8;1
197003;6.6;1
197004;10.6;1
197005;18;1
197006;23.4;1
197007;21.4;1
197008;22.8;1
197009;21.2;1
197010;14.5;1
197011;11.3;1
197012;4.3;1
197101;5.5;1
197102;6.7;1
197103;6.8;1
197104;16.6;1
197105;19.3;1
197106;18.6;1
197107;24.5;1
197108;22.1;1
197109;20.4;1
197110;16.7;1
197111;7.8;1
197112;6;1
197201;4.3;1
197202;8.1;1
197203;13;1
197204;12.2;1
197205;16;1
197206;17.7;1
197207;21.9;1
197208;21;1
197209;17.4;1
197210;14.8;1
197211;9.5;1
197212;6.7;1
197301;4.1;1
197302;5.7;1
197303;10.8;1
197304;12.1;1
197305;18;1
197306;22.3;1
197307;22.2;1
197308;25.7;1
197309;21.6;1
197310;14.2;1
197311;9;1
197312;5.6;1
197401;9;1
197402;8.2;1
197403;9.8;1
197404;15.2;1
197405;16.6;1
197406;20.3;1
197407;22.9;1
197408;23.5;1
197409;17.5;1
197410;9.6;1
197411;9.9;1
197412;9.1;1
197501;8.8;1
197502;9.6;1
197503;7.6;1
197504;12.8;1
197505;16.2;1
197506;21;1
197507;23.8;1
197508;25.4;1
197509;19.8;1
197510;12.6;1
197511;8.8;1
197512;4;1
197601;6.6;1
197602;6.9;1
197603;9.3;1
197604;14.1;1
197605;20.3;1
197606;26.1;1
197607;27;1
197608;25.8;1
197609;19;1
197610;15.4;1
197611;8.9;1
197612;4.6;1
197701;5.3;1
197702;8.7;1
197703;12;1
197704;12.8;1
197705;16.6;1
197706;19;1
197707;21.8;1
197708;21;1
197709;19.4;1
197710;16.4;1
197711;9.3;1
197712;7.7;1
197801;4.4;1
197802;5.3;1
197803;10.6;1
197804;11.9;1
197805;16.6;1
197806;18.7;1
197807;20.7;1
197808;20.6;1
197809;19.4;1
197810;15.4;1
197811;8.8;1
197812;6.3;1
197901;0.7;1
197902;4;1
197903;8.9;1
197904;12.3;1
197905;16.9;1
197906;20;1
197907;22.6;1
197908;21;1
197909;19.8;1
197910;15.5;1
197911;9.5;1
197912;7.5;1
198001;2.8;1
198002;8.7;1
198003;8.4;1
198004;12.7;1
198005;16.4;1
198006;19;1
198007;19.4;1
198008;22.8;1
198009;20.9;1
198010;13.3;1
198011;7.2;1
198012;5.2;1
198101;5.8;1
198102;5.8;1
198103;12.3;1
198104;13.6;1
198105;16.6;1
198106;18.8;1
198107;21.6;1
198108;22.9;1
198109;20.3;1
198110;13.4;1
198111;10.2;1
198112;5.2;1
198201;5.5;1
198202;7.2;1
198203;10.3;1
198204;13.6;1
198205;18.1;1
198206;22;1
198207;24.5;1
198208;22.3;1
198209;22.9;1
198210;13.5;1
198211;10.5;1
198212;6.4;1
198301;8.3;1
198302;4.9;1
198303;10.2;1
198304;13;1
198305;15.1;1
198306;22.1;1
198307;27.1;1
198308;24.2;1
198309;19.6;1
198310;15;1
198311;9.8;1
198312;6.5;1
198401;6.4;1
198402;5.6;1
198403;8.8;1
198404;14.3;1
198405;14.1;1
198406;20.3;1
198407;23.6;1
198408;23.2;1
198409;17.5;1
198410;14.6;1
198411;13.9;1
198412;6.5;1
198501;1.2;1
198502;5.8;1
198503;8.1;1
198504;13.9;1
198505;17.6;1
198506;19;1
198507;23.4;1
198508;21.4;1
198509;21.7;1
198510;15.9;1
198511;6.2;1
198512;7.3;1
198601;5.7;1
198602;0.8;1
198603;9;1
198604;10.4;1
198605;18.3;1
198606;22.8;1
198607;23.3;1
198608;22.2;1
198609;17.4;1
198610;17.2;1
198611;11;1
198612;7.4;1
198701;-0.6;1
198702;5;1
198703;7.3;1
198704;16.8;1
198705;15.6;1
198706;18.6;1
198707;22.2;1
198708;22.3;1
198709;21.3;1
198710;15.3;1
198711;9;1
198712;6.1;1
198801;9.3;1
198802;7.5;1
198803;8.8;1
198804;14.9;1
198805;18.4;1
198806;20.2;1
198807;21.1;1
198808;23.3;1
198809;18.6;1
198810;15.5;1
198811;8.6;1
198812;8.3;1
198901;6.9;1
198902;8.6;1
198903;13.4;1
198904;11.8;1
198905;21.6;1
198906;21.3;1
198907;25.1;1
198908;24.3;1
198909;21;1
198910;17.4;1
198911;9.6;1
198912;6.5;1
199001;7.1;1
199002;12.1;1
199003;13.2;1
199004;13.5;1
199005;21.2;1
199006;19.4;1
199007;24.7;1
199008;26.7;1
199009;19.6;1
199010;17.2;1
199011;9;1
199012;5.4;1
199101;6;1
199102;3.9;1
199103;12.7;1
199104;14;1
199105;15.8;1
199106;17.6;1
199107;23.7;1
199108;25.8;1
199109;22.5;1
199110;14.6;1
199111;8.8;1
199112;5.7;1
199201;5;1
199202;8;1
199203;11.2;1
199204;14;1
199205;21.1;1
199206;20.2;1
199207;24.4;1
199208;24.3;1
199209;18.8;1
199210;12.2;1
199211;10.9;1
199212;6.2;1
199301;8.4;1
199302;4.5;1
199303;11.7;1
199304;15.7;1
199305;18.4;1
199306;21.4;1
199307;21.6;1
199308;22.7;1
199309;17.5;1
199310;12.3;1
199311;6;1
199312;8.1;1
199401;7.5;1
199402;7.1;1
199403;12.5;1
199404;13.2;1
199405;18;1
199406;21.6;1
199407;27.5;1
199408;23.2;1
199409;18.2;1
199410;15.9;1
199411;13.1;1
199412;8.3;1
199501;7.1;1
