# DONNEES MENSUELLES HOMOGENEISEES de TX : Moyenne mensuelle de la température maximale sous abri (en °C et 1/10) 
# NUM_POSTE= 63223001
# NOM_USUEL= MENAT
# LATITUDE (°) = 46.105
# LONGITUDE(°)= 2.91
# ALTITUDE (m) = 410
# NUM_SERIE= MTX063223001
# Amplitude minimale détectable de la série = 0.21
# Période homogénéisée : 195101 201812
# Date(s) de rupture(s) d'homogénéité : 197512 200312 201212
#     Periode homogénéisée  195101 201812  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195101;6.2;1
195102;7.1;1
195103;9.9;1
195104;14.8;1
195105;15.6;1
195106;21.2;1
195107;24;1
195108;22.3;1
195109;20.8;1
195110;13.6;1
195111;12;1
195112;7;1
195201;4.8;1
195202;4.9;1
195203;13.5;1
195204;17.5;1
195205;20.2;1
195206;26.8;1
195207;28.1;1
195208;25.9;1
195209;16.8;1
195210;14.7;1
195211;7.3;1
195212;5.7;1
195301;2.8;1
195302;4.8;1
195303;14.4;1
195304;16.5;1
195305;21.1;1
195306;19.5;1
195307;23.9;1
195308;25.6;1
195309;22.5;1
195310;15.5;1
195311;12.9;1
195312;8.8;1
195401;3.3;1
195402;4.3;1
195403;12.3;1
195404;12.6;1
195405;17.5;1
195406;22.6;1
195407;21.3;1
195408;21.9;1
195409;20.2;1
195410;17.3;1
195411;11.4;1
195412;7.2;1
195501;8.3;1
195502;7.1;1
195503;9.9;1
195504;16.6;1
195505;18.9;1
195506;22;1
195507;25.2;1
195508;24;1
195509;20.1;1
195510;14.9;1
195511;9.6;1
195512;8.6;1
195601;6.8;1
195602;-1;1
195603;11.6;1
195604;13.5;1
195605;19.7;1
195606;18.4;1
195607;23.2;1
195608;20.7;1
195609;22.2;1
195610;13.2;1
195611;6.4;1
195612;6.7;1
195701;6;1
195702;10.2;1
195703;16.9;1
195704;14.8;1
195705;15.2;1
195706;22.6;1
195707;25.1;1
195708;22.5;1
195709;19.5;1
195710;16.6;1
195711;7.6;1
195712;4.9;1
195801;5.5;1
195802;10.5;1
195803;9.2;1
195804;10.8;1
195805;21.2;1
195806;21.2;1
195807;22.3;1
195808;23.9;1
195809;22.4;1
195810;14.2;1
195811;6.5;1
195812;7.4;1
195901;6.3;1
195902;11;1
195903;12.9;1
195904;15.1;1
195905;19.8;1
195906;23.4;1
195907;26.9;1
195908;23.8;1
195909;22.8;1
195910;16.2;1
195911;9.8;1
195912;7.9;1
196001;6;1
196002;8.3;1
196003;11.8;1
196004;14.1;1
196005;22.1;1
196006;23.7;1
196007;22.3;1
196008;22.8;1
196009;18.5;1
196010;13.7;1
196011;11.4;1
196012;3.4;1
196101;5.7;1
196102;13.7;1
196103;15.3;1
196104;18.7;1
196105;17.8;1
196106;22.9;1
196107;23.5;1
196108;23;1
196109;25.1;1
196110;16.5;1
