# DONNEES MENSUELLES HOMOGENEISEES de TX : Moyenne mensuelle de la température maximale sous abri (en °C et 1/10) 
# NUM_POSTE= 64320003
# NOM_USUEL= LARUNS-HOURAT
# LATITUDE (°) = 42.984
# LONGITUDE(°)= -0.429
# ALTITUDE (m) = 522
# NUM_SERIE= MTX064320003
# Amplitude minimale détectable de la série = 0.21
# Période homogénéisée : 195501 201812
# Date(s) de rupture(s) d'homogénéité : 195812 199712 200512 201012 201412
#     Periode homogénéisée  195501 201812  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195501;11.8;1
195502;9.8;1
195503;11.9;1
195504;17.8;1
195505;19.2;1
195506;21.5;1
195507;23.7;1
195508;26.6;1
195509;20.5;1
195510;16.7;1
195511;12.5;1
195512;10.9;1
195601;10.3;1
195602;2.5;1
195603;15;1
195604;14.3;1
195605;19.3;1
195606;19.7;1
195607;23;1
195608;22.3;1
195609;23.1;1
195610;16.4;1
195611;9.1;1
195612;8.5;1
195701;7.6;1
195702;14.2;1
195703;20;1
195704;14.2;1
195705;16.9;1
195706;21.4;1
195707;23.8;1
195708;23.6;1
195709;21.5;1
195710;17.5;1
195711;9.8;1
195712;8.2;1
195801;9.8;1
195802;13.3;1
195803;12.2;1
195804;13.1;1
195805;21.2;1
195806;21.6;1
195807;23.4;1
195808;23.7;1
195809;24.9;1
195810;16.2;1
195811;10.9;1
195812;11.6;1
195901;11.2;1
195902;12.1;1
195903;15;1
195904;16.8;1
195905;18.5;1
195906;21.9;1
195907;25.2;1
195908;23.3;1
195909;21.7;1
195910;17.7;1
195911;12.1;1
195912;10.5;1
196001;8.7;1
196002;13;1
196003;15.2;1
196004;15.4;1
196005;21.2;1
196006;22;1
196007;21.4;1
196008;23.8;1
196009;20.4;1
196010;15.6;1
196011;14;1
196012;6.5;1
196101;8.1;1
196102;15.4;1
196103;17.1;1
196104;18.3;1
196105;19.5;1
196106;21.5;1
196107;23.1;1
196108;23.1;1
196109;25.4;1
196110;18;1
196111;11.5;1
196112;12;1
196201;10.5;1
196202;9;1
196203;11.4;1
196204;15.6;1
196205;17.6;1
196206;22.3;1
196207;24.3;1
196208;25.8;1
196209;24.6;1
196210;19.1;1
196211;8.9;1
196212;6.4;1
196301;7.6;1
196302;7.6;1
196303;13.9;1
196304;15.2;1
196305;17;1
196306;22;1
196307;23.5;1
196308;20.9;1
196309;19.7;1
196310;19;1
196311;15.8;1
196312;8.2;1
196401;8.9;1
196402;11.2;1
196403;13;1
196404;15.6;1
196405;21.8;1
196406;21.3;1
196407;25.5;1
196408;24.6;1
196409;26.5;1
196410;15.2;1
196411;12;1
196412;8.2;1
196501;8.7;1
196502;6.5;1
196503;14.2;1
196504;12.8;1
196505;19;1
196506;21.6;1
196507;22;1
196508;23;1
196509;19.2;1
196510;19;1
196511;13.6;1
196512;11.6;1
196601;11.8;1
196602;15.3;1
196603;12;1
196604;17.2;1
196605;18.1;1
196606;22.3;1
196607;21.4;1
196608;23.1;1
196609;24.5;1
196610;17.2;1
196611;9.5;1
196612;9.4;1
196701;9.7;1
196702;12.8;1
196703;15.1;1
196704;14.4;1
196705;19.4;1
196706;20.9;1
196707;24.9;1
196708;23.2;1
196709;22;1
196710;20.8;1
196711;12.9;1
196712;6.3;1
196801;9.2;1
196802;11.8;1
196803;12;1
196804;17.2;1
196805;17.1;1
196806;21.6;1
196807;24.7;1
196808;22.2;1
196809;21.6;1
196810;22.3;1
196811;15.8;1
196812;9.4;1
196901;12;1
196902;8.4;1
196903;12.5;1
196904;14.4;1
196905;20;1
196906;19.8;1
196907;25.6;1
196908;22.8;1
196909;20.1;1
196910;19.2;1
196911;13.1;1
196912;7.3;1
197001;12.2;1
197002;9.9;1
197003;10.2;1
197004;13.3;1
197005;18.7;1
197006;23.2;1
197007;24.2;1
197008;23.8;1
197009;25.3;1
197010;17.4;1
197011;16.9;1
197012;7.5;1
197101;11.7;1
197102;10.2;1
197103;8.7;1
197104;17.2;1
197105;17.6;1
