# DONNEES MENSUELLES HOMOGENEISEES de TX : Moyenne mensuelle de la température maximale sous abri (en °C et 1/10) 
# NUM_POSTE= 74281001
# NOM_USUEL= THONON-INRA
# LATITUDE (°) = 46.367
# LONGITUDE(°)= 6.455
# ALTITUDE (m) = 376
# NUM_SERIE= MTX074281001
# Amplitude minimale détectable de la série = 0.22
# Période homogénéisée : 195101 202012
# Date(s) de rupture(s) d'homogénéité : 198112 198812
#     Periode homogénéisée  195101 202012  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195101;4.9;1
195102;6.5;1
195103;7.8;1
195104;13.2;1
195105;17.2;1
195106;21;1
195107;24;1
195108;22.2;1
195109;20.3;1
195110;13.7;1
195111;10.9;1
195112;5.8;1
195201;4.2;1
195202;4.2;1
195203;10.3;1
195204;15.3;1
195205;19.6;1
195206;23.9;1
195207;27.5;1
195208;24.3;1
195209;15.9;1
195210;12.8;1
195211;8.3;1
195212;5.6;1
195301;1.9;1
195302;3.5;1
195303;11.6;1
195304;14.8;1
195305;19.9;1
195306;19.5;1
195307;24;1
195308;24.1;1
195309;20.8;1
195310;14.5;1
195311;7.8;1
195312;5.6;1
195401;2.2;1
195402;3.6;1
195403;11.2;1
195404;10.8;1
195405;16.5;1
195406;22.2;1
195407;22;1
195408;21.5;1
195409;20.5;1
195410;15.5;1
195411;9.8;1
195412;6.8;1
195501;4.4;1
195502;5.1;1
195503;7.1;1
195504;14.8;1
195505;17.6;1
195506;20.9;1
195507;22.6;1
195508;22.2;1
195509;19.3;1
195510;13;1
195511;6.5;1
195512;7.6;1
195601;6.5;1
195602;-3;1
195603;9.1;1
195604;11.6;1
195605;18.7;1
195606;19;1
195607;22.5;1
195608;20.3;1
195609;20.6;1
195610;12.1;1
195611;6;1
195612;5.4;1
195701;2.1;1
195702;8.3;1
195703;13.3;1
195704;13.7;1
195705;15.1;1
195706;20.4;1
195707;23.4;1
195708;21.7;1
195709;19.5;1
195710;13.9;1
195711;8.3;1
195712;4.4;1
195801;3.9;1
195802;7.8;1
195803;6.1;1
195804;10.4;1
195805;20;1
195806;19.8;1
195807;23.5;1
195808;23.1;1
195809;21.6;1
195810;12.1;1
195811;6.8;1
195812;6.5;1
195901;4.9;1
195902;6.7;1
195903;10.5;1
195904;13.9;1
195905;18.8;1
195906;21.6;1
195907;25.7;1
195908;22.6;1
195909;20.7;1
195910;14.7;1
195911;6.8;1
195912;7.2;1
196001;3.9;1
196002;6.6;1
196003;10.7;1
196004;13.9;1
196005;19.3;1
196006;22.9;1
196007;20.7;1
196008;21.5;1
196009;17.3;1
196010;12.8;1
196011;10.4;1
196012;4.7;1
196101;4.5;1
196102;8.6;1
196103;12.2;1
196104;15.8;1
196105;15.6;1
196106;21.9;1
196107;22.8;1
196108;22.9;1
196109;23.8;1
196110;15.8;1
196111;8.3;1
196112;6.4;1
196201;6.4;1
196202;4.6;1
196203;5.7;1
196204;14;1
196205;15.5;1
196206;21.2;1
196207;22.5;1
196208;26;1
196209;20.1;1
196210;14.8;1
196211;7.5;1
196212;2.2;1
196301;-1;1
196302;0.1;1
196303;7.8;1
196304;13.3;1
196305;17;1
196306;20.5;1
196307;23.9;1
196308;21.4;1
196309;18.9;1
196310;14.7;1
196311;11.3;1
196312;2;1
196401;0.4;1
196402;6.4;1
196403;6.8;1
196404;13.8;1
196405;18.7;1
196406;22.2;1
196407;25.9;1
196408;23;1
196409;20.1;1
196410;12.2;1
196411;8.6;1
196412;3.2;1
196501;4.3;1
196502;2.4;1
196503;7.7;1
196504;11.2;1
196505;16.6;1
196506;20.7;1
196507;21.9;1
196508;21.4;1
196509;16.6;1
196510;13;1
196511;8.5;1
196512;7.5;1
196601;2.8;1
196602;8.6;1
196603;8.4;1
196604;14.1;1
196605;18.1;1
196606;22.8;1
196607;21.7;1
196608;21.5;1
196609;20.9;1
196610;15.8;1
196611;6.4;1
196612;5.8;1
196701;4.1;1
196702;7.6;1
196703;10;1
196704;12.3;1
196705;17;1
196706;20.4;1
196707;25.6;1
196708;23;1
196709;18.3;1
196710;17.2;1
196711;8.6;1
196712;3.5;1
196801;3.4;1
196802;5.1;1
196803;9.4;1
196804;14.1;1
196805;16;1
196806;20.5;1
196807;22.9;1
196808;20;1
196809;17.9;1
196810;16;1
196811;7.7;1
196812;4.2;1
196901;4.3;1
196902;3.2;1
196903;7.9;1
196904;12.1;1
196905;18.2;1
196906;18.1;1
196907;24.6;1
196908;22.7;1
196909;20.7;1
196910;16.2;1
196911;10.5;1
196912;1;1
197001;3.4;1
197002;6.2;1
197003;6.1;1
197004;10.5;1
197005;16.6;1
197006;21.9;1
197007;23.2;1
197008;23.1;1
197009;21.7;1
197010;13.6;1
197011;10.3;1
197012;3.8;1
197101;2.5;1
197102;5.2;1
197103;4.7;1
197104;16.5;1
197105;18.6;1
197106;19.7;1
197107;26;1
197108;25;1
197109;19.2;1
197110;15.5;1
197111;7.5;1
197112;3.7;1
197201;3.6;1
197202;6.9;1
197203;10.6;1
197204;12.1;1
197205;16.6;1
197206;19.8;1
197207;23;1
197208;22.3;1
197209;16.4;1
197210;12.8;1
197211;9.8;1
197212;4;1
197301;2.8;1
197302;3.7;1
197303;8.1;1
197304;10.4;1
197305;18.1;1
197306;21.6;1
197307;22.7;1
197308;25;1
197309;20.7;1
197310;12.4;1
197311;8.6;1
197312;4.7;1
197401;5.9;1
197402;6.8;1
197403;10.9;1
197404;13.7;1
197405;16.2;1
197406;19.7;1
197407;23.6;1
197408;23.8;1
197409;18.5;1
197410;9;1
197411;8.3;1
197412;7.7;1
197501;7.4;1
197502;6.2;1
197503;7.2;1
197504;12.8;1
197505;17;1
197506;19.8;1
197507;23.9;1
197508;22.9;1
197509;20.1;1
197510;11.9;1
197511;8.6;1
197512;3.3;1
197601;5.2;1
197602;4.6;1
197603;9;1
197604;13.4;1
197605;19.6;1
197606;25.1;1
197607;25.1;1
197608;22.1;1
197609;17.3;1
197610;14.6;1
197611;8.5;1
197612;3.3;1
197701;4.4;1
197702;8.5;1
197703;11.1;1
197704;11.3;1
197705;16.3;1
197706;19.6;1
197707;22.6;1
197708;21.6;1
197709;18.8;1
197710;14.6;1
197711;9.4;1
197712;5.5;1
197801;4.3;1
