# DONNEES MENSUELLES HOMOGENEISEES de TX : Moyenne mensuelle de la température maximale sous abri (en °C et 1/10) 
# NUM_POSTE= 82180001
# NOM_USUEL= SERIGNAC
# LATITUDE (°) = 43.932
# LONGITUDE(°)= 1.068
# ALTITUDE (m) = 151
# NUM_SERIE= MTX082180001
# Amplitude minimale détectable de la série = 0.16
# Période homogénéisée : 195901 201812
# Date(s) de rupture(s) d'homogénéité : 196309 197307 197712 199310
#     Periode homogénéisée  195901 201812  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195901;9.9;1
195902;13.3;1
195903;15.2;1
195904;15.9;1
195905;19.9;1
195906;24.1;1
195907;28.5;1
195908;26.6;1
195909;23.1;1
195910;17.1;1
195911;11.4;1
195912;9.8;1
196001;8.6;1
196002;11.3;1
196003;15.2;1
196004;15.2;1
196005;24.2;1
196006;26.5;1
196007;24;1
196008;24.2;1
196009;21.6;1
196010;17.1;1
196011;12.5;1
196012;6.4;1
196101;8.9;1
196102;14.1;1
196103;16.6;1
196104;18.5;1
196105;22.3;1
196106;26.9;1
196107;25.2;1
196108;24.5;1
196109;27.5;1
196110;20.9;1
196111;13.3;1
196112;11.1;1
196201;8.6;1
196202;8.7;1
196203;12.5;1
196204;16.6;1
196205;20.4;1
196206;23.6;1
196207;26.8;1
196208;27.6;1
196209;26;1
196210;19.9;1
196211;9.9;1
196212;6.9;1
196301;6.1;1
196302;7;1
196303;14.1;1
196304;16;1
196305;20.2;1
196306;24.1;1
196307;26.3;1
196308;22.7;1
196309;21.2;1
196310;18.6;1
196311;15;1
196312;8.1;1
196401;6.4;1
196402;10.7;1
196403;12.6;1
196404;16.8;1
196405;22.8;1
196406;24.6;1
196407;29.4;1
196408;27.6;1
196409;25.9;1
196410;16;1
196411;11.6;1
196412;8.3;1
196501;8.9;1
196502;7.7;1
196503;14;1
196504;14.8;1
196505;20.2;1
196506;24.7;1
196507;26.3;1
196508;26.3;1
196509;20.9;1
196510;20.3;1
196511;12.7;1
196512;11;1
196601;9;1
196602;14.2;1
196603;12.8;1
196604;18.1;1
196605;20.8;1
196606;24.5;1
196607;24.3;1
196608;25.7;1
196609;25.8;1
196610;17.9;1
196611;10.6;1
196612;9.9;1
196701;7.5;1
196702;11.3;1
196703;14;1
196704;16.8;1
196705;20.4;1
196706;24.1;1
196707;29.5;1
196708;27;1
196709;23.3;1
196710;22;1
196711;13.6;1
196712;5.8;1
196801;8.5;1
196802;10.7;1
196803;12.8;1
196804;17.3;1
196805;19.8;1
196806;23.7;1
196807;27.2;1
196808;25.4;1
196809;22.5;1
196810;21;1
196811;12.9;1
196812;8.6;1
196901;9.6;1
196902;8.7;1
196903;13.3;1
196904;15.9;1
196905;21.1;1
196906;22.5;1
196907;27.8;1
196908;25.6;1
196909;21.9;1
196910;19.9;1
196911;12.5;1
196912;6.2;1
197001;9.6;1
197002;10.1;1
197003;10.7;1
197004;14.7;1
197005;20.3;1
197006;25.7;1
197007;27.2;1
197008;26.3;1
197009;26.3;1
