# DONNEES MENSUELLES HOMOGENEISEES de TX : Moyenne mensuelle de la température maximale sous abri (en °C et 1/10) 
# NUM_POSTE= 83145001
# NOM_USUEL= VARAGES
# LATITUDE (°) = 43.594
# LONGITUDE(°)= 5.963
# ALTITUDE (m) = 348
# NUM_SERIE= MTX083145001
# Amplitude minimale détectable de la série = 0.18
# Période homogénéisée : 195901 201912
# Date(s) de rupture(s) d'homogénéité : 196212 197902 200412 201311 201811
#     Periode homogénéisée  195901 201912  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195901;10.2;1
195902;15.2;1
195903;15.7;1
195904;17.4;1
195905;21.5;1
195906;26.9;1
195907;31.5;1
195908;28.4;1
195909;23.7;1
195910;18.6;1
195911;12.7;1
195912;10.5;1
196001;9.9;1
196002;12.9;1
196003;15.1;1
196004;18;1
196005;23.7;1
196006;27;1
196007;28.4;1
196008;26.5;1
196009;22.6;1
196010;16.4;1
196011;13.5;1
196012;9;1
196101;9.8;1
196102;15.9;1
196103;18.6;1
196104;20.4;1
196105;22.3;1
196106;26.5;1
196107;29;1
196108;30.1;1
196109;26.9;1
196110;18.9;1
196111;12.7;1
196112;11.9;1
196201;12.4;1
196202;12;1
196203;12;1
196204;18.4;1
196205;21.9;1
196206;25.9;1
196207;29.6;1
196208;31.3;1
196209;24.3;1
196210;19.1;1
196211;10.8;1
196212;8.7;1
196301;7.1;1
196302;8;1
196303;14.8;1
196304;17.6;1
196305;23.1;1
196306;25.1;1
196307;29.9;1
196308;26.4;1
196309;23;1
196310;19.6;1
196311;14.7;1
196312;9.3;1
196401;10.8;1
196402;12.4;1
196403;13.8;1
196404;18.4;1
196405;24.5;1
196406;27.3;1
196407;31.2;1
196408;28.8;1
196409;25.2;1
196410;17.1;1
196411;14.5;1
196412;9.5;1
196501;10.3;1
196502;10.4;1
196503;14.4;1
196504;18.3;1
196505;23.2;1
196506;27.1;1
196507;28.8;1
196508;28.1;1
196509;21.4;1
196510;18.5;1
196511;12.1;1
196512;10.8;1
196601;8.9;1
196602;13.9;1
196603;15;1
196604;18.2;1
196605;22.2;1
196606;27.2;1
196607;27.7;1
196608;28.1;1
196609;26.3;1
196610;18.9;1
196611;10.6;1
196612;11.1;1
196701;10.2;1
196702;12.1;1
196703;16.4;1
196704;18.3;1
196705;21.7;1
196706;26;1
196707;32.2;1
196708;30;1
196709;24.8;1
196710;21;1
196711;14.4;1
196712;9.9;1
196801;10.6;1
196802;11.9;1
196803;14.8;1
196804;18.5;1
196805;21.3;1
196806;25.2;1
196807;29.7;1
196808;26.6;1
196809;23.4;1
196810;20.4;1
196811;13.2;1
196812;9.3;1
196901;10.6;1
196902;9.3;1
196903;13;1
196904;18;1
196905;22.2;1
196906;24;1
196907;29.3;1
196908;27.7;1
196909;23.4;1
196910;21.1;1
196911;13.1;1
196912;8.3;1
197001;10.5;1
197002;12.1;1
197003;12.2;1
197004;17.5;1
197005;21.3;1
197006;26.4;1
197007;30.4;1
197008;29.3;1
197009;27.4;1
197010;19.2;1
197011;15.1;1
197012;9.7;1
197101;10.1;1
197102;14.1;1
197103;11.8;1
197104;18;1
197105;20.8;1
197106;24.8;1
197107;30.4;1
197108;30.3;1
197109;24.5;1
197110;20.7;1
197111;12;1
197112;11.7;1
197201;9.5;1
197202;12;1
197203;15.2;1
197204;17.4;1
197205;21.4;1
197206;23.8;1
197207;28.8;1
197208;27.1;1
197209;20.8;1
197210;17.6;1
197211;14.5;1
197212;10.9;1
197301;11.1;1
197302;11.6;1
197303;14.6;1
197304;16.3;1
197305;21.8;1
197306;26.9;1
197307;29;1
197308;29.8;1
197309;26;1
197310;19.1;1
197311;13.7;1
197312;10.6;1
197401;12.1;1
197402;12;1
197403;14.1;1
197404;16.2;1
197405;21.1;1
197406;25.6;1
197407;30.1;1
197408;30.2;1
197409;23;1
197410;14.6;1
197411;13.1;1
197412;12.5;1
197501;12.2;1
197502;13.4;1
197503;13.2;1
197504;18.3;1
197505;21;1
197506;25.6;1
197507;30.7;1
197508;29.2;1
197509;23.7;1
197510;18.4;1
197511;12.9;1
197512;11.4;1
197601;12.4;1
197602;13;1
197603;14.2;1
197604;15.8;1
197605;23.5;1
197606;27.9;1
197607;28.9;1
197608;26;1
197609;21.4;1
197610;16.9;1
197611;13;1
197612;10.3;1
197701;9.6;1
197702;14.1;1
197703;16;1
197704;19.2;1
197705;19.7;1
197706;24.5;1
197707;27.6;1
197708;25.7;1
197709;23.5;1
197710;19.4;1
197711;13.6;1
197712;11.2;1
197801;9;1
197802;10.9;1
197803;15.1;1
197804;15.2;1
197805;19.7;1
197806;24.3;1
197807;28.6;1
