# DONNEES MENSUELLES HOMOGENEISEES de TX : Moyenne mensuelle de la température maximale sous abri (en °C et 1/10) 
# NUM_POSTE= 84007005
# NOM_USUEL= AVIGNON
# LATITUDE (°) = 43.911
# LONGITUDE(°)= 4.903
# ALTITUDE (m) = 34
# NUM_SERIE= MTX084007005
# Amplitude minimale détectable de la série = 0.16
# Période homogénéisée : 195901 201912
# Date(s) de rupture(s) d'homogénéité : 196212 198312 201311
#     Periode homogénéisée  195901 201912  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195901;10.2;1
195902;13.4;1
195903;16.9;1
195904;18.6;1
195905;22.7;1
195906;27;1
195907;32.3;1
195908;29.5;1
195909;25.2;1
195910;19.7;1
195911;13.9;1
195912;11.9;1
196001;8.5;1
196002;12.8;1
196003;14.6;1
196004;17.6;1
196005;25.5;1
196006;26.9;1
196007;27.2;1
196008;26.7;1
196009;23.1;1
196010;18.1;1
196011;13.5;1
196012;7;1
196101;9.4;1
196102;15.3;1
196103;17.6;1
196104;21;1
196105;21.6;1
196106;27.4;1
196107;28.7;1
196108;29.5;1
196109;28.2;1
196110;20.4;1
196111;13.5;1
196112;10.8;1
196201;11.6;1
196202;10.9;1
196203;11.7;1
196204;17.8;1
196205;21.7;1
196206;26.5;1
196207;29.7;1
196208;30.6;1
196209;24.9;1
196210;19.8;1
196211;11.3;1
196212;6.5;1
196301;5.7;1
196302;7;1
196303;14.5;1
196304;18.5;1
196305;22.9;1
196306;25.3;1
196307;30.6;1
196308;26.8;1
196309;23;1
196310;19.4;1
196311;16.2;1
196312;8.1;1
196401;8.5;1
196402;12;1
196403;13.5;1
196404;18.7;1
196405;24.8;1
196406;27.3;1
196407;32.1;1
196408;27.8;1
196409;24.8;1
196410;16.5;1
196411;13;1
196412;9.1;1
196501;10.5;1
196502;8.8;1
196503;15;1
196504;18;1
196505;23.5;1
196506;27.1;1
196507;28.2;1
196508;28;1
196509;22.6;1
196510;21.1;1
196511;14.1;1
196512;10.9;1
196601;9.3;1
196602;14.4;1
196603;14.8;1
196604;19.3;1
196605;23;1
196606;27.6;1
196607;27.6;1
196608;28.2;1
196609;27.9;1
196610;21;1
196611;11;1
196612;10.5;1
196701;8.8;1
196702;12.5;1
196703;15.7;1
196704;18.6;1
196705;22.6;1
196706;25.4;1
196707;31.4;1
196708;29.2;1
196709;24.9;1
196710;22.9;1
196711;14.6;1
196712;7.7;1
196801;9.3;1
196802;12.2;1
196803;15.7;1
196804;19.5;1
196805;21;1
196806;25.6;1
196807;28.7;1
196808;26.2;1
196809;23.7;1
196810;21.9;1
196811;13.4;1
196812;9.3;1
196901;11.1;1
196902;9;1
196903;13.4;1
196904;17.8;1
196905;22.7;1
196906;23.5;1
196907;28.7;1
196908;27;1
196909;24.5;1
196910;21.5;1
196911;14.8;1
196912;4.8;1
197001;9.9;1
197002;10.1;1
197003;10.9;1
197004;17.3;1
197005;21.8;1
197006;27;1
197007;29.3;1
197008;28.7;1
197009;26.9;1
197010;19.9;1
197011;16.3;1
197012;7.8;1
197101;8.9;1
197102;11.2;1
197103;11.1;1
197104;19.9;1
197105;22.1;1
197106;25.1;1
197107;30.7;1
197108;30.4;1
197109;25.3;1
197110;21.3;1
197111;11.5;1
197112;10.6;1
197201;9.7;1
197202;12.9;1
197203;15.6;1
197204;16.8;1
197205;21.3;1
197206;24.3;1
197207;28.6;1
197208;26.3;1
197209;21.9;1
197210;19.4;1
197211;14.1;1
197212;10.6;1
197301;8.8;1
197302;9.9;1
197303;14.1;1
197304;15.6;1
197305;23.7;1
197306;26.4;1
197307;29;1
197308;29.8;1
197309;26.8;1
197310;19.1;1
197311;13.6;1
197312;9.7;1
197401;12.7;1
197402;11.1;1
197403;15.3;1
197404;17;1
197405;21.4;1
197406;25.5;1
197407;29.3;1
197408;29.8;1
197409;22.9;1
197410;13.7;1
197411;14;1
197412;12.1;1
197501;12.1;1
197502;13.2;1
197503;13;1
197504;18.4;1
197505;21.4;1
197506;25.6;1
197507;30.4;1
197508;28.9;1
197509;25.4;1
197510;18.7;1
197511;13.1;1
197512;8;1
197601;9.3;1
197602;11.7;1
197603;14.9;1
197604;17;1
197605;24;1
197606;29.4;1
197607;29.5;1
197608;28.8;1
197609;23.8;1
197610;19.1;1
