# DONNEES MENSUELLES HOMOGENEISEES de TX : Moyenne mensuelle de la température maximale sous abri (en °C et 1/10) 
# NUM_POSTE= 84025001
# NOM_USUEL= CABRIERES D'AVIGNON
# LATITUDE (°) = 43.884
# LONGITUDE(°)= 5.165
# ALTITUDE (m) = 142
# NUM_SERIE= MTX084025001
# Amplitude minimale détectable de la série = 0.19
# Période homogénéisée : 195601 201912
# Date(s) de rupture(s) d'homogénéité : 197212 198012 198712 201401
#     Periode homogénéisée  195601 201912  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195601;10.1;1
195602;2.3;1
195603;13.4;1
195604;15.4;1
195605;23.4;1
195606;23.5;1
195607;28;1
195608;28.1;1
195609;26;1
195610;17.8;1
195611;11.9;1
195612;11.1;1
195701;9.6;1
195702;13.6;1
195703;17.8;1
195704;17;1
195705;19.8;1
195706;24.6;1
195707;29.3;1
195708;26.9;1
195709;25;1
195710;20.9;1
195711;13.3;1
195712;9.6;1
195801;10.1;1
195802;12.6;1
195803;12.9;1
195804;16;1
195805;24.8;1
195806;25;1
195807;27.4;1
195808;28.4;1
195809;26.9;1
195810;19.1;1
195811;12.7;1
195812;10.2;1
195901;9.7;1
195902;14.1;1
195903;16.1;1
195904;18.1;1
195905;22.6;1
195906;27.2;1
195907;31.9;1
195908;28.9;1
195909;24.4;1
195910;18.9;1
195911;13.7;1
195912;11.5;1
196001;8.9;1
196002;13.5;1
196003;14.9;1
196004;18.3;1
196005;26;1
196006;27.9;1
196007;27.3;1
196008;26.2;1
196009;23.3;1
196010;17.9;1
196011;14.3;1
196012;8.1;1
196101;9.2;1
196102;15.5;1
196103;18.4;1
196104;21.2;1
196105;21.6;1
196106;27.8;1
196107;29;1
196108;28.7;1
196109;28.6;1
196110;19.9;1
196111;13;1
196112;10.9;1
196201;11.6;1
196202;11.4;1
196203;11.8;1
196204;17.7;1
196205;21;1
196206;25.5;1
196207;29.2;1
196208;30.3;1
196209;23.8;1
196210;19;1
196211;11.3;1
196212;7.6;1
196301;5;1
196302;6.9;1
196303;14.5;1
196304;18.6;1
196305;22.5;1
196306;24.4;1
196307;29.8;1
196308;24.8;1
196309;22.5;1
196310;19.6;1
196311;15.8;1
196312;8.5;1
196401;8.9;1
196402;12;1
196403;13;1
196404;18.9;1
196405;24.6;1
196406;26.8;1
196407;31.1;1
196408;26.4;1
196409;23.5;1
196410;16.5;1
196411;13.7;1
196412;9.1;1
196501;10.4;1
196502;8.1;1
196503;14.7;1
196504;17.3;1
196505;23.6;1
196506;26.9;1
196507;27.2;1
196508;27.1;1
196509;21.5;1
196510;20.6;1
196511;14;1
196512;11.2;1
196601;8.5;1
196602;13.6;1
196603;14.5;1
196604;18.7;1
196605;22.4;1
196606;27;1
196607;26.2;1
196608;26.8;1
196609;26.6;1
196610;20.4;1
196611;11;1
196612;11;1
196701;9.4;1
196702;11.9;1
196703;15.6;1
196704;18.4;1
196705;22.4;1
196706;25.2;1
196707;31.3;1
196708;29;1
196709;24.3;1
196710;22.4;1
196711;15.3;1
196712;8.3;1
196801;9.4;1
196802;11.8;1
196803;15.2;1
196804;19.2;1
196805;20.8;1
196806;24.4;1
196807;28.4;1
196808;25.9;1
196809;22.4;1
196810;21;1
196811;13.6;1
196812;9.3;1
196901;10.7;1
196902;9;1
196903;13.1;1
196904;17.3;1
196905;22.4;1
196906;23.3;1
196907;28.4;1
