# DONNEES MENSUELLES HOMOGENEISEES de TX : Moyenne mensuelle de la température maximale sous abri (en °C et 1/10) 
# NUM_POSTE= 87103002
# NOM_USUEL= NANTIAT
# LATITUDE (°) = 46.005
# LONGITUDE(°)= 1.181
# ALTITUDE (m) = 335
# NUM_SERIE= MTX087103002
# Amplitude minimale détectable de la série = 0.2
# Période homogénéisée : 195901 201812
# Date(s) de rupture(s) d'homogénéité : 196210 196908 197911 199212 200312
#     Periode homogénéisée  195901 201812  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195901;7.6;1
195902;12.2;1
195903;13.8;1
195904;16;1
195905;20.8;1
195906;23.8;1
195907;25.8;1
195908;25.7;1
195909;24.7;1
195910;17.1;1
195911;10.7;1
195912;8.5;1
196001;6.9;1
196002;9.8;1
196003;12.8;1
196004;14.5;1
196005;20.4;1
196006;23.7;1
196007;22.3;1
196008;20.7;1
196009;18.6;1
196010;14.1;1
196011;11.5;1
196012;4;1
196101;6.6;1
196102;12.9;1
196103;15.3;1
196104;17.6;1
196105;17.1;1
196106;21.7;1
196107;24;1
196108;25.2;1
196109;27.4;1
196110;18.3;1
196111;10.6;1
196112;10.2;1
196201;7.2;1
196202;7.2;1
196203;7.9;1
196204;14.8;1
196205;15.8;1
196206;21.9;1
196207;24.1;1
196208;26.3;1
196209;23.1;1
196210;17.2;1
196211;8.6;1
196212;6.7;1
196301;2.6;1
196302;5.3;1
196303;10.4;1
196304;14.8;1
196305;17.7;1
196306;21.4;1
196307;24.9;1
196308;19.1;1
196309;19.7;1
196310;16.7;1
196311;12.6;1
196312;7;1
196401;5.3;1
196402;8.6;1
196403;9.8;1
196404;14.4;1
196405;20.2;1
196406;22.9;1
196407;27.7;1
196408;25.4;1
196409;24;1
196410;13.5;1
196411;9.7;1
196412;6.1;1
196501;6.7;1
196502;4.6;1
196503;12.2;1
196504;13.1;1
196505;18.6;1
196506;22.7;1
196507;22.8;1
196508;22.2;1
196509;17.7;1
196510;19.7;1
196511;10.4;1
196512;8.6;1
196601;7.2;1
196602;12.4;1
196603;10.1;1
196604;15.6;1
196605;18.1;1
196606;22.3;1
196607;21.5;1
196608;22.3;1
196609;24;1
196610;15.7;1
196611;8.2;1
196612;7.6;1
196701;6.1;1
196702;9.5;1
196703;12.1;1
196704;13.9;1
196705;18;1
196706;20.5;1
196707;27.4;1
196708;24.4;1
196709;20.5;1
196710;17.9;1
196711;10.9;1
196712;4;1
196801;6.7;1
196802;8.6;1
196803;11.5;1
196804;15.3;1
196805;15.7;1
196806;20.4;1
196807;23;1
196808;21.4;1
196809;19.6;1
196810;19.1;1
196811;11.2;1
196812;6.3;1
196901;8.5;1
196902;5.5;1
196903;10.3;1
196904;13.2;1
196905;18.2;1
196906;18.4;1
196907;24.3;1
196908;23.3;1
196909;21.6;1
196910;19.7;1
196911;10.1;1
196912;3.9;1
197001;8.4;1
197002;7.5;1
197003;7.7;1
197004;11.7;1
197005;18.8;1
197006;23.3;1
197007;23.2;1
197008;24.2;1
197009;23.1;1
197010;15.8;1
197011;12.9;1
197012;5.8;1
197101;8.2;1
197102;7.2;1
197103;7;1
197104;17.3;1
197105;18.8;1
197106;19.1;1
197107;25.8;1
197108;23.5;1
197109;20.8;1
197110;18.4;1
197111;7.5;1
197112;8;1
197201;7.2;1
197202;10.9;1
197203;13.1;1
197204;12.2;1
197205;15.9;1
197206;18.8;1
197207;23.9;1
197208;21.5;1
197209;18.3;1
197210;16.1;1
197211;11.6;1
197212;9.4;1
197301;4.9;1
197302;5.6;1
197303;11.4;1
197304;12;1
197305;19.6;1
197306;22.3;1
197307;22.3;1
197308;25.8;1
197309;22.4;1
197310;14.4;1
197311;11.1;1
197312;5.6;1
197401;9.7;1
197402;7.7;1
197403;11.1;1
197404;14;1
197405;17.4;1
197406;21.6;1
197407;24;1
197408;24.8;1
197409;18.2;1
197410;10.1;1
197411;10.2;1
197412;9.5;1
197501;9.7;1
197502;11;1
197503;7.5;1
197504;13.7;1
197505;16;1
197506;20.9;1
197507;24.8;1
197508;25.7;1
197509;19.8;1
197510;15.2;1
197511;10.1;1
197512;4.8;1
197601;6.8;1
197602;9.8;1
197603;11.8;1
197604;14.1;1
197605;19.2;1
197606;26.8;1
197607;25.7;1
197608;25.6;1
197609;19.1;1
197610;15.6;1
197611;8.2;1
197612;7;1
197701;5.9;1
197702;9.4;1
197703;13.2;1
197704;12.6;1
197705;16.1;1
197706;18.9;1
197707;21.5;1
197708;21.7;1
197709;20.1;1
197710;17.8;1
197711;9;1
197712;9.3;1
197801;5.3;1
197802;8;1
197803;11;1
197804;11.7;1
197805;16;1
197806;20;1
197807;22.4;1
197808;22.6;1
197809;21.1;1
197810;16.7;1
197811;11.4;1
197812;9;1
197901;5.2;1
197902;7;1
197903;9.6;1
197904;12;1
197905;17.1;1
197906;21.2;1
197907;24.3;1
197908;21.5;1
197909;21.9;1
197910;17.9;1
197911;10.3;1
197912;9;1
198001;5.2;1
198002;10.2;1
198003;9.8;1
198004;13;1
198005;16.9;1
198006;19.6;1
198007;22;1
198008;24.3;1
198009;22.7;1
198010;14.9;1
198011;9;1
198012;5.6;1
198101;7;1
198102;6.3;1
198103;13.6;1
198104;15.6;1
198105;16.8;1
198106;20.2;1
198107;22.5;1
198108;24.5;1
198109;21.1;1
198110;15.3;1
198111;11.7;1
198112;7.7;1
198201;9.3;1
198202;10.2;1
198203;10.2;1
198204;14.9;1
198205;19.5;1
198206;23.5;1
198207;27;1
198208;23;1
198209;23.8;1
198210;16;1
198211;12.1;1
198212;7.5;1
198301;8.8;1
198302;6.4;1
198303;11.5;1
198304;13.6;1
198305;16;1
198306;23.1;1
198307;28.7;1
198308;24.5;1
198309;21.9;1
198310;16.5;1
198311;12.3;1
198312;8.2;1
198401;7;1
198402;6.3;1
198403;10.3;1
198404;16.5;1
198405;13.5;1
198406;21.7;1
198407;26.2;1
198408;23.5;1
198409;18.7;1
198410;16.5;1
198411;14.1;1
198412;7.9;1
198501;1.9;1
198502;10.4;1
198503;9.1;1
198504;15.5;1
198505;17;1
198506;20.9;1
198507;25.9;1
198508;23.9;1
198509;25.6;1
198510;19.2;1
198511;7.3;1
198512;8.7;1
198601;6.3;1
198602;4.7;1
198603;10.9;1
198604;10.2;1
198605;19.4;1
198606;22.5;1
198607;25.7;1
198608;23.7;1
198609;21.6;1
198610;18.1;1
198611;11.5;1
198612;9;1
198701;1.1;1
198702;6.8;1
198703;9.5;1
198704;17.3;1
198705;16.5;1
198706;19.7;1
198707;23.6;1
198708;24.7;1
198709;23.8;1
198710;17.4;1
198711;10.3;1
198712;9.5;1
198801;10.3;1
198802;8.7;1
198803;9.7;1
198804;16;1
198805;18.5;1
198806;20.8;1
198807;23.2;1
198808;25.2;1
198809;20.8;1
198810;18.3;1
198811;11;1
198812;8.2;1
198901;8.8;1
198902;10.9;1
198903;14.9;1
198904;12.3;1
198905;22.2;1
198906;23.2;1
198907;25.7;1
198908;25.8;1
198909;22.7;1
198910;18.5;1
198911;13;1
198912;11.8;1
199001;9.6;1
199002;13.2;1
199003;14.4;1
199004;13.5;1
199005;21.2;1
199006;20.7;1
199007;26.3;1
199008;28.1;1
199009;21.8;1
199010;17.7;1
199011;9.9;1
199012;5.1;1
199101;6.9;1
199102;7.2;1
199103;13.9;1
199104;13.9;1
199105;16.2;1
199106;19.8;1
199107;25.5;1
199108;28;1
199109;24.2;1
199110;14.7;1
199111;10.1;1
199112;7.4;1
199201;6.4;1
199202;9.6;1
199203;11.9;1
199204;14.5;1
199205;21.6;1
199206;20;1
199207;24.3;1
199208;25.8;1
199209;20.7;1
199210;12.7;1
199211;13.2;1
199212;8.6;1
199301;9.8;1
199302;9.2;1
199303;12.5;1
199304;14.8;1
199305;19.6;1
199306;22.6;1
199307;23.6;1
199308;24.7;1
199309;18.3;1
199310;14.4;1
199311;9.3;1
199312;8.5;1
199401;7.8;1
199402;9.8;1
199403;14.3;1
199404;12.8;1
199405;20.7;1
199406;22.5;1
199407;28.7;1
199408;26.6;1
199409;18.5;1
199410;17.7;1
199411;14.2;1
199412;9.2;1
199501;7.2;1
199502;10.9;1
199503;11.7;1
199504;14.4;1
199505;20;1
199506;22;1
199507;27.8;1
199508;26.5;1
199509;18.5;1
199510;20.8;1
199511;12.2;1
199512;8;1
199601;11.7;1
199602;5.7;1
199603;12.2;1
199604;16.3;1
199605;17.6;1
199606;24.2;1
199607;24.9;1
199608;23.9;1
199609;20.2;1
199610;16.5;1
199611;9.3;1
199612;8;1
199701;7.7;1
199702;12.8;1
199703;15.9;1
199704;17.4;1
199705;20.3;1
199706;21.3;1
199707;24.1;1
199708;27.9;1
199709;24;1
199710;17.7;1
199711;12.7;1
199712;9.2;1
199801;8.7;1
199802;12.6;1
199803;13.2;1
199804;12.4;1
199805;20.5;1
199806;22.4;1
199807;24.1;1
199808;26.6;1
199809;20.4;1
199810;14.8;1
199811;8.6;1
199812;8.4;1
199901;8.7;1
199902;6.7;1
199903;13.5;1
199904;14.7;1
199905;21.3;1
199906;21.6;1
199907;25.9;1
199908;25.4;1
199909;22.5;1
199910;17.2;1
199911;8.9;1
199912;7.3;1
200001;6.4;1
200002;10.8;1
200003;12.5;1
200004;14.7;1
200005;20.5;1
200006;23.3;1
200007;22.2;1
200008;25.6;1
200009;22.4;1
200010;15.5;1
200011;11;1
200012;11.1;1
200101;8.4;1
200102;8.7;1
200103;13.6;1
200104;12.4;1
200105;20.2;1
200106;23;1
200107;24.1;1
200108;25.4;1
200109;19;1
200110;20.5;1
200111;8.6;1
200112;4.8;1
200201;10.3;1
200202;9.9;1
200203;14;1
200204;16;1
200205;18.1;1
200206;23.4;1
200207;23.4;1
200208;22.6;1
200209;20.5;1
200210;17;1
200211;12.3;1
200212;10;1
200301;5.5;1
200302;8.1;1
200303;16.6;1
200304;17;1
200305;19.2;1
200306;27.4;1
200307;26.4;1
200308;31.6;1
200309;22.7;1
200310;14.9;1
200311;13.6;1
200312;8.2;1
200401;7.4;1
200402;9.8;1
200403;11.1;1
200404;13.7;1
200405;19.1;1
200406;24.4;1
200407;24.2;1
200408;23.9;1
200409;22.4;1
200410;17.5;1
200411;9.9;1
200412;7.6;1
200501;7.6;1
200502;5.3;1
200503;12.8;1
200504;15.6;1
200505;20.2;1
200506;25.9;1
200507;25.8;1
200508;25.3;1
200509;22.1;1
200510;19.4;1
200511;9.8;1
200512;5.5;1
200601;7.1;1
200602;6.1;1
200603;11.5;1
200604;15.7;1
200605;19.6;1
200606;25.6;1
200607;30.4;1
200608;22.3;1
200609;23.9;1
200610;20;1
200611;14.3;1
200612;8.5;1
200701;8.7;1
200702;11.6;1
200703;11.8;1
200704;21.3;1
200705;18.9;1
200706;22.4;1
200707;22.4;1
200708;22.9;1
200709;20.4;1
200710;16.3;1
200711;9.4;1
200712;8.9;1
200801;10.5;1
200802;13.6;1
200803;10.1;1
200804;13.9;1
200805;20.7;1
200806;22.7;1
200807;24.5;1
200808;23.6;1
200809;19.8;1
200810;16;1
200811;9.4;1
200812;6.8;1
200901;7;1
200902;9;1
200903;12.6;1
200904;15.8;1
200905;21;1
200906;23.6;1
200907;25.4;1
200908;27.3;1
200909;22.8;1
200910;18.4;1
200911;12.9;1
200912;7.1;1
201001;4.1;1
201002;7;1
201003;11.6;1
201004;17.4;1
201005;17.1;1
201006;22.2;1
201007;26.5;1
201008;24.5;1
201009;22;1
201010;16.2;1
201011;9.2;1
201012;5.4;1
201101;7.3;1
201102;10.6;1
201103;13.8;1
201104;20.7;1
201105;23.3;1
201106;22.8;1
201107;23.1;1
201108;25.3;1
201109;23.7;1
201110;19;1
201111;15.4;1
201112;9.5;1
201201;7.8;1
201202;4;1
201203;16.7;1
201204;13.2;1
201205;20.8;1
201206;23.1;1
201207;23.5;1
201208;27.8;1
201209;22.7;1
201210;17.7;1
201211;12.2;1
201212;8.8;1
201301;5.8;1
201302;6.3;1
201303;11.4;1
201304;14.8;1
201305;15.1;1
201306;20.9;1
201307;28.3;1
201308;25.6;1
201309;22.1;1
201310;18.3;1
201311;8.9;1
201312;10.4;1
201401;9.9;1
201402;10.2;1
201403;14.7;1
201404;17.4;1
201405;18;1
201406;24.3;1
201407;24.6;1
201408;22.8;1
201409;23.7;1
201410;20.2;1
201411;14.8;1
201412;7.1;1
201501;7.1;1
201502;7.5;1
201503;13.2;1
201504;18.1;1
201505;19.8;1
201506;25.5;1
201507;28.4;1
201508;26.3;1
201509;20;1
201510;16;1
201511;14.3;1
201512;13.5;1
201601;9.3;1
201602;8.7;1
201603;11.4;1
201604;14.5;1
201605;18.5;1
201606;21.4;1
201607;26;1
201608;28;1
201609;24.9;1
201610;16.9;1
201611;11.7;1
201612;11.5;1
201701;6.5;1
201702;10.9;1
201703;14.7;1
201704;17.1;1
201705;21.3;1
201706;25.8;1
201707;24.9;1
201708;25.5;1
201709;20;1
201710;18.6;1
201711;11;1
201712;7.1;1
201801;9.7;1
201802;4.9;1
201803;11.5;1
201804;18.5;1
201805;20.6;1
201806;24.4;1
201807;27.8;1
201808;28;1
201809;25;1
201810;19.3;1
201811;12.5;1
201812;9.6;1
201901;5.4;0
201902;13.8;0
201903;14.1;0
201904;16.6;0
201905;17.7;0
201906;24.9;0
201907;28;0
201908;27.9;0
201909;23.7;0
201910;18.2;0
201911;10;0
201912;11;0
202001;9.9;0
202002;12.5;0
202003;13.1;0
202004;20.1;0
202005;21.4;0
202006;21.7;0
202007;27.1;0
202008;27.4;0
202009;24.4;0
202010;14.8;0
202011;15.3;0
202012;8.2;0
202101;6.1;0
202102;12.1;0
202103;13.5;0
202104;16.1;0
202105;17.8;0
202106;24.4;0
202107;23.7;0
202108;23.3;0
202109;23.4;0
202110;17.8;0
202111;9.9;0
202112;10.3;0
202201;8.3;0
202202;11.3;0
202203;14.5;0
202204;16.3;0
202205;23.7;0
202206;25.9;0
202207;28.5;0
202208;29.8;0
202209;23.5;0
202210;21.5;0
202211;13.7;0
202212;9;0
