# DONNEES MENSUELLES HOMOGENEISEES de TX : Moyenne mensuelle de la température maximale sous abri (en °C et 1/10) 
# NUM_POSTE= 1089001
# NOM_USUEL= AMBERIEU
# LATITUDE (°) = 45.977
# LONGITUDE(°)= 5.329
# ALTITUDE (m) = 250
# NUM_SERIE= MTX101089001
# Amplitude minimale détectable de la série = 0.16
# Période homogénéisée : 195101 201512
# Date(s) de rupture(s) d'homogénéité : 198612 200705
#     Periode homogénéisée  195101 201512  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195101;7.1;1
195102;8.7;1
195103;10.5;1
195104;16;1
195105;18;1
195106;22.5;1
195107;25;1
195108;23.7;1
195109;23;1
195110;14.8;1
195111;13.1;1
195112;7.9;1
195201;3.9;1
195202;4.4;1
195203;14.1;1
195204;18.3;1
195205;21.2;1
195206;25.6;1
195207;29.8;1
195208;27.2;1
195209;18.8;1
195210;15.7;1
195211;8.7;1
195212;5.9;1
195301;0.3;1
195302;5.1;1
195303;15.3;1
195304;17.3;1
195305;22.2;1
195306;21.2;1
195307;24.5;1
195308;26.4;1
195309;23.3;1
195310;16.9;1
195311;8.3;1
195312;9.5;1
195401;3.3;1
195402;5.1;1
195403;13.5;1
195404;13.9;1
195405;18.6;1
195406;24;1
195407;23.2;1
195408;23.5;1
195409;21.7;1
195410;16.8;1
195411;12.2;1
195412;7.2;1
195501;7.8;1
195502;7.6;1
195503;11;1
195504;17.9;1
195505;19.5;1
195506;22.8;1
195507;25.1;1
195508;26.2;1
195509;21.6;1
195510;14.4;1
195511;9.3;1
195512;8.6;1
195601;7.1;1
195602;-2.8;1
195603;12.2;1
195604;13.6;1
195605;20.7;1
195606;20;1
195607;23.6;1
195608;22;1
195609;23.2;1
195610;14.1;1
195611;6.2;1
195612;7.2;1
195701;4;1
195702;11.3;1
195703;16.4;1
195704;16.4;1
195705;17.4;1
195706;22.9;1
195707;25.2;1
195708;23.7;1
195709;21.4;1
195710;17.6;1
195711;8.3;1
195712;5.4;1
195801;7.1;1
195802;9.9;1
195803;9.5;1
195804;12.9;1
195805;21.9;1
195806;22.2;1
195807;24.8;1
195808;25.6;1
195809;23.4;1
195810;14.4;1
195811;6.7;1
195812;7;1
195901;6.7;1
195902;8.7;1
195903;14.6;1
195904;16.3;1
195905;20.7;1
195906;25.1;1
195907;29.4;1
195908;26.5;1
195909;24.3;1
195910;17.7;1
195911;9.7;1
195912;9;1
196001;4.9;1
196002;10.7;1
196003;13.5;1
196004;15.4;1
196005;23;1
196006;25;1
196007;23.1;1
196008;23.5;1
196009;19.5;1
196010;15.9;1
196011;12.1;1
196012;4.1;1
196101;6.3;1
196102;12.4;1
196103;15;1
196104;19;1
196105;18.6;1
196106;23.8;1
196107;25.2;1
196108;25.3;1
196109;27.5;1
196110;17.3;1
196111;8.6;1
196112;7.4;1
196201;7.9;1
196202;5.8;1
196203;9;1
196204;15.4;1
196205;18.2;1
196206;23.1;1
196207;26.3;1
196208;28.3;1
196209;22.3;1
196210;15.3;1
196211;7.6;1
196212;1.8;1
196301;-0.2;1
196302;2.2;1
196303;12.3;1
196304;16;1
196305;18.7;1
196306;22.5;1
196307;26.1;1
196308;22.9;1
196309;20.6;1
196310;15.9;1
196311;13.8;1
196312;1.7;1
196401;1.1;1
196402;9.3;1
196403;9.3;1
196404;16.4;1
196405;21.3;1
196406;24.7;1
196407;29.2;1
196408;25.5;1
196409;23.3;1
196410;13.3;1
196411;8.5;1
196412;4.8;1
196501;6.3;1
196502;3.7;1
196503;11.9;1
196504;13.9;1
196505;18.9;1
196506;23.5;1
196507;23.4;1
196508;23.7;1
196509;19.4;1
196510;18.1;1
196511;10.8;1
196512;8.5;1
196601;4.9;1
196602;12.4;1
196603;11;1
196604;17.3;1
196605;19.9;1
196606;24.3;1
196607;22.9;1
196608;24.1;1
196609;24.2;1
196610;18.4;1
196611;7.2;1
196612;6.5;1
196701;5.4;1
196702;9.7;1
196703;12.7;1
196704;15.4;1
196705;19.7;1
196706;22.1;1
196707;28.6;1
196708;25.3;1
196709;21.4;1
196710;19.7;1
196711;10.2;1
196712;2.4;1
196801;3.4;1
196802;8.6;1
196803;12.5;1
196804;17.1;1
196805;17.5;1
196806;22.6;1
196807;25.3;1
196808;22.1;1
196809;20;1
196810;18.5;1
196811;9;1
196812;4.4;1
196901;7.4;1
196902;5.5;1
196903;11.3;1
196904;14.5;1
196905;20.4;1
196906;20.5;1
196907;26.1;1
196908;24.9;1
196909;22.4;1
196910;17.4;1
196911;11.7;1
196912;1;1
197001;7;1
197002;6.7;1
197003;7.9;1
197004;12.8;1
197005;19.2;1
197006;24.6;1
197007;24.4;1
197008;25.8;1
197009;23.6;1
197010;14.6;1
197011;13.3;1
197012;2.4;1
197101;4.3;1
197102;7.1;1
197103;6.9;1
197104;18.6;1
197105;20.3;1
197106;21.5;1
197107;28;1
197108;26.9;1
197109;21.6;1
197110;18.2;1
197111;6.4;1
197112;4.7;1
197201;6.7;1
197202;10.1;1
197203;13.8;1
197204;13.6;1
197205;18;1
197206;21;1
197207;24.4;1
197208;23.9;1
197209;18.7;1
197210;16.2;1
197211;12;1
197212;5.2;1
197301;3.5;1
197302;5.4;1
197303;11.3;1
197304;12.5;1
197305;20.8;1
197306;23.2;1
197307;25.2;1
197308;26.8;1
197309;23.7;1
197310;14.4;1
197311;10.7;1
197312;5;1
197401;9.9;1
197402;8.3;1
197403;12.8;1
197404;15.6;1
197405;18.5;1
197406;21.9;1
197407;24.8;1
197408;26.1;1
197409;20.3;1
197410;10.3;1
197411;10.6;1
197412;9.1;1
197501;9;1
197502;10.1;1
197503;9.1;1
197504;15.2;1
197505;18;1
197506;21;1
197507;25.7;1
197508;26.1;1
197509;21.5;1
197510;13.8;1
197511;9.5;1
197512;3.3;1
197601;4.9;1
197602;7.8;1
197603;11.8;1
197604;15.5;1
197605;21.5;1
197606;28.3;1
197607;27.9;1
197608;25.6;1
197609;20.2;1
197610;16.1;1
197611;9.4;1
197612;4.9;1
197701;7;1
197702;10.8;1
197703;13.9;1
197704;13.6;1
197705;18.1;1
197706;21.2;1
197707;23.9;1
197708;22.6;1
197709;20;1
197710;18.9;1
197711;10.4;1
197712;8.6;1
197801;5;1
197802;7.9;1
197803;11.7;1
197804;13;1
197805;17.3;1
197806;22.2;1
197807;24.4;1
197808;23.6;1
197809;21.3;1
197810;15;1
197811;8.8;1
197812;9.1;1
197901;2.7;1
197902;7.9;1
197903;11.5;1
197904;13.7;1
197905;19.5;1
197906;23;1
197907;25.6;1
197908;23.1;1
197909;21.7;1
197910;17.5;1
197911;9.2;1
197912;8.7;1
198001;4.9;1
198002;10.7;1
198003;10.3;1
198004;13.3;1
198005;17.5;1
198006;20.7;1
198007;22.7;1
198008;25.1;1
198009;22.7;1
198010;15.4;1
198011;9.7;1
198012;3.4;1
198101;3.2;1
198102;5.1;1
198103;14.6;1
198104;16.5;1
198105;18.4;1
198106;22.4;1
198107;23;1
198108;25;1
198109;21.6;1
198110;16.3;1
198111;9.3;1
198112;7.7;1
198201;8.5;1
198202;9.4;1
198203;11;1
198204;15.9;1
198205;20.2;1
198206;23.9;1
198207;27.2;1
198208;23.9;1
198209;23.7;1
198210;15;1
198211;12.5;1
198212;7.1;1
198301;6.2;1
198302;4.5;1
198303;11.5;1
198304;14.4;1
198305;16.7;1
198306;24.6;1
198307;31.9;1
198308;26.8;1
198309;23;1
198310;15.9;1
198311;10.2;1
198312;7.6;1
198401;7;1
198402;6.5;1
198403;10.4;1
198404;15.7;1
198405;16.1;1
198406;22.3;1
198407;27.1;1
198408;25.3;1
198409;19.9;1
198410;15.8;1
198411;14.2;1
198412;6.5;1
198501;-0.3;1
198502;7.7;1
198503;9.2;1
198504;16.5;1
198505;18;1
198506;21.8;1
198507;26.6;1
198508;25.5;1
198509;25.1;1
198510;17.7;1
198511;6.4;1
198512;7.9;1
198601;5.8;1
198602;1.6;1
198603;10.9;1
198604;11.3;1
198605;21.2;1
198606;24;1
198607;26.5;1
198608;25.7;1
198609;21.9;1
198610;18;1
198611;11.7;1
198612;6.5;1
198701;-0.7;1
198702;6.4;1
198703;9.6;1
198704;17.7;1
198705;17.1;1
198706;21.4;1
198707;25.9;1
198708;26;1
198709;25.3;1
198710;18.2;1
198711;9.4;1
198712;6.9;1
198801;9.9;1
198802;8.2;1
198803;10.2;1
198804;17.1;1
198805;20.3;1
198806;23;1
198807;25.7;1
198808;27.2;1
198809;22.1;1
198810;17.8;1
198811;8.5;1
198812;6.4;1
198901;6.4;1
198902;9.3;1
198903;15.8;1
198904;13.5;1
198905;23.2;1
198906;24.6;1
198907;28;1
198908;27.8;1
198909;22.7;1
198910;18.9;1
198911;10.1;1
198912;8.3;1
199001;6;1
199002;14.2;1
199003;14.7;1
199004;13.7;1
199005;23.3;1
199006;22.6;1
199007;27;1
199008;28.2;1
199009;21.6;1
199010;18.5;1
199011;9.5;1
199012;3.6;1
199101;6.5;1
199102;7.5;1
199103;15.2;1
199104;15.4;1
199105;18.3;1
199106;22.8;1
199107;28.6;1
199108;29.8;1
199109;24.9;1
199110;15.5;1
199111;10.7;1
199112;4.5;1
199201;3.1;1
199202;8.5;1
199203;12.6;1
199204;16.6;1
199205;22.4;1
199206;22.2;1
199207;26.4;1
199208;29.2;1
199209;22.1;1
199210;12.3;1
199211;11.4;1
199212;8;1
199301;9.1;1
199302;4.1;1
199303;13.1;1
199304;17.1;1
199305;21.1;1
199306;24.2;1
199307;25.1;1
199308;26.6;1
199309;20.1;1
199310;13.9;1
199311;6.7;1
199312;8.8;1
199401;6.7;1
199402;9.3;1
199403;15.8;1
199404;13.2;1
199405;20.3;1
199406;24;1
199407;30.4;1
199408;29;1
199409;20.1;1
199410;17.6;1
199411;12.8;1
199412;8.5;1
199501;6.3;1
199502;11.5;1
199503;11.6;1
199504;16;1
199505;20.4;1
199506;23.2;1
199507;29.7;1
199508;26.7;1
199509;19.2;1
199510;20.7;1
199511;10.4;1
199512;5.4;1
199601;8.8;1
199602;5.7;1
199603;11.6;1
199604;17.1;1
199605;19.1;1
199606;24.8;1
199607;25.1;1
199608;24.9;1
199609;19.7;1
199610;16.4;1
199611;10.2;1
199612;5.8;1
199701;3.3;1
199702;11.3;1
199703;16;1
199704;17.8;1
199705;22;1
199706;22.9;1
199707;24.9;1
199708;30.1;1
199709;24.5;1
199710;16.5;1
199711;12.2;1
199712;7.8;1
199801;7.3;1
199802;10.4;1
199803;13.2;1
199804;15.1;1
199805;22.6;1
199806;24.2;1
199807;27.5;1
199808;27.2;1
199809;21.6;1
199810;15.9;1
199811;6.9;1
199812;6.3;1
199901;8.5;1
199902;5.4;1
199903;13.6;1
199904;15.8;1
199905;22.5;1
199906;23.4;1
199907;27.6;1
199908;26.9;1
199909;25;1
199910;16.5;1
199911;7.6;1
199912;7.5;1
200001;5.4;1
200002;10.2;1
200003;13.6;1
200004;16.8;1
200005;22.7;1
200006;25.6;1
200007;24.4;1
200008;27.9;1
200009;23.2;1
200010;16.6;1
200011;12.2;1
200012;10.7;1
200101;8.6;1
200102;9.6;1
200103;15;1
200104;14;1
200105;21.6;1
200106;23.6;1
200107;27.2;1
200108;27.4;1
200109;19.2;1
200110;21;1
200111;7.5;1
200112;3.5;1
200201;7.3;1
200202;11.2;1
200203;14.7;1
200204;17.9;1
200205;18.7;1
200206;26.3;1
200207;25.2;1
200208;24.5;1
200209;20.4;1
200210;17.6;1
200211;13;1
200212;8.8;1
200301;4.4;1
200302;7;1
200303;16.4;1
200304;18.1;1
200305;22.5;1
200306;32.3;1
200307;29.7;1
200308;33.6;1
200309;23.6;1
200310;14.8;1
200311;12.7;1
200312;7.2;1
200401;6;1
200402;8.5;1
200403;12.2;1
200404;16.1;1
200405;20.5;1
200406;25.7;1
200407;27.5;1
200408;27;1
200409;23;1
200410;19;1
200411;9.3;1
200412;4.6;1
200501;6.2;1
200502;5;1
200503;13.3;1
200504;16;1
200505;21.5;1
200506;27.1;1
200507;27.7;1
200508;25.4;1
200509;23.4;1
200510;20.1;1
200511;9.4;1
200512;3.5;1
200601;4.6;1
200602;5.6;1
200603;11.5;1
200604;16.8;1
200605;20.9;1
200606;27.3;1
200607;31.2;1
200608;23.1;1
200609;24.9;1
200610;20.4;1
200611;13.5;1
200612;7;1
200701;8.5;1
200702;11.9;1
200703;13.1;1
200704;22.6;1
200705;21.2;1
200706;24.6;1
200707;24.9;1
200708;24.3;1
200709;21;1
200710;16.2;1
200711;8.5;1
200712;4.2;1
200801;9.2;1
200802;12.3;1
200803;11.4;1
200804;15.7;1
200805;22.6;1
200806;23.8;1
200807;26.5;1
200808;25.3;1
200809;20.1;1
200810;16.1;1
200811;10.4;1
200812;5.5;1
200901;4.3;1
200902;6.9;1
200903;12.5;1
200904;18.7;1
200905;23.9;1
200906;25.4;1
200907;27.5;1
200908;30.1;1
200909;22.7;1
200910;17.2;1
200911;13.6;1
200912;7.3;1
201001;2.7;1
201002;7.2;1
201003;11.7;1
201004;18.5;1
201005;18.6;1
201006;24.2;1
201007;29.7;1
201008;25.8;1
201009;21.5;1
201010;15.9;1
201011;10.5;1
201012;5;1
201101;6.3;1
201102;9.1;1
201103;14.2;1
201104;21.4;1
201105;25.2;1
201106;24.3;1
201107;24.1;1
201108;27.8;1
201109;24.6;1
201110;17.9;1
201111;13.3;1
201112;8.5;1
201201;6.2;1
201202;3;1
201203;17.3;1
201204;15.7;1
201205;21.8;1
201206;25.2;1
201207;25.7;1
201208;28.8;1
201209;22.1;1
201210;18.2;1
201211;11.6;1
201212;8.2;1
201301;5.2;1
201302;3.9;1
201303;11.3;1
201304;16;1
201305;16.6;1
201306;23.6;1
201307;29.2;1
201308;26.7;1
201309;22.7;1
201310;18.6;1
201311;8.6;1
201312;8.3;1
201401;9.6;1
201402;11.1;1
201403;15.7;1
201404;18.6;1
