# DONNEES MENSUELLES HOMOGENEISEES de TX : Moyenne mensuelle de la température maximale sous abri (en °C et 1/10) 
# NUM_POSTE= 2320001
# NOM_USUEL= ST QUENTIN
# LATITUDE (°) = 49.818
# LONGITUDE(°)= 3.206
# ALTITUDE (m) = 98
# NUM_SERIE= MTX102320001
# Amplitude minimale détectable de la série = 0.12
# Période homogénéisée : 195301 201512
# Date(s) de rupture(s) d'homogénéité : 196712 197512 200703
#     Periode homogénéisée  195301 201512  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195301;1.6;1
195302;5.6;1
195303;13;1
195304;14.7;1
195305;19.9;1
195306;19.8;1
195307;21.8;1
195308;23.7;1
195309;20.7;1
195310;15.6;1
195311;8.6;1
195312;8.4;1
195401;3;1
195402;3.9;1
195403;11.3;1
195404;13.1;1
195405;18.3;1
195406;19.8;1
195407;19.8;1
195408;20.8;1
195409;18;1
195410;16.3;1
195411;10.3;1
195412;8.4;1
195501;5.1;1
195502;4.5;1
195503;7.6;1
195504;15.2;1
195505;16.7;1
195506;20.8;1
195507;23.6;1
195508;23.9;1
195509;19.9;1
195510;14;1
195511;9.6;1
195512;7.7;1
195601;6.3;1
195602;-2.3;1
195603;11;1
195604;12;1
195605;19.2;1
195606;17.3;1
195607;21.4;1
195608;20.1;1
195609;20.5;1
195610;13.4;1
195611;7.5;1
195612;7.6;1
195701;5.7;1
195702;9.5;1
195703;13.4;1
195704;14;1
195705;15.7;1
195706;22.6;1
195707;22.8;1
195708;21.2;1
195709;17.6;1
195710;14.9;1
195711;8.1;1
195712;5.4;1
195801;5.7;1
195802;7.9;1
195803;7.6;1
195804;11.9;1
195805;17.5;1
195806;19.9;1
195807;21.8;1
195808;21.3;1
195809;20.5;1
195810;14;1
195811;7.5;1
195812;7.2;1
195901;4.7;1
195902;6.3;1
195903;12.2;1
195904;14.4;1
195905;18.9;1
195906;22.2;1
195907;26;1
195908;24.3;1
195909;23.9;1
195910;17.1;1
195911;8.2;1
195912;7.4;1
196001;5.3;1
196002;7.2;1
196003;11.1;1
196004;13.8;1
196005;19.8;1
196006;21.4;1
196007;20.3;1
196008;20.9;1
196009;18.3;1
196010;13.9;1
196011;10.4;1
196012;4.8;1
196101;4.5;1
196102;10.8;1
196103;12.8;1
196104;16;1
196105;16.9;1
196106;21.4;1
196107;21.5;1
196108;22.1;1
196109;23.1;1
196110;15.3;1
196111;7.7;1
196112;6.1;1
196201;6.4;1
196202;6.2;1
196203;6.5;1
196204;12.7;1
196205;14.9;1
196206;20.3;1
196207;21;1
196208;21.4;1
196209;18.6;1
196210;15.4;1
196211;6.9;1
196212;3.6;1
196301;-1.8;1
196302;1.2;1
196303;10.2;1
196304;13.8;1
196305;15.9;1
196306;20;1
196307;22.5;1
196308;19.7;1
196309;18.5;1
196310;13.7;1
196311;11.9;1
196312;1.7;1
196401;2.5;1
196402;8;1
196403;7;1
196404;13.7;1
196405;20.4;1
196406;21.3;1
196407;24.3;1
196408;23;1
196409;21.4;1
196410;12.9;1
196411;9.3;1
196412;4.4;1
196501;4.9;1
196502;3.6;1
196503;9.8;1
196504;12.8;1
196505;16.9;1
196506;20.4;1
196507;19.5;1
196508;21.4;1
196509;17.5;1
196510;15.6;1
196511;7.4;1
196512;7.6;1
196601;3.3;1
196602;10;1
196603;9.8;1
196604;14.4;1
196605;17.7;1
196606;21.8;1
196607;20.1;1
196608;21.3;1
196609;20.2;1
196610;14.8;1
196611;7.1;1
196612;7.1;1
196701;5;1
196702;8.7;1
196703;10.9;1
196704;13;1
196705;17.3;1
196706;20.2;1
196707;25.1;1
196708;22.1;1
196709;19.1;1
196710;15.6;1
196711;8.2;1
196712;4.9;1
196801;4.7;1
196802;4.7;1
196803;10.3;1
196804;15;1
196805;15.1;1
196806;19.9;1
196807;21.3;1
196808;21.1;1
196809;18.5;1
196810;15.6;1
196811;7.5;1
196812;2.7;1
196901;6.6;1
196902;3.8;1
196903;9.3;1
196904;13.4;1
196905;17.8;1
196906;19.9;1
196907;23.5;1
196908;21.8;1
196909;19.9;1
196910;17.4;1
196911;9.5;1
196912;1.6;1
197001;4.9;1
197002;6;1
197003;6.4;1
197004;10.5;1
197005;17.8;1
197006;23.2;1
197007;20.8;1
197008;22.8;1
197009;20.6;1
197010;14.4;1
197011;10.8;1
197012;4.3;1
197101;5;1
197102;6.5;1
197103;7;1
197104;14.8;1
197105;19.9;1
197106;18.2;1
197107;24.3;1
197108;21.8;1
197109;20.3;1
197110;15.9;1
197111;8.1;1
197112;6.3;1
197201;3.8;1
197202;7.8;1
197203;12.7;1
197204;12;1
197205;15.8;1
197206;18;1
197207;22.2;1
197208;21.2;1
197209;17.1;1
197210;15;1
197211;8.6;1
197212;6.4;1
197301;4.3;1
197302;5.5;1
197303;10.6;1
197304;11.3;1
197305;17.1;1
197306;21.4;1
197307;21.6;1
197308;25.4;1
197309;21.1;1
197310;13.5;1
197311;8.5;1
197312;5.3;1
197401;8.5;1
197402;7.8;1
197403;9.7;1
197404;15;1
197405;16.8;1
197406;20.5;1
197407;20.7;1
197408;22.7;1
197409;17.2;1
197410;10;1
197411;9.8;1
197412;9.3;1
197501;8.6;1
197502;8.5;1
197503;7.4;1
197504;12.3;1
197505;15.6;1
197506;19.9;1
197507;23.6;1
197508;25;1
197509;19.7;1
197510;12.3;1
197511;8.3;1
197512;4;1
197601;6.2;1
197602;6.9;1
197603;8.7;1
197604;13.5;1
197605;19.6;1
197606;25.8;1
197607;26.4;1
197608;25.3;1
197609;19;1
197610;15.2;1
197611;8.7;1
197612;3.5;1
197701;4.9;1
197702;8.5;1
197703;11.3;1
197704;11.6;1
197705;16.7;1
197706;18.2;1
197707;21.2;1
197708;21.2;1
197709;18.8;1
197710;16;1
197711;9.1;1
197712;7.7;1
197801;4.7;1
197802;4.6;1
197803;10.4;1
197804;11.6;1
197805;16.4;1
197806;19;1
197807;20.7;1
197808;20.9;1
197809;18.8;1
197810;15.3;1
197811;8.5;1
197812;5.5;1
197901;-0.4;1
197902;3.8;1
197903;8.7;1
197904;12.4;1
197905;17;1
197906;19.8;1
197907;21.7;1
197908;21;1
197909;19.8;1
197910;15.7;1
197911;8.8;1
197912;7.5;1
198001;2.7;1
198002;8.5;1
198003;8.6;1
198004;12.4;1
198005;16.9;1
