# DONNEES MENSUELLES HOMOGENEISEES de TX : Moyenne mensuelle de la température maximale sous abri (en °C et 1/10) 
# NUM_POSTE= 4049001
# NOM_USUEL= ST AUBAN
# LATITUDE (°) = 44.062
# LONGITUDE(°)= 5.99
# ALTITUDE (m) = 458
# NUM_SERIE= MTX104049001
# Amplitude minimale détectable de la série = 0.19
# Période homogénéisée : 195901 201912
# Date(s) de rupture(s) d'homogénéité : 197012 198012
#     Periode homogénéisée  195901 201912  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195901;7.4;1
195902;14.1;1
195903;14.9;1
195904;16.2;1
195905;20.5;1
195906;24.7;1
195907;29.5;1
195908;26.6;1
195909;22.6;1
195910;17;1
195911;11.7;1
195912;8.9;1
196001;7.7;1
196002;11.5;1
196003;13.1;1
196004;17.3;1
196005;22.7;1
196006;25.5;1
196007;26.4;1
196008;25.6;1
196009;21.5;1
196010;15.6;1
196011;12.3;1
196012;6.7;1
196101;7.7;1
196102;14.1;1
196103;17.3;1
196104;18.9;1
196105;20;1
196106;24.6;1
196107;26.6;1
196108;28.5;1
196109;26.6;1
196110;18.3;1
196111;11.6;1
196112;10.7;1
196201;9.9;1
196202;9.9;1
196203;10.3;1
196204;16.5;1
196205;20.1;1
196206;23.7;1
196207;28.3;1
196208;30.4;1
196209;23.4;1
196210;18.7;1
196211;9.8;1
196212;6.1;1
196301;3.7;1
196302;5.4;1
196303;12.4;1
196304;16.9;1
196305;20.9;1
196306;23.3;1
196307;28.2;1
196308;24.4;1
196309;21.4;1
196310;18.7;1
196311;13.5;1
196312;7.4;1
196401;9.3;1
196402;10.9;1
196403;12.2;1
196404;17.2;1
196405;23;1
196406;25.5;1
196407;29.4;1
196408;26.9;1
196409;23.6;1
196410;15.8;1
196411;13.7;1
196412;7;1
196501;7.4;1
196502;8;1
196503;12.5;1
196504;16.2;1
196505;21.7;1
196506;25.6;1
196507;27;1
196508;26.3;1
196509;19.9;1
196510;18.3;1
196511;11.1;1
196512;8.4;1
196601;6.5;1
196602;12.7;1
196603;13.3;1
196604;17.2;1
196605;20.7;1
196606;25.1;1
196607;26.1;1
196608;26.2;1
196609;25.7;1
196610;18.7;1
196611;9.2;1
196612;9.5;1
196701;7.6;1
196702;10.8;1
196703;14.7;1
196704;16.9;1
196705;20.7;1
196706;23.7;1
196707;30.8;1
196708;28.8;1
196709;23.3;1
196710;20.9;1
196711;13.5;1
196712;7.7;1
196801;7.8;1
196802;9.7;1
196803;14.3;1
196804;17.9;1
196805;19.7;1
196806;23.1;1
196807;27.4;1
196808;24.8;1
196809;21.6;1
196810;20.6;1
196811;12.2;1
196812;8;1
196901;8.5;1
196902;7.3;1
196903;12.6;1
196904;16.5;1
196905;21.5;1
196906;22.6;1
196907;27.4;1
196908;26.5;1
196909;23.7;1
196910;21.7;1
196911;12.4;1
196912;6.2;1
197001;9.5;1
197002;9;1
197003;10.3;1
197004;15.6;1
197005;20.3;1
197006;25.9;1
197007;29.1;1
197008;28.3;1
197009;26.7;1
197010;18.9;1
197011;14.8;1
197012;8.1;1
197101;6;1
197102;11.4;1
197103;10.3;1
197104;18.2;1
197105;19.8;1
197106;23.1;1
197107;29.3;1
197108;30.1;1
197109;24;1
197110;20.2;1
197111;10.4;1
197112;10.9;1
197201;7.5;1
197202;10.9;1
197203;14.3;1
197204;16.2;1
197205;19.6;1
197206;22.4;1
197207;27;1
197208;25.6;1
197209;20.4;1
197210;17.4;1
197211;13.1;1
197212;10.3;1
197301;8.9;1
197302;8.7;1
197303;13.7;1
197304;14.4;1
197305;21.5;1
197306;25.6;1
197307;27.8;1
197308;28.6;1
197309;24.7;1
197310;18.2;1
197311;12.8;1
197312;9;1
197401;10.8;1
197402;10.1;1
197403;13.3;1
197404;15.2;1
197405;20.2;1
197406;23.9;1
197407;28.3;1
197408;29.3;1
197409;22.1;1
197410;12.6;1
197411;11.8;1
197412;11.2;1
197501;10.6;1
197502;12.6;1
197503;11.3;1
197504;16.6;1
197505;19.4;1
197506;22.8;1
197507;28.9;1
197508;27.7;1
197509;23.4;1
197510;18.1;1
197511;11.5;1
197512;9.1;1
197601;10.5;1
197602;11.7;1
197603;12.9;1
197604;15.3;1
197605;22.5;1
197606;26.9;1
197607;27.3;1
197608;25.6;1
197609;20.7;1
197610;16.8;1
197611;10.8;1
197612;7.7;1
197701;6.9;1
197702;12.1;1
197703;15.2;1
197704;17;1
197705;18.2;1
197706;22.3;1
197707;25.8;1
197708;24.3;1
197709;22.3;1
197710;18.8;1
197711;12.3;1
197712;9.8;1
197801;6.9;1
197802;8.1;1
197803;13.9;1
197804;13.8;1
197805;18.7;1
197806;23.4;1
197807;27;1
197808;27.4;1
197809;25.9;1
197810;19.7;1
197811;14.3;1
197812;9.8;1
197901;5.3;1
197902;10.5;1
197903;13.1;1
197904;15.2;1
197905;22;1
197906;26.5;1
197907;29.8;1
197908;27.6;1
197909;24.4;1
197910;18.2;1
197911;12.4;1
197912;9.5;1
198001;6.8;1
198002;12.3;1
198003;12.4;1
198004;15;1
198005;17.1;1
198006;22.3;1
198007;26.1;1
198008;29.1;1
198009;25.3;1
198010;17.3;1
198011;11.1;1
198012;7.8;1
198101;7.4;1
198102;8.9;1
198103;14.7;1
198104;17.7;1
198105;19.9;1
198106;26.2;1
198107;26.6;1
198108;29.1;1
198109;24.3;1
198110;18;1
198111;12.9;1
198112;7.2;1
198201;11.1;1
198202;11;1
198203;12.2;1
198204;17.6;1
198205;22.3;1
198206;25.9;1
198207;31.3;1
198208;28.5;1
198209;26;1
198210;17.6;1
198211;13.3;1
198212;8.7;1
198301;11.9;1
198302;6.8;1
198303;14.3;1
198304;15.6;1
198305;19;1
198306;24.8;1
198307;32.3;1
198308;27.2;1
198309;24.9;1
198310;19.3;1
198311;14.2;1
198312;10.6;1
198401;7;1
198402;7.7;1
198403;11.4;1
198404;17.3;1
198405;16.7;1
198406;24.1;1
198407;29.7;1
198408;27.1;1
198409;21.9;1
198410;18.4;1
198411;14.8;1
198412;9.4;1
198501;4.4;1
198502;11.6;1
198503;10.9;1
198504;18;1
198505;18.6;1
198506;24.4;1
198507;30.6;1
198508;28.3;1
198509;27.5;1
198510;21.2;1
198511;9.1;1
198512;10.5;1
198601;7.1;1
198602;6.5;1
198603;13.9;1
198604;14.8;1
198605;23.6;1
198606;26;1
198607;29;1
198608;29.2;1
198609;24.7;1
198610;20.2;1
198611;13.8;1
198612;8.6;1
198701;5.7;1
198702;9.6;1
198703;10.8;1
198704;17.6;1
198705;19.5;1
198706;23.7;1
198707;27.1;1
198708;28.7;1
198709;27;1
198710;18.6;1
198711;12.7;1
198712;11.1;1
198801;10.1;1
198802;10.5;1
198803;12.6;1
198804;16.1;1
198805;20.2;1
198806;23.3;1
198807;28.9;1
198808;29.7;1
198809;24.8;1
198810;19.9;1
198811;12.3;1
198812;10.5;1
198901;11.4;1
198902;13.2;1
198903;17.5;1
198904;14.9;1
198905;23.5;1
198906;25.2;1
198907;30.2;1
198908;30.2;1
198909;24.8;1
198910;20.6;1
198911;13.6;1
198912;11.1;1
199001;11.3;1
199002;14.6;1
199003;16.6;1
199004;15.8;1
199005;22.8;1
199006;25.4;1
199007;30.5;1
199008;29.5;1
199009;24.8;1
199010;19.2;1
199011;12.1;1
199012;6.1;1
199101;10;1
199102;8.7;1
199103;15.9;1
199104;16.4;1
199105;19.4;1
199106;25;1
199107;31.4;1
199108;31.2;1
199109;25.4;1
199110;17;1
199111;11.9;1
199112;9.3;1
199201;9.8;1
199202;12.1;1
199203;14.4;1
199204;17.8;1
199205;22.7;1
199206;21.5;1
199207;27.6;1
199208;30.7;1
199209;24.1;1
199210;15.1;1
199211;15;1
199212;9.7;1
199301;10.6;1
199302;11.1;1
199303;14.1;1
199304;16.4;1
199305;21.2;1
199306;25.7;1
199307;27.1;1
199308;30.1;1
199309;22;1
199310;16.3;1
199311;11.1;1
199312;9.2;1
199401;9.7;1
199402;10.2;1
199403;18.5;1
199404;14.6;1
199405;22.3;1
199406;26.4;1
199407;31.9;1
199408;31.5;1
199409;21.8;1
199410;18.2;1
199411;15.6;1
199412;10.7;1
199501;8;1
199502;12.4;1
199503;13.1;1
199504;17.9;1
199505;20.7;1
199506;24.9;1
199507;30.5;1
199508;26.6;1
199509;21.3;1
199510;21.5;1
199511;12.7;1
199512;9.1;1
199601;10;1
199602;8.3;1
199603;13.3;1
199604;17.4;1
199605;21.1;1
199606;26.5;1
199607;27.7;1
199608;26.3;1
199609;21.1;1
199610;18.4;1
199611;11.7;1
199612;8.9;1
199701;9.6;1
199702;13.5;1
199703;18.8;1
199704;18.7;1
199705;23;1
199706;24.1;1
199707;28.2;1
199708;28.8;1
199709;26.5;1
199710;20.4;1
199711;13.9;1
199712;9.2;1
199801;9.7;1
199802;15.2;1
199803;15.9;1
199804;15.1;1
199805;22.2;1
199806;26.5;1
199807;31.1;1
199808;29.6;1
199809;22.5;1
199810;17.7;1
199811;10.4;1
199812;9.2;1
199901;9.9;1
199902;9.5;1
199903;15;1
199904;17;1
199905;23.7;1
199906;26.2;1
199907;30.3;1
199908;29.6;1
199909;25.3;1
199910;18.5;1
199911;10.8;1
199912;7.8;1
200001;9.1;1
200002;13.1;1
200003;15.2;1
200004;16.9;1
200005;23.8;1
200006;27.4;1
200007;27.4;1
200008;30.4;1
200009;25.8;1
200010;18.2;1
200011;11.8;1
200012;10.3;1
200101;9.6;1
200102;12.8;1
200103;15.5;1
200104;17;1
200105;22.1;1
200106;26.9;1
200107;29.6;1
200108;31;1
200109;22.4;1
200110;21.6;1
200111;13.2;1
200112;8.4;1
200201;10.5;1
200202;12.3;1
200203;16.5;1
200204;18.5;1
200205;20.8;1
200206;28.3;1
200207;29.2;1
200208;27.8;1
200209;22.2;1
200210;19.3;1
200211;14.4;1
200212;10;1
200301;7.1;1
200302;9;1
200303;16.1;1
200304;17.6;1
200305;23.9;1
200306;32;1
200307;32.5;1
200308;33.9;1
200309;24.7;1
200310;16.9;1
200311;13.7;1
200312;9.8;1
200401;7.4;1
200402;11.1;1
200403;14.2;1
200404;17.2;1
200405;20.8;1
200406;28.1;1
200407;30.2;1
200408;29.3;1
200409;26.3;1
200410;20;1
200411;12.9;1
200412;9.6;1
200501;8.7;1
200502;8.6;1
200503;14.7;1
200504;17.1;1
200505;23.3;1
200506;28.8;1
200507;30.2;1
200508;28.3;1
200509;24.1;1
200510;19.5;1
200511;12.5;1
200512;6.6;1
200601;7.8;1
200602;10.6;1
200603;13.1;1
200604;19.4;1
200605;23.1;1
200606;28.4;1
200607;33;1
200608;27.2;1
200609;26.1;1
200610;21.4;1
200611;15.3;1
200612;10.9;1
200701;12.1;1
200702;12.3;1
200703;15;1
200704;21.5;1
200705;23.3;1
200706;26.8;1
200707;30.3;1
200708;29;1
200709;25.6;1
200710;20.6;1
200711;13.6;1
200712;10.3;1
200801;11.7;1
200802;13.2;1
200803;14.3;1
200804;17.2;1
200805;21.7;1
200806;26.5;1
200807;30;1
200808;30;1
200809;23.6;1
200810;19.4;1
200811;12.4;1
200812;7.5;1
200901;7.8;1
200902;10.8;1
200903;14.7;1
200904;18.4;1
200905;25;1
200906;27.6;1
200907;31.1;1
200908;31.9;1
200909;25.7;1
200910;19.9;1
200911;14.8;1
200912;8.4;1
201001;4.9;1
201002;8.2;1
201003;13.2;1
201004;18.5;1
201005;20;1
201006;26;1
201007;31.4;1
201008;29.1;1
201009;24.4;1
201010;18.2;1
201011;12.1;1
201012;6.6;1
201101;9.9;1
201102;12.6;1
201103;14.9;1
201104;21.5;1
201105;24.6;1
201106;25.7;1
201107;27.1;1
201108;30.4;1
201109;27.5;1
201110;21.2;1
201111;16;1
201112;10.8;1
201201;10.7;1
201202;9.1;1
201203;18.9;1
201204;16.7;1
201205;22.5;1
201206;28.1;1
201207;30.9;1
201208;31.8;1
201209;25.4;1
201210;19.6;1
201211;14;1
201212;8.8;1
201301;9.7;1
201302;8.2;1
201303;12.9;1
201304;18;1
201305;18.9;1
201306;25.8;1
201307;30.3;1
201308;29.5;1
201309;25.5;1
201310;21;1
201311;12;1
201312;11.3;1
201401;10;1
201402;11;1
201403;16.6;1
201404;19.9;1
201405;22.3;1
201406;27.5;1
201407;27.5;1
201408;28.2;1
201409;26;1
201410;21.8;1
201411;14.8;1
201412;10.4;1
201501;10.2;1
201502;9.8;1
201503;15.3;1
201504;19.6;1
201505;24.4;1
201506;28.2;1
201507;33.3;1
201508;30;1
201509;23.4;1
201510;18.3;1
201511;16;1
201512;11.8;1
201601;10;1
201602;12.1;1
201603;14.5;1
201604;19;1
201605;21.8;1
201606;26.8;1
201607;31.4;1
201608;30.8;1
201609;27.2;1
201610;18.4;1
201611;13.5;1
201612;11.9;1
201701;8.7;1
201702;13.5;1
201703;17.7;1
201704;19.3;1
201705;23.1;1
201706;30.1;1
201707;31.7;1
201708;32.2;1
201709;23.4;1
201710;23;1
201711;13.4;1
201712;8;1
201801;12.4;1
201802;8.8;1
201803;13.2;1
201804;20.7;1
201805;22;1
201806;26.7;1
201807;31.5;1
201808;29.8;1
201809;27.8;1
201810;20.5;1
201811;13.4;1
201812;11.2;1
201901;8.7;1
201902;14.9;1
201903;17.3;1
201904;17.5;1
201905;20.3;1
201906;29.6;1
201907;32.1;1
201908;31.9;1
201909;26.6;1
201910;21.1;1
201911;11.5;1
201912;11.6;1
202001;10.9;0
202002;14.4;0
202003;15.1;0
202004;19.6;0
