# DONNEES MENSUELLES HOMOGENEISEES de TX : Moyenne mensuelle de la température maximale sous abri (en °C et 1/10) 
# NUM_POSTE= 5046001
# NOM_USUEL= EMBRUN
# LATITUDE (°) = 44.571
# LONGITUDE(°)= 6.509
# ALTITUDE (m) = 873
# NUM_SERIE= MTX105046001
# Amplitude minimale détectable de la série = 0.22
# Période homogénéisée : 195101 202012
# Date(s) de rupture(s) d'homogénéité : 196912
#     Periode homogénéisée  195101 202012  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195101;5.9;1
195102;6.3;1
195103;9.2;1
195104;14.6;1
195105;17.2;1
195106;22.7;1
195107;26.6;1
195108;24.2;1
195109;22.8;1
195110;15.7;1
195111;11.4;1
195112;8.9;1
195201;4.4;1
195202;6.2;1
195203;13.1;1
195204;16.8;1
195205;19.8;1
195206;26;1
195207;29.5;1
195208;26.8;1
195209;19;1
195210;15.5;1
195211;7.6;1
195212;5.7;1
195301;3.9;1
195302;6.4;1
195303;13.8;1
195304;16.4;1
195305;22.3;1
195306;21;1
195307;26.5;1
195308;26.2;1
195309;22.7;1
195310;16.3;1
195311;12.9;1
195312;10.1;1
195401;5.1;1
195402;6.1;1
195403;11.8;1
195404;14.3;1
195405;18.5;1
195406;23.3;1
195407;23.7;1
195408;23.4;1
195409;22.5;1
195410;17.9;1
195411;11;1
195412;8.3;1
195501;8.8;1
195502;6.1;1
195503;11.9;1
195504;18.2;1
195505;19.5;1
195506;22;1
195507;25.4;1
195508;25;1
195509;22;1
195510;16.7;1
195511;10.1;1
195512;10;1
195601;7.3;1
195602;2.3;1
195603;11;1
195604;12.5;1
195605;20.4;1
195606;21.3;1
195607;24.7;1
195608;24.9;1
195609;23.2;1
195610;15.1;1
195611;9;1
195612;7.3;1
195701;7.9;1
195702;9.1;1
195703;16.4;1
195704;15.8;1
195705;16.8;1
195706;21.9;1
195707;26.1;1
195708;25.2;1
195709;22.7;1
195710;19.4;1
195711;12.2;1
195712;6.9;1
195801;5;1
195802;10.6;1
195803;8.6;1
195804;13.1;1
195805;22.2;1
195806;21.2;1
195807;25.6;1
195808;27.1;1
195809;23.5;1
195810;16.7;1
195811;12.2;1
195812;6.8;1
195901;5;1
195902;12.8;1
195903;13.3;1
195904;15.2;1
195905;19.5;1
195906;24.1;1
195907;28.2;1
195908;25.3;1
195909;22.4;1
195910;16.8;1
195911;10;1
195912;6.7;1
196001;5.6;1
196002;8.9;1
196003;11.2;1
196004;16.3;1
196005;21.6;1
196006;23.8;1
196007;23.9;1
196008;23.7;1
196009;19.5;1
196010;13.1;1
196011;10.1;1
196012;5.7;1
196101;4.6;1
196102;11.1;1
196103;16.1;1
196104;16.9;1
196105;18.8;1
196106;23.4;1
196107;24.9;1
196108;26.8;1
196109;25.2;1
196110;16.8;1
196111;10.7;1
196112;8.6;1
196201;7.5;1
196202;8.1;1
196203;7.5;1
196204;14.2;1
196205;18.5;1
196206;22.4;1
196207;26.6;1
196208;28.6;1
196209;22.2;1
196210;18.1;1
196211;8.4;1
196212;5;1
196301;2.3;1
196302;3.8;1
196303;9.7;1
196304;14.9;1
196305;19.4;1
196306;21.8;1
196307;26.2;1
196308;23.1;1
196309;20.4;1
196310;17.2;1
196311;11.5;1
196312;7;1
196401;8.7;1
196402;9.9;1
196403;10.1;1
196404;15.8;1
196405;21.6;1
196406;23.9;1
196407;27.4;1
196408;24.9;1
196409;21.9;1
196410;14.1;1
196411;12.5;1
196412;6.3;1
196501;5.4;1
196502;6.2;1
196503;10;1
196504;14.4;1
196505;19.9;1
196506;23.9;1
196507;25;1
196508;25.1;1
196509;18.3;1
196510;17.7;1
196511;8.8;1
196512;5.5;1
196601;4.3;1
196602;10.8;1
196603;11.2;1
196604;15.8;1
196605;19.9;1
196606;23.6;1
196607;24.2;1
196608;24.2;1
196609;24.8;1
196610;16.9;1
196611;6.6;1
196612;6;1
196701;5.8;1
196702;8.9;1
196703;13;1
196704;15.2;1
196705;18.8;1
196706;22.3;1
196707;28.7;1
196708;27.2;1
196709;22;1
196710;20;1
196711;11.9;1
196712;6.5;1
196801;4.9;1
196802;7.1;1
196803;12.9;1
196804;16.8;1
196805;17.2;1
196806;22.4;1
196807;26.4;1
196808;22.9;1
196809;20.1;1
196810;19.3;1
196811;10.9;1
196812;6.2;1
196901;5.9;1
196902;5;1
196903;11.1;1
196904;14.7;1
196905;20;1
196906;21;1
196907;26.2;1
196908;24.1;1
196909;22.3;1
196910;20.6;1
196911;10.8;1
196912;4.5;1
197001;5.6;1
197002;6;1
197003;7.7;1
197004;12.6;1
197005;18.5;1
197006;23.5;1
197007;26.1;1
197008;26.1;1
197009;24.3;1
197010;17;1
197011;12.4;1
197012;6.4;1
197101;4.5;1
197102;9;1
197103;7.2;1
197104;16.7;1
197105;18.3;1
197106;20.8;1
197107;26.5;1
197108;27.4;1
197109;22.1;1
197110;19;1
197111;8.6;1
197112;9.5;1
197201;6.4;1
197202;7.7;1
197203;12.3;1
197204;14.7;1
197205;18;1
197206;20.9;1
197207;25.2;1
197208;24;1
197209;18.8;1
197210;16.4;1
197211;11.6;1
197212;9.4;1
197301;7.5;1
197302;6.5;1
197303;11.4;1
197304;12.3;1
197305;19.9;1
197306;23.2;1
197307;24.6;1
197308;26.6;1
197309;22.8;1
197310;16.6;1
197311;11.3;1
197312;6.7;1
197401;8.7;1
197402;7.9;1
197403;12;1
