# DONNEES MENSUELLES HOMOGENEISEES de TX : Moyenne mensuelle de la température maximale sous abri (en °C et 1/10) 
# NUM_POSTE= 5079001
# NOM_USUEL= LE MONETIER LES BAINS
# LATITUDE (°) = 44.972
# LONGITUDE(°)= 6.514
# ALTITUDE (m) = 1459
# NUM_SERIE= MTX105079001
# Amplitude minimale détectable de la série = 0.23
# Période homogénéisée : 195101 202012
# Date(s) de rupture(s) d'homogénéité : 198606 199312 200312
#     Periode homogénéisée  195101 202012  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195101;3.8;1
195102;2.8;1
195103;4.3;1
195104;9.6;1
195105;12.8;1
195106;18.8;1
195107;22.3;1
195108;20;1
195109;19.3;1
195110;12.2;1
195111;6.7;1
195112;5.6;1
195201;2.2;1
195202;3.8;1
195203;9;1
195204;12.8;1
195205;16.1;1
195206;21.9;1
195207;25.2;1
195208;22.4;1
195209;16.2;1
195210;12.3;1
195211;3.6;1
195212;2.7;1
195301;3.4;1
195302;4.7;1
195303;9.4;1
195304;12.1;1
195305;18.2;1
195306;15.9;1
195307;21.8;1
195308;22.8;1
195309;20.3;1
195310;12.4;1
195311;13.3;1
195312;7.1;1
195401;3;1
195402;4.3;1
195403;8.8;1
195404;10.5;1
195405;13.9;1
195406;19.1;1
195407;19.4;1
195408;18.7;1
195409;18.7;1
195410;16;1
195411;9.6;1
195412;6;1
195501;4.1;1
195502;2.7;1
195503;6.6;1
195504;12.6;1
195505;14.8;1
195506;17.7;1
195507;20.8;1
195508;20.4;1
195509;19.5;1
195510;14.2;1
195511;7.8;1
195512;6.6;1
195601;5.1;1
195602;-0.3;1
195603;6.4;1
195604;8.2;1
195605;16.2;1
195606;17;1
195607;20.6;1
195608;19.9;1
195609;19.5;1
195610;12.9;1
195611;7.5;1
195612;6.3;1
195701;5.2;1
195702;5.1;1
195703;12.4;1
195704;11.2;1
195705;12.1;1
195706;17.3;1
195707;20.7;1
195708;19.8;1
195709;20;1
195710;16.4;1
195711;9.5;1
195712;4.6;1
195801;3;1
195802;6.2;1
195803;4.6;1
195804;7.2;1
195805;17.3;1
195806;17.1;1
195807;20.3;1
195808;23.1;1
195809;20.7;1
195810;13.3;1
195811;8.3;1
195812;4.7;1
195901;2.8;1
