# DONNEES MENSUELLES HOMOGENEISEES de TX : Moyenne mensuelle de la température maximale sous abri (en °C et 1/10) 
# NUM_POSTE= 5098001
# NOM_USUEL= LES ORRES
# LATITUDE (°) = 44.501
# LONGITUDE(°)= 6.552
# ALTITUDE (m) = 1446
# NUM_SERIE= MTX105098001
# Amplitude minimale détectable de la série = 0.22
# Période homogénéisée : 195901 201812
# Date(s) de rupture(s) d'homogénéité : 196412 197612 198012
#     Periode homogénéisée  195901 201812  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195901;3.7;1
195902;8.1;1
195903;8.8;1
195904;10.4;1
195905;15.1;1
195906;19.3;1
195907;22.5;1
195908;20.3;1
195909;18.1;1
195910;12.8;1
195911;5.9;1
195912;4.6;1
196001;3.8;1
196002;5;1
196003;6.9;1
196004;11.3;1
196005;17.6;1
196006;18;1
196007;19.6;1
196008;19.2;1
196009;14.9;1
196010;9.8;1
196011;6.6;1
196012;2.7;1
196101;4.4;1
196102;8.2;1
196103;10.6;1
196104;12;1
196105;14.5;1
196106;17.9;1
196107;19.5;1
196108;22.4;1
196109;21.2;1
196110;12.6;1
196111;6.5;1
196112;6.4;1
196201;4.9;1
196202;4.3;1
196203;3.4;1
196204;9;1
196205;14.1;1
196206;17.1;1
196207;21.7;1
196208;23.8;1
196209;17.4;1
196210;14.2;1
196211;6;1
196212;3;1
196301;1.9;1
196302;3.3;1
196303;7.3;1
196304;10.8;1
196305;15.2;1
196306;17.1;1
196307;21;1
196308;17.8;1
196309;16.3;1
196310;13.7;1
196311;8.5;1
196312;5.1;1
196401;5.9;1
196402;6.3;1
196403;6.4;1
196404;11.7;1
196405;17;1
196406;19.1;1
196407;22;1
196408;20.7;1
196409;16.9;1
196410;9.2;1
196411;9.4;1
196412;5.3;1
196501;4.5;1
196502;2.1;1
196503;7.6;1
196504;9.5;1
196505;14.7;1
196506;18.7;1
196507;19.6;1
196508;19.8;1
196509;14;1
196510;13.3;1
196511;5.8;1
196512;5.1;1
196601;3.6;1
196602;7.6;1
196603;5.8;1
196604;10.9;1
196605;15.1;1
196606;19.2;1
196607;19.2;1
196608;19.5;1
196609;20.2;1
196610;12.3;1
196611;4;1
196612;5.1;1
196701;4.5;1
196702;5.6;1
196703;8.1;1
196704;10.7;1
196705;14.2;1
196706;17.5;1
196707;23.5;1
196708;21.2;1
196709;17.2;1
196710;15.4;1
196711;8.8;1
196712;4.1;1
196801;3.6;1
196802;5.9;1
196803;8.3;1
196804;11.5;1
196805;12.9;1
196806;16.9;1
196807;20.9;1
196808;18;1
196809;15.4;1
196810;14.8;1
196811;8;1
196812;2.8;1
196901;5.4;1
196902;1.9;1
196903;7.1;1
196904;10;1
196905;15;1
196906;16;1
196907;20.5;1
196908;19.1;1
196909;17;1
196910;15.9;1
196911;6.8;1
196912;1.7;1
197001;4.8;1
197002;2.7;1
197003;4.5;1
197004;8.2;1
197005;14.1;1
197006;18.7;1
197007;21.1;1
197008;21.3;1
197009;19.7;1
197010;13.1;1
197011;8.8;1
197012;3.1;1
197101;3.3;1
197102;5;1
197103;3.6;1
197104;11.9;1
197105;14.1;1
197106;16.2;1
197107;21.4;1
197108;22.8;1
197109;17.8;1
197110;14.9;1
197111;6;1
197112;7.7;1
197201;2.9;1
197202;4.3;1
197203;7.3;1
197204;10.4;1
197205;13;1
197206;16.4;1
197207;20;1
197208;19.4;1
197209;14.3;1
197210;12.4;1
197211;8.5;1
197212;5.5;1
197301;4.6;1
197302;2.8;1
197303;5.9;1
197304;7.8;1
197305;15.5;1
197306;18.4;1
197307;19.8;1
197308;21.5;1
197309;18.2;1
197310;13.6;1
197311;8.4;1
197312;4;1
197401;6.6;1
197402;4.5;1
197403;7.2;1
197404;10.5;1
197405;13.8;1
197406;17.3;1
197407;21.7;1
197408;23.1;1
197409;16.4;1
197410;6.5;1
197411;6.3;1
197412;5.4;1
197501;5.9;1
197502;4.8;1
197503;4.2;1
197504;10.2;1
197505;13.9;1
197506;16.7;1
197507;21.9;1
197508;21;1
197509;17.9;1
197510;12.1;1
197511;6.6;1
197512;5.8;1
197601;4;1
197602;6;1
197603;7.5;1
197604;9.2;1
197605;16.7;1
197606;21.9;1
197607;21.4;1
197608;19.8;1
197609;14.6;1
197610;11.1;1
197611;5;1
197612;2;1
197701;3.9;1
197702;5;1
197703;9;1
197704;10.8;1
197705;11.7;1
197706;15.3;1
197707;18.6;1
197708;17.4;1
197709;15.9;1
197710;12.9;1
197711;5.9;1
197712;5.5;1
197801;2;1
197802;3.3;1
197803;7;1
197804;7.3;1
197805;12.1;1
197806;16.5;1
197807;20;1
197808;20.5;1
197809;20;1
197810;14.2;1
197811;8.2;1
197812;4.5;1
197901;0.6;1
197902;3.8;1
197903;5.4;1
197904;7.9;1
197905;15.1;1
197906;18.5;1
197907;22.1;1
197908;20.1;1
197909;17.8;1
197910;12.7;1
197911;7.4;1
197912;4.2;1
198001;1.5;1
198002;5.3;1
198003;5.6;1
198004;9;1
198005;11.8;1
198006;16.5;1
198007;21.1;1
198008;22.6;1
198009;19;1
198010;12.2;1
198011;7;1
198012;2.5;1
198101;1.3;1
198102;2.6;1
198103;8.4;1
198104;11.2;1
198105;12.9;1
198106;19.4;1
198107;19.2;1
198108;20.8;1
198109;16.7;1
198110;11.6;1
198111;8.4;1
198112;1;1
198201;5.3;1
198202;4.5;1
198203;4.5;1
198204;11.6;1
198205;15.1;1
198206;18.6;1
198207;23.4;1
198208;20.8;1
198209;18.8;1
198210;10.9;1
198211;7.2;1
198212;3.8;1
198301;7;1
198302;0.9;1
198303;8.1;1
198304;9;1
198305;11.8;1
198306;18.2;1
198307;25.5;1
198308;20.6;1
198309;19.1;1
198310;13.7;1
198311;9.4;1
198312;5.8;1
198401;1.5;1
198402;2;1
198403;4.3;1
198404;10.9;1
198405;9.8;1
198406;17.5;1
