# DONNEES MENSUELLES HOMOGENEISEES de TX : Moyenne mensuelle de la température maximale sous abri (en °C et 1/10) 
# NUM_POSTE= 5142001
# NOM_USUEL= ST FIRMIN
# LATITUDE (°) = 44.782
# LONGITUDE(°)= 6.024
# ALTITUDE (m) = 950
# NUM_SERIE= MTX105142001
# Amplitude minimale détectable de la série = 0.21
# Période homogénéisée : 195101 202012
# Date(s) de rupture(s) d'homogénéité : 197112 199112 199412
#     Periode homogénéisée  195101 202012  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195101;4.8;1
195102;6.1;1
195103;7.3;1
195104;13.8;1
195105;16.1;1
195106;22;1
195107;25;1
195108;23.7;1
195109;20.1;1
195110;13.1;1
195111;10.3;1
195112;7.2;1
195201;3.3;1
195202;4.4;1
195203;12;1
195204;15.3;1
195205;18.7;1
195206;24.5;1
195207;26.9;1
195208;24.8;1
195209;17;1
195210;14;1
195211;6.1;1
195212;3.4;1
195301;1.2;1
195302;4.1;1
195303;11.8;1
195304;15.6;1
195305;19.8;1
195306;19.5;1
195307;25.5;1
195308;24.2;1
195309;20.9;1
195310;14.5;1
195311;11.1;1
195312;8.2;1
195401;1.8;1
195402;3.8;1
195403;10.5;1
195404;11;1
195405;16.5;1
195406;22.1;1
195407;22.3;1
195408;22;1
195409;20.5;1
195410;15.5;1
195411;9.2;1
195412;5.8;1
195501;6.7;1
195502;5.4;1
195503;9.7;1
195504;15.8;1
195505;18.3;1
195506;21.1;1
195507;24.1;1
195508;23.4;1
195509;19.1;1
195510;14.2;1
195511;7.6;1
195512;8.3;1
195601;5.6;1
195602;-3.7;1
195603;9.3;1
195604;10.8;1
195605;19.3;1
195606;19.1;1
195607;23.3;1
195608;23.2;1
195609;22.5;1
195610;13.9;1
195611;5.4;1
195612;4.9;1
195701;4.2;1
195702;8.7;1
195703;15.1;1
195704;13.7;1
195705;15.3;1
195706;21;1
195707;24.7;1
195708;23.4;1
195709;20.7;1
195710;15.8;1
195711;8.8;1
195712;4.8;1
195801;3.7;1
195802;9;1
195803;6.4;1
195804;10.7;1
195805;20.9;1
195806;20.2;1
195807;23.5;1
195808;25.1;1
195809;22.8;1
195810;14.5;1
195811;7.3;1
195812;5.3;1
195901;4.7;1
195902;10.7;1
195903;12.4;1
195904;13.6;1
195905;18.3;1
195906;22.5;1
195907;26.1;1
195908;22.9;1
195909;21.5;1
195910;15.5;1
195911;8.5;1
195912;5.2;1
196001;3.2;1
196002;8.3;1
196003;10.5;1
196004;13.6;1
196005;20.3;1
196006;22.7;1
196007;21.8;1
196008;22.9;1
196009;18.6;1
196010;12.4;1
196011;9.3;1
196012;3.4;1
196101;3.7;1
196102;10.1;1
196103;13.3;1
196104;16.3;1
196105;16.6;1
196106;21.5;1
196107;22.9;1
196108;24.8;1
196109;25.1;1
196110;15.6;1
196111;9.6;1
196112;6.6;1
196201;6;1
196202;4.5;1
196203;5.9;1
196204;13.3;1
196205;16.5;1
196206;21.2;1
196207;24.6;1
196208;27.1;1
196209;20.9;1
196210;15.4;1
196211;7.2;1
196212;1.7;1
196301;0.9;1
196302;2.7;1
196303;9.2;1
196304;13.8;1
196305;17.3;1
196306;21;1
196307;25.2;1
196308;22.6;1
196309;18.8;1
196310;15.8;1
196311;10.9;1
196312;4.1;1
196401;4.3;1
196402;7.4;1
196403;8.1;1
196404;14.1;1
196405;20.6;1
196406;23.1;1
196407;26.7;1
196408;23.6;1
196409;21.4;1
196410;12.2;1
196411;9.7;1
196412;3.3;1
196501;4.1;1
196502;2.7;1
196503;8.9;1
196504;12.5;1
196505;18.1;1
196506;22.2;1
196507;24.3;1
196508;23.1;1
196509;17.4;1
196510;17.4;1
196511;8.9;1
196512;5;1
196601;3.3;1
196602;9.8;1
196603;8.6;1
196604;14.5;1
196605;18.5;1
196606;22.9;1
196607;22;1
196608;22.6;1
196609;23.4;1
196610;16.3;1
196611;5.4;1
196612;3.9;1
196701;3.8;1
196702;7.9;1
196703;10.7;1
196704;13.1;1
196705;18.3;1
196706;19.8;1
196707;27.3;1
196708;25.3;1
196709;20.6;1
196710;19.5;1
196711;10.7;1
196712;1.5;1
196801;2.9;1
196802;6.9;1
196803;10.5;1
196804;16.6;1
196805;16.3;1
196806;21.3;1
196807;24.6;1
196808;21.3;1
196809;18.9;1
196810;18;1
196811;8.8;1
196812;4.3;1
196901;4.7;1
196902;3.1;1
196903;8.8;1
196904;13;1
196905;18.7;1
196906;19.1;1
196907;24.7;1
196908;23;1
196909;20.9;1
196910;18.1;1
196911;9.2;1
196912;1.8;1
197001;5.4;1
197002;4.9;1
197003;5.6;1
197004;11.2;1
197005;17.1;1
197006;23.7;1
197007;25.1;1
197008;25.5;1
197009;23;1
197010;14.8;1
197011;11;1
197012;3.2;1
197101;3.6;1
197102;5;1
197103;3.7;1
197104;15.9;1
197105;17.9;1
197106;20.2;1
197107;25.3;1
197108;27.1;1
197109;22.4;1
197110;18.8;1
197111;4.6;1
197112;7.1;1
197201;4.3;1
197202;6.9;1
197203;11.7;1
197204;12.2;1
197205;16.7;1
197206;19.6;1
197207;23.2;1
197208;23.1;1
197209;15.9;1
197210;15.6;1
197211;10.3;1
197212;7.7;1
197301;3.9;1
197302;3.2;1
197303;7.9;1
197304;9.5;1
197305;19.3;1
197306;22.2;1
197307;23.6;1
197308;26.6;1
197309;22.9;1
197310;14.9;1
197311;10;1
197312;4.9;1
197401;7.7;1
197402;5.9;1
197403;10.1;1
197404;13.6;1
197405;16.7;1
