# DONNEES MENSUELLES HOMOGENEISEES de TX : Moyenne mensuelle de la température maximale sous abri (en °C et 1/10) 
# NUM_POSTE= 5157001
# NOM_USUEL= ST VERAN
# LATITUDE (°) = 44.693
# LONGITUDE(°)= 6.869
# ALTITUDE (m) = 2000
# NUM_SERIE= MTX105157001
# Amplitude minimale détectable de la série = 0.2
# Période homogénéisée : 195101 202012
# Date(s) de rupture(s) d'homogénéité : 196211 197412 197712 200212 201412
#     Periode homogénéisée  195101 202012  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195101;2.8;1
195102;0.9;1
195103;2.8;1
195104;6.1;1
195105;8.2;1
195106;14.3;1
195107;17.8;1
195108;15.5;1
195109;15.9;1
195110;7.8;1
195111;4.8;1
195112;5.2;1
195201;1.2;1
195202;1.7;1
195203;6.6;1
195204;8.6;1
195205;11.8;1
195206;17;1
195207;20.7;1
195208;18;1
195209;12;1
195210;9.6;1
195211;2.6;1
195212;1.3;1
195301;2.2;1
195302;1.9;1
195303;6;1
195304;7.6;1
195305;13.2;1
195306;11.5;1
195307;17.2;1
195308;17.5;1
195309;16;1
195310;9.3;1
195311;10.3;1
195312;5.3;1
195401;1.4;1
195402;2;1
195403;4.2;1
195404;7;1
195405;10.1;1
195406;14;1
195407;15.5;1
195408;15.3;1
195409;15.6;1
195410;13.7;1
195411;7.7;1
195412;5.1;1
195501;3.5;1
195502;0.7;1
195503;4.9;1
195504;10.3;1
195505;11.7;1
195506;13.9;1
195507;16.9;1
195508;16.7;1
195509;14.5;1
195510;10.9;1
195511;5.6;1
195512;5.5;1
195601;3.2;1
195602;-4.2;1
195603;4;1
195604;5.1;1
195605;11.9;1
195606;12.6;1
195607;16.3;1
195608;16.5;1
195609;15.9;1
195610;9.8;1
195611;4.8;1
195612;4.2;1
195701;2.9;1
195702;4.5;1
195703;10.4;1
195704;7.5;1
195705;8.1;1
195706;12.5;1
195707;17.7;1
195708;16.9;1
195709;16.7;1
195710;13.8;1
195711;6.8;1
195712;3.3;1
195801;2;1
195802;5.3;1
195803;2.5;1
195804;5;1
195805;13.8;1
195806;12.9;1
195807;17.1;1
195808;19.1;1
195809;18;1
195810;10.6;1
195811;5.4;1
195812;3.4;1
195901;2.7;1
195902;6;1
195903;5.8;1
195904;7.9;1
195905;9.9;1
195906;14.8;1
195907;19;1
195908;15.9;1
195909;14;1
195910;10;1
195911;4.8;1
195912;1.6;1
196001;3.2;1
196002;3;1
196003;3.9;1
196004;6.8;1
196005;11.6;1
196006;15.2;1
196007;15.1;1
196008;15.8;1
196009;13;1
196010;6.4;1
196011;5.4;1
196012;1.2;1
196101;1.9;1
196102;5.9;1
196103;8.9;1
196104;9;1
196105;11.2;1
196106;15.3;1
196107;17;1
196108;19.4;1
196109;19.1;1
196110;10.3;1
196111;4.7;1
196112;5.3;1
196201;3.9;1
196202;3.8;1
196203;2;1
196204;5.4;1
196205;10.6;1
196206;14.5;1
196207;17.5;1
196208;20.5;1
196209;16.5;1
196210;12.5;1
196211;2.4;1
196212;0.4;1
196301;-1;1
196302;-1.6;1
196303;4.2;1
196304;6.4;1
196305;10.6;1
196306;13.6;1
196307;17.3;1
196308;15.3;1
196309;13.6;1
196310;12.7;1
196311;5.4;1
196312;1.9;1
196401;3.9;1
196402;3.8;1
196403;2.6;1
196404;7.2;1
196405;13.3;1
196406;15.5;1
196407;18.6;1
196408;16.6;1
196409;16.2;1
196410;6.2;1
196411;7.8;1
196412;1.4;1
196501;1.8;1
196502;0.1;1
196503;3.5;1
196504;6.2;1
196505;11.5;1
196506;14.3;1
196507;17;1
196508;16.7;1
196509;11.6;1
196510;11;1
196511;3.4;1
196512;1.9;1
196601;1.9;1
196602;6;1
196603;4;1
196604;7.4;1
196605;11.4;1
196606;15;1
196607;16.3;1
196608;15.7;1
196609;16.9;1
196610;8.9;1
196611;1;1
196612;2.5;1
196701;2.2;1
196702;3.1;1
196703;6.1;1
196704;6.2;1
196705;11.1;1
196706;12.9;1
196707;19.5;1
196708;18.1;1
196709;15.5;1
196710;15;1
196711;7.3;1
196712;2.1;1
196801;1;1
196802;2.4;1
196803;5.2;1
196804;9.3;1
196805;9.7;1
196806;13.4;1
196807;17.6;1
196808;14.7;1
196809;13.7;1
196810;13.8;1
196811;5.5;1
196812;0.5;1
196901;2.6;1
196902;-0.7;1
196903;3;1
196904;5.9;1
196905;11.8;1
196906;12;1
196907;16.8;1
196908;16.2;1
196909;14.6;1
196910;14.5;1
196911;5.2;1
196912;-0.7;1
197001;2.8;1
197002;-0.1;1
197003;1.7;1
197004;4;1
197005;10;1
197006;15.3;1
197007;18.4;1
197008;17.5;1
197009;19;1
197010;11.5;1
197011;8.3;1
197012;0.6;1
197101;0.5;1
197102;3.9;1
197103;0.5;1
