# DONNEES MENSUELLES HOMOGENEISEES de TX : Moyenne mensuelle de la température maximale sous abri (en °C et 1/10) 
# NUM_POSTE= 5183001
# NOM_USUEL= VILLAR ST PANCRACE
# LATITUDE (°) = 44.88
# LONGITUDE(°)= 6.64
# ALTITUDE (m) = 1310
# NUM_SERIE= MTX105183001
# Amplitude minimale détectable de la série = 0.19
# Période homogénéisée : 195901 202012
# Date(s) de rupture(s) d'homogénéité : 196512 197312 198612
#     Periode homogénéisée  195901 202012  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195901;4.8;1
195902;10.8;1
195903;10.3;1
195904;12.7;1
195905;16.4;1
195906;21.1;1
195907;25.2;1
195908;22.2;1
195909;19.8;1
195910;14.2;1
195911;8;1
195912;4;1
196001;5.5;1
196002;6.9;1
196003;7.8;1
196004;13;1
196005;20.5;1
196006;21;1
196007;21.1;1
196008;22.2;1
196009;16.2;1
196010;11.1;1
196011;8;1
196012;3.4;1
196101;4.1;1
196102;9.9;1
196103;12.8;1
196104;14.1;1
196105;16.1;1
196106;21.5;1
196107;22.5;1
196108;24.9;1
196109;24.5;1
196110;15;1
196111;7.5;1
196112;8;1
196201;5.5;1
196202;5.9;1
196203;4;1
196204;9.7;1
196205;15.3;1
196206;20.5;1
196207;24;1
196208;26.8;1
196209;20.8;1
196210;17.1;1
196211;7.2;1
196212;4;1
196301;1.8;1
196302;2.4;1
196303;7.2;1
196304;12;1
196305;16.6;1
196306;18.9;1
196307;23.9;1
196308;20.9;1
196309;18.2;1
196310;16.8;1
196311;7.9;1
196312;4.2;1
196401;7.2;1
196402;8.7;1
196403;6.8;1
196404;12.4;1
196405;18.7;1
196406;21.6;1
196407;25.6;1
196408;23;1
196409;20.7;1
196410;11.8;1
196411;11.7;1
196412;4.2;1
196501;3.8;1
196502;5.4;1
196503;7.5;1
196504;11.4;1
196505;17.1;1
196506;20.4;1
196507;22.5;1
196508;22.9;1
196509;16;1
196510;16;1
196511;5.2;1
196512;3.4;1
196601;2.7;1
