# DONNEES MENSUELLES HOMOGENEISEES de TX : Moyenne mensuelle de la température maximale sous abri (en °C et 1/10) 
# NUM_POSTE= 6088001
# NOM_USUEL= NICE
# LATITUDE (°) = 43.649
# LONGITUDE(°)= 7.209
# ALTITUDE (m) = 2
# NUM_SERIE= MTX106088001
# Amplitude minimale détectable de la série = 0.15
# Période homogénéisée : 195901 201912
# Date(s) de rupture(s) d'homogénéité : 198812 200712
#     Periode homogénéisée  195901 201912  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195901;12.7;1
195902;13.5;1
195903;14.4;1
195904;15.6;1
195905;18.6;1
195906;22.7;1
195907;25.8;1
195908;25.1;1
195909;22.5;1
195910;19.1;1
195911;14.7;1
195912;13;1
196001;11.4;1
196002;12.3;1
196003;13.5;1
196004;15.4;1
196005;19.1;1
196006;23.4;1
196007;24.3;1
196008;23.8;1
196009;21.2;1
196010;18.3;1
196011;15;1
196012;12;1
196101;11;1
196102;14.1;1
196103;15;1
196104;17;1
196105;18.4;1
196106;22.1;1
196107;24.9;1
196108;25.4;1
196109;24.9;1
196110;20.5;1
196111;14.8;1
196112;12.7;1
196201;13.4;1
196202;11.9;1
196203;11.9;1
196204;15.7;1
196205;17.5;1
196206;21.4;1
196207;24.7;1
196208;25.5;1
196209;23.3;1
196210;20.1;1
196211;14.1;1
196212;11.5;1
196301;8.6;1
196302;9.5;1
196303;13.1;1
196304;15.1;1
196305;19.3;1
196306;21.3;1
196307;26.1;1
196308;24.6;1
196309;21.9;1
196310;19.7;1
196311;16.5;1
196312;11.9;1
196401;12;1
196402;12;1
196403;13.3;1
196404;15.5;1
196405;19.7;1
196406;23.7;1
196407;26.3;1
196408;25.9;1
196409;23.5;1
196410;18.7;1
196411;15.9;1
196412;12;1
196501;12.1;1
196502;10.5;1
196503;12.9;1
196504;15.8;1
196505;18.3;1
196506;21.3;1
196507;24.9;1
196508;24.5;1
196509;21.2;1
196510;19.9;1
196511;15.4;1
196512;13.7;1
196601;11.2;1
196602;13.5;1
196603;14.1;1
196604;16.8;1
196605;19.8;1
196606;23.3;1
196607;23.4;1
196608;23.6;1
196609;22.5;1
196610;20.4;1
196611;13.9;1
196612;13.1;1
196701;11.5;1
196702;12.3;1
196703;15;1
196704;16.3;1
196705;19.3;1
196706;21.5;1
196707;26.3;1
196708;25.9;1
196709;22.7;1
196710;21.3;1
196711;16.5;1
196712;13.2;1
196801;12.4;1
196802;12;1
196803;14;1
196804;16.9;1
196805;19;1
196806;21.8;1
196807;25.8;1
196808;24.4;1
196809;22.1;1
196810;20.5;1
196811;15.8;1
196812;12.5;1
196901;12.5;1
196902;10.5;1
196903;12.8;1
196904;16;1
196905;18.5;1
196906;20.8;1
196907;24.9;1
196908;25.8;1
196909;23.2;1
196910;22;1
196911;16.2;1
196912;12;1
197001;12.1;1
197002;13.1;1
197003;12.4;1
197004;16.1;1
197005;18;1
197006;23.1;1
197007;24.8;1
197008;25.7;1
197009;24.1;1
197010;20.4;1
197011;16.5;1
197012;12.6;1
197101;11.8;1
197102;12.8;1
197103;11;1
197104;16.4;1
197105;18.7;1
197106;21.4;1
197107;26.3;1
197108;27.4;1
197109;23.3;1
197110;20.4;1
197111;15.5;1
197112;13.5;1
197201;11.5;1
197202;12.6;1
197203;14.5;1
197204;15.5;1
197205;17.9;1
197206;21.3;1
197207;24.8;1
197208;24.5;1
197209;20.7;1
197210;18.7;1
197211;17;1
197212;13.3;1
197301;12.4;1
197302;12.4;1
197303;13.5;1
197304;14.8;1
197305;18.9;1
197306;22.8;1
197307;25.8;1
197308;26.9;1
197309;24.1;1
197310;20.7;1
197311;15.8;1
197312;12.9;1
197401;12.7;1
197402;12.6;1
197403;14;1
197404;15.3;1
197405;17.9;1
197406;22;1
197407;23.9;1
197408;26.2;1
197409;22.8;1
197410;16.6;1
197411;14.8;1
197412;13.7;1
