# DONNEES MENSUELLES HOMOGENEISEES de TX : Moyenne mensuelle de la température maximale sous abri (en °C et 1/10) 
# NUM_POSTE= 7105001
# NOM_USUEL= ISSANLAS
# LATITUDE (°) = 44.773
# LONGITUDE(°)= 3.982
# ALTITUDE (m) = 1215
# NUM_SERIE= MTX107105001
# Amplitude minimale détectable de la série = 0.19
# Période homogénéisée : 196001 201812
# Date(s) de rupture(s) d'homogénéité : 197312 198410 200012
#     Periode homogénéisée  196001 201812  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
196001;0.9;1
196002;4.3;1
196003;5.4;1
196004;8;1
196005;14.9;1
196006;17.9;1
196007;17.7;1
196008;17.5;1
196009;14.7;1
196010;8.8;1
196011;6;1
196012;0.6;1
196101;1.3;1
196102;7;1
196103;9.5;1
196104;12.2;1
196105;11.9;1
196106;17.5;1
196107;18.4;1
196108;19.6;1
196109;19.7;1
196110;11.3;1
196111;5.3;1
196112;5.1;1
196201;3.1;1
196202;1;1
196203;1.9;1
196204;8.3;1
196205;12.1;1
196206;16.5;1
196207;20;1
196208;22.4;1
196209;17.1;1
196210;10.9;1
196211;2.3;1
196212;1;1
196301;-2.7;1
196302;-1.2;1
196303;4.6;1
196304;8.9;1
196305;12.2;1
196306;16.6;1
196307;20.7;1
196308;16.9;1
196309;14.7;1
196310;12.1;1
196311;7.7;1
196312;1.2;1
196401;1.8;1
196402;2;1
196403;3.9;1
196404;8.6;1
196405;14.9;1
196406;18.1;1
196407;22.2;1
196408;18.3;1
196409;17.1;1
196410;8.3;1
196411;7;1
196412;1.4;1
196501;0.3;1
196502;-2.7;1
196503;5.2;1
196504;7.2;1
196505;13.7;1
196506;18.1;1
196507;18.4;1
196508;18.5;1
196509;13;1
196510;13.2;1
196511;4.8;1
196512;3.9;1
196601;1.1;1
196602;6.3;1
196603;4.1;1
196604;9.9;1
196605;13.4;1
196606;17.4;1
196607;17.1;1
196608;18.1;1
196609;19.5;1
196610;11.2;1
196611;1.9;1
196612;1.5;1
196701;0.7;1
196702;3.5;1
196703;5.9;1
196704;8.3;1
196705;12.5;1
196706;14.9;1
196707;21.9;1
196708;19.2;1
196709;15.2;1
196710;14.2;1
196711;7.6;1
196712;-1;1
196801;1.4;1
196802;2.2;1
196803;4.8;1
196804;9.6;1
196805;10.9;1
196806;16.4;1
196807;18.8;1
196808;16.5;1
196809;14.5;1
196810;14.5;1
196811;5.9;1
196812;1;1
196901;1.7;1
196902;-0.8;1
196903;3.9;1
196904;8.3;1
196905;13;1
196906;13.8;1
196907;19.4;1
196908;17.6;1
196909;15;1
196910;12.6;1
196911;5.1;1
196912;-1.6;1
197001;3;1
197002;1.2;1
197003;1.3;1
197004;6.5;1
197005;11.8;1
197006;17.9;1
197007;19.8;1
197008;19.6;1
197009;17.8;1
197010;11.3;1
197011;8.2;1
197012;0.2;1
197101;1.3;1
197102;0.4;1
197103;-1.3;1
197104;10.4;1
197105;12.4;1
197106;15;1
197107;20.9;1
197108;20.3;1
197109;15.3;1
197110;13.5;1
197111;1.9;1
197112;5.1;1
197201;0.6;1
197202;4.3;1
197203;7.1;1
197204;6.4;1
197205;11.2;1
197206;15.3;1
197207;18;1
197208;17.1;1
197209;11.7;1
197210;10.7;1
197211;8;1
197212;6.4;1
197301;3.2;1
197302;-0.5;1
197303;3.2;1
197304;5;1
197305;14.3;1
197306;16.7;1
197307;18.6;1
197308;20.7;1
197309;16.8;1
197310;10.1;1
197311;6.8;1
197312;2.4;1
197401;6;1
197402;1.5;1
197403;4.9;1
197404;7.1;1
197405;12.2;1
197406;15.5;1
197407;19.3;1
197408;20.2;1
197409;14.3;1
197410;3.8;1
197411;4.6;1
197412;4.8;1
197501;5.1;1
197502;4;1
197503;1.4;1
197504;8.4;1
197505;11.1;1
197506;15.4;1
197507;20.5;1
197508;19.6;1
197509;15.5;1
197510;10.2;1
197511;4.1;1
197512;1.9;1
197601;1;1
197602;4;1
197603;7.1;1
197604;7.2;1
197605;14.8;1
197606;20.3;1
197607;19.9;1
197608;18.6;1
197609;12.9;1
197610;9.9;1
197611;3.1;1
197612;2.6;1
197701;1.7;1
197702;5.2;1
197703;8.6;1
197704;8.1;1
197705;10.8;1
197706;14.2;1
197707;17.6;1
197708;16.3;1
197709;14.5;1
197710;12.1;1
197711;5.1;1
197712;4.7;1
197801;0.6;1
197802;1.6;1
197803;5.1;1
197804;5.3;1
197805;10.5;1
197806;15.2;1
197807;19.5;1
197808;18.7;1
197809;16.7;1
197810;10.9;1
197811;6.8;1
197812;3.6;1
197901;0.1;1
197902;1.6;1
197903;5.3;1
197904;5.7;1
197905;12.8;1
197906;17.4;1
197907;19.8;1
197908;18;1
