# DONNEES MENSUELLES HOMOGENEISEES de TX : Moyenne mensuelle de la température maximale sous abri (en °C et 1/10) 
# NUM_POSTE= 7128001
# NOM_USUEL= LALOUVESC
# LATITUDE (°) = 45.118
# LONGITUDE(°)= 4.535
# ALTITUDE (m) = 1090
# NUM_SERIE= MTX107128001
# Amplitude minimale détectable de la série = 0.22
# Période homogénéisée : 195701 201812
# Date(s) de rupture(s) d'homogénéité : 196005 196412 200112
#     Periode homogénéisée  195701 201812  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195701;3.4;1
195702;6.3;1
195703;12.4;1
195704;11.1;1
195705;11.2;1
195706;18.1;1
195707;21.1;1
195708;20.1;1
195709;15.5;1
195710;12.5;1
195711;4.7;1
195712;2.3;1
195801;1.4;1
195802;4.7;1
195803;3.9;1
195804;6.6;1
195805;18.4;1
195806;18;1
195807;18.1;1
195808;21.1;1
195809;17.3;1
195810;11.3;1
195811;5.4;1
195812;4;1
195901;3;1
195902;7.6;1
195903;8.8;1
195904;9.6;1
195905;14.1;1
195906;17.6;1
195907;22.4;1
195908;20.5;1
195909;17;1
195910;11.4;1
195911;5.7;1
195912;3.8;1
196001;1.7;1
196002;4.7;1
196003;6.5;1
196004;10.2;1
196005;16.1;1
196006;20.1;1
196007;18.6;1
196008;18.2;1
196009;14.5;1
196010;9.2;1
196011;6;1
196012;0.7;1
196101;1.6;1
196102;7.4;1
196103;9.5;1
196104;12.8;1
196105;13.2;1
196106;19.2;1
196107;20.3;1
196108;20.7;1
196109;21;1
196110;11.6;1
196111;5.3;1
196112;5.5;1
196201;3.6;1
196202;1.8;1
196203;2.8;1
196204;10;1
196205;13.6;1
196206;17.8;1
196207;21.2;1
196208;23.3;1
196209;17.2;1
196210;11.6;1
196211;3.8;1
196212;2;1
196301;-0.8;1
196302;-0.4;1
196303;6.4;1
196304;10.4;1
196305;13.8;1
196306;17.6;1
196307;21.5;1
196308;17.7;1
196309;15.6;1
196310;12.1;1
196311;7.9;1
196312;2.6;1
196401;2.2;1
196402;3.8;1
196403;5;1
196404;10.5;1
196405;15.8;1
196406;19;1
196407;24.2;1
196408;20;1
196409;17.5;1
196410;8.7;1
196411;7.5;1
196412;2.4;1
196501;1.8;1
196502;-0.5;1
196503;6.2;1
196504;8;1
196505;13.9;1
196506;18.5;1
196507;18.8;1
196508;18.8;1
196509;13.2;1
196510;13.2;1
196511;5.4;1
196512;3.7;1
196601;1.1;1
196602;6.5;1
196603;5;1
196604;10.8;1
196605;14.3;1
196606;18.4;1
196607;17.8;1
196608;18.6;1
196609;18.8;1
196610;11.6;1
196611;2.3;1
196612;2.5;1
196701;1.4;1
196702;4.1;1
196703;6.8;1
196704;9.7;1
196705;14.1;1
196706;16.9;1
196707;23.8;1
196708;20.5;1
196709;15.4;1
196710;14;1
196711;8;1
196712;1;1
196801;1.9;1
196802;2.9;1
196803;6.7;1
196804;10.8;1
196805;12.2;1
196806;17.8;1
196807;20.9;1
196808;17.2;1
196809;14.5;1
196810;13.9;1
196811;6.5;1
196812;2;1
196901;3.2;1
196902;0.8;1
196903;4.6;1
196904;9.2;1
196905;14.4;1
196906;14.8;1
196907;20.8;1
196908;18.5;1
196909;15.8;1
196910;13.1;1
196911;5.5;1
196912;-0.5;1
197001;3.3;1
197002;2.2;1
197003;2.9;1
197004;7.6;1
197005;13.4;1
197006;19;1
197007;20.8;1
197008;20.4;1
197009;17.9;1
197010;10.4;1
197011;8.1;1
197012;1.3;1
197101;2.5;1
197102;3.2;1
197103;1.8;1
197104;11.8;1
197105;14.2;1
197106;16.3;1
197107;22.5;1
197108;20.9;1
197109;15.6;1
197110;13;1
197111;3;1
197112;5.7;1
197201;1.2;1
197202;3.9;1
197203;7.9;1
197204;7.3;1
197205;12.5;1
197206;16.3;1
197207;19.5;1
197208;18.2;1
197209;12.6;1
197210;10.7;1
197211;7.1;1
197212;4.7;1
197301;2.2;1
197302;0.8;1
197303;5.2;1
197304;6.6;1
197305;15.4;1
197306;18.1;1
197307;19.8;1
197308;21.6;1
197309;17.6;1
197310;10.4;1
197311;6.5;1
197312;2.2;1
197401;4.6;1
197402;2;1
197403;6.2;1
197404;8.5;1
197405;13.2;1
197406;17;1
197407;20.9;1
197408;21.3;1
197409;14.6;1
197410;4.6;1
197411;5.1;1
197412;4.8;1
197501;5.2;1
197502;4.6;1
197503;3.1;1
197504;10;1
197505;13.1;1
197506;16.7;1
197507;21.6;1
197508;21;1
197509;16;1
197510;9.9;1
197511;4.8;1
197512;2.3;1
197601;2.3;1
197602;5.1;1
197603;7.3;1
197604;9.4;1
197605;17;1
197606;22.9;1
197607;22.3;1
197608;19.8;1
197609;13.5;1
197610;9.8;1
197611;3.8;1
197612;2.7;1
197701;2;1
197702;5.3;1
197703;8.3;1
197704;9;1
197705;12.2;1
197706;16.1;1
197707;19.3;1
197708;17.8;1
197709;14.9;1
197710;12.5;1
197711;5.4;1
197712;4.9;1
197801;1;1
197802;2.9;1
197803;5.9;1
197804;7.1;1
197805;12.5;1
197806;17.7;1
197807;21.3;1
197808;19.9;1
197809;16.5;1
197810;10.7;1
197811;6.9;1
197812;4.3;1
197901;0.7;1
197902;3;1
197903;6.3;1
197904;7.4;1
197905;15;1
197906;18.8;1
197907;21.6;1
197908;18.7;1
197909;16.6;1
197910;11.6;1
197911;6.1;1
197912;4.6;1
198001;1.9;1
198002;5.1;1
198003;5;1
198004;7;1
198005;12.1;1
198006;16.2;1
198007;18.8;1
