# DONNEES MENSUELLES HOMOGENEISEES de TX : Moyenne mensuelle de la température maximale sous abri (en °C et 1/10) 
# NUM_POSTE= 7144001
# NOM_USUEL= LOUBARESSE
# LATITUDE (°) = 44.6
# LONGITUDE(°)= 4.049
# ALTITUDE (m) = 1220
# NUM_SERIE= MTX107144001
# Amplitude minimale détectable de la série = 0.22
# Période homogénéisée : 195601 201812
# Date(s) de rupture(s) d'homogénéité : 196212 200612
#     Periode homogénéisée  195601 201812  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195601;4.4;1
195602;-5.1;1
195603;3.8;1
195604;6.5;1
195605;14.4;1
195606;14.5;1
195607;18.5;1
195608;18.1;1
195609;16.8;1
195610;9.8;1
195611;3.5;1
195612;3.1;1
195701;4.1;1
195702;4.8;1
195703;10.6;1
195704;9.3;1
195705;10.8;1
195706;15.8;1
195707;19.2;1
195708;18.8;1
195709;16.7;1
195710;13.4;1
195711;7;1
195712;3.1;1
195801;1.7;1
195802;5.4;1
195803;3.9;1
195804;6.4;1
195805;15.5;1
195806;16;1
195807;18.6;1
195808;19.2;1
195809;17.8;1
195810;11.7;1
195811;6.8;1
195812;3.9;1
195901;2.5;1
195902;7;1
195903;6.7;1
195904;8.7;1
195905;13.2;1
195906;17;1
195907;21.9;1
195908;19.3;1
195909;15.9;1
195910;10.1;1
195911;5.5;1
195912;3.3;1
196001;2.7;1
196002;5.1;1
196003;5.1;1
196004;9.2;1
196005;15.9;1
196006;18;1
196007;17.8;1
196008;17.2;1
196009;14.3;1
196010;8.4;1
196011;6.2;1
196012;0.9;1
196101;2.4;1
196102;7;1
196103;10.7;1
196104;12.6;1
196105;12.8;1
196106;18.4;1
196107;19.1;1
196108;20.7;1
196109;20;1
196110;12;1
196111;5.1;1
196112;6.1;1
196201;3.2;1
196202;2.5;1
196203;2;1
196204;9.1;1
196205;12.8;1
196206;17.6;1
196207;21.2;1
196208;24.5;1
196209;18;1
196210;12.1;1
196211;3.7;1
196212;2.8;1
196301;-1.5;1
196302;-0.7;1
196303;4.1;1
196304;9;1
196305;13;1
196306;16;1
196307;21;1
196308;17;1
196309;15;1
196310;13;1
196311;7.7;1
196312;2.2;1
196401;4.1;1
196402;3.5;1
196403;4.6;1
196404;8.5;1
196405;14.9;1
196406;18.1;1
196407;23;1
196408;18.8;1
196409;16.7;1
196410;9.1;1
196411;8.7;1
196412;2.4;1
196501;1.3;1
196502;-0.9;1
196503;4.9;1
196504;8.3;1
196505;14.1;1
196506;18;1
196507;18.7;1
196508;19.6;1
196509;13.2;1
196510;12.8;1
196511;5.1;1
196512;4.3;1
196601;1.9;1
196602;6.3;1
196603;6;1
196604;9.5;1
196605;14;1
196606;17.5;1
196607;18.2;1
196608;19;1
196609;20.2;1
196610;11.5;1
196611;2.6;1
196612;3.1;1
196701;1.5;1
196702;4.5;1
196703;7;1
196704;9.3;1
196705;12.5;1
196706;16;1
196707;22.8;1
196708;19.8;1
196709;15.1;1
196710;13.7;1
196711;7.8;1
196712;2.4;1
196801;2.5;1
196802;3.1;1
196803;6.6;1
196804;10.3;1
196805;12;1
196806;17.2;1
196807;19.8;1
196808;17.7;1
196809;15.4;1
196810;14.6;1
196811;7;1
196812;2.3;1
196901;2.6;1
196902;0.6;1
196903;4.2;1
196904;9;1
196905;13;1
196906;14.5;1
196907;20.3;1
196908;18.8;1
196909;15.5;1
196910;14.7;1
196911;5.9;1
196912;0.2;1
197001;3.3;1
197002;2.4;1
197003;2.1;1
197004;7.7;1
197005;13;1
197006;18.3;1
197007;21.3;1
197008;20.5;1
197009;19.3;1
197010;12.7;1
197011;9.6;1
197012;3;1
197101;2.1;1
197102;2.7;1
197103;0.9;1
197104;10.4;1
197105;12.8;1
197106;16.3;1
197107;21.5;1
197108;20.6;1
197109;17.2;1
197110;14;1
197111;3.9;1
197112;7;1
197201;0.8;1
197202;2.6;1
197203;6;1
197204;8;1
197205;12.1;1
197206;15.7;1
197207;19.6;1
197208;18;1
197209;13.5;1
197210;11.2;1
197211;7.9;1
197212;5.6;1
197301;3.3;1
197302;0.1;1
197303;4;1
197304;5.6;1
197305;13.4;1
197306;17.7;1
197307;20.3;1
197308;21.9;1
197309;18.3;1
197310;11.8;1
197311;7.7;1
197312;2.9;1
197401;5.5;1
197402;2;1
197403;4.6;1
197404;7.8;1
197405;12.9;1
197406;16.4;1
197407;20.6;1
197408;21.3;1
197409;14.4;1
197410;5.6;1
197411;5.4;1
197412;5.5;1
197501;5.4;1
197502;4.3;1
197503;2.2;1
197504;9;1
197505;12;1
197506;16.4;1
197507;20.8;1
197508;20.1;1
197509;15.8;1
197510;10.9;1
197511;5.3;1
197512;4.5;1
197601;3;1
197602;3.9;1
197603;7;1
197604;7.7;1
197605;15.1;1
197606;21;1
