# DONNEES MENSUELLES HOMOGENEISEES de TX : Moyenne mensuelle de la température maximale sous abri (en °C et 1/10) 
# NUM_POSTE= 7159001
# NOM_USUEL= MIRABEL SA
# LATITUDE (°) = 44.582
# LONGITUDE(°)= 4.497
# ALTITUDE (m) = 275
# NUM_SERIE= MTX107159001
# Amplitude minimale détectable de la série = 0.22
# Période homogénéisée : 195901 201912
# Date(s) de rupture(s) d'homogénéité : 196112 197611 199608
#     Periode homogénéisée  195901 201912  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195901;7.5;1
195902;13.2;1
195903;14.1;1
195904;15.7;1
195905;21.3;1
195906;24.9;1
195907;29.8;1
195908;26.5;1
195909;22.9;1
195910;17.5;1
195911;11.3;1
195912;9.6;1
196001;8.2;1
196002;11.1;1
196003;12.6;1
196004;16.3;1
196005;23.4;1
196006;25.9;1
196007;25.8;1
196008;24.7;1
196009;21.3;1
196010;16.1;1
196011;12.4;1
196012;6.6;1
196101;7.1;1
196102;12.7;1
196103;16.7;1
196104;19;1
196105;19.5;1
196106;24.7;1
196107;27.2;1
196108;28.6;1
196109;26.8;1
196110;17.9;1
196111;11;1
196112;9.9;1
196201;9.5;1
196202;8.8;1
196203;9.9;1
196204;16.9;1
196205;20.2;1
196206;25.1;1
196207;28.7;1
196208;30.2;1
196209;23.1;1
196210;17.5;1
196211;9.5;1
196212;5.6;1
196301;3.4;1
196302;5.5;1
196303;12.2;1
196304;16.7;1
196305;20.9;1
196306;23;1
196307;27.1;1
196308;23.1;1
196309;21.1;1
196310;18.7;1
196311;13.9;1
196312;6.5;1
196401;7.3;1
196402;10.4;1
196403;11.4;1
196404;16.6;1
196405;22.5;1
196406;25.2;1
196407;30.6;1
196408;26.4;1
196409;22.8;1
196410;15.3;1
196411;12.6;1
196412;7.8;1
196501;8.5;1
196502;6.7;1
196503;13.5;1
196504;16.3;1
196505;21.9;1
196506;25.9;1
196507;27.7;1
196508;26.9;1
196509;19.8;1
196510;18.9;1
196511;11.4;1
196512;8.8;1
196601;5.8;1
196602;11.3;1
196603;10.9;1
196604;16.3;1
196605;20.9;1
196606;23.8;1
196607;25.4;1
196608;25.3;1
196609;26.3;1
196610;17.4;1
196611;10;1
196612;9.8;1
196701;8.2;1
196702;11.1;1
196703;14.4;1
196704;17.4;1
196705;20;1
196706;23.1;1
196707;30.8;1
196708;26;1
196709;22.5;1
196710;19.7;1
196711;13.8;1
196712;7.4;1
196801;8.5;1
196802;9.7;1
196803;14.2;1
196804;17.7;1
196805;18.8;1
196806;24.2;1
196807;27.5;1
196808;24.3;1
196809;21;1
196810;20;1
196811;12;1
196812;7.1;1
196901;9.6;1
196902;8.1;1
196903;11.4;1
196904;16.7;1
196905;20.7;1
196906;22;1
196907;27.8;1
196908;26.4;1
196909;22.3;1
196910;19.5;1
196911;11.4;1
196912;4.7;1
197001;7.8;1
197002;9.5;1
197003;10.4;1
197004;15;1
197005;19.3;1
197006;26;1
197007;28.7;1
197008;28;1
197009;24.8;1
197010;16.8;1
197011;14.8;1
197012;7.3;1
197101;6.7;1
197102;10.7;1
197103;9;1
197104;18;1
197105;20;1
197106;22.2;1
197107;28.1;1
197108;27.8;1
197109;22.7;1
197110;19.3;1
197111;10.4;1
197112;10.1;1
197201;8;1
197202;10.6;1
197203;14.7;1
197204;15.6;1
197205;19.9;1
197206;22.3;1
197207;27.7;1
197208;25.8;1
197209;20.7;1
197210;17.3;1
197211;12.4;1
197212;9.3;1
197301;7.8;1
197302;8.4;1
197303;12.8;1
197304;14.5;1
197305;21.2;1
197306;25.1;1
197307;27.2;1
197308;29.7;1
197309;26.2;1
197310;16.6;1
197311;12.7;1
197312;8.6;1
197401;10.6;1
197402;9.5;1
197403;12.7;1
197404;15.3;1
197405;19.4;1
197406;23.2;1
197407;27.3;1
197408;28.8;1
197409;20.6;1
197410;12.9;1
197411;11.5;1
197412;11.6;1
197501;10.7;1
197502;10.9;1
197503;10.9;1
197504;16.8;1
197505;19.9;1
197506;23.7;1
197507;28.8;1
197508;27.5;1
197509;22.2;1
197510;16.8;1
197511;11.4;1
197512;7.3;1
197601;8.8;1
197602;10;1
197603;13.4;1
197604;15.3;1
197605;22.2;1
197606;28.1;1
197607;27.8;1
197608;25.9;1
197609;19.8;1
197610;15.9;1
197611;10.7;1
197612;7.1;1
197701;8.4;1
197702;12.2;1
197703;15;1
197704;16.6;1
197705;19.1;1
197706;22.7;1
197707;25.6;1
197708;24.2;1
197709;22.2;1
197710;18.8;1
197711;12.4;1
197712;9.8;1
197801;7.8;1
197802;8.1;1
197803;13.7;1
197804;14.1;1
197805;18.4;1
197806;23.2;1
197807;27;1
197808;26.7;1
197809;25.2;1
197810;19.1;1
197811;13.4;1
197812;9.7;1
197901;6.3;1
197902;9.8;1
197903;13.7;1
197904;14.6;1
197905;20.5;1
197906;25.4;1
197907;28.6;1
197908;26.5;1
197909;24.1;1
197910;17.8;1
197911;12.3;1
197912;9.6;1
198001;6.8;1
198002;10.7;1
198003;11.4;1
198004;14.4;1
198005;18.2;1
198006;22.9;1
198007;25.4;1
198008;28.1;1
198009;24.7;1
198010;17.2;1
198011;10.1;1
198012;7.4;1
198101;8.3;1
198102;8.5;1
198103;14.6;1
198104;18;1
198105;19.2;1
198106;24.7;1
198107;25.7;1
198108;28.5;1
198109;23.5;1
198110;17.7;1
198111;12.3;1
198112;8.6;1
198201;11.8;1
198202;10.6;1
198203;12.2;1
198204;17.5;1
198205;22.1;1
198206;26.4;1
198207;30.6;1
198208;27.1;1
198209;24.5;1
198210;16.8;1
198211;13.1;1
198212;9;1
198301;11.9;1
198302;6.6;1
198303;14.2;1
198304;15.3;1
198305;18.5;1
198306;25;1
198307;31.9;1
198308;28.3;1
198309;24.6;1
198310;19.1;1
198311;12.5;1
198312;10.1;1
198401;8;1
198402;8;1
198403;11.1;1
198404;16.8;1
198405;16.4;1
198406;24.1;1
198407;28.8;1
198408;26.7;1
198409;21.5;1
198410;17.8;1
198411;13.6;1
198412;8.5;1
198501;4.4;1
198502;11;1
198503;10.1;1
198504;18;1
198505;19.1;1
198506;23.3;1
198507;29.7;1
198508;27.9;1
198509;27.9;1
198510;20.4;1
198511;8.8;1
198512;10;1
198601;7.8;1
198602;4.4;1
198603;13.1;1
198604;12.3;1
198605;22.3;1
198606;25.6;1
198607;28.6;1
198608;27.8;1
198609;23.9;1
198610;19.4;1
198611;12.8;1
198612;8.9;1
198701;3.1;1
198702;9.7;1
198703;10.6;1
198704;17.4;1
198705;19.4;1
198706;24.1;1
198707;27.4;1
198708;28.6;1
198709;25.9;1
198710;17;1
198711;11.6;1
198712;11.1;1
198801;9.9;1
198802;9.6;1
198803;12.7;1
198804;16.2;1
198805;20.4;1
198806;23.9;1
198807;28.1;1
198808;28;1
198809;23.6;1
198810;18.6;1
198811;11.4;1
198812;11.2;1
198901;10.1;1
198902;13.2;1
198903;16.5;1
198904;14;1
198905;23.3;1
198906;25.9;1
198907;29.6;1
198908;29.6;1
198909;23.6;1
198910;19.1;1
198911;11.8;1
198912;10.1;1
199001;10.7;1
199002;13.5;1
199003;16.3;1
199004;15.1;1
199005;23.3;1
199006;24.3;1
199007;30;1
199008;29.9;1
199009;24.4;1
199010;18.7;1
199011;11.5;1
199012;6.5;1
199101;9;1
199102;9.1;1
199103;14.8;1
199104;15.9;1
199105;19.2;1
199106;24.4;1
199107;31;1
199108;30.6;1
199109;25.5;1
199110;16;1
199111;11.5;1
199112;8.4;1
199201;8;1
199202;11.1;1
199203;14.3;1
199204;17.2;1
199205;22.3;1
199206;21.8;1
199207;27.2;1
199208;29.7;1
199209;22.8;1
199210;14.5;1
199211;14;1
199212;9.6;1
199301;11.1;1
199302;10.6;1
199303;13.5;1
199304;17;1
199305;21.4;1
199306;25.9;1
199307;26.4;1
199308;29.6;1
199309;21.4;1
199310;16.3;1
199311;10;1
199312;9.7;1
199401;10;1
199402;10;1
199403;17.6;1
199404;14.2;1
199405;21.2;1
199406;25.8;1
199407;31.9;1
199408;30.4;1
199409;21.6;1
199410;18.3;1
199411;15.1;1
199412;9.2;1
199501;7.9;1
199502;12.8;1
199503;13;1
199504;17.2;1
199505;20.9;1
199506;24.5;1
199507;30.7;1
199508;27.8;1
199509;20.2;1
199510;20.4;1
199511;12.1;1
199512;8.5;1
199601;10;1
199602;7.6;1
199603;12.6;1
199604;16.7;1
199605;19.9;1
199606;26.5;1
199607;26.6;1
199608;25.5;1
199609;20.8;1
199610;18.1;1
199611;11.7;1
199612;9.3;1
199701;8.2;1
199702;12.9;1
199703;18.7;1
199704;19;1
199705;22.6;1
199706;23.7;1
199707;26.9;1
199708;29.7;1
199709;26.2;1
199710;18.9;1
199711;13.6;1
199712;9.6;1
199801;8.8;1
199802;14;1
199803;14.4;1
199804;15.3;1
199805;22.4;1
199806;25.5;1
199807;29.2;1
199808;29.4;1
199809;22.8;1
199810;17.1;1
199811;10.1;1
199812;9.6;1
199901;9.6;1
199902;9.4;1
199903;14.8;1
199904;16.7;1
199905;23.5;1
199906;24.7;1
199907;29.8;1
199908;28.2;1
199909;25;1
199910;18.5;1
199911;10.4;1
199912;8.8;1
200001;9;1
200002;12.5;1
200003;14.9;1
200004;16.7;1
200005;23.4;1
200006;26.1;1
200007;26.2;1
200008;29.8;1
200009;25.3;1
200010;17.8;1
200011;12.1;1
200012;10.8;1
200101;9.5;1
200102;11.6;1
200103;15.5;1
200104;16;1
200105;22.5;1
200106;25.6;1
200107;28.6;1
200108;30;1
200109;21.2;1
200110;21.4;1
200111;11.5;1
200112;7.5;1
200201;11;1
200202;12.5;1
200203;15.5;1
200204;18.1;1
200205;20.1;1
200206;27.5;1
200207;27.6;1
200208;27.1;1
200209;21.2;1
200210;18.4;1
200211;14.2;1
200212;10.1;1
200301;7.3;1
200302;8.9;1
200303;16.6;1
200304;17.7;1
200305;23.6;1
200306;32.4;1
200307;31.3;1
200308;34.8;1
200309;23.9;1
200310;16.6;1
200311;13.8;1
200312;9.9;1
200401;8;1
200402;9.8;1
200403;12.9;1
200404;16.2;1
200405;21.4;1
200406;27.7;1
200407;29.9;1
200408;28.4;1
200409;25;1
200410;18.7;1
200411;12;1
200412;8.8;1
200501;9.3;1
200502;8;1
200503;14.2;1
200504;16.8;1
200505;22.8;1
200506;28.9;1
200507;29.9;1
200508;27.3;1
200509;23.9;1
200510;19.4;1
200511;12;1
200512;6.5;1
200601;7;1
200602;8.6;1
200603;12.6;1
200604;18.5;1
200605;22;1
200606;28.1;1
200607;33.2;1
200608;25.7;1
200609;25.9;1
200610;20.6;1
200611;14.9;1
200612;10.3;1
200701;10.9;1
200702;12.5;1
200703;14.3;1
200704;22.3;1
200705;22.4;1
200706;25.8;1
200707;27.7;1
200708;26.7;1
200709;23.5;1
200710;18.3;1
200711;12.3;1
200712;9.6;1
200801;11.5;1
200802;12.8;1
200803;13;1
200804;16;1
200805;21.7;1
200806;24.9;1
200807;27.9;1
200808;26.9;1
200809;21.8;1
200810;17.4;1
200811;11.7;1
200812;8;1
200901;7.2;1
200902;9.7;1
200903;14.7;1
