# DONNEES MENSUELLES HOMOGENEISEES de TX : Moyenne mensuelle de la température maximale sous abri (en °C et 1/10) 
# NUM_POSTE= 7338001
# NOM_USUEL= VERNOUX
# LATITUDE (°) = 44.9
# LONGITUDE(°)= 4.652
# ALTITUDE (m) = 561
# NUM_SERIE= MTX107338001
# Amplitude minimale détectable de la série = 0.17
# Période homogénéisée : 195901 201912
# Date(s) de rupture(s) d'homogénéité : 196512 197612 198212 200312 201512
#     Periode homogénéisée  195901 201912  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195901;4.9;1
195902;9.5;1
195903;11.8;1
195904;13.4;1
195905;17.7;1
195906;21.7;1
195907;26.2;1
195908;23.3;1
195909;20;1
195910;14.1;1
195911;8.1;1
195912;6.4;1
196001;4.3;1
196002;8.5;1
196003;9.7;1
196004;12.8;1
196005;19.3;1
196006;21.9;1
196007;21.2;1
196008;20.8;1
196009;17.4;1
196010;12.5;1
196011;9.5;1
196012;3.1;1
196101;4.6;1
196102;10.8;1
196103;12.4;1
196104;14.9;1
196105;16.1;1
196106;21.6;1
196107;23.3;1
196108;23.2;1
196109;23.3;1
196110;15.1;1
196111;8.6;1
196112;6;1
196201;6.6;1
196202;4.2;1
196203;7.1;1
196204;12.6;1
196205;16.7;1
196206;20.8;1
196207;23.6;1
196208;25.8;1
196209;18.9;1
196210;15.4;1
196211;5.9;1
196212;3.9;1
196301;0.1;1
196302;1.8;1
196303;9.2;1
196304;13.1;1
196305;17;1
196306;19.8;1
196307;24;1
196308;20.1;1
196309;17.5;1
196310;14.1;1
196311;11;1
196312;4;1
196401;4;1
196402;6.6;1
196403;8.3;1
196404;13.8;1
196405;19;1
196406;21.8;1
196407;26.5;1
196408;22;1
196409;19.3;1
196410;10.9;1
196411;8.1;1
196412;4.3;1
196501;4.7;1
196502;2;1
196503;9.7;1
196504;12.2;1
196505;18.1;1
196506;22.4;1
196507;22.4;1
196508;22.3;1
196509;16.3;1
196510;15.7;1
196511;8.4;1
196512;6.8;1
196601;5;1
196602;9.3;1
196603;8.5;1
196604;14.3;1
196605;17.7;1
196606;21.5;1
196607;20.9;1
196608;21.4;1
196609;22.6;1
196610;15.3;1
196611;5.7;1
196612;5.6;1
196701;4.3;1
196702;7.6;1
196703;10;1
196704;12.8;1
196705;16.5;1
196706;19.3;1
196707;26.1;1
196708;22.9;1
196709;17.7;1
196710;16.8;1
196711;9.7;1
196712;2.3;1
196801;4.8;1
196802;6.2;1
196803;10.1;1
196804;13.8;1
196805;14.5;1
196806;20.2;1
196807;22.5;1
196808;19.7;1
196809;17.1;1
196810;16.4;1
196811;8.5;1
196812;4.2;1
196901;6.2;1
196902;3.8;1
196903;8.2;1
196904;12.6;1
196905;17.2;1
196906;18.3;1
196907;23.3;1
196908;21.7;1
196909;18.7;1
196910;15.9;1
196911;9;1
196912;1;1
197001;6;1
197002;5.8;1
197003;5.9;1
197004;11;1
197005;16.3;1
197006;22.2;1
197007;24.1;1
197008;23.6;1
197009;20.9;1
197010;13.6;1
197011;11.3;1
197012;3.4;1
197101;5;1
197102;5.8;1
197103;4.6;1
197104;15.2;1
197105;16.9;1
197106;19;1
197107;24.3;1
197108;24.5;1
197109;18.8;1
197110;15.9;1
197111;5.3;1
197112;7.1;1
197201;4.3;1
197202;7.4;1
197203;11.3;1
197204;11.1;1
197205;16.2;1
197206;18.9;1
197207;23.6;1
197208;22.1;1
197209;15.8;1
197210;15;1
197211;10.4;1
197212;7.7;1
197301;4.1;1
197302;3.7;1
197303;9;1
197304;9.9;1
197305;17.8;1
197306;20.6;1
197307;22.7;1
197308;24.8;1
197309;21.5;1
197310;13.6;1
197311;9.5;1
197312;6;1
197401;8.2;1
197402;6.1;1
197403;9.9;1
197404;12.2;1
197405;16.2;1
197406;19.8;1
197407;23.8;1
197408;24.5;1
197409;17.2;1
197410;8.6;1
197411;8.8;1
197412;8.5;1
197501;8;1
197502;8.1;1
197503;7.3;1
197504;12.9;1
197505;15.7;1
197506;19.5;1
197507;24.3;1
197508;23.5;1
197509;18.4;1
197510;13.4;1
197511;7.9;1
197512;3.5;1
197601;5.5;1
197602;7.7;1
197603;10.4;1
197604;11.6;1
197605;19.2;1
197606;25.7;1
197607;24.7;1
197608;22.4;1
197609;16.2;1
197610;12.7;1
197611;7.4;1
197612;5.4;1
197701;4.9;1
197702;8.6;1
197703;11.6;1
197704;12.2;1
197705;15.3;1
197706;18.9;1
197707;22.5;1
197708;20.2;1
197709;18;1
197710;15.1;1
197711;8.3;1
197712;6.6;1
197801;4.2;1
197802;5.2;1
197803;9.4;1
