# DONNEES MENSUELLES HOMOGENEISEES de TX : Moyenne mensuelle de la température maximale sous abri (en °C et 1/10) 
# NUM_POSTE= 9023002
# NOM_USUEL= ASCOU LAVAIL
# LATITUDE (°) = 42.724
# LONGITUDE(°)= 1.895
# ALTITUDE (m) = 1100
# NUM_SERIE= MTX109023002
# Amplitude minimale détectable de la série = 0.24
# Période homogénéisée : 195901 201812
# Date(s) de rupture(s) d'homogénéité : 198112 199012 201212
#     Periode homogénéisée  195901 201812  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195901;7.6;1
195902;9.7;1
195903;12.7;1
195904;13.8;1
195905;16.8;1
195906;20.2;1
195907;24.2;1
195908;21.5;1
195909;19.7;1
195910;14.8;1
195911;9.4;1
195912;5.5;1
196001;6.2;1
196002;10.2;1
196003;12.7;1
196004;12.3;1
196005;19.7;1
196006;21;1
196007;19.6;1
196008;22.4;1
196009;19.1;1
196010;14.1;1
196011;10.5;1
196012;2.1;1
196101;3.8;1
196102;11.2;1
196103;16.3;1
196104;16;1
196105;18;1
196106;19.8;1
196107;22.4;1
196108;22.5;1
196109;24;1
196110;14.9;1
196111;10.1;1
196112;10.1;1
196201;6.7;1
196202;5.5;1
196203;9;1
196204;12.2;1
196205;16.1;1
196206;20.3;1
196207;22.6;1
196208;25.1;1
196209;22;1
196210;16.7;1
196211;7.1;1
196212;4.5;1
196301;4.3;1
196302;3.9;1
196303;11.5;1
196304;12.6;1
196305;15.7;1
196306;19.7;1
196307;22.1;1
196308;19.9;1
196309;18.5;1
196310;17.3;1
196311;12.8;1
196312;5.3;1
196401;6.3;1
196402;8.6;1
196403;9.7;1
196404;13.3;1
196405;20.4;1
196406;20.4;1
196407;24;1
196408;22.2;1
196409;24.2;1
196410;12.5;1
196411;11.3;1
196412;3.7;1
196501;4.1;1
196502;2.6;1
196503;11.5;1
196504;10.8;1
196505;18.1;1
196506;22;1
196507;21.9;1
196508;22.4;1
196509;17;1
196510;17.2;1
196511;9.3;1
196512;5.7;1
196601;7.9;1
196602;12.2;1
196603;9.1;1
196604;14.9;1
196605;16.7;1
196606;20.6;1
196607;20;1
196608;21.7;1
196609;24.1;1
196610;14.8;1
196611;5.2;1
196612;4;1
196701;5.5;1
196702;9.7;1
196703;12.6;1
196704;11.7;1
196705;16.8;1
196706;18.7;1
196707;25.5;1
196708;23.6;1
196709;19.4;1
196710;18.8;1
196711;11;1
196712;3.6;1
196801;4.2;1
196802;7.2;1
196803;10.2;1
196804;15.8;1
196805;15.7;1
196806;19.6;1
196807;23.1;1
196808;21.1;1
196809;19.5;1
196810;20.8;1
196811;11.2;1
196812;5;1
196901;8.3;1
196902;4.9;1
196903;9.8;1
196904;12.4;1
196905;18.6;1
196906;18.1;1
196907;22.8;1
196908;21.1;1
196909;18.6;1
196910;17.1;1
196911;9.9;1
196912;1.7;1
197001;7.1;1
197002;5.7;1
197003;6;1
197004;10.8;1
197005;16.4;1
197006;20.8;1
197007;22.4;1
197008;22.7;1
197009;24.2;1
197010;15;1
197011;13.9;1
197012;3.8;1
197101;6.3;1
197102;6.7;1
197103;4.8;1
197104;15.2;1
197105;16.3;1
197106;19;1
197107;23.9;1
197108;24.6;1
197109;19.5;1
197110;17.2;1
197111;5.4;1
197112;6.8;1
197201;3.6;1
197202;7.5;1
197203;12;1
197204;9.6;1
197205;13.6;1
197206;16.8;1
197207;21.5;1
197208;20.1;1
197209;16;1
197210;16.2;1
197211;11.6;1
197212;8.4;1
197301;5.5;1
197302;4;1
197303;8.4;1
197304;11;1
197305;19.7;1
197306;19.5;1
197307;21.4;1
197308;24;1
197309;21.9;1
197310;14.7;1
197311;12.5;1
197312;4;1
197401;9.2;1
197402;4.8;1
197403;9.4;1
197404;10.3;1
197405;16.8;1
197406;20.3;1
197407;22.7;1
197408;23.2;1
197409;17.3;1
197410;6.9;1
197411;8.5;1
197412;8.7;1
197501;9.1;1
197502;10.5;1
197503;6.6;1
197504;12.3;1
197505;15.5;1
197506;18.7;1
197507;24;1
197508;22.1;1
197509;19;1
197510;15.7;1
197511;7.3;1
197512;5.4;1
197601;6.6;1
197602;8.1;1
197603;11.5;1
197604;11.2;1
197605;17.4;1
197606;21.7;1
197607;22.3;1
197608;21.5;1
197609;18.6;1
197610;13.4;1
197611;7.9;1
197612;6.6;1
197701;5.2;1
197702;10.5;1
197703;14.6;1
197704;12.2;1
197705;14.3;1
197706;18.5;1
197707;19.9;1
197708;20.5;1
197709;20.6;1
197710;17.9;1
197711;8.9;1
197712;10.2;1
197801;4.3;1
197802;6.2;1
197803;11.2;1
197804;10.4;1
197805;14.4;1
197806;18.8;1
197807;21.8;1
197808;22.9;1
197809;21.7;1
197810;14.4;1
197811;11.2;1
197812;8.2;1
197901;5.6;1
197902;7.5;1
197903;11.1;1
197904;10;1
197905;17.5;1
197906;19.5;1
197907;23.7;1
197908;21.4;1
197909;18.9;1
197910;15.7;1
197911;7.8;1
197912;6.8;1
198001;3.9;1
198002;10.2;1
198003;9.1;1
198004;10;1
198005;13.2;1
198006;18;1
198007;21.8;1
198008;25;1
198009;23.1;1
198010;15.4;1
198011;10.7;1
198012;2.6;1
198101;4.1;1
198102;6.7;1
198103;14.2;1
198104;14.2;1
198105;16.2;1
198106;21.4;1
198107;21.7;1
198108;23.8;1
198109;21.1;1
198110;15.4;1
198111;14.6;1
198112;7.2;1
198201;8.2;1
198202;8.9;1
198203;9.2;1
198204;13.9;1
198205;17.8;1
198206;21.5;1
198207;25.3;1
198208;20.8;1
198209;21.7;1
198210;14.7;1
198211;11.2;1
198212;6;1
198301;8.4;1
198302;6;1
198303;10.9;1
198304;14.5;1
198305;15.9;1
198306;20.5;1
198307;27.2;1
198308;21.8;1
198309;22.8;1
198310;17.7;1
198311;13.2;1
198312;8.6;1
198401;5;1
198402;4;1
198403;8.5;1
198404;15.6;1
198405;12.3;1
198406;20.5;1
198407;26.1;1
198408;21;1
198409;17.6;1
198410;16.3;1
198411;12;1
198412;6.3;1
198501;1.4;1
198502;11.7;1
198503;6.6;1
198504;14.5;1
198505;14.6;1
198506;20;1
198507;25.4;1
198508;22.8;1
198509;24.2;1
198510;18.6;1
198511;6.7;1
198512;9.4;1
198601;3.4;1
198602;4.8;1
198603;10.8;1
198604;8.6;1
198605;20.5;1
198606;21.7;1
198607;23.7;1
198608;23.5;1
198609;21.9;1
198610;16;1
198611;11.1;1
198612;5.1;1
198701;3.4;1
198702;5.8;1
198703;9.8;1
198704;15.9;1
198705;14.3;1
198706;19.9;1
198707;22.3;1
198708;24.8;1
198709;25.1;1
198710;16.8;1
198711;9;1
198712;10.5;1
198801;7.5;1
198802;7.6;1
198803;9;1
198804;14.3;1
198805;17.3;1
198806;18.2;1
198807;23.9;1
198808;24.3;1
198809;19.9;1
198810;19.2;1
198811;12.3;1
198812;5.2;1
198901;8.1;1
198902;10.5;1
198903;14.2;1
198904;11.3;1
198905;20.2;1
198906;19.6;1
198907;25.9;1
198908;25.5;1
198909;19.7;1
198910;17.2;1
198911;12.7;1
198912;11.9;1
199001;8.1;1
199002;14.7;1
199003;13.3;1
199004;11.1;1
199005;19.4;1
199006;18.9;1
199007;25.9;1
199008;24.5;1
199009;21.6;1
199010;17.1;1
199011;9.2;1
199012;3.6;1
199101;5.3;1
199102;7.5;1
199103;12.1;1
199104;11.8;1
199105;12.2;1
199106;17.9;1
199107;24.2;1
199108;26.5;1
199109;21.8;1
199110;13.4;1
199111;9.4;1
199112;8;1
199201;5.4;1
199202;9.2;1
199203;9.6;1
199204;12.7;1
199205;18.9;1
199206;14.7;1
199207;22.6;1
199208;25.6;1
199209;20.1;1
199210;11;1
199211;12.5;1
199212;7.2;1
199301;10.8;1
199302;6.9;1
199303;11.7;1
199304;12.4;1
199305;17.4;1
199306;21.3;1
199307;22;1
199308;24.6;1
199309;19.1;1
199310;13;1
199311;10.1;1
199312;6.9;1
199401;5.1;1
199402;7.7;1
199403;15.3;1
199404;8.8;1
199405;19.4;1
199406;21.1;1
199407;27;1
199408;27;1
199409;18;1
199410;16.5;1
199411;14.6;1
199412;8.2;1
199501;4.9;1
199502;10.5;1
199503;10.9;1
199504;15.2;1
199505;18;1
199506;18.8;1
199507;25.1;1
199508;23;1
199509;16.5;1
199510;19.9;1
199511;13;1
199512;8.5;1
199601;9.5;1
199602;4.5;1
199603;10.7;1
199604;13.7;1
199605;17.8;1
199606;20.9;1
199607;23.2;1
199608;21.7;1
199609;18.3;1
199610;15;1
199611;8.6;1
199612;7.6;1
199701;6.7;1
199702;13.3;1
199703;16.8;1
199704;17;1
199705;19.8;1
199706;19.5;1
199707;22;1
199708;25.8;1
199709;23.3;1
199710;18.9;1
199711;12.4;1
199712;6.7;1
199801;8.1;1
199802;13.9;1
199803;13.3;1
199804;13.2;1
199805;18;1
199806;21.1;1
199807;24;1
199808;24.1;1
199809;19.8;1
199810;15.2;1
199811;8.2;1
199812;5.7;1
199901;6.8;1
199902;5.4;1
199903;12;1
199904;13.9;1
199905;19.9;1
199906;20.9;1
199907;24.5;1
199908;25;1
199909;22.5;1
199910;18.1;1
199911;7.5;1
199912;4.9;1
200001;5.6;1
200002;11.2;1
200003;12.6;1
200004;14.8;1
200005;19.6;1
200006;22;1
200007;22.4;1
200008;24.5;1
200009;21.9;1
200010;14.3;1
200011;10.8;1
200012;10.5;1
200101;6.6;1
200102;7.9;1
200103;15.7;1
200104;12.3;1
200105;18;1
200106;23;1
200107;23.3;1
200108;25;1
200109;18.6;1
200110;21.7;1
200111;6.5;1
200112;4;1
200201;8.7;1
200202;8.8;1
200203;13.1;1
200204;13.8;1
200205;16.4;1
200206;22.9;1
200207;21.5;1
200208;20.8;1
200209;19.2;1
200210;17.2;1
200211;10.9;1
200212;7.5;1
200301;4;1
200302;5;1
200303;15.5;1
200304;16.2;1
200305;18.5;1
200306;26.5;1
200307;25;1
200308;28.5;1
200309;20.8;1
200310;14.6;1
200311;13.2;1
200312;5;1
200401;4.9;1
200402;8.4;1
200403;10.1;1
200404;11.3;1
200405;16.4;1
200406;22.3;1
200407;23.6;1
200408;25.7;1
200409;22.8;1
200410;18.9;1
200411;7.9;1
200412;5;1
200501;4.7;1
200502;1.8;1
200503;10.4;1
200504;14.1;1
200505;19.9;1
200506;24.2;1
200507;23.9;1
200508;22.3;1
200509;19.9;1
200510;17.5;1
200511;9.8;1
200512;4;1
200601;4.4;1
200602;6.8;1
200603;12.5;1
200604;15.7;1
200605;20.3;1
200606;24.5;1
200607;27.8;1
200608;21.9;1
200609;23.1;1
200610;20.1;1
200611;14.6;1
200612;8.1;1
200701;9;1
200702;9.4;1
200703;9.2;1
200704;16;1
200705;17.4;1
200706;20.8;1
200707;23.7;1
200708;22.4;1
200709;19.9;1
200710;15.5;1
200711;9.4;1
200712;6.7;1
200801;9.5;1
200802;13.7;1
200803;9.4;1
200804;14.4;1
200805;18;1
200806;20.9;1
200807;23.8;1
200808;24;1
200809;20.2;1
200810;16.3;1
200811;7.8;1
200812;5.2;1
200901;5.6;1
200902;7.5;1
200903;12.1;1
200904;11.9;1
200905;21;1
200906;23.4;1
200907;24.8;1
200908;26.7;1
200909;20.9;1
200910;18;1
200911;12.7;1
200912;6.9;1
201001;3.3;1
201002;5.8;1
201003;11.2;1
201004;15.9;1
201005;14.3;1
201006;20.6;1
201007;24.9;1
201008;23.6;1
201009;20.8;1
201010;15.7;1
201011;8.9;1
201012;6.4;1
201101;6.7;1
201102;9.4;1
201103;12.1;1
201104;18.8;1
201105;20.6;1
201106;19.6;1
201107;19.9;1
201108;25.3;1
201109;23.1;1
201110;17.9;1
201111;14;1
201112;7.4;1
201201;6.9;1
201202;2.8;1
201203;14;1
201204;12.7;1
201205;19.7;1
201206;23.4;1
201207;22.8;1
201208;27;1
201209;19.2;1
201210;16.4;1
201211;11.3;1
201212;6.5;1
201301;5.9;1
201302;3.5;1
201303;10.6;1
201304;13.1;1
201305;13;1
201306;19.6;1
201307;27;1
201308;24.6;1
201309;21.7;1
201310;18.8;1
201311;6.9;1
201312;7.2;1
201401;7.8;1
201402;8.4;1
201403;12.6;1
201404;16.4;1
201405;16.3;1
201406;22.6;1
201407;21.8;1
201408;21.9;1
201409;22;1
201410;20.8;1
201411;14.6;1
201412;5.1;1
201501;6;1
201502;4.4;1
201503;11.8;1
201504;16.9;1
201505;18.5;1
201506;23.3;1
201507;27.2;1
201508;24.8;1
201509;18.7;1
201510;16.6;1
201511;13.8;1
201512;13.6;1
201601;8.2;1
201602;9.3;1
201603;10.5;1
201604;13.9;1
201605;18;1
201606;19.9;1
201607;24.9;1
201608;24.6;1
201609;22.3;1
201610;17.3;1
201611;11.6;1
201612;10.5;1
201701;4.4;1
201702;10.6;1
201703;15.3;1
201704;16.2;1
201705;21;1
201706;22.5;1
201707;24.3;1
201708;25.5;1
201709;18.4;1
201710;19.9;1
201711;10.3;1
201712;5.2;1
201801;7.9;1
201802;3.5;1
201803;10.5;1
201804;17.4;1
201805;15.5;1
201806;21.7;1
201807;23.7;1
201808;25;1
201809;23.3;1
201810;16.2;1
201811;12;1
201812;11.3;1
201901;4.5;0
201902;12;0
201903;13.9;0
201904;13.8;0
201905;15.6;0
201906;24.4;0
201907;26;0
201908;25.5;0
201909;21.3;0
201910;18.8;0
201911;8.6;0
201912;10.6;0
202001;9.8;0
202002;14.8;0
202003;12;0
202004;16.7;0
202005;21.2;0
202006;20.6;0
202007;25.6;0
202008;26.2;0
202009;21.3;0
202010;15.2;0
202011;14.7;0
202012;6.5;0
202101;5.6;0
202102;13.1;0
202103;12.3;0
202104;14.7;0
202105;17.5;0
202106;23.4;0
202107;24.2;0
202108;25;0
202109;21.9;0
202110;18.2;0
202111;7.6;0
202112;7.3;0
202201;7.2;0
202202;12;0
202203;12.7;0
202204;14.4;0
202205;21.3;0
202206;25.6;0
202207;28.8;0
202208;28.4;0
202209;22.6;0
202210;22.4;0
202211;12.8;0
202212;12;0
