# DONNEES MENSUELLES HOMOGENEISEES de TX : Moyenne mensuelle de la température maximale sous abri (en °C et 1/10) 
# NUM_POSTE= 10057001
# NOM_USUEL= BOUY-SUR-ORVIN
# LATITUDE (°) = 48.44
# LONGITUDE(°)= 3.505
# ALTITUDE (m) = 102
# NUM_SERIE= MTX110057001
# Amplitude minimale détectable de la série = 0.15
# Période homogénéisée : 195301 201512
# Date(s) de rupture(s) d'homogénéité : 196209 197009 198912 199312
#     Periode homogénéisée  195301 201512  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195301;1.8;1
195302;5.8;1
195303;14.9;1
195304;16.3;1
195305;21.4;1
195306;21;1
195307;22.9;1
195308;24.6;1
195309;22;1
195310;16.2;1
195311;8.7;1
195312;9.4;1
195401;2.7;1
195402;4.3;1
195403;12.3;1
195404;14.3;1
195405;19.6;1
195406;22.7;1
195407;22.9;1
195408;22;1
195409;19.3;1
195410;17;1
195411;10.7;1
195412;8;1
195501;6.9;1
195502;6.2;1
195503;8.9;1
195504;16.9;1
195505;18.7;1
195506;22;1
195507;24.8;1
195508;25;1
195509;21.9;1
195510;14;1
195511;9.8;1
195512;8.3;1
195601;6;1
195602;-1.9;1
195603;11.8;1
195604;13.1;1
195605;20.6;1
195606;18.9;1
195607;23.5;1
195608;22;1
195609;21.4;1
195610;14;1
195611;7.1;1
195612;7.6;1
195701;5.5;1
195702;10.4;1
195703;14.9;1
195704;16;1
195705;17.7;1
195706;23.7;1
195707;24.5;1
195708;22.7;1
195709;19.1;1
195710;15.5;1
195711;8.5;1
195712;5.6;1
195801;6.1;1
195802;8.5;1
195803;8.4;1
195804;12.6;1
195805;19.1;1
195806;20.9;1
195807;23.9;1
195808;23.6;1
195809;21.8;1
195810;14.5;1
195811;7.5;1
195812;7;1
195901;5.4;1
195902;8;1
195903;13;1
195904;15.5;1
195905;21.1;1
195906;25.1;1
195907;28.4;1
195908;25.9;1
195909;25.4;1
195910;18.2;1
195911;9;1
195912;8.1;1
196001;5.8;1
196002;7.8;1
196003;13.1;1
196004;15.6;1
196005;21.8;1
196006;24.4;1
196007;22.4;1
196008;22.6;1
196009;19.5;1
196010;14.8;1
196011;10.8;1
196012;4.8;1
196101;5.5;1
196102;11.6;1
196103;14.6;1
196104;18;1
196105;19;1
196106;23.7;1
196107;23.7;1
196108;26.1;1
196109;24.7;1
196110;16.4;1
196111;8.2;1
196112;6.1;1
196201;6.9;1
196202;6.4;1
196203;7.3;1
196204;14.4;1
196205;15.6;1
196206;22.1;1
196207;22;1
196208;25.1;1
196209;21.1;1
196210;17;1
196211;7.1;1
196212;3.1;1
196301;0.3;1
196302;1.7;1
196303;10.9;1
196304;15.5;1
196305;17.6;1
196306;21.6;1
196307;24.9;1
196308;21.2;1
196309;20.2;1
196310;14.6;1
196311;13.4;1
196312;2;1
196401;2.4;1
196402;8.6;1
196403;8.6;1
196404;15;1
196405;21;1
196406;23.9;1
196407;27.8;1
196408;25.5;1
196409;22.7;1
196410;12.9;1
196411;9.1;1
196412;4.6;1
196501;5.8;1
196502;3.8;1
196503;11.3;1
196504;13.4;1
196505;17.9;1
196506;22.2;1
196507;21.3;1
196508;22.7;1
196509;18.4;1
196510;17;1
196511;8.4;1
196512;8.1;1
196601;3.3;1
196602;11;1
196603;10;1
196604;16.4;1
196605;19.1;1
196606;24.2;1
196607;22.3;1
196608;22.8;1
196609;21.4;1
196610;16.9;1
196611;7.5;1
196612;8;1
196701;5.4;1
196702;9.2;1
196703;12.2;1
196704;14.5;1
196705;19.1;1
196706;22;1
196707;28;1
196708;24.2;1
196709;20.3;1
196710;17.2;1
196711;8.7;1
196712;4.6;1
196801;5.7;1
196802;6.9;1
196803;11.4;1
196804;15.7;1
196805;15.8;1
196806;21.8;1
196807;23.5;1
196808;22.6;1
196809;20;1
196810;17.1;1
196811;8.5;1
196812;3.7;1
196901;7.7;1
196902;4.8;1
196903;10.3;1
196904;14.4;1
