# DONNEES MENSUELLES HOMOGENEISEES de TX : Moyenne mensuelle de la température maximale sous abri (en °C et 1/10) 
# NUM_POSTE= 11012001
# NOM_USUEL= ARGELIERS
# LATITUDE (°) = 43.308
# LONGITUDE(°)= 2.912
# ALTITUDE (m) = 31
# NUM_SERIE= MTX111012001
# Amplitude minimale détectable de la série = 0.22
# Période homogénéisée : 195101 201912
# Date(s) de rupture(s) d'homogénéité : 195512 196812 198012 199612 200612
#     Periode homogénéisée  195101 201912  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195101;12.7;1
195102;13.3;1
195103;15.1;1
195104;19.2;1
195105;20.1;1
195106;27.9;1
195107;31.5;1
195108;28.5;1
195109;27.2;1
195110;19.5;1
195111;17.1;1
195112;13.1;1
195201;10.3;1
195202;11.6;1
195203;18.2;1
195204;20.6;1
195205;26.6;1
195206;31.3;1
195207;33.2;1
195208;30.4;1
195209;25;1
195210;20.7;1
195211;13.2;1
195212;11.6;1
195301;9.2;1
195302;11.6;1
195303;17;1
195304;18.8;1
195305;25.5;1
195306;24.8;1
195307;30.7;1
195308;32;1
195309;26.9;1
195310;21;1
195311;17;1
195312;14.1;1
195401;9.5;1
195402;10;1
195403;15.9;1
195404;17.4;1
195405;21.6;1
195406;28;1
195407;28.3;1
195408;27.6;1
195409;26.2;1
195410;22.3;1
195411;17.7;1
195412;13.8;1
195501;14;1
195502;12.8;1
195503;16.2;1
195504;23.4;1
195505;24.5;1
195506;27.1;1
195507;31.7;1
195508;31.2;1
195509;26.5;1
195510;20.8;1
195511;14.3;1
195512;13.9;1
195601;12.9;1
195602;5.1;1
195603;14.9;1
195604;17.3;1
195605;24.1;1
195606;25.6;1
195607;29.8;1
195608;28.6;1
195609;27.5;1
195610;19.9;1
195611;13.3;1
195612;12.7;1
195701;11.8;1
195702;15.8;1
195703;19.6;1
195704;18.4;1
195705;20.9;1
195706;24.8;1
195707;29.5;1
195708;29.1;1
195709;26.8;1
195710;21.6;1
195711;14.5;1
195712;11.7;1
195801;11.7;1
195802;15.5;1
195803;15.4;1
195804;17.4;1
195805;23.5;1
195806;26;1
195807;29.2;1
195808;30.3;1
195809;29.2;1
195810;22.3;1
195811;15.3;1
195812;12.9;1
195901;12;1
195902;14.4;1
195903;16.6;1
195904;18.4;1
195905;22.1;1
195906;28.1;1
195907;32.4;1
195908;29.7;1
195909;25.2;1
195910;19;1
195911;15.2;1
195912;12.9;1
196001;11.2;1
196002;14.4;1
196003;15.8;1
196004;19;1
196005;26.2;1
