# DONNEES MENSUELLES HOMOGENEISEES de TX : Moyenne mensuelle de la température maximale sous abri (en °C et 1/10) 
# NUM_POSTE= 12253001
# NOM_USUEL= SALLES CURAN
# LATITUDE (°) = 44.152
# LONGITUDE(°)= 2.866
# ALTITUDE (m) = 959
# NUM_SERIE= MTX112253001
# Amplitude minimale détectable de la série = 0.22
# Période homogénéisée : 195101 201812
# Date(s) de rupture(s) d'homogénéité : 198006 199012 199412
#     Periode homogénéisée  195101 201812  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195101;4.4;1
195102;3.5;1
195103;6.1;1
195104;10.6;1
195105;12.2;1
195106;19.5;1
195107;21.1;1
195108;20.7;1
195109;18.6;1
195110;12.3;1
195111;10.2;1
195112;8.1;1
195201;2.6;1
195202;3.4;1
195203;9.5;1
195204;13;1
195205;18.6;1
195206;23.1;1
195207;26.4;1
195208;23.8;1
195209;15.4;1
195210;14.8;1
195211;7.2;1
195212;4.1;1
195301;3.3;1
195302;2.6;1
195303;10.7;1
195304;11.6;1
195305;18.3;1
195306;16.7;1
195307;20.8;1
195308;23.3;1
195309;20.2;1
195310;13.5;1
195311;11;1
195312;6.9;1
195401;1.1;1
195402;1.6;1
195403;8;1
195404;10;1
195405;14.2;1
195406;20.3;1
195407;19.2;1
195408;19.5;1
195409;18.4;1
195410;14.5;1
195411;9.6;1
195412;7.5;1
195501;6.5;1
195502;4.4;1
195503;7.3;1
195504;14.7;1
195505;16.1;1
195506;20;1
195507;23.2;1
195508;23.5;1
195509;18.2;1
195510;12.8;1
195511;7.9;1
195512;8.3;1
195601;5.5;1
195602;-4.1;1
195603;7.2;1
195604;10.6;1
195605;17.2;1
195606;15.6;1
195607;21;1
195608;19.3;1
195609;19;1
195610;11.5;1
195611;5.6;1
195612;4.6;1
195701;4;1
195702;6.3;1
195703;11.5;1
195704;11.1;1
195705;12.5;1
195706;17.5;1
195707;19.9;1
195708;20.6;1
195709;17.7;1
195710;14.1;1
195711;8.4;1
195712;4.6;1
195801;2.8;1
195802;7.9;1
195803;6.2;1
195804;8.7;1
195805;18.1;1
195806;18.3;1
195807;20.3;1
195808;21.4;1
195809;21.2;1
195810;13.1;1
195811;7.6;1
195812;5.5;1
195901;4.2;1
195902;8.4;1
195903;9.2;1
195904;11.3;1
195905;15.1;1
195906;20;1
195907;24.5;1
195908;21.6;1
195909;18.6;1
195910;12.4;1
195911;7.2;1
195912;5.2;1
196001;5;1
196002;6.5;1
196003;8.2;1
196004;11.2;1
196005;17.8;1
196006;21;1
196007;19.6;1
196008;18.8;1
196009;17;1
196010;11.1;1
196011;8.6;1
196012;2.2;1
196101;3;1
196102;8.6;1
196103;12.2;1
196104;13.5;1
196105;14.9;1
196106;19.6;1
196107;21.1;1
196108;21.5;1
196109;22.7;1
196110;13.9;1
196111;7.3;1
196112;9;1
196201;5.3;1
196202;4.2;1
196203;5;1
196204;11.2;1
196205;14.3;1
196206;20.2;1
196207;22.6;1
196208;24.6;1
196209;20.5;1
196210;14.3;1
196211;5.5;1
196212;3.4;1
196301;1.7;1
196302;1;1
196303;7;1
196304;10.9;1
196305;14.5;1
196306;18.6;1
196307;23;1
196308;18.8;1
196309;16;1
196310;14.3;1
196311;9.8;1
196312;4.4;1
196401;4.4;1
196402;6.2;1
196403;6.5;1
196404;10.2;1
196405;17.4;1
196406;20.3;1
196407;24.5;1
196408;21.3;1
196409;19.4;1
196410;10.9;1
196411;8.8;1
196412;3.8;1
196501;3.3;1
196502;1.9;1
196503;8.4;1
196504;8.9;1
196505;15.6;1
196506;20;1
196507;20.4;1
196508;20.6;1
196509;14.8;1
196510;14.3;1
196511;6.8;1
196512;5.6;1
196601;3.7;1
196602;8.5;1
196603;7.2;1
196604;12.6;1
196605;15.8;1
196606;19.4;1
196607;19.1;1
196608;20.3;1
196609;20.8;1
196610;13;1
196611;4.2;1
196612;4.3;1
