# DONNEES MENSUELLES HOMOGENEISEES de TX : Moyenne mensuelle de la température maximale sous abri (en °C et 1/10) 
# NUM_POSTE= 17415003
# NOM_USUEL= SAINTES
# LATITUDE (°) = 45.761
# LONGITUDE(°)= -0.652
# ALTITUDE (m) = 38
# NUM_SERIE= MTX117415003
# Amplitude minimale détectable de la série = 0.22
# Période homogénéisée : 195301 201712
# Date(s) de rupture(s) d'homogénéité : 197012 197712
#     Periode homogénéisée  195301 201712  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195301;5.3;1
195302;6.7;1
195303;16.4;1
195304;17.2;1
195305;22.4;1
195306;21.6;1
195307;22.9;1
195308;26.5;1
195309;22.8;1
195310;17;1
195311;11.7;1
195312;13.1;1
195401;6.9;1
195402;6.8;1
195403;13.6;1
195404;14.9;1
195405;18.2;1
195406;21.5;1
195407;21.8;1
195408;22.1;1
195409;21.2;1
195410;19.1;1
195411;13.9;1
195412;10.2;1
195501;9.7;1
195502;9.1;1
195503;10.3;1
195504;18.6;1
195505;19.3;1
195506;23.2;1
195507;26.5;1
195508;28.4;1
195509;23.7;1
195510;17.6;1
195511;13;1
195512;11.7;1
195601;9;1
195602;1.3;1
195603;14.6;1
195604;16;1
195605;21.6;1
195606;20.2;1
195607;24.4;1
195608;22.6;1
195609;22.3;1
195610;17.2;1
195611;9.5;1
195612;9.5;1
195701;7.4;1
195702;12;1
195703;17.2;1
195704;16.1;1
195705;17.7;1
195706;24.6;1
195707;24.2;1
195708;24;1
195709;21.4;1
195710;19.6;1
195711;10.4;1
195712;7.5;1
195801;8.5;1
195802;11.8;1
195803;11;1
195804;13;1
195805;19.8;1
195806;21.1;1
195807;22.6;1
195808;22.7;1
195809;23.4;1
195810;16.4;1
195811;10.5;1
195812;9.8;1
195901;9;1
195902;12.7;1
195903;15.6;1
195904;17.3;1
195905;21.4;1
195906;25.2;1
195907;29.2;1
195908;25.7;1
195909;25;1
195910;18.6;1
195911;13.5;1
195912;11.2;1
196001;9.1;1
196002;10.7;1
196003;14.4;1
196004;15.6;1
196005;21.1;1
196006;24.2;1
196007;21.8;1
196008;22.2;1
196009;20.3;1
196010;15;1
196011;13.1;1
196012;7.5;1
196101;9.2;1
196102;13.8;1
196103;15.9;1
196104;18.8;1
196105;19.8;1
196106;23.6;1
196107;24.1;1
196108;24.5;1
196109;25.7;1
196110;18.6;1
196111;11.6;1
196112;11;1
196201;9.7;1
196202;9.5;1
196203;9.8;1
196204;15.7;1
196205;17.3;1
196206;23.7;1
196207;24.5;1
196208;25.7;1
196209;23.4;1
196210;19.7;1
196211;11;1
196212;7.2;1
196301;4.2;1
196302;7.5;1
196303;13.2;1
196304;15.6;1
196305;18;1
196306;21.4;1
196307;25.8;1
196308;20.9;1
196309;20.4;1
196310;18.2;1
196311;14.4;1
196312;6.9;1
196401;6.3;1
196402;10.1;1
196403;11.9;1
196404;15;1
196405;21.1;1
196406;22.5;1
196407;26.3;1
196408;25.4;1
196409;24.2;1
196410;15;1
196411;10.9;1
196412;8;1
196501;8.3;1
196502;6.6;1
196503;12.2;1
196504;13.7;1
196505;18.1;1
196506;21.3;1
196507;23.5;1
196508;22.3;1
196509;18.1;1
196510;19.7;1
196511;12.1;1
196512;10.7;1
196601;8.4;1
196602;13.5;1
196603;12.3;1
196604;17.1;1
196605;18.9;1
196606;21.8;1
196607;22.4;1
196608;22.7;1
196609;24.2;1
196610;17.3;1
196611;9.8;1
196612;10.5;1
196701;7.9;1
196702;10.6;1
196703;13.2;1
196704;14.8;1
196705;18.3;1
196706;22;1
196707;26.5;1
196708;23.9;1
196709;21;1
196710;19.3;1
196711;12.5;1
196712;6.8;1
196801;9.4;1
196802;10.4;1
196803;12.6;1
196804;16.1;1
196805;17.3;1
196806;22.7;1
196807;24.8;1
196808;23.4;1
196809;21.9;1
196810;21.2;1
196811;12.7;1
196812;8.4;1
196901;9.9;1
196902;7.5;1
196903;12.6;1
196904;15.1;1
196905;19.7;1
196906;20.3;1
196907;27;1
196908;24.9;1
196909;21.5;1
196910;19.2;1
196911;11;1
196912;5.4;1
197001;10.1;1
197002;10.4;1
197003;10.5;1
197004;12.6;1
197005;20;1
197006;25.1;1
197007;24.4;1
197008;24.9;1
197009;24.3;1
197010;17.3;1
197011;14.7;1
197012;5.5;1
197101;9.3;1
197102;9.4;1
197103;8.9;1
197104;17.9;1
197105;19.4;1
197106;19.4;1
197107;27;1
197108;23;1
197109;22.6;1
197110;19.7;1
197111;10;1
197112;8.8;1
197201;8;1
197202;10;1
197203;14.9;1
197204;14.3;1
197205;17.1;1
197206;19.5;1
197207;25;1
197208;22.5;1
197209;20.2;1
197210;17.3;1
197211;12.3;1
197212;10.3;1
197301;6.5;1
197302;8.7;1
197303;13.8;1
197304;13.4;1
197305;19.9;1
197306;23.9;1
197307;23.4;1
197308;26.8;1
197309;23.4;1
197310;16.1;1
197311;13.3;1
197312;8;1
197401;11.1;1
197402;10.4;1
197403;13.4;1
197404;15.3;1
197405;18.5;1
197406;23;1
197407;25.2;1
197408;25.7;1
197409;19.4;1
197410;12.9;1
197411;12.7;1
197412;11.6;1
197501;10.9;1
197502;13.3;1
197503;9.4;1
197504;14.9;1
197505;17.5;1
197506;23.6;1
197507;26.9;1
197508;27.1;1
197509;22.1;1
197510;17.3;1
197511;12.2;1
197512;5.4;1
197601;9;1
197602;11.1;1
197603;13.7;1
197604;15.5;1
197605;21.4;1
197606;29.4;1
197607;27;1
197608;27.7;1
197609;21;1
197610;17.1;1
197611;10.6;1
197612;8.4;1
197701;8.1;1
197702;12.1;1
197703;15.3;1
197704;14.6;1
197705;17.6;1
197706;20.4;1
197707;23.3;1
197708;23;1
197709;22.7;1
197710;19.5;1
197711;12.3;1
197712;10.8;1
197801;8.3;1
197802;9.7;1
197803;12.8;1
197804;13.2;1
197805;17.9;1
197806;20.7;1
197807;23.3;1
197808;23.8;1
197809;22.8;1
197810;18.7;1
197811;12.3;1
197812;10.5;1
197901;7.2;1
197902;9.6;1
197903;11.4;1
197904;13.6;1
197905;17.3;1
197906;21.8;1
197907;26;1
197908;22.2;1
197909;23.3;1
197910;18.5;1
197911;12.1;1
197912;10.4;1
198001;6.9;1
198002;11.7;1
198003;11.5;1
198004;15.1;1
198005;18.4;1
198006;19.6;1
198007;22.1;1
198008;24.2;1
198009;23.1;1
198010;16.5;1
198011;10.4;1
198012;7.3;1
198101;8.9;1
198102;8.5;1
198103;15.2;1
198104;17;1
198105;19;1
198106;22.6;1
198107;23.2;1
198108;26.3;1
198109;22.8;1
198110;16.7;1
