# DONNEES MENSUELLES HOMOGENEISEES de TX : Moyenne mensuelle de la température maximale sous abri (en °C et 1/10) 
# NUM_POSTE= 19275001
# NOM_USUEL= USSEL-LAMARTINE
# LATITUDE (°) = 45.559
# LONGITUDE(°)= 2.321
# ALTITUDE (m) = 654
# NUM_SERIE= MTX119275001
# Amplitude minimale détectable de la série = 0.18
# Période homogénéisée : 195101 201712
# Date(s) de rupture(s) d'homogénéité : 196312 197012 197612 198112 198912
#     Periode homogénéisée  195101 201712  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195101;6.4;1
195102;5.9;1
195103;8;1
195104;13.5;1
195105;14.3;1
195106;20;1
195107;24;1
195108;21.3;1
195109;21.4;1
195110;15.5;1
195111;11.2;1
195112;9;1
195201;4.7;1
195202;6.3;1
195203;12.4;1
195204;17.1;1
195205;20.3;1
195206;24.6;1
195207;28.2;1
195208;24.6;1
195209;16.9;1
195210;14.1;1
195211;7.8;1
195212;5.9;1
195301;5;1
195302;5.8;1
195303;14.3;1
195304;14.6;1
195305;20.4;1
195306;18.2;1
195307;21.6;1
195308;25.1;1
195309;21.3;1
195310;16.3;1
195311;13.7;1
195312;9.6;1
195401;3.1;1
195402;4.1;1
195403;10.9;1
195404;11.6;1
195405;16.1;1
195406;20.5;1
195407;19.6;1
195408;20.2;1
195409;19.3;1
195410;16;1
195411;11.6;1
195412;8.3;1
195501;8.2;1
195502;5.7;1
195503;9.1;1
195504;17.2;1
195505;17.6;1
195506;20.5;1
195507;23;1
195508;25;1
195509;19.9;1
195510;15.3;1
195511;10.5;1
195512;9.1;1
195601;5.8;1
195602;-1.2;1
195603;10.4;1
195604;11.8;1
195605;18.1;1
195606;17.1;1
195607;21.3;1
195608;19.5;1
195609;21.8;1
195610;14.7;1
195611;7.8;1
195612;7.2;1
195701;6.8;1
195702;9.5;1
195703;16.3;1
195704;15;1
195705;15;1
195706;20.8;1
195707;22;1
195708;22;1
195709;19.2;1
195710;17.5;1
195711;10.4;1
195712;7.2;1
195801;6.1;1
195802;10.1;1
195803;8.9;1
195804;11.2;1
195805;19.7;1
195806;19.5;1
195807;21.3;1
195808;22.9;1
195809;22.7;1
195810;15.4;1
195811;9.1;1
195812;7.8;1
195901;7;1
195902;12.7;1
195903;12.4;1
195904;13.1;1
195905;18.2;1
195906;21.5;1
195907;26;1
195908;22.7;1
195909;22.2;1
195910;16.4;1
195911;10;1
195912;7.3;1
196001;5.9;1
196002;9;1
196003;11.6;1
196004;13.4;1
196005;20.3;1
196006;22.2;1
196007;19.5;1
196008;20.4;1
196009;18.1;1
196010;13.5;1
196011;9.5;1
196012;3.4;1
196101;4.5;1
196102;12.8;1
196103;15.3;1
196104;16.8;1
196105;16.9;1
196106;20.7;1
196107;21.6;1
196108;23.1;1
196109;24.9;1
196110;15.4;1
196111;10.2;1
196112;9.4;1
196201;7;1
196202;6.8;1
196203;7.2;1
196204;13.2;1
196205;15.4;1
196206;21.6;1
196207;23.2;1
196208;24.5;1
196209;21.7;1
196210;18;1
196211;8;1
196212;5.4;1
196301;3.9;1
196302;4.5;1
196303;10.3;1
196304;13.6;1
196305;16.7;1
196306;19.5;1
196307;24.6;1
196308;20;1
196309;19.4;1
196310;17;1
196311;11.7;1
196312;6.6;1
196401;7;1
196402;7.7;1
196403;8.9;1
196404;13.4;1
196405;20;1
196406;22.2;1
