# DONNEES MENSUELLES HOMOGENEISEES de TX : Moyenne mensuelle de la température maximale sous abri (en °C et 1/10) 
# NUM_POSTE= 20004002
# NOM_USUEL= AJACCIO
# LATITUDE (°) = 41.918
# LONGITUDE(°)= 8.793
# ALTITUDE (m) = 5
# NUM_SERIE= MTX120004002
# Amplitude minimale détectable de la série = 0.19
# Période homogénéisée : 195601 201912
# Date(s) de rupture(s) d'homogénéité : 197712 198212
#     Periode homogénéisée  195601 201912  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195601;14.6;1
195602;8.6;1
195603;14.4;1
195604;16.4;1
195605;21;1
195606;22.3;1
195607;26.6;1
195608;27.8;1
195609;26.9;1
195610;20.4;1
195611;15.5;1
195612;13.4;1
195701;13;1
195702;15.1;1
195703;15.9;1
195704;18;1
195705;18.8;1
195706;24.2;1
195707;26.5;1
195708;27.5;1
195709;24.5;1
195710;22.7;1
195711;18.3;1
195712;14.5;1
195801;13.3;1
195802;13.9;1
195803;14.1;1
195804;15.8;1
195805;22.2;1
195806;24.4;1
195807;26.2;1
195808;27.7;1
195809;26.8;1
195810;23;1
195811;17.5;1
195812;15.5;1
195901;13.4;1
195902;15.2;1
195903;17;1
195904;17.9;1
195905;20.6;1
195906;24.6;1
195907;27.6;1
195908;27.6;1
195909;25.9;1
195910;21.5;1
195911;17;1
195912;14.8;1
196001;13.3;1
196002;14;1
196003;15.6;1
196004;17.2;1
196005;21.5;1
196006;26.6;1
196007;27;1
196008;27.5;1
196009;24.7;1
196010;21.6;1
196011;18.1;1
196012;14;1
196101;12.8;1
196102;15.1;1
196103;16.1;1
196104;19.3;1
196105;21.3;1
196106;24.8;1
196107;27.5;1
196108;27.1;1
196109;27.5;1
196110;21.9;1
196111;17.6;1
196112;15.3;1
196201;14.5;1
196202;13.5;1
196203;13.5;1
196204;17.6;1
196205;20.2;1
196206;23.4;1
196207;27.2;1
196208;27.6;1
196209;26;1
196210;22.2;1
196211;16.2;1
196212;12.8;1
196301;10.5;1
196302;10.6;1
196303;14.1;1
196304;17.8;1
196305;20.7;1
196306;24.4;1
196307;29;1
196308;27.5;1
196309;25.5;1
196310;21.3;1
196311;20.3;1
196312;14.5;1
196401;14.4;1
196402;14.1;1
196403;16;1
196404;18.1;1
196405;22.8;1
196406;26.5;1
196407;28.5;1
196408;27.6;1
196409;25.7;1
196410;20.8;1
196411;18;1
196412;13.8;1
196501;12.9;1
196502;11.3;1
196503;14.8;1
196504;17.2;1
196505;20.3;1
196506;24.3;1
196507;27.5;1
196508;27.3;1
196509;23.9;1
196510;23.2;1
196511;18.3;1
196512;15.1;1
196601;12.6;1
196602;15.4;1
196603;14.7;1
196604;18.6;1
196605;21.5;1
196606;25.7;1
196607;25.5;1
196608;26.3;1
196609;25.2;1
196610;23;1
196611;15.9;1
196612;13.3;1
196701;12.6;1
196702;14.1;1
196703;15.9;1
196704;17.5;1
196705;20.9;1
196706;23.6;1
196707;29;1
196708;28.2;1
196709;24.3;1
196710;23.3;1
196711;19.6;1
196712;14.2;1
196801;12.6;1
196802;14.2;1
196803;15.1;1
196804;18.2;1
196805;21.4;1
196806;24;1
196807;27.2;1
196808;26.1;1
196809;24.2;1
196810;22.5;1
196811;18.1;1
196812;13.9;1
196901;13.4;1
196902;12.5;1
196903;14.3;1
196904;17.6;1
196905;20.9;1
196906;22.5;1
196907;26.5;1
196908;27.5;1
196909;24.7;1
196910;23.3;1
196911;18.4;1
196912;13;1
197001;14.3;1
197002;13.2;1
197003;13.8;1
197004;16.4;1
197005;19.7;1
197006;25.6;1
197007;26.8;1
197008;27.6;1
197009;26.3;1
197010;22.9;1
197011;18.5;1
197012;14.8;1
197101;13.6;1
197102;13.9;1
197103;12.6;1
197104;19;1
197105;22;1
197106;23.3;1
197107;28.4;1
197108;31;1
197109;26.1;1
197110;22.8;1
197111;16.7;1
197112;14.4;1
197201;12.7;1
197202;15.1;1
197203;16.1;1
197204;16.8;1
197205;19.9;1
197206;23.9;1
197207;26.6;1
197208;26.7;1
197209;23.6;1
197210;21.1;1
197211;18.5;1
197212;15.7;1
197301;14;1
197302;13.2;1
197303;14.1;1
197304;16;1
197305;22.3;1
197306;25.7;1
197307;27.9;1
197308;28.8;1
197309;26.5;1
197310;22.5;1
197311;17.9;1
197312;13.9;1
197401;13.9;1
197402;14.4;1
197403;16;1
197404;16.9;1
197405;20.5;1
197406;24.1;1
197407;26.7;1
197408;28;1
197409;24.7;1
197410;17.5;1
197411;16.7;1
197412;14.5;1
197501;14.4;1
197502;13.9;1
197503;14;1
197504;17.1;1
197505;20.6;1
197506;23.3;1
197507;27.5;1
197508;27.7;1
197509;26.6;1
197510;20.7;1
197511;16.6;1
197512;15.1;1
197601;13.8;1
197602;14;1
197603;14.4;1
197604;16.7;1
197605;21.2;1
197606;25.8;1
197607;27.6;1
197608;26.8;1
197609;24.1;1
197610;21.1;1
197611;16.1;1
197612;14.6;1
197701;13.9;1
197702;14.9;1
197703;16.3;1
197704;17.5;1
197705;21.3;1
197706;24.2;1
197707;27.2;1
197708;25.8;1
197709;23.7;1
197710;23;1
197711;17.8;1
197712;14.8;1
197801;12.8;1
197802;13.9;1
197803;15.2;1
197804;15.7;1
197805;19.5;1
197806;24.5;1
197807;25.8;1
197808;27.4;1
197809;25.2;1
197810;20.5;1
197811;17.7;1
197812;15.5;1
197901;13.3;1
197902;14;1
197903;15.3;1
197904;16;1
197905;21.5;1
197906;26.1;1
197907;27.6;1
197908;26.9;1
197909;24.8;1
197910;22.4;1
197911;16.6;1
197912;14.2;1
198001;13.1;1
198002;14.4;1
198003;15;1
198004;16.7;1
198005;18.6;1
198006;22.5;1
198007;24.7;1
198008;28;1
198009;26;1
198010;21.4;1
198011;17;1
198012;12.9;1
198101;12.4;1
198102;12.6;1
198103;15.2;1
198104;18.4;1
198105;20.8;1
198106;24.9;1
198107;26.3;1
198108;27.8;1
198109;26.5;1
198110;21.9;1
198111;17.3;1
198112;14.7;1
198201;14.9;1
198202;13.7;1
198203;14.9;1
198204;17;1
198205;21.2;1
198206;25.7;1
198207;29.6;1
198208;27.8;1
198209;27.6;1
198210;21.8;1
198211;19;1
198212;14.6;1
198301;13.7;1
198302;11.9;1
198303;14.8;1
198304;18;1
198305;21;1
198306;25.4;1
198307;30.8;1
198308;27.9;1
198309;25.7;1
198310;21.5;1
198311;18.1;1
198312;14.5;1
198401;12.9;1
198402;12.2;1
198403;14.1;1
198404;16.5;1
198405;18.4;1
198406;22.9;1
198407;28.1;1
198408;26.7;1
198409;23.4;1
198410;21.3;1
198411;19.2;1
198412;14.9;1
198501;10.5;1
198502;14.4;1
198503;13.8;1
198504;18.4;1
198505;20.1;1
198506;25.2;1
198507;29.6;1
198508;27.8;1
198509;26.7;1
198510;23.6;1
198511;16.3;1
198512;16;1
198601;13.1;1
198602;12.3;1
198603;15.2;1
198604;17;1
198605;22.8;1
198606;23.6;1
198607;27.8;1
198608;28.9;1
198609;26.4;1
198610;23.6;1
198611;18.7;1
198612;14.6;1
198701;12.5;1
198702;13.2;1
198703;12.9;1
198704;18.5;1
198705;19.7;1
198706;24.2;1
198707;28.8;1
198708;29;1
198709;27.7;1
198710;24.1;1
198711;17.8;1
198712;15.8;1
198801;15.3;1
198802;13.9;1
198803;15.3;1
198804;17.6;1
198805;21.5;1
198806;24.8;1
198807;28.6;1
198808;29;1
198809;25.7;1
198810;24.8;1
198811;18.1;1
198812;14.8;1
198901;14.3;1
198902;15;1
198903;17.9;1
198904;17.9;1
198905;22.4;1
198906;24.8;1
198907;28.9;1
198908;28.8;1
198909;25.9;1
198910;21.6;1
198911;17.8;1
198912;16.7;1
199001;14.9;1
199002;16.5;1
199003;16.7;1
199004;17.5;1
199005;23.2;1
199006;25.7;1
199007;27.7;1
199008;28.5;1
199009;25.7;1
199010;23.6;1
199011;17.1;1
199012;12.6;1
199101;13.8;1
199102;13;1
199103;17.2;1
199104;16.8;1
199105;18.3;1
199106;23.3;1
199107;28.1;1
199108;28.6;1
199109;27.3;1
199110;21.8;1
199111;16.4;1
199112;14;1
199201;13.9;1
199202;14.2;1
199203;15.7;1
199204;17.5;1
199205;22.4;1
199206;24;1
199207;26.7;1
199208;29.9;1
199209;26.3;1
199210;20.7;1
199211;18.2;1
199212;15.1;1
199301;13.9;1
199302;13.4;1
199303;14.3;1
199304;17.6;1
199305;22.6;1
199306;25.6;1
199307;26.9;1
199308;28.7;1
199309;25.7;1
199310;21.7;1
199311;16.5;1
199312;14.7;1
199401;13.7;1
199402;14.3;1
199403;16.8;1
199404;15.8;1
199405;21.7;1
199406;25.1;1
199407;29.5;1
199408;31.3;1
199409;26.6;1
199410;21.9;1
199411;19.8;1
199412;15.7;1
199501;12.9;1
199502;14.9;1
199503;14.9;1
199504;17.8;1
199505;20.8;1
199506;23.3;1
199507;28.7;1
199508;28.6;1
199509;23.5;1
199510;23;1
199511;18;1
199512;15;1
199601;15.5;1
199602;12.7;1
199603;14.4;1
199604;17.8;1
199605;20.9;1
199606;25.3;1
199607;27;1
199608;28.3;1
199609;23.3;1
199610;20.7;1
199611;17.6;1
199612;15;1
199701;15;1
199702;15.7;1
199703;16.9;1
199704;17.9;1
199705;22.4;1
199706;25.4;1
199707;27.1;1
199708;28.8;1
199709;27;1
199710;23.2;1
199711;18.1;1
199712;15.2;1
199801;14.6;1
199802;15;1
199803;15.8;1
199804;17.1;1
199805;21.8;1
199806;25.4;1
199807;27.4;1
199808;28.2;1
199809;24.7;1
199810;20.7;1
199811;15.7;1
199812;13.7;1
199901;13.7;1
199902;12.7;1
199903;15.9;1
199904;17.6;1
199905;22.4;1
199906;25.9;1
199907;28.7;1
199908;30.2;1
199909;26.9;1
199910;23;1
199911;17.2;1
199912;13.6;1
200001;12.8;1
200002;14.7;1
200003;16;1
200004;18.3;1
200005;23.6;1
200006;26.6;1
200007;27.3;1
200008;29.5;1
200009;26.1;1
200010;22.2;1
200011;17.5;1
200012;16.4;1
200101;14.7;1
200102;15;1
200103;17.6;1
200104;17.7;1
200105;22.4;1
200106;25.5;1
200107;28;1
200108;29.1;1
200109;24.1;1
200110;24.6;1
200111;18.3;1
200112;13.6;1
200201;13.9;1
200202;14.9;1
200203;17.3;1
200204;18.8;1
200205;21.4;1
200206;26.1;1
200207;27.6;1
200208;27.3;1
200209;24.9;1
200210;21.8;1
200211;18.7;1
200212;15.3;1
200301;13.5;1
200302;12.9;1
200303;16.1;1
200304;18.8;1
200305;23.8;1
200306;29.2;1
200307;30.2;1
200308;32.2;1
200309;26.3;1
200310;21.3;1
200311;18.8;1
200312;14.9;1
200401;13;1
200402;14.3;1
200403;14.7;1
200404;17.1;1
200405;20.3;1
200406;25.7;1
200407;28.4;1
200408;28.7;1
200409;27;1
200410;23.9;1
200411;18.1;1
200412;15.5;1
200501;12.8;1
200502;11.6;1
200503;14.4;1
200504;17.7;1
200505;22.6;1
200506;26.6;1
200507;27.9;1
200508;27.4;1
200509;25.8;1
200510;23;1
200511;18;1
200512;13;1
200601;13;1
200602;13.9;1
200603;15.4;1
200604;19.2;1
200605;23.1;1
200606;27.2;1
200607;31.3;1
200608;27;1
200609;26;1
200610;24.3;1
200611;20.3;1
200612;17.2;1
200701;15.5;1
200702;15.3;1
200703;15.9;1
200704;20.5;1
200705;22.8;1
200706;25.8;1
200707;27.7;1
200708;27.6;1
200709;25.4;1
200710;22.3;1
200711;17.6;1
200712;14.2;1
200801;14.6;1
200802;14.8;1
200803;15.2;1
200804;18.3;1
200805;22.6;1
200806;25;1
200807;28.4;1
200808;28.9;1
200809;26.2;1
200810;22.9;1
200811;18.5;1
200812;14;1
200901;13.4;1
200902;13.7;1
200903;15.6;1
200904;19;1
200905;25;1
200906;26.5;1
200907;28.8;1
200908;30.4;1
200909;27.5;1
200910;23.1;1
200911;19;1
200912;14.5;1
201001;12.3;1
201002;13.7;1
201003;15.6;1
201004;18.7;1
201005;21;1
201006;25.1;1
201007;29.9;1
201008;27.6;1
201009;25.8;1
201010;21.7;1
201011;16.7;1
201012;13.6;1
201101;13.4;1
201102;14.1;1
201103;16;1
201104;19.6;1
201105;23.2;1
201106;25.5;1
201107;27.4;1
201108;28.9;1
201109;27.2;1
201110;23.5;1
201111;20.4;1
201112;16.1;1
201201;14.5;1
201202;12;1
201203;17.4;1
201204;18.7;1
201205;21.2;1
201206;27.3;1
201207;29.2;1
201208;30.5;1
201209;26;1
201210;22.8;1
201211;19.2;1
201212;14.7;1
201301;13.4;1
201302;12.5;1
201303;15.7;1
201304;19.3;1
201305;20.4;1
201306;25;1
201307;29.5;1
201308;30.3;1
201309;25.9;1
201310;24.3;1
201311;17.5;1
201312;16.1;1
201401;14.5;1
201402;15.4;1
201403;16;1
201404;19;1
201405;22.1;1
201406;26.9;1
201407;27.5;1
201408;27.9;1
201409;27.7;1
201410;25.2;1
201411;20.7;1
201412;16.1;1
201501;15.3;1
201502;13.8;1
201503;16.4;1
201504;19.1;1
201505;23.7;1
201506;27.5;1
201507;31.1;1
201508;29.5;1
201509;27;1
201510;22.3;1
201511;19.1;1
201512;17;1
201601;14.8;1
201602;15.6;1
201603;16.6;1
201604;20.2;1
201605;21.8;1
201606;25.3;1
201607;29.1;1
201608;28.8;1
201609;27.2;1
201610;23.4;1
201611;18.9;1
201612;17.4;1
201701;13.8;1
201702;16.1;1
201703;17.8;1
201704;19.5;1
201705;22.8;1
201706;28.4;1
201707;29.8;1
201708;30.7;1
201709;24.6;1
201710;23.1;1
201711;17.4;1
201712;13.9;1
201801;16.2;1
201802;13.1;1
201803;15.7;1
201804;20.2;1
201805;22;1
201806;26.2;1
201807;30;1
201808;30.7;1
201809;28;1
201810;24.3;1
201811;19.5;1
201812;16;1
201901;13.4;1
201902;15.5;1
201903;17.1;1
201904;18.8;1
201905;20.2;1
201906;27.9;1
201907;30.4;1
201908;30.1;1
201909;28;1
201910;25.1;1
201911;17.7;1
201912;17;1
202001;15.5;0
