# DONNEES MENSUELLES HOMOGENEISEES de TX : Moyenne mensuelle de la température maximale sous abri (en °C et 1/10) 
# NUM_POSTE= 20004003
# NOM_USUEL= AJACCIO-PARATA
# LATITUDE (°) = 41.908
# LONGITUDE(°)= 8.618
# ALTITUDE (m) = 124
# NUM_SERIE= MTX120004003
# Amplitude minimale détectable de la série = 0.16
# Période homogénéisée : 195601 201912
# Date(s) de rupture(s) d'homogénéité : 196312 198112 200403 201412
#     Periode homogénéisée  195601 201912  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195601;14;1
195602;7.8;1
195603;13.6;1
195604;15.2;1
195605;21;1
195606;22.2;1
195607;26.6;1
195608;28.2;1
195609;26.4;1
195610;20.3;1
195611;15.6;1
195612;13.6;1
195701;12.7;1
195702;14.3;1
195703;15.6;1
195704;17.3;1
195705;19;1
195706;23.8;1
195707;26.7;1
195708;27.1;1
195709;24.2;1
195710;22.4;1
195711;18.3;1
195712;14.4;1
195801;12.9;1
195802;13.4;1
195803;13.5;1
195804;15;1
195805;22;1
195806;23.8;1
195807;25.9;1
195808;27.8;1
195809;26.4;1
195810;22.1;1
195811;17.4;1
195812;15;1
195901;12.8;1
195902;14.5;1
195903;16.4;1
195904;17.1;1
195905;19.9;1
195906;24;1
195907;27.6;1
195908;27.1;1
195909;25.6;1
195910;21.4;1
195911;16.8;1
195912;14.2;1
196001;13;1
196002;13;1
196003;14.6;1
196004;16.3;1
196005;20.8;1
196006;25.6;1
196007;25.9;1
196008;26.9;1
196009;23.9;1
196010;20.7;1
196011;17.4;1
196012;13.8;1
196101;12.4;1
196102;14.1;1
196103;15.1;1
196104;18.5;1
196105;20.5;1
196106;24.6;1
196107;27.3;1
196108;26.8;1
196109;27;1
196110;21.8;1
196111;17.2;1
196112;14.7;1
196201;14.3;1
196202;12.8;1
196203;12.4;1
196204;16.8;1
196205;19.8;1
196206;22.9;1
196207;27;1
196208;27.6;1
196209;25.8;1
196210;22.2;1
196211;16.1;1
196212;12.9;1
196301;10.6;1
196302;10.2;1
196303;13.5;1
196304;17.1;1
196305;19.9;1
196306;23.8;1
196307;28.6;1
196308;27;1
196309;24.9;1
196310;21;1
196311;19.7;1
196312;14.3;1
196401;13.5;1
196402;13.2;1
196403;14.5;1
196404;17.5;1
196405;22.1;1
196406;26;1
196407;28.1;1
196408;27.4;1
196409;25.8;1
196410;20.3;1
196411;17.8;1
196412;13.7;1
196501;12.6;1
196502;10.7;1
196503;13.9;1
196504;15.9;1
196505;19.6;1
196506;24.5;1
196507;27;1
196508;26.7;1
196509;23.3;1
196510;22.6;1
196511;17.9;1
196512;14.7;1
196601;12.1;1
196602;14.7;1
196603;13.8;1
196604;17.6;1
196605;20.9;1
196606;25.2;1
196607;25.2;1
196608;26;1
196609;24.9;1
196610;22.1;1
196611;15.4;1
196612;13.1;1
196701;12.5;1
196702;13;1
196703;15.1;1
196704;17.3;1
196705;20.5;1
196706;23;1
196707;29;1
196708;28.4;1
196709;24.5;1
196710;23.3;1
196711;19.5;1
196712;14.1;1
196801;12.3;1
196802;13.4;1
196803;14.9;1
196804;18.3;1
196805;20.7;1
196806;24.1;1
196807;27.6;1
196808;25.5;1
196809;24.2;1
196810;22.9;1
196811;17.9;1
196812;13.7;1
196901;13;1
196902;11.7;1
196903;13.7;1
196904;16.7;1
196905;20.8;1
196906;21.3;1
196907;26.1;1
196908;27.2;1
196909;24.6;1
196910;23;1
196911;18.3;1
196912;12.5;1
197001;13.6;1
197002;12.7;1
197003;13.3;1
197004;16.3;1
197005;19.6;1
197006;25.3;1
197007;27.1;1
197008;27.7;1
197009;26.9;1
197010;22.6;1
197011;18.6;1
197012;15;1
197101;13.3;1
197102;13.1;1
197103;11.9;1
197104;18.2;1
197105;21;1
197106;22.1;1
197107;27.2;1
