# DONNEES MENSUELLES HOMOGENEISEES de TX : Moyenne mensuelle de la température maximale sous abri (en °C et 1/10) 
# NUM_POSTE= 20050001
# NOM_USUEL= CALVI
# LATITUDE (°) = 42.53
# LONGITUDE(°)= 8.792
# ALTITUDE (m) = 57
# NUM_SERIE= MTX120050001
# Amplitude minimale détectable de la série = 0.19
# Période homogénéisée : 196101 201912
# Date(s) de rupture(s) d'homogénéité : Aucune rupture d'homogénéité
#     Periode homogénéisée  196101 201912  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
196101;12.5;1
196102;15.1;1
196103;16.7;1
196104;20.1;1
196105;22;1
196106;26.2;1
196107;28.7;1
196108;28.8;1
196109;28.2;1
196110;21.6;1
196111;17.4;1
196112;15.3;1
196201;15;1
196202;13.1;1
196203;13.8;1
196204;18.2;1
196205;20.7;1
196206;25.7;1
196207;28.8;1
196208;29.4;1
196209;26.2;1
196210;21.3;1
196211;15.4;1
196212;12.2;1
196301;10;1
196302;10.3;1
196303;14.9;1
196304;18.4;1
196305;21.1;1
196306;25.3;1
196307;29.8;1
196308;27.7;1
196309;24.8;1
196310;20.9;1
196311;19.9;1
196312;13.4;1
196401;13;1
196402;14.2;1
196403;15.6;1
196404;18.8;1
196405;24.1;1
196406;27.9;1
196407;29.8;1
196408;29.1;1
196409;26.1;1
196410;20.2;1
196411;17.2;1
196412;13.4;1
196501;13.1;1
196502;10.9;1
196503;15.3;1
196504;17;1
196505;21.6;1
196506;25.2;1
196507;29.3;1
196508;28.1;1
196509;23.7;1
196510;21.9;1
196511;17.4;1
196512;15.3;1
196601;12.3;1
196602;16;1
196603;14.3;1
196604;19.3;1
196605;22.7;1
196606;27.6;1
196607;27;1
196608;27.9;1
196609;25.3;1
196610;22.8;1
196611;14.8;1
196612;13.4;1
196701;12.7;1
196702;14;1
196703;16.9;1
196704;18.2;1
196705;22.9;1
196706;24.6;1
196707;30.3;1
196708;29.8;1
196709;25.1;1
196710;23.9;1
196711;18.7;1
196712;13.9;1
196801;13.1;1
196802;14.8;1
196803;16;1
196804;19;1
196805;21.9;1
196806;24;1
196807;28.8;1
196808;27.5;1
196809;25.2;1
196810;22.4;1
196811;17.5;1
196812;13;1
196901;13;1
196902;11.8;1
196903;14.3;1
196904;18.6;1
196905;22;1
196906;23.5;1
196907;27.2;1
196908;27.9;1
196909;24.8;1
196910;22.8;1
196911;18;1
196912;11.7;1
197001;14.4;1
197002;13.4;1
197003;13.3;1
197004;17.8;1
197005;21.2;1
197006;26.8;1
197007;28;1
197008;28.6;1
197009;26.7;1
197010;22.3;1
197011;18.8;1
197012;14;1
197101;13;1
197102;13.9;1
197103;12.5;1
197104;19.5;1
197105;22.3;1
197106;24.6;1
197107;29.6;1
197108;31.5;1
197109;25.5;1
197110;21.8;1
197111;16.4;1
197112;14.6;1
197201;12.6;1
197202;14.8;1
197203;16.7;1
197204;17;1
197205;21.1;1
197206;25.4;1
197207;28.2;1
197208;26.7;1
197209;22.9;1
197210;20.1;1
197211;18.1;1
197212;14.4;1
197301;11.7;1
197302;12.5;1
197303;14.5;1
197304;16.6;1
197305;23.1;1
197306;26.7;1
197307;29.6;1
197308;29.8;1
197309;26.5;1
197310;21.6;1
197311;17.6;1
197312;13.9;1
197401;14.6;1
197402;14.4;1
197403;16.9;1
197404;16.7;1
197405;21.1;1
197406;26;1
197407;28.4;1
197408;28.9;1
197409;24.9;1
197410;17.6;1
197411;16.5;1
197412;15.1;1
197501;15.2;1
197502;13.9;1
197503;14.3;1
197504;18.5;1
197505;21.8;1
197506;24.7;1
197507;29.5;1
197508;28.7;1
197509;26.1;1
197510;20.5;1
197511;16.4;1
197512;14.6;1
197601;14;1
197602;14.1;1
197603;14.5;1
197604;16.8;1
197605;22;1
197606;26.3;1
197607;28.1;1
197608;27.5;1
197609;24.3;1
197610;20.7;1
197611;15.6;1
197612;14.4;1
197701;14.1;1
197702;16.2;1
197703;16.7;1
197704;18.7;1
197705;21.1;1
197706;25.6;1
197707;29;1
197708;26.8;1
197709;24.1;1
197710;22.9;1
197711;17.4;1
197712;14.7;1
197801;12.8;1
197802;13.9;1
197803;15.7;1
197804;15.7;1
197805;20.5;1
197806;25.1;1
197807;26.9;1
197808;27.8;1
197809;25.7;1
197810;20.3;1
197811;16.8;1
197812;15.5;1
197901;12;1
197902;13.9;1
197903;15.7;1
197904;16.2;1
197905;22.2;1
197906;26.3;1
197907;28.8;1
197908;27.5;1
197909;24.3;1
197910;21.3;1
197911;15.7;1
197912;14.3;1
198001;12.9;1
198002;14.9;1
198003;15.3;1
198004;16.4;1
198005;18.5;1
198006;25;1
198007;26.3;1
198008;29.1;1
198009;26.4;1
198010;21.4;1
198011;16.3;1
198012;12.5;1
198101;12.1;1
198102;12.3;1
198103;16.2;1
198104;19.2;1
198105;21.5;1
198106;26.5;1
198107;26.6;1
198108;29.8;1
198109;26.1;1
198110;22.4;1
198111;17.1;1
198112;14.9;1
198201;15.2;1
198202;13.4;1
198203;14.7;1
198204;17.5;1
198205;21.8;1
198206;27.7;1
198207;31.5;1
198208;29.9;1
198209;28.1;1
198210;21;1
198211;17.8;1
198212;14.8;1
198301;14.8;1
198302;11.9;1
198303;15.3;1
198304;18.7;1
198305;22.3;1
198306;26;1
198307;31.8;1
198308;27.9;1
198309;26.1;1
198310;22;1
198311;18;1
198312;14.7;1
198401;13.2;1
198402;11.9;1
198403;14.5;1
198404;17.1;1
198405;19;1
198406;24.1;1
198407;29.2;1
198408;27.1;1
198409;24;1
198410;21;1
198411;18.9;1
198412;14.6;1
198501;10.6;1
198502;14;1
198503;14.7;1
198504;19.5;1
198505;20.7;1
198506;26.3;1
198507;30.9;1
198508;28.9;1
198509;27.6;1
198510;23;1
198511;16;1
198512;15.9;1
198601;13.2;1
198602;11.8;1
198603;15;1
198604;17.6;1
198605;24.2;1
198606;24.5;1
198607;28.8;1
198608;29.8;1
198609;25.9;1
198610;23.2;1
198611;18.1;1
198612;14.4;1
198701;12.2;1
198702;13;1
198703;13.7;1
198704;19.2;1
198705;20.6;1
198706;25.2;1
198707;29.9;1
198708;30.5;1
198709;28.6;1
198710;24;1
198711;17.3;1
198712;15.5;1
198801;15;1
198802;14;1
198803;15.5;1
198804;17.1;1
198805;22.9;1
198806;24.9;1
198807;30.8;1
198808;29.2;1
198809;25.5;1
198810;23.7;1
198811;16.7;1
198812;14.2;1
198901;14.1;1
198902;14.7;1
198903;18;1
198904;18.1;1
198905;22.8;1
198906;25.8;1
198907;29.8;1
198908;29.5;1
198909;25.2;1
198910;20.9;1
198911;17;1
198912;16.8;1
199001;14.6;1
199002;16.4;1
199003;16.2;1
199004;18;1
199005;23.4;1
199006;27;1
199007;29.4;1
199008;30.2;1
199009;27;1
199010;23.7;1
199011;16.9;1
199012;12.4;1
199101;13.8;1
199102;12.8;1
199103;17.9;1
199104;17.3;1
199105;19.2;1
199106;25.4;1
199107;29.9;1
199108;29.6;1
199109;27.4;1
199110;20.8;1
199111;16.3;1
199112;13.6;1
199201;13.8;1
199202;14.4;1
199203;15.9;1
199204;18.3;1
199205;23.8;1
199206;24.8;1
199207;27.8;1
199208;30.6;1
199209;25.9;1
199210;20.6;1
199211;18.8;1
199212;14.8;1
199301;13.9;1
199302;13.5;1
199303;14.6;1
199304;18;1
199305;22.6;1
199306;26.8;1
199307;28.8;1
199308;30.2;1
199309;26;1
199310;21.5;1
199311;15.7;1
199312;15;1
199401;13.8;1
199402;13.3;1
199403;17.8;1
199404;16.5;1
199405;22.9;1
199406;25.5;1
199407;30.9;1
199408;31.7;1
199409;26.4;1
199410;21.9;1
199411;19.6;1
199412;15.9;1
199501;13.1;1
199502;15.9;1
199503;15.5;1
199504;18.3;1
