# DONNEES MENSUELLES HOMOGENEISEES de TX : Moyenne mensuelle de la température maximale sous abri (en °C et 1/10) 
# NUM_POSTE= 20148001
# NOM_USUEL= BASTIA
# LATITUDE (°) = 42.541
# LONGITUDE(°)= 9.485
# ALTITUDE (m) = 10
# NUM_SERIE= MTX120148001
# Amplitude minimale détectable de la série = 0.17
# Période homogénéisée : 195601 201912
# Date(s) de rupture(s) d'homogénéité : 197010 200112
#     Periode homogénéisée  195601 201912  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195601;14.5;1
195602;7.4;1
195603;12.8;1
195604;16;1
195605;21.5;1
195606;23.8;1
195607;28;1
195608;29;1
195609;26.1;1
195610;20.5;1
195611;14.9;1
195612;13.2;1
195701;12.2;1
195702;15.2;1
195703;15.3;1
195704;16.8;1
195705;19.3;1
195706;24.1;1
195707;28.6;1
195708;28;1
195709;25.5;1
195710;21.2;1
195711;17.6;1
195712;14.6;1
195801;13.8;1
195802;14.3;1
195803;13.2;1
195804;15.7;1
195805;21.5;1
195806;24.3;1
195807;27.4;1
195808;28.7;1
195809;25.9;1
195810;21.8;1
195811;16.8;1
195812;14.9;1
195901;13.8;1
195902;14.4;1
195903;15.4;1
195904;16.9;1
195905;20.4;1
195906;25.4;1
195907;29.8;1
195908;28;1
195909;24.2;1
195910;20.2;1
195911;16.3;1
195912;14.8;1
196001;12.9;1
196002;14.1;1
196003;14.7;1
196004;16.9;1
196005;20.8;1
196006;26.2;1
196007;26.9;1
196008;27.2;1
196009;23.7;1
196010;20.6;1
196011;17.4;1
196012;12.9;1
196101;11.9;1
196102;15.2;1
196103;15.7;1
196104;18.9;1
196105;20.3;1
196106;25;1
196107;27.9;1
196108;28.1;1
196109;27.2;1
196110;21.4;1
196111;16.6;1
196112;13.9;1
196201;14.3;1
196202;12.4;1
196203;13.3;1
196204;18;1
196205;20.2;1
196206;24.5;1
196207;28;1
196208;28.9;1
196209;25.7;1
196210;20.7;1
196211;15.3;1
196212;12.2;1
196301;9.2;1
196302;10.8;1
196303;14.4;1
196304;17.4;1
196305;21.7;1
196306;24.4;1
196307;29.6;1
196308;27.9;1
196309;24.3;1
196310;20.5;1
196311;18.7;1
196312;12.6;1
196401;12.4;1
196402;13.1;1
196403;14.7;1
196404;18;1
196405;22.7;1
196406;26.4;1
196407;29.5;1
196408;28.1;1
196409;25.3;1
196410;20.2;1
196411;16.6;1
196412;13.7;1
196501;13;1
196502;10.4;1
196503;15;1
196504;17.2;1
196505;20.7;1
196506;24.9;1
196507;28.1;1
196508;27.7;1
196509;23.4;1
196510;20.9;1
196511;18.1;1
196512;15.5;1
196601;12;1
196602;15.2;1
196603;14.7;1
196604;18.6;1
196605;21.6;1
196606;26.1;1
196607;26.7;1
196608;27;1
196609;24.9;1
196610;21.9;1
196611;15.4;1
196612;13.3;1
196701;12.3;1
196702;13.2;1
196703;16.2;1
196704;17.4;1
196705;21.4;1
196706;23.8;1
196707;29.3;1
196708;28.4;1
196709;25.1;1
196710;22.8;1
196711;18.3;1
196712;13.8;1
196801;12.4;1
196802;13.8;1
196803;15.1;1
196804;17.9;1
196805;21.6;1
196806;24.1;1
196807;28.3;1
196808;26.3;1
196809;24.9;1
196810;22;1
196811;16.7;1
196812;12.5;1
196901;12.9;1
196902;12.2;1
196903;13.5;1
196904;17.1;1
196905;21.2;1
196906;23.3;1
196907;27.4;1
196908;27.8;1
196909;24.3;1
196910;21.9;1
196911;18.4;1
196912;11.7;1
197001;14.2;1
197002;14.2;1
197003;13.6;1
197004;17.5;1
197005;20.7;1
197006;25.2;1
197007;27.8;1
197008;28.3;1
197009;26.4;1
197010;21.9;1
197011;18.4;1
197012;13;1
197101;12.7;1
197102;13.6;1
197103;12;1
197104;17.6;1
197105;20.7;1
197106;23.9;1
197107;29.2;1
197108;29.9;1
197109;24.8;1
197110;20.6;1
197111;16.4;1
197112;14.3;1
197201;12.8;1
197202;14;1
197203;16.1;1
197204;17;1
197205;20.1;1
197206;24.1;1
197207;27.9;1
197208;26.8;1
197209;22.5;1
197210;19.4;1
197211;18.2;1
197212;13.9;1
197301;13.3;1
197302;12.4;1
197303;13.8;1
197304;16.3;1
197305;20.8;1
197306;25.8;1
197307;28.9;1
197308;29.4;1
197309;26.3;1
197310;21.8;1
197311;17;1
197312;13.4;1
197401;14.6;1
197402;14;1
197403;14.9;1
197404;16.2;1
197405;20.7;1
197406;25.6;1
197407;27.3;1
197408;29;1
197409;25.6;1
197410;18;1
197411;16.1;1
197412;15.2;1
197501;14.5;1
197502;12.8;1
197503;14.7;1
197504;17.8;1
197505;20.7;1
197506;24.3;1
197507;28.8;1
197508;28;1
197509;26.1;1
197510;21;1
197511;15.9;1
197512;14.4;1
197601;13.8;1
197602;13.3;1
197603;13.8;1
197604;16.3;1
197605;21.8;1
197606;25.6;1
197607;28.1;1
197608;26.3;1
197609;23.5;1
197610;20.6;1
197611;16.2;1
197612;14.6;1
197701;13.8;1
197702;15.8;1
197703;16.1;1
197704;17.6;1
197705;20.6;1
197706;23.8;1
197707;27.9;1
197708;27;1
197709;24.1;1
197710;22;1
197711;17.8;1
197712;14.4;1
197801;13.2;1
197802;13.6;1
197803;15.8;1
197804;15.6;1
197805;19.5;1
197806;24.2;1
197807;27;1
197808;26.8;1
197809;25;1
197810;20.2;1
197811;16.7;1
197812;15.3;1
197901;11.9;1
197902;13.3;1
197903;15.7;1
197904;16.3;1
197905;22;1
197906;26.7;1
197907;27.3;1
197908;27.7;1
197909;24.3;1
197910;20.8;1
197911;15.8;1
197912;14.9;1
198001;12.6;1
198002;14.2;1
198003;15;1
198004;15.6;1
198005;18.5;1
198006;23.6;1
198007;25.8;1
198008;28.5;1
198009;25.7;1
198010;21.2;1
198011;15.6;1
198012;12.2;1
198101;11.7;1
198102;11.7;1
198103;15.4;1
198104;18;1
198105;20.8;1
198106;25.8;1
198107;26.8;1
198108;28.2;1
198109;25.4;1
198110;22.2;1
198111;17.1;1
198112;15.8;1
198201;14.2;1
198202;12.7;1
198203;14.6;1
198204;16.9;1
198205;21.7;1
198206;27;1
198207;29.9;1
198208;28.8;1
198209;26.9;1
198210;21.5;1
198211;17.7;1
