# DONNEES MENSUELLES HOMOGENEISEES de TX : Moyenne mensuelle de la température maximale sous abri (en °C et 1/10) 
# NUM_POSTE= 23067001
# NOM_USUEL= LA COURTINE
# LATITUDE (°) = 45.703
# LONGITUDE(°)= 2.264
# ALTITUDE (m) = 772
# NUM_SERIE= MTX123067001
# Amplitude minimale détectable de la série = 0.16
# Période homogénéisée : 195901 201812
# Date(s) de rupture(s) d'homogénéité : 196312 196912 197112 200412 201301
#     Periode homogénéisée  195901 201812  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195901;5.9;1
195902;11.2;1
195903;11.7;1
195904;12.3;1
195905;16.7;1
195906;19.8;1
195907;23.7;1
195908;20.7;1
195909;20.3;1
195910;14.9;1
195911;8.6;1
195912;6.8;1
196001;4.5;1
196002;7.4;1
196003;10.7;1
196004;11.7;1
196005;18.3;1
196006;21;1
196007;18.3;1
196008;19.5;1
196009;16.8;1
196010;11.8;1
196011;9.1;1
196012;2.3;1
196101;3.9;1
196102;11.3;1
196103;12.9;1
196104;15.5;1
196105;15.2;1
196106;19.6;1
196107;20.4;1
196108;19.9;1
196109;22.5;1
196110;14.4;1
196111;8.6;1
196112;8.1;1
196201;5.9;1
196202;5.3;1
196203;5.4;1
196204;11.5;1
196205;14.3;1
196206;19.5;1
196207;21.2;1
196208;23.1;1
196209;19.3;1
196210;16;1
196211;6.3;1
196212;4.6;1
196301;1.7;1
196302;1.8;1
196303;8.5;1
196304;11.6;1
196305;15.4;1
196306;19;1
196307;22.6;1
196308;18.2;1
196309;17.4;1
196310;15.5;1
196311;10.5;1
196312;5.6;1
196401;5.2;1
196402;6.2;1
196403;6.9;1
196404;11.7;1
196405;17.8;1
196406;20.6;1
196407;24.8;1
196408;21.9;1
196409;20.9;1
196410;12.1;1
196411;9.5;1
196412;4.1;1
196501;3.7;1
196502;1.7;1
196503;8.5;1
196504;10;1
196505;15.4;1
196506;19.9;1
196507;19.3;1
196508;19.4;1
196509;14.4;1
196510;16.8;1
196511;7.3;1
196512;6.8;1
196601;5.5;1
196602;10.4;1
196603;8.4;1
196604;12.9;1
196605;15.9;1
196606;20;1
196607;18.1;1
196608;18.9;1
196609;20.6;1
196610;13.1;1
196611;5.1;1
196612;5.5;1
196701;5.1;1
196702;8;1
196703;9.8;1
196704;11.5;1
196705;14.8;1
196706;18.3;1
196707;24.3;1
196708;20.6;1
196709;16.2;1
196710;15.7;1
196711;10.3;1
196712;2.1;1
196801;4.6;1
196802;5.7;1
196803;8.8;1
196804;13.6;1
196805;13.3;1
196806;18.1;1
196807;20.1;1
196808;18.1;1
196809;15.9;1
196810;17.5;1
196811;10;1
196812;4.4;1
196901;6.1;1
196902;3.5;1
196903;7.4;1
196904;11.1;1
196905;16.3;1
196906;16.2;1
196907;22.5;1
196908;19.9;1
196909;17.7;1
196910;17;1
196911;7;1
196912;1.7;1
197001;7;1
197002;3.6;1
197003;4.5;1
197004;9.4;1
197005;16;1
197006;20.6;1
197007;20.6;1
197008;21.6;1
197009;20.6;1
197010;14.3;1
197011;10.9;1
197012;4;1
197101;5.5;1
197102;4.7;1
197103;4;1
197104;14;1
197105;15.7;1
197106;16.5;1
197107;23.2;1
197108;20.9;1
197109;17.8;1
197110;16.7;1
197111;5.2;1
197112;8.3;1
197201;4.3;1
197202;7.3;1
197203;9.9;1
197204;9.4;1
197205;13.6;1
197206;17.3;1
197207;20.5;1
197208;19.1;1
197209;15.5;1
197210;14.6;1
197211;9.6;1
197212;7.9;1
197301;4.8;1
197302;2.5;1
197303;8.1;1
197304;8.7;1
197305;17;1
197306;19.6;1
197307;20.1;1
197308;23.5;1
197309;20.1;1
197310;13.3;1
197311;10.4;1
197312;5.4;1
197401;7.6;1
197402;5.4;1
197403;9.3;1
197404;11.5;1
197405;14.8;1
197406;18.4;1
197407;20.2;1
197408;21.8;1
197409;15.4;1
197410;6.6;1
197411;8;1
197412;7.2;1
197501;8;1
197502;9.1;1
197503;4.4;1
197504;10.9;1
197505;13.6;1
197506;17.8;1
197507;22.4;1
197508;22.2;1
197509;17.4;1
197510;13.4;1
197511;7.5;1
197512;4.2;1
197601;4.9;1
197602;8;1
197603;10.3;1
197604;11.9;1
197605;17.3;1
197606;23.6;1
197607;22.4;1
197608;22.2;1
197609;16.2;1
197610;12.8;1
197611;5.8;1
197612;5.6;1
197701;3.9;1
197702;7.2;1
197703;11.6;1
197704;10.2;1
197705;13.6;1
197706;16.8;1
197707;19.5;1
197708;18.3;1
197709;18.1;1
197710;16.2;1
197711;7.4;1
197712;7.9;1
197801;3.7;1
197802;6;1
197803;8.6;1
197804;8.6;1
197805;13.5;1
197806;17.5;1
197807;19.9;1
197808;20.4;1
197809;19;1
197810;14.5;1
197811;10.1;1
197812;6.6;1
197901;3.1;1
197902;4.1;1
197903;6.6;1
197904;8.9;1
197905;14.6;1
197906;19.1;1
197907;21.9;1
197908;18.1;1
197909;18.9;1
197910;15.1;1
197911;7.6;1
197912;6.8;1
198001;3;1
198002;8.4;1
198003;6.8;1
198004;9.2;1
198005;14;1
198006;16;1
198007;18.7;1
198008;21.8;1
198009;20.7;1
198010;12.8;1
198011;7.6;1
198012;3.7;1
198101;4.5;1
198102;4.5;1
