# DONNEES MENSUELLES HOMOGENEISEES de TX : Moyenne mensuelle de la température maximale sous abri (en °C et 1/10) 
# NUM_POSTE= 26168001
# NOM_USUEL= LUS L CROIX HTE
# LATITUDE (°) = 44.673
# LONGITUDE(°)= 5.711
# ALTITUDE (m) = 1059
# NUM_SERIE= MTX126168001
# Amplitude minimale détectable de la série = 0.19
# Période homogénéisée : 195101 202012
# Date(s) de rupture(s) d'homogénéité : 196112 197412 198110 198712 199712 201012
#     Periode homogénéisée  195101 202012  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195101;3.5;1
195102;4.7;1
195103;6.9;1
195104;12.3;1
195105;14.4;1
195106;19.8;1
195107;22.9;1
195108;22.1;1
195109;19.3;1
195110;12.6;1
195111;9;1
195112;6.5;1
195201;1.4;1
195202;2.2;1
195203;10.7;1
195204;14.5;1
195205;17.5;1
195206;23.4;1
195207;26.8;1
195208;23.6;1
195209;15.3;1
195210;12.8;1
195211;4.3;1
195212;2.8;1
195301;0.7;1
195302;2.2;1
195303;10.8;1
195304;14.2;1
195305;18.5;1
195306;17.9;1
195307;23.2;1
195308;22.2;1
195309;20.1;1
195310;14.1;1
195311;11.7;1
195312;6.9;1
195401;0.5;1
195402;2.8;1
195403;9.7;1
195404;9.6;1
195405;15.1;1
195406;20.1;1
195407;19.9;1
195408;20.6;1
195409;19.1;1
195410;14.6;1
195411;8.2;1
195412;5.8;1
195501;6.9;1
195502;3.9;1
195503;8.1;1
195504;14.6;1
195505;16.6;1
195506;19.6;1
195507;22.7;1
195508;21.8;1
195509;17.8;1
195510;12.9;1
195511;6.6;1
195512;7.4;1
195601;5.1;1
195602;-4.5;1
195603;8.6;1
195604;9.5;1
195605;17.8;1
195606;17.1;1
195607;21.6;1
195608;21.8;1
195609;20.9;1
195610;12.1;1
195611;4.2;1
195612;4.1;1
195701;4.9;1
195702;7.3;1
195703;14.9;1
195704;12.6;1
195705;13.4;1
195706;19.5;1
195707;22.6;1
195708;21.5;1
195709;18.7;1
195710;14.5;1
195711;8;1
195712;4.6;1
195801;2.8;1
195802;7.7;1
195803;5.7;1
195804;8.6;1
195805;19.3;1
195806;18.6;1
195807;22.1;1
195808;23.5;1
195809;21;1
195810;13.4;1
195811;8;1
195812;4.8;1
195901;3.2;1
195902;10.1;1
195903;11.5;1
195904;12.4;1
195905;16.5;1
195906;20.4;1
195907;24.4;1
195908;21.8;1
195909;20.3;1
195910;13.5;1
195911;7.1;1
195912;4.1;1
196001;2.6;1
196002;7.3;1
196003;9.3;1
196004;11.9;1
196005;18.9;1
196006;20.9;1
196007;20.3;1
196008;21;1
196009;17;1
196010;11.4;1
196011;7.7;1
196012;2.7;1
196101;3.1;1
196102;9;1
196103;12.7;1
196104;15.1;1
196105;15.4;1
196106;20.3;1
196107;21.4;1
196108;23.1;1
196109;23.3;1
196110;14.5;1
196111;7.9;1
196112;6.2;1
196201;5;1
196202;3.8;1
196203;5.3;1
196204;11.7;1
196205;15.3;1
196206;19.2;1
196207;23.4;1
196208;26;1
196209;19.8;1
196210;14.7;1
196211;5.1;1
196212;1.8;1
196301;-0.2;1
196302;1.3;1
196303;7.3;1
196304;12.7;1
196305;15.2;1
196306;19.1;1
196307;23.6;1
196308;20.5;1
196309;17.7;1
196310;14.7;1
196311;10.1;1
196312;3.3;1
196401;5.5;1
196402;6.6;1
196403;7.5;1
196404;13.1;1
196405;19;1
196406;21.1;1
196407;24.9;1
196408;21.5;1
196409;20;1
196410;11.1;1
196411;9.5;1
196412;2.8;1
196501;2.9;1
196502;1.1;1
196503;8.4;1
196504;10.4;1
196505;16.5;1
196506;20.8;1
196507;22.5;1
196508;21.9;1
196509;16.7;1
196510;16.8;1
196511;7.2;1
196512;4.2;1
196601;2.3;1
196602;9.2;1
196603;7.6;1
196604;13.5;1
196605;16.8;1
196606;21.1;1
196607;20.3;1
196608;21.2;1
196609;22.2;1
196610;14.9;1
196611;4.1;1
196612;2.9;1
196701;3.2;1
196702;7;1
196703;9.4;1
196704;11.7;1
196705;16.2;1
196706;18.3;1
196707;25.8;1
196708;23.9;1
196709;19;1
196710;17.3;1
196711;10.4;1
196712;2.1;1
196801;2.8;1
196802;5.5;1
196803;9.1;1
196804;14.6;1
196805;14.9;1
196806;19.3;1
196807;22.2;1
196808;19.2;1
196809;17.1;1
196810;17.2;1
196811;8.3;1
196812;3.2;1
196901;4.2;1
196902;2.2;1
196903;8.1;1
196904;11.5;1
196905;17.6;1
196906;16.9;1
196907;22.6;1
196908;20.8;1
196909;19.3;1
196910;16.9;1
196911;7.8;1
196912;-0.1;1
197001;5.4;1
197002;3.3;1
197003;3.8;1
197004;9.2;1
197005;14.8;1
197006;21;1
197007;22.8;1
197008;22.9;1
197009;21.7;1
197010;14.4;1
197011;10.1;1
197012;2.3;1
197101;3.6;1
197102;4.2;1
197103;3.1;1
197104;14.8;1
197105;16.4;1
197106;18.2;1
197107;24.1;1
197108;25.1;1
197109;19.1;1
197110;16.9;1
197111;4.1;1
197112;5.1;1
197201;3.3;1
197202;6.1;1
197203;10.5;1
197204;10.4;1
197205;15.2;1
197206;18.5;1
197207;21.7;1
197208;21.1;1
197209;15.7;1
197210;14;1
197211;9.7;1
197212;7;1
197301;4.3;1
197302;1.9;1
197303;6.3;1
197304;8.5;1
197305;18.2;1
197306;20.2;1
197307;22;1
197308;24.2;1
197309;21;1
197310;14;1
197311;8.5;1
197312;3.7;1
197401;7.4;1
197402;4.5;1
197403;9.3;1
197404;11.7;1
197405;15.6;1
197406;18.8;1
197407;22.5;1
197408;24.3;1
197409;17.8;1
197410;5.9;1
197411;6.4;1
197412;6;1
197501;6.9;1
197502;7.9;1
197503;5.4;1
197504;11.5;1
197505;15;1
197506;18.2;1
197507;24.3;1
197508;22.2;1
197509;19.6;1
197510;14.4;1
197511;6;1
197512;4.5;1
197601;4.4;1
197602;7.4;1
197603;9.4;1
197604;11.6;1
197605;18.8;1
197606;23.8;1
197607;22.8;1
197608;21.8;1
197609;16.9;1
197610;14.2;1
197611;5.5;1
197612;4.1;1
197701;3.9;1
197702;7.8;1
197703;11.9;1
197704;11.8;1
197705;14.9;1
197706;18;1
197707;21.7;1
197708;19.8;1
197709;18.4;1
197710;15.1;1
197711;7;1
197712;5.1;1
197801;2.3;1
197802;3.6;1
197803;7.9;1
197804;9.1;1
197805;13.7;1
197806;18.9;1
197807;22.4;1
197808;21.4;1
197809;19.5;1
197810;13.8;1
197811;9.8;1
197812;5.7;1
197901;2.1;1
197902;5;1
197903;8.3;1
197904;9.1;1
197905;17.1;1
197906;20.2;1
197907;22.9;1
197908;21.3;1
197909;19;1
197910;14.1;1
197911;6.6;1
197912;5.3;1
198001;1.7;1
198002;7.6;1
198003;7.1;1
198004;9.2;1
198005;13.6;1
198006;17.4;1
198007;20.5;1
198008;22.6;1
198009;20.7;1
198010;12.4;1
198011;7.2;1
198012;1.2;1
198101;1;1
198102;3.2;1
198103;9.6;1
198104;13.9;1
198105;15.4;1
198106;19.6;1
198107;20.5;1
198108;22.7;1
198109;18.3;1
198110;13.2;1
198111;8.5;1
198112;1.8;1
198201;5.9;1
198202;7.3;1
198203;6.4;1
198204;13.3;1
198205;18;1
198206;20.7;1
198207;24.9;1
198208;22.3;1
198209;20.2;1
198210;13.2;1
198211;7.8;1
198212;3.8;1
198301;7;1
198302;2.6;1
198303;9.6;1
198304;11;1
198305;13.5;1
198306;20.8;1
198307;27.5;1
198308;22.7;1
198309;20.3;1
198310;14.2;1
198311;10.6;1
198312;6;1
198401;2.6;1
198402;2.8;1
198403;5.6;1
198404;12.2;1
198405;11.9;1
198406;20.3;1
198407;25.1;1
198408;22.1;1
198409;16.4;1
198410;14.1;1
198411;11;1
198412;5.3;1
198501;-1.4;1
198502;7.4;1
198503;5.3;1
198504;13.8;1
198505;14.8;1
198506;19.9;1
198507;25.4;1
198508;23;1
198509;22.6;1
198510;17.3;1
198511;3.4;1
198512;6;1
198601;1.4;1
198602;1.5;1
198603;8.3;1
198604;7.6;1
198605;18.3;1
198606;21.1;1
198607;23.6;1
198608;23.2;1
198609;20.2;1
198610;15.6;1
198611;8.7;1
198612;3.3;1
198701;0.3;1
198702;3.6;1
198703;5.9;1
198704;13.4;1
198705;13.5;1
198706;18.6;1
198707;22;1
198708;23.8;1
198709;23.1;1
198710;14.8;1
198711;7.4;1
198712;8.8;1
198801;5.4;1
198802;4.1;1
198803;5.3;1
198804;11.5;1
198805;16.6;1
198806;18.6;1
198807;23.9;1
198808;24.4;1
198809;19.6;1
198810;15.9;1
198811;7.7;1
198812;4.5;1
198901;8;1
198902;9.5;1
198903;12.7;1
198904;9.7;1
198905;19;1
198906;20.4;1
198907;24;1
198908;24.7;1
198909;19.1;1
198910;16.5;1
198911;9.3;1
198912;9.4;1
199001;8.8;1
199002;10.6;1
199003;12;1
199004;11.2;1
199005;19.2;1
199006;19.9;1
199007;25.1;1
199008;24.4;1
199009;20.1;1
199010;15.4;1
199011;6;1
199012;0.7;1
199101;5.7;1
199102;4.7;1
199103;11.3;1
199104;11.6;1
199105;13.4;1
199106;19.5;1
199107;26.4;1
199108;26.4;1
199109;20.9;1
199110;12.6;1
199111;6.9;1
199112;5.3;1
199201;5.2;1
199202;6.8;1
199203;9.3;1
199204;12.6;1
199205;18.5;1
199206;17.1;1
199207;23.4;1
199208;26.6;1
199209;19.4;1
199210;10.2;1
199211;10.9;1
199212;5.7;1
199301;7.7;1
199302;6.7;1
199303;9.4;1
199304;12.4;1
199305;18;1
199306;21.3;1
199307;22;1
199308;25.3;1
199309;17;1
199310;12;1
199311;7;1
199312;4.7;1
199401;4.4;1
199402;6.1;1
199403;14.6;1
199404;9.3;1
199405;18.3;1
199406;21.7;1
199407;27.5;1
199408;25.5;1
199409;17;1
199410;15;1
199411;11.9;1
199412;6.2;1
199501;1.6;1
199502;8.1;1
199503;7.9;1
199504;13.4;1
199505;16.7;1
199506;20;1
199507;25.8;1
199508;22.2;1
199509;15.8;1
199510;17.9;1
199511;7.5;1
199512;5.2;1
199601;7.6;1
199602;2.5;1
199603;9.2;1
199604;13.7;1
199605;16.5;1
199606;21.6;1
199607;22;1
199608;21.1;1
199609;16.1;1
199610;13;1
199611;6.6;1
199612;5.1;1
199701;6.6;1
199702;10;1
199703;14.1;1
199704;14.2;1
199705;18.4;1
199706;19.8;1
199707;21.8;1
199708;25.3;1
199709;23.1;1
199710;15.7;1
199711;9.8;1
199712;4.2;1
199801;5.7;1
199802;11.5;1
199803;10.5;1
199804;11.2;1
199805;18.5;1
199806;22.1;1
199807;24.8;1
199808;24.5;1
199809;18.1;1
199810;12.6;1
199811;5;1
199812;4.5;1
199901;6;1
199902;1.7;1
199903;10;1
199904;11.4;1
199905;19.9;1
199906;20.2;1
199907;23.9;1
199908;23.9;1
199909;21.1;1
199910;15.6;1
199911;5.9;1
199912;3.6;1
200001;3.7;1
200002;7.7;1
200003;10.1;1
200004;13.1;1
200005;19.7;1
200006;22.5;1
200007;21.4;1
200008;24.9;1
200009;21.2;1
200010;13.8;1
200011;7.4;1
200012;7.4;1
200101;5.5;1
200102;6.9;1
200103;11.7;1
200104;11;1
200105;18.3;1
200106;20.8;1
200107;23.7;1
200108;25.1;1
200109;15.5;1
200110;18.6;1
200111;6.8;1
200112;3.3;1
200201;7.1;1
200202;7.5;1
200203;11.1;1
200204;14;1
200205;15.8;1
200206;23.7;1
200207;23.4;1
200208;22.6;1
200209;17.1;1
200210;15;1
200211;9.6;1
200212;6.5;1
200301;2.1;1
200302;4.2;1
200303;13.3;1
200304;13.8;1
200305;19.6;1
200306;27.1;1
200307;26.8;1
200308;29.3;1
200309;20.1;1
200310;12.2;1
200311;10.8;1
200312;5.9;1
200401;2.5;1
200402;6.4;1
200403;9.3;1
200404;12.2;1
200405;16.5;1
200406;22.5;1
200407;25.1;1
200408;24.2;1
200409;21.1;1
200410;16.6;1
200411;7.4;1
200412;5.7;1
200501;3.7;1
200502;1.8;1
200503;10.2;1
200504;12.6;1
200505;18.7;1
200506;24.6;1
200507;24.7;1
200508;22.3;1
200509;19.7;1
200510;16.8;1
200511;8;1
200512;1;1
200601;4.2;1
200602;4.6;1
200603;7.3;1
200604;13.9;1
200605;18;1
200606;24;1
200607;28.1;1
200608;20.4;1
200609;22.3;1
200610;18.5;1
200611;11.7;1
200612;8.1;1
200701;7.3;1
200702;8.3;1
200703;9.8;1
200704;18.8;1
200705;18.1;1
200706;21.6;1
200707;23.6;1
200708;22.5;1
200709;18.7;1
200710;14.9;1
200711;6.6;1
200712;4.8;1
200801;8;1
200802;10.2;1
200803;7.7;1
200804;12;1
200805;18.4;1
