# DONNEES MENSUELLES HOMOGENEISEES de TX : Moyenne mensuelle de la température maximale sous abri (en °C et 1/10) 
# NUM_POSTE= 27112001
# NOM_USUEL= BRETEUIL
# LATITUDE (°) = 48.838
# LONGITUDE(°)= 0.908
# ALTITUDE (m) = 168
# NUM_SERIE= MTX127112001
# Amplitude minimale détectable de la série = 0.14
# Période homogénéisée : 196001 202212
# Date(s) de rupture(s) d'homogénéité : 196712 197912 198701 199012 199212 201909
#     Periode homogénéisée  196001 202212  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
196001;5.6;1
196002;7.7;1
196003;12.2;1
196004;14.6;1
196005;20.1;1
196006;23.3;1
196007;21.4;1
196008;21.8;1
196009;18.5;1
196010;14.5;1
196011;11;1
196012;5.5;1
196101;5.6;1
196102;11.5;1
196103;14.4;1
196104;16.7;1
196105;17.7;1
196106;22.3;1
196107;23.4;1
196108;23.1;1
196109;24;1
196110;15.7;1
196111;8.4;1
196112;6.1;1
196201;6.9;1
196202;5.3;1
196203;6.6;1
196204;13.1;1
196205;14.6;1
196206;21.5;1
196207;21.4;1
196208;21.9;1
196209;19.3;1
196210;15.9;1
196211;7.7;1
196212;5.7;1
196301;-0.5;1
196302;1.8;1
196303;10.1;1
196304;13.6;1
196305;16.2;1
196306;20.1;1
196307;23.3;1
196308;19.7;1
196309;18.3;1
196310;14.9;1
196311;12.3;1
196312;4;1
196401;3.9;1
196402;7.3;1
196403;8.6;1
196404;13.9;1
196405;20.5;1
196406;21.1;1
196407;24.8;1
196408;23.8;1
196409;21.9;1
196410;12.6;1
196411;9.3;1
196412;5.6;1
196501;5.7;1
196502;4.2;1
196503;10.9;1
196504;13.1;1
196505;17.5;1
196506;21.2;1
196507;20.3;1
196508;21.7;1
196509;18;1
196510;17;1
196511;8.4;1
196512;8.5;1
196601;4.8;1
196602;10.8;1
196603;10.4;1
196604;15.1;1
196605;17.2;1
196606;22.4;1
196607;21.2;1
196608;22;1
196609;20.7;1
196610;14.7;1
196611;7.3;1
196612;7.6;1
196701;6.2;1
196702;8.9;1
196703;11.6;1
196704;12.7;1
196705;17.2;1
196706;20.8;1
196707;25.1;1
196708;22.7;1
196709;18.7;1
196710;16.6;1
196711;8.6;1
196712;5.6;1
196801;6.8;1
196802;5.6;1
196803;11.2;1
196804;15.6;1
196805;15.8;1
196806;20.4;1
196807;21.7;1
196808;21.4;1
196809;20;1
196810;16.5;1
196811;8.2;1
196812;3.5;1
196901;7.8;1
196902;4.7;1
196903;10.4;1
196904;14.4;1
196905;18.6;1
196906;20.2;1
196907;24.6;1
196908;23;1
196909;20.3;1
196910;18.4;1
196911;10;1
196912;3.7;1
197001;6.7;1
197002;7.6;1
197003;7.5;1
197004;11.4;1
197005;18.6;1
197006;22.6;1
197007;22.1;1
197008;22.5;1
197009;21.3;1
197010;15.1;1
197011;11.9;1
197012;4.3;1
197101;6.3;1
197102;7;1
197103;8.1;1
197104;15.5;1
197105;18.9;1
197106;19.1;1
197107;24.9;1
197108;22;1
197109;20.8;1
197110;17.4;1
197111;9.4;1
197112;6.3;1
197201;5.1;1
197202;7.7;1
197203;13.1;1
197204;12.9;1
197205;16;1
197206;18.1;1
197207;22.9;1
197208;21.6;1
197209;17.4;1
197210;15.2;1
197211;10.1;1
197212;6.8;1
197301;5.1;1
197302;5.5;1
197303;11.5;1
197304;12.3;1
197305;17.5;1
197306;22;1
197307;22.2;1
197308;26;1
197309;21.7;1
197310;14.3;1
197311;10.1;1
197312;6.2;1
197401;8.7;1
197402;8.2;1
197403;10.7;1
197404;14.7;1
197405;16.6;1
197406;20.7;1
197407;21.7;1
197408;23.2;1
197409;17.4;1
197410;10.5;1
197411;10.1;1
197412;9.9;1
197501;9.8;1
197502;9.6;1
197503;8.4;1
197504;13.6;1
197505;15.8;1
197506;20.7;1
197507;23.5;1
197508;25.7;1
197509;19.2;1
197510;13.2;1
197511;9.4;1
197512;4.5;1
197601;6.5;1
197602;6.6;1
197603;9.8;1
197604;14.6;1
197605;19.9;1
197606;27.1;1
197607;27.1;1
197608;26.7;1
197609;18.8;1
197610;15.3;1
197611;9.2;1
197612;4.3;1
197701;5.8;1
197702;9.6;1
197703;12;1
197704;13;1
197705;16.2;1
197706;18.2;1
197707;22.7;1
197708;22;1
197709;19.6;1
197710;17.2;1
197711;9.8;1
197712;8.6;1
197801;5.8;1
197802;5.7;1
197803;11.1;1
197804;11.5;1
197805;17.8;1
197806;18.9;1
197807;20.9;1
197808;20.8;1
197809;20.1;1
197810;16;1
197811;10.1;1
197812;6.9;1
197901;1.5;1
197902;5.3;1
197903;9.2;1
197904;12.6;1
197905;16.9;1
197906;19.9;1
197907;23.1;1
197908;21.3;1
197909;20.1;1
197910;15.2;1
197911;10;1
197912;8.8;1
198001;3.8;1
198002;9.2;1
198003;8.9;1
198004;13.5;1
198005;16.8;1
198006;19.2;1
198007;20.3;1
198008;22.6;1
198009;20.5;1
198010;13.9;1
198011;8;1
198012;6;1
198101;7;1
198102;5.5;1
198103;12.7;1
198104;13.3;1
198105;16.2;1
198106;19.4;1
198107;21.8;1
198108;24.2;1
198109;21.1;1
198110;13.7;1
198111;10.4;1
198112;6;1
198201;6.7;1
198202;7.9;1
198203;10.7;1
198204;13.9;1
198205;18.3;1
198206;22.3;1
198207;24.8;1
198208;22.1;1
198209;22.4;1
198210;14;1
198211;10.7;1
198212;7.2;1
198301;8.4;1
198302;4.8;1
198303;10.3;1
198304;13;1
198305;15.7;1
198306;22.1;1
198307;28.5;1
198308;24;1
198309;20.4;1
198310;16;1
198311;10.6;1
198312;7.3;1
198401;7.1;1
198402;6.3;1
198403;8.7;1
198404;15.4;1
198405;14;1
198406;21.9;1
198407;25.1;1
198408;24.3;1
198409;18.6;1
198410;15.4;1
198411;12.5;1
198412;7.2;1
198501;1.9;1
198502;6.5;1
198503;9.1;1
198504;14.8;1
198505;17.3;1
198506;19.3;1
198507;24.1;1
198508;21.6;1
198509;22.3;1
198510;16.3;1
198511;7.6;1
198512;8.8;1
198601;6.7;1
198602;1.1;1
198603;9.8;1
198604;10.9;1
198605;17.9;1
198606;22.6;1
198607;22.8;1
198608;21.5;1
198609;17.2;1
198610;16.2;1
198611;10.2;1
198612;7.7;1
198701;-0.7;1
198702;5.2;1
198703;7.5;1
198704;16.4;1
198705;15.5;1
198706;18.7;1
198707;22.2;1
198708;22.7;1
198709;21.4;1
198710;15.4;1
198711;9.1;1
198712;6.2;1
198801;8.7;1
198802;7.7;1
198803;9.7;1
198804;14.2;1
198805;18.9;1
198806;20.2;1
198807;21.2;1
198808;23.3;1
198809;18.9;1
198810;15.5;1
198811;9.7;1
198812;9;1
198901;7.5;1
198902;10;1
198903;13.7;1
198904;12.3;1
198905;21.5;1
198906;22.1;1
198907;25.6;1
198908;24.1;1
198909;22;1
198910;17.5;1
198911;10.4;1
198912;7.5;1
199001;7.5;1
199002;12.8;1
199003;13.6;1
199004;14;1
199005;21.3;1
199006;20.1;1
199007;26;1
199008;27.7;1
199009;20.6;1
199010;17.6;1
199011;10;1
199012;5.3;1
199101;6.8;1
199102;4.1;1
199103;13.3;1
199104;14.2;1
199105;15.9;1
199106;18.6;1
199107;24;1
199108;26.7;1
199109;22.3;1
199110;14;1
199111;9.5;1
199112;6.3;1
199201;4.9;1
199202;8.8;1
199203;11.6;1
199204;14;1
199205;20.8;1
199206;21.3;1
199207;24.6;1
199208;23.9;1
199209;19.1;1
199210;12.4;1
199211;11.8;1
199212;6.4;1
199301;8.6;1
199302;5.1;1
199303;11.6;1
199304;15;1
199305;18.1;1
199306;21.4;1
199307;21.8;1
199308;22.9;1
199309;18.6;1
199310;12;1
199311;7.7;1
199312;9.1;1
199401;8.4;1
199402;8.7;1
199403;13;1
199404;13.2;1
199405;18.1;1
199406;21.7;1
199407;26.8;1
199408;23.2;1
199409;17.7;1
199410;15.8;1
199411;13;1
199412;9.4;1
199501;9.3;1
199502;10.9;1
199503;11.2;1
199504;13.7;1
199505;18.3;1
199506;20.8;1
199507;26.5;1
199508;26.4;1
199509;18.8;1
199510;18.5;1
199511;10.8;1
199512;5.4;1
199601;5.9;1
199602;5.1;1
199603;10.6;1
199604;15.2;1
199605;15;1
199606;23.1;1
199607;24.5;1
199608;23.9;1
199609;19.2;1
199610;16.4;1
199611;9.4;1
199612;3.8;1
199701;2.6;1
199702;10.5;1
199703;13.6;1
199704;15.6;1
199705;18.9;1
199706;20.7;1
199707;23.5;1
199708;27.8;1
199709;22.8;1
199710;15.9;1
199711;11.4;1
199712;8.3;1
199801;7.4;1
199802;10.7;1
199803;12.1;1
199804;13.3;1
199805;21.3;1
199806;21.6;1
199807;21.9;1
199808;25.5;1
199809;19.9;1
199810;14.2;1
199811;8.1;1
199812;7.7;1
199901;8.5;1
199902;7.3;1
199903;12.7;1
199904;15.4;1
199905;20.3;1
199906;21.2;1
199907;26.6;1
199908;24.9;1
199909;22.2;1
199910;15.4;1
199911;9.7;1
199912;8.1;1
200001;6.3;1
200002;10.3;1
200003;11.7;1
200004;13.9;1
200005;19.5;1
200006;22.5;1
200007;21.5;1
200008;25.1;1
200009;20.7;1
200010;14.9;1
200011;11.3;1
200012;9.1;1
200101;7.1;1
200102;8.3;1
200103;11.6;1
200104;12.7;1
200105;19.8;1
200106;22.6;1
200107;24.4;1
200108;25.6;1
200109;17.9;1
200110;18.9;1
200111;9.6;1
200112;5.6;1
200201;8.2;1
200202;11;1
200203;13.9;1
200204;16;1
200205;18.3;1
200206;22.2;1
200207;23.5;1
200208;23.3;1
200209;20.5;1
200210;16.3;1
200211;11.7;1
200212;8.6;1
200301;5.4;1
200302;7.3;1
200303;15;1
200304;16.5;1
200305;19.1;1
200306;25.7;1
200307;25.6;1
200308;30.1;1
200309;21.9;1
200310;12.9;1
200311;11.8;1
200312;7.1;1
200401;7.4;1
200402;8.3;1
200403;10.8;1
200404;14.9;1
200405;17.9;1
200406;23.1;1
200407;23.8;1
200408;24.5;1
200409;21.9;1
200410;15.4;1
200411;10;1
200412;6;1
200501;7.4;1
200502;5.7;1
200503;11.6;1
200504;15.5;1
200505;17.8;1
200506;24;1
200507;23.9;1
200508;23.9;1
200509;22.2;1
200510;19.1;1
200511;8.9;1
200512;6.1;1
200601;5;1
200602;5.9;1
200603;9.2;1
200604;15.3;1
200605;19;1
200606;24.5;1
200607;29.2;1
200608;21.6;1
200609;23.9;1
200610;17.9;1
200611;12.4;1
200612;8;1
200701;9.4;1
200702;10.7;1
200703;12.2;1
200704;21.1;1
200705;19;1
200706;21.8;1
200707;21.8;1
200708;21.8;1
200709;19.8;1
200710;15.3;1
200711;10.3;1
200712;6.9;1
200801;8.5;1
200802;10.2;1
200803;10.4;1
200804;14.6;1
200805;21.7;1
200806;22.1;1
200807;24.1;1
200808;22.6;1
200809;19.2;1
200810;14.9;1
200811;10.4;1
200812;5.6;1
200901;4.3;1
200902;7.5;1
200903;12.4;1
200904;16.7;1
200905;19.5;1
200906;22.9;1
200907;24.2;1
200908;26.1;1
200909;22.3;1
200910;16.4;1
200911;12.3;1
200912;6.2;1
201001;3.2;1
201002;7;1
201003;11.6;1
201004;16.3;1
201005;17.7;1
201006;23.9;1
201007;27.2;1
201008;23;1
201009;21.2;1
201010;15.7;1
201011;8.9;1
201012;2.3;1
201101;6.4;1
201102;9.6;1
201103;13.6;1
201104;20.3;1
201105;21.4;1
201106;22.5;1
