# DONNEES MENSUELLES HOMOGENEISEES de TX : Moyenne mensuelle de la température maximale sous abri (en °C et 1/10) 
# NUM_POSTE= 29075001
# NOM_USUEL= BREST-GUIPAVAS
# LATITUDE (°) = 48.45
# LONGITUDE(°)= -4.383
# ALTITUDE (m) = 94
# NUM_SERIE= MTX129075001
# Amplitude minimale détectable de la série = 0.15
# Période homogénéisée : 195101 201612
# Date(s) de rupture(s) d'homogénéité : Aucune rupture d'homogénéité
#     Periode homogénéisée  195101 201612  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195101;9.1;1
195102;8.8;1
195103;9.1;1
195104;11.9;1
195105;12.9;1
195106;18.3;1
195107;20.2;1
195108;17.9;1
195109;18;1
195110;14.7;1
195111;12.2;1
195112;10.3;1
195201;8.2;1
195202;8.3;1
195203;10.8;1
195204;13.9;1
195205;17.3;1
195206;18.3;1
195207;19.8;1
195208;19.6;1
195209;15.6;1
195210;14.2;1
195211;9.9;1
195212;8.8;1
195301;7.2;1
195302;7.9;1
195303;13;1
195304;12.6;1
195305;16.1;1
195306;16.8;1
195307;18.2;1
195308;20.5;1
195309;18.2;1
195310;15.6;1
195311;12;1
195312;12.3;1
195401;8.4;1
195402;8.1;1
195403;11.5;1
195404;12.6;1
195405;14.6;1
195406;16.1;1
195407;16.5;1
195408;18;1
195409;16.7;1
195410;15.9;1
195411;12.4;1
195412;10.8;1
195501;8.6;1
195502;7.7;1
195503;8;1
195504;13.9;1
195505;14.5;1
195506;17.9;1
195507;21.4;1
195508;24.4;1
195509;19.3;1
195510;14.7;1
195511;11.7;1
195512;11.7;1
195601;9.5;1
195602;3.4;1
195603;11.7;1
195604;11.8;1
195605;15.6;1
195606;16;1
195607;18.8;1
195608;17.3;1
195609;17.8;1
195610;14.7;1
195611;10.8;1
195612;10.5;1
195701;9.2;1
195702;10.6;1
195703;13.9;1
195704;12.4;1
195705;14.5;1
195706;19.4;1
195707;19.8;1
195708;19.9;1
195709;17.2;1
195710;15.9;1
195711;10.5;1
195712;9.3;1
195801;9;1
195802;10.8;1
195803;9.1;1
195804;11.6;1
195805;15.6;1
195806;17.1;1
195807;18.4;1
195808;18.3;1
195809;19.5;1
195810;14.5;1
195811;11.3;1
195812;9.9;1
195901;9;1
195902;10.6;1
195903;12.2;1
195904;13;1
195905;16.1;1
