# DONNEES MENSUELLES HOMOGENEISEES de TX : Moyenne mensuelle de la température maximale sous abri (en °C et 1/10) 
# NUM_POSTE= 29155005
# NOM_USUEL= OUESSANT-STIFF
# LATITUDE (°) = 48.473
# LONGITUDE(°)= -5.057
# ALTITUDE (m) = 64
# NUM_SERIE= MTX129155005
# Amplitude minimale détectable de la série = 0.2
# Période homogénéisée : 195201 201612
# Date(s) de rupture(s) d'homogénéité : 196805 197512 198612 199212
#     Periode homogénéisée  195201 201612  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195201;9.4;1
195202;9;1
195203;10.8;1
195204;12.9;1
195205;15.3;1
195206;16.6;1
195207;17.8;1
195208;18.3;1
195209;15.3;1
195210;13.6;1
195211;10.5;1
195212;9.6;1
195301;8;1
195302;8;1
195303;10.2;1
195304;11.4;1
195305;14;1
195306;15.1;1
195307;17.4;1
195308;18.7;1
195309;17;1
195310;14.9;1
195311;12.7;1
195312;12.5;1
195401;9.6;1
195402;8.9;1
195403;11;1
195404;11.4;1
195405;13.3;1
195406;15.6;1
195407;16.3;1
195408;16.8;1
195409;16.9;1
195410;15.3;1
195411;12.9;1
195412;11.2;1
195501;9.4;1
195502;8.3;1
195503;8.1;1
195504;12;1
195505;13.5;1
195506;16.8;1
195507;16.8;1
195508;19.9;1
195509;18.5;1
195510;14;1
195511;11.8;1
195512;12;1
195601;10.4;1
195602;5.8;1
195603;10.6;1
195604;10.8;1
195605;13.7;1
195606;15.1;1
195607;17;1
195608;16.5;1
195609;16.8;1
195610;14.8;1
195611;11.6;1
195612;11.1;1
195701;9.9;1
195702;10.9;1
195703;12.9;1
195704;11.8;1
195705;13.2;1
195706;16.6;1
195707;18.6;1
195708;18.7;1
195709;16.5;1
195710;14.9;1
195711;11.2;1
195712;10;1
195801;9.9;1
195802;10.8;1
195803;9.6;1
195804;11.1;1
195805;14.3;1
195806;15.7;1
195807;17.2;1
195808;17.6;1
195809;17.7;1
195810;14.2;1
195811;11.3;1
195812;10.1;1
195901;9;1
195902;9;1
195903;11.6;1
195904;12.6;1
195905;13.7;1
195906;16.3;1
195907;18.7;1
195908;18.4;1
195909;17.9;1
195910;16.6;1
195911;12.3;1
195912;11.1;1
196001;9.6;1
196002;9.5;1
196003;11.3;1
196004;11.9;1
196005;14.7;1
196006;17;1
196007;17.6;1
196008;18.1;1
196009;16.5;1
196010;14.7;1
196011;12.6;1
196012;9.8;1
196101;10;1
196102;11;1
196103;11.7;1
196104;13.5;1
196105;14.2;1
196106;16.2;1
196107;16.6;1
196108;18.3;1
196109;18.3;1
196110;15.2;1
196111;11.2;1
196112;9.5;1
196201;10.2;1
196202;8.8;1
196203;8.3;1
196204;10.7;1
196205;12.8;1
196206;15.6;1
196207;17;1
196208;17.3;1
196209;16.9;1
196210;14.9;1
196211;11.2;1
196212;9.1;1
196301;4.2;1
196302;6.7;1
196303;9.7;1
196304;11;1
196305;12.6;1
196306;15.4;1
196307;16.5;1
196308;16.7;1
196309;15.1;1
196310;14.5;1
196311;13.2;1
196312;8.7;1
196401;8.3;1
196402;9.2;1
196403;9.3;1
196404;11.4;1
196405;14.6;1
196406;16.4;1
196407;17.6;1
196408;17.5;1
196409;18.2;1
196410;13.6;1
196411;11.8;1
196412;10.2;1
196501;9;1
196502;7;1
196503;10.6;1
196504;12;1
196505;13.8;1
196506;15.5;1
196507;16.7;1
196508;17.7;1
196509;15.5;1
196510;15.5;1
196511;11.3;1
196512;11.2;1
196601;8.8;1
196602;11.2;1
196603;11.2;1
196604;13;1
196605;13.7;1
196606;16.4;1
196607;17.5;1
196608;17.7;1
196609;17.2;1
196610;15.1;1
196611;11.1;1
196612;10.9;1
196701;9.6;1
196702;9.8;1
196703;10.9;1
196704;10.8;1
196705;13.1;1
196706;15.4;1
196707;17.8;1
196708;18.2;1
196709;15.9;1
196710;14.6;1
196711;11.2;1
196712;9.9;1
196801;9.8;1
196802;8.3;1
196803;10.1;1
196804;11.5;1
196805;12.8;1
196806;15.3;1
196807;16.9;1
196808;17.2;1
196809;17.3;1
196810;16.1;1
196811;12.9;1
196812;11.1;1
196901;11;1
196902;8.2;1
196903;9.8;1
196904;11.5;1
196905;14.1;1
196906;15.8;1
196907;18.6;1
196908;18.2;1
196909;16.3;1
196910;16.7;1
196911;12.3;1
196912;10.3;1
197001;9.8;1
197002;9.7;1
197003;9.3;1
197004;10.4;1
197005;13.7;1
197006;17.4;1
197007;17.6;1
197008;17.5;1
197009;17.9;1
197010;14.5;1
197011;13;1
197012;9.4;1
197101;10.2;1
197102;9.3;1
197103;9.1;1
197104;11.1;1
197105;13.1;1
197106;15.2;1
197107;18.7;1
197108;18.4;1
197109;18.3;1
197110;16.5;1
197111;11.9;1
197112;10.4;1
197201;9.4;1
197202;9.5;1
197203;10.5;1
197204;11;1
197205;12.3;1
197206;13.5;1
197207;16.2;1
197208;16.7;1
197209;15.5;1
197210;14.1;1
197211;11.8;1
197212;10.8;1
197301;8.9;1
197302;9.3;1
197303;10.2;1
197304;10.6;1
197305;13.8;1
197306;16;1
197307;17.2;1
197308;18.7;1
197309;17.8;1
197310;14.1;1
197311;12.4;1
197312;10.8;1
197401;10.9;1
197402;10;1
197403;10.1;1
197404;11.3;1
197405;13.3;1
197406;16.1;1
197407;17.3;1
197408;17.5;1
197409;15.4;1
197410;12.1;1
197411;11.5;1
197412;11.2;1
197501;11;1
197502;10.7;1
197503;9.5;1
197504;11.4;1
197505;13.3;1
197506;16.8;1
197507;19.4;1
197508;19.8;1
197509;17.8;1
197510;15.2;1
197511;12.7;1
197512;9.8;1
197601;9.8;1
197602;9.3;1
197603;10.1;1
197604;10.7;1
197605;14.8;1
197606;19.6;1
197607;18.7;1
197608;17.7;1
197609;16.5;1
197610;14.6;1
197611;12.2;1
197612;9.1;1
197701;8.8;1
197702;10.5;1
197703;11.2;1
197704;11.2;1
197705;13;1
197706;14.4;1
197707;17.8;1
197708;18.1;1
197709;16.7;1
197710;16.2;1
197711;12;1
197712;10.6;1
197801;9.2;1
197802;9.1;1
197803;10.4;1
197804;10.8;1
197805;13.4;1
197806;16;1
197807;17.2;1
197808;17.8;1
197809;18;1
197810;15.5;1
197811;13.5;1
197812;11.1;1
197901;7.7;1
197902;8.6;1
197903;9.9;1
197904;11.7;1
197905;13.2;1
197906;16.6;1
197907;19.2;1
197908;18.6;1
197909;16.8;1
197910;15.9;1
197911;12.9;1
197912;11.2;1
198001;8.8;1
198002;10.9;1
198003;9.7;1
198004;11.7;1
198005;13.4;1
198006;16.7;1
198007;17;1
198008;18.7;1
198009;17.6;1
198010;13.9;1
198011;10.9;1
198012;10.6;1
198101;10;1
198102;8.6;1
198103;10.9;1
198104;11.1;1
198105;13.4;1
198106;15.2;1
198107;17.8;1
198108;17.9;1
198109;18.7;1
198110;14;1
198111;12.4;1
198112;10.4;1
198201;10;1
198202;10.1;1
198203;10.6;1
198204;11.3;1
198205;14.3;1
198206;17;1
198207;18;1
198208;19.1;1
198209;17.9;1
198210;14.4;1
198211;12.7;1
198212;10.6;1
198301;10.6;1
198302;7.6;1
198303;10.1;1
198304;11;1
198305;13.5;1
198306;16;1
198307;20.1;1
198308;18.6;1
198309;17.9;1
198310;15.1;1
198311;12.8;1
198312;11.1;1
198401;10.3;1
198402;9;1
198403;9.1;1
198404;12.4;1
198405;12.3;1
198406;15.7;1
198407;18.6;1
198408;20.1;1
198409;17.7;1
198410;14.8;1
198411;13.3;1
198412;11.3;1
198501;7.8;1
198502;8.6;1
198503;10.1;1
198504;12.5;1
198505;13.6;1
198506;16.1;1
198507;18.4;1
198508;18.1;1
198509;18.2;1
198510;15.3;1
198511;11.5;1
198512;11.9;1
198601;10.4;1
198602;4.8;1
198603;10.4;1
198604;9.2;1
198605;13.1;1
198606;15.4;1
198607;17.4;1
198608;16.3;1
198609;14.7;1
198610;14.8;1
198611;12.4;1
198612;10.9;1
198701;5.8;1
198702;8.8;1
198703;9.7;1
198704;13.1;1
198705;13.2;1
198706;15.6;1
198707;18.1;1
198708;18.8;1
198709;18.4;1
198710;15.1;1
198711;12.1;1
198712;10.7;1
198801;11.4;1
198802;10.3;1
198803;10.8;1
198804;12.4;1
198805;14.7;1
198806;16.3;1
198807;17.4;1
198808;18.2;1
198809;17;1
198810;15.2;1
198811;12.6;1
198812;12;1
198901;10.8;1
198902;11.1;1
198903;12.1;1
198904;11.7;1
198905;16.1;1
198906;17;1
198907;20.1;1
198908;20;1
198909;18.2;1
198910;15.9;1
198911;12.7;1
198912;11.1;1
199001;11.3;1
199002;12.1;1
199003;12.1;1
199004;12;1
199005;16.6;1
199006;16.1;1
199007;19.6;1
199008;20.7;1
199009;17.8;1
199010;15.9;1
199011;12;1
199012;9.9;1
199101;9.3;1
199102;7.8;1
199103;11.2;1
199104;11.5;1
199105;13.2;1
199106;14.8;1
199107;18.4;1
199108;19.2;1
199109;18.7;1
199110;14.7;1
199111;12.2;1
199112;9.7;1
199201;8.9;1
199202;9.9;1
199203;11.3;1
199204;11.8;1
199205;15.6;1
199206;17.1;1
199207;18.9;1
199208;18.2;1
199209;16.7;1
199210;13.4;1
199211;13;1
199212;10;1
199301;11.9;1
199302;9.3;1
199303;11.1;1
199304;12.3;1
199305;14.1;1
199306;16.7;1
199307;16.5;1
199308;17.6;1
199309;16.4;1
199310;13.4;1
199311;11.1;1
199312;12.2;1
199401;11.2;1
199402;10.9;1
199403;11.8;1
199404;11.5;1
199405;13.8;1
199406;16.1;1
199407;18.3;1
199408;18.4;1
199409;15.8;1
199410;15.8;1
199411;14.4;1
199412;13.1;1
199501;11.8;1
199502;11.9;1
199503;10.8;1
199504;11.6;1
199505;15.2;1
199506;15.5;1
199507;18.4;1
199508;19.7;1
199509;17.1;1
199510;17;1
199511;13.3;1
199512;10.2;1
199601;10.3;1
199602;9.2;1
199603;10.9;1
199604;12.4;1
199605;12.9;1
199606;17.7;1
199607;18.9;1
199608;19;1
199609;17.3;1
199610;15.4;1
199611;12.1;1
199612;9;1
199701;7.6;1
199702;11.4;1
199703;12.5;1
199704;13.4;1
199705;15.5;1
199706;16.9;1
199707;18.9;1
199708;20.7;1
199709;19;1
199710;16.3;1
199711;13.7;1
199712;11.6;1
199801;10.2;1
199802;10.9;1
199803;12.1;1
199804;11.9;1
199805;15.8;1
199806;17.5;1
199807;18;1
199808;19.6;1
199809;18.4;1
199810;15.1;1
199811;11.9;1
199812;11.6;1
199901;11.1;1
199902;10.4;1
199903;11.5;1
199904;12.6;1
199905;15.7;1
199906;16.5;1
199907;19.3;1
199908;20.1;1
199909;18.7;1
199910;15.7;1
199911;12.8;1
199912;11.2;1
200001;9.9;1
200002;11.3;1
200003;11;1
200004;12;1
200005;14.3;1
200006;17.2;1
200007;18;1
200008;19.5;1
200009;18.7;1
200010;14.4;1
200011;12;1
200012;11.5;1
200101;9.8;1
200102;10.7;1
200103;11.7;1
200104;12.2;1
200105;14.8;1
200106;17.7;1
200107;19.6;1
200108;19.7;1
200109;17.3;1
200110;16.7;1
