# DONNEES MENSUELLES HOMOGENEISEES de TX : Moyenne mensuelle de la température maximale sous abri (en °C et 1/10) 
# NUM_POSTE= 30305001
# NOM_USUEL= SALINDRES
# LATITUDE (°) = 44.175
# LONGITUDE(°)= 4.153
# ALTITUDE (m) = 191
# NUM_SERIE= MTX130305001
# Amplitude minimale détectable de la série = 0.21
# Période homogénéisée : 195601 201912
# Date(s) de rupture(s) d'homogénéité : 195812 197612 199512
#     Periode homogénéisée  195601 201912  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195601;10.4;1
195602;2.6;1
195603;12.2;1
195604;14.4;1
195605;22.1;1
195606;23.5;1
195607;27.6;1
195608;26.6;1
195609;24.7;1
195610;17.6;1
195611;11.6;1
195612;10.7;1
195701;11.3;1
195702;12.5;1
195703;18;1
195704;17.6;1
195705;19.7;1
195706;24.2;1
195707;29.1;1
195708;28.2;1
195709;26.3;1
195710;21.3;1
195711;13.2;1
195712;10.1;1
195801;9.7;1
195802;13.2;1
195803;12.2;1
195804;17.5;1
195805;23.1;1
195806;25.4;1
195807;27.2;1
195808;28.3;1
195809;25.5;1
195810;18.3;1
195811;12.3;1
195812;9.8;1
195901;10;1
195902;14.2;1
195903;15.1;1
195904;17.4;1
195905;21.9;1
195906;26.3;1
195907;31.8;1
195908;28.8;1
195909;24.2;1
195910;18.4;1
195911;13.2;1
195912;11.1;1
196001;9.7;1
196002;12.2;1
196003;14;1
196004;18.2;1
196005;24.4;1
196006;26.8;1
196007;26.9;1
196008;25.6;1
196009;22.6;1
196010;17.2;1
196011;13.7;1
196012;8.1;1
196101;9.2;1
196102;15.2;1
196103;18.3;1
196104;20.9;1
196105;21.9;1
196106;27.4;1
196107;29;1
196108;29.5;1
196109;28.2;1
196110;19.7;1
196111;12.8;1
196112;10.9;1
196201;11.4;1
196202;10.8;1
196203;11.3;1
196204;17.5;1
196205;21.1;1
196206;25.8;1
196207;29.1;1
196208;31.3;1
196209;24.8;1
196210;18.9;1
196211;11.3;1
196212;8.3;1
196301;5;1
196302;6.8;1
196303;13.6;1
196304;17.8;1
196305;22.3;1
196306;23.8;1
196307;28.5;1
196308;24.7;1
196309;22.2;1
196310;19.7;1
196311;15.5;1
196312;7.3;1
196401;8.4;1
196402;11.6;1
196403;12.4;1
196404;17.8;1
196405;23.3;1
196406;26.5;1
196407;30.8;1
196408;26.9;1
196409;23.8;1
196410;17.2;1
196411;14;1
196412;8.4;1
196501;9.6;1
196502;8.7;1
196503;14.2;1
196504;18;1
196505;23.3;1
196506;26.7;1
196507;27.5;1
196508;28.3;1
196509;21.2;1
196510;19.3;1
196511;13.2;1
196512;11.3;1
196601;9.1;1
196602;13.4;1
196603;14.9;1
196604;18.3;1
196605;22.2;1
196606;26.2;1
196607;27;1
196608;27.8;1
196609;27.5;1
196610;19.6;1
196611;11.3;1
196612;11.5;1
196701;9.3;1
196702;11.8;1
196703;15.2;1
196704;18.2;1
196705;20.9;1
196706;24.9;1
196707;30.9;1
196708;28.8;1
196709;23.7;1
196710;21.3;1
196711;14.2;1
196712;8.7;1
196801;10;1
196802;10.6;1
196803;15.3;1
196804;18;1
196805;19.9;1
196806;24.6;1
196807;27.4;1
196808;25.8;1
196809;22.2;1
196810;20.6;1
196811;12.6;1
196812;8.4;1
196901;10.4;1
196902;8.9;1
196903;12.5;1
196904;17.1;1
196905;21.1;1
196906;22.8;1
196907;28.3;1
196908;27;1
196909;23.3;1
196910;20.6;1
196911;13.4;1
196912;6.9;1
197001;9.9;1
197002;11.3;1
197003;11.4;1
197004;16.6;1
197005;21.2;1
197006;26.8;1
197007;29.1;1
197008;28.1;1
197009;25.9;1
197010;18.8;1
197011;14.8;1
197012;7.7;1
197101;7.6;1
197102;11.9;1
197103;10.5;1
197104;18.7;1
197105;20.8;1
197106;24.2;1
197107;29.9;1
197108;29.2;1
197109;24.3;1
197110;20.5;1
197111;11.3;1
197112;11;1
197201;9.2;1
197202;11.8;1
197203;14.9;1
197204;16.6;1
