# DONNEES MENSUELLES HOMOGENEISEES de TX : Moyenne mensuelle de la température maximale sous abri (en °C et 1/10) 
# NUM_POSTE= 30339001
# NOM_USUEL= MONT AIGOUAL
# LATITUDE (°) = 44.121
# LONGITUDE(°)= 3.582
# ALTITUDE (m) = 1567
# NUM_SERIE= MTX130339001
# Amplitude minimale détectable de la série = 0.23
# Période homogénéisée : 195101 201812
# Date(s) de rupture(s) d'homogénéité : Aucune rupture d'homogénéité
#     Periode homogénéisée  195101 201812  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195101;-0.5;1
195102;-1.8;1
195103;0.2;1
195104;3.9;1
195105;6.2;1
195106;13.5;1
195107;17.3;1
195108;14.7;1
195109;13.1;1
195110;6.6;1
195111;4.1;1
195112;3.4;1
195201;-1.7;1
195202;-1.3;1
195203;4;1
195204;6.4;1
195205;11.4;1
195206;16.7;1
195207;20.1;1
195208;16.5;1
195209;9.6;1
195210;7.7;1
195211;1.7;1
195212;0.9;1
195301;-0.5;1
195302;-0.7;1
195303;4.3;1
195304;5.3;1
195305;12.3;1
195306;10.6;1
195307;15.4;1
195308;17.2;1
195309;13.5;1
195310;8.4;1
195311;7.2;1
195312;2.3;1
195401;-2.5;1
195402;-1.2;1
195403;1.8;1
195404;3.8;1
195405;8.5;1
195406;13.8;1
195407;13.5;1
195408;13.6;1
195409;12.4;1
195410;9.5;1
195411;4.7;1
195412;3.7;1
195501;2.4;1
195502;-0.7;1
195503;2.7;1
195504;9;1
195505;9.9;1
195506;13;1
195507;16.7;1
195508;16.6;1
195509;12.3;1
195510;7.5;1
195511;3.6;1
195512;3.9;1
195601;1.9;1
195602;-7.9;1
195603;1.3;1
195604;3;1
195605;10.7;1
195606;10.6;1
195607;14.5;1
195608;13.8;1
195609;12.8;1
195610;5.6;1
195611;0.5;1
195612;1.1;1
195701;1.5;1
195702;1.6;1
195703;6.7;1
195704;5;1
195705;7.2;1
195706;11.7;1
195707;14;1
195708;14.4;1
195709;12.4;1
195710;9.5;1
195711;5.3;1
195712;1.3;1
195801;-0.3;1
195802;2.7;1
195803;0.7;1
195804;2.3;1
195805;11.1;1
195806;11.6;1
195807;14.2;1
195808;15.4;1
195809;15;1
195810;7.8;1
195811;3.5;1
195812;1.9;1
195901;0.7;1
195902;3.2;1
195903;2.9;1
195904;4.2;1
195905;8.7;1
195906;13;1
195907;17.9;1
195908;14.8;1
195909;11.9;1
195910;6.8;1
195911;2.9;1
195912;1.4;1
196001;1;1
196002;1.6;1
196003;1.6;1
196004;4.3;1
196005;11.2;1
196006;14;1
196007;13.6;1
196008;13.1;1
196009;10.1;1
196010;5.1;1
196011;3.4;1
196012;-1.9;1
196101;0.1;1
196102;3.8;1
196103;6.6;1
196104;7.4;1
196105;8.6;1
196106;13.1;1
196107;14.6;1
196108;15;1
196109;15;1
