# DONNEES MENSUELLES HOMOGENEISEES de TX : Moyenne mensuelle de la température maximale sous abri (en °C et 1/10) 
# NUM_POSTE= 31042012
# NOM_USUEL= LUCHON
# LATITUDE (°) = 42.802
# LONGITUDE(°)= 0.6
# ALTITUDE (m) = 618
# NUM_SERIE= MTX131042012
# Amplitude minimale détectable de la série = 0.19
# Période homogénéisée : 195901 201812
# Date(s) de rupture(s) d'homogénéité : 196012 196412 196712 197912 199412
#     Periode homogénéisée  195901 201812  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195901;11;1
195902;12.7;1
195903;14.7;1
195904;15.7;1
195905;18.2;1
195906;21.2;1
195907;25.3;1
195908;23;1
195909;20.9;1
195910;17.4;1
195911;12.3;1
195912;9.5;1
196001;9.5;1
196002;12.2;1
196003;14.7;1
196004;14.4;1
196005;21.1;1
196006;21.6;1
196007;21.3;1
196008;21.8;1
196009;20.2;1
196010;15.1;1
196011;13.3;1
196012;5.7;1
196101;7.8;1
196102;15.9;1
196103;18;1
196104;18.3;1
196105;19.2;1
196106;21.9;1
196107;23.1;1
196108;22.9;1
196109;25.1;1
196110;17.5;1
196111;12.2;1
196112;11.6;1
196201;9.8;1
196202;8;1
196203;10.5;1
196204;13.9;1
196205;16.4;1
196206;21;1
196207;24;1
196208;25.6;1
196209;23.7;1
196210;19;1
196211;10.2;1
196212;6.6;1
196301;7;1
196302;7.7;1
196303;13.7;1
196304;14.9;1
196305;17.5;1
196306;21.2;1
196307;22.7;1
196308;20.2;1
196309;19;1
196310;18.4;1
196311;14.7;1
196312;9.1;1
196401;8.7;1
196402;11.5;1
196403;11.9;1
196404;14.5;1
196405;20.6;1
196406;21.1;1
196407;24.6;1
196408;23.8;1
196409;24.3;1
196410;15.3;1
196411;12.8;1
196412;7.7;1
196501;8.8;1
196502;5.9;1
196503;14.2;1
196504;12.8;1
196505;18.7;1
196506;21.8;1
196507;21.4;1
196508;22.7;1
196509;18.9;1
196510;19.5;1
196511;12.9;1
196512;10.7;1
196601;11;1
196602;14.7;1
196603;12.3;1
196604;16.8;1
196605;18;1
196606;21.3;1
196607;21.1;1
196608;22.5;1
196609;24.8;1
196610;16.7;1
196611;8.7;1
196612;7.7;1
196701;9.5;1
196702;12.7;1
196703;14.1;1
196704;13.6;1
196705;17.6;1
196706;20.1;1
196707;25.6;1
196708;23.4;1
196709;21;1
196710;20.4;1
196711;12.4;1
196712;6.1;1
196801;8.5;1
196802;12.1;1
196803;12.7;1
196804;16.7;1
196805;16.9;1
196806;19.1;1
196807;23.5;1
196808;21;1
196809;20.3;1
196810;21.5;1
196811;13.3;1
196812;8.8;1
196901;10.5;1
196902;7.7;1
196903;11.3;1
196904;13.3;1
196905;19;1
196906;19;1
196907;24.9;1
196908;22.2;1
196909;19.6;1
196910;18.1;1
196911;12;1
196912;6.3;1
197001;10;1
197002;8;1
197003;7.6;1
197004;13.2;1
197005;18.8;1
197006;22.1;1
197007;23.6;1
197008;23.3;1
197009;24;1
197010;16.5;1
197011;15.4;1
197012;6;1
197101;9.8;1
197102;9.4;1
197103;8.2;1
197104;16.7;1
197105;17.3;1
197106;19.3;1
197107;25.6;1
197108;24.8;1
197109;20.8;1
197110;20.1;1
197111;8.7;1
197112;9.7;1
197201;7.6;1
197202;11.7;1
197203;14.7;1
197204;12.9;1
197205;15.1;1
197206;17.9;1
197207;22.6;1
197208;21.5;1
197209;17.2;1
197210;17.9;1
197211;13.4;1
197212;12.1;1
197301;9.4;1
197302;8.4;1
197303;11.9;1
197304;13.7;1
197305;20.3;1
197306;20.9;1
197307;21.6;1
197308;25.5;1
197309;22;1
197310;17.1;1
197311;13.8;1
197312;8;1
197401;12.9;1
197402;8.5;1
197403;12.1;1
197404;12.8;1
197405;17.8;1
197406;21.4;1
197407;23.5;1
197408;23.8;1
197409;19.2;1
197410;11.2;1
197411;12.5;1
197412;10.8;1
197501;11.8;1
197502;12.9;1
197503;9.5;1
197504;14.2;1
197505;16.4;1
197506;20.2;1
197507;25.5;1
197508;24.9;1
197509;20.9;1
197510;18;1
197511;11.3;1
197512;6.9;1
197601;8.6;1
197602;11;1
197603;13.6;1
197604;13.6;1
197605;18.2;1
197606;25.3;1
197607;25;1
197608;24.6;1
197609;20.5;1
197610;16.9;1
197611;11;1
197612;8.9;1
197701;9.1;1
197702;13;1
197703;14.9;1
197704;13.7;1
197705;15.6;1
197706;19.3;1
197707;20.7;1
197708;21.5;1
197709;21.4;1
197710;20.1;1
197711;12.4;1
197712;13.4;1
197801;7.5;1
197802;10.4;1
197803;13.5;1
197804;13.6;1
197805;17;1
197806;20;1
197807;23.7;1
197808;22.5;1
197809;21.9;1
197810;17.5;1
197811;13;1
197812;11.5;1
197901;9.1;1
197902;10.3;1
197903;12.2;1
197904;12.4;1
197905;16.8;1
197906;20.5;1
197907;24.8;1
197908;22.5;1
197909;21.6;1
197910;18.3;1
197911;13.4;1
197912;11.7;1
198001;9.4;1
198002;13.1;1
198003;12.5;1
198004;13.1;1
198005;15.2;1
198006;18.5;1
198007;21.8;1
198008;26.1;1
198009;24.1;1
198010;16.4;1
198011;13;1
198012;6;1
198101;8.4;1
198102;9.8;1
198103;16.6;1
198104;15.7;1
198105;17.8;1
198106;22.4;1
198107;22.6;1
198108;23.8;1
198109;20.4;1
198110;18;1
198111;16.9;1
198112;9.4;1
198201;11.2;1
198202;11.6;1
198203;11.8;1
198204;15.8;1
198205;19.1;1
198206;24;1
198207;26.1;1
198208;21.9;1
198209;23.1;1
198210;16.4;1
198211;13.7;1
198212;8.3;1
198301;11.6;1
198302;8.6;1
198303;12.7;1
198304;16.4;1
198305;17.2;1
198306;22.7;1
198307;27.6;1
198308;23.1;1
198309;24.3;1
198310;19.4;1
198311;15.8;1
198312;12;1
198401;8.8;1
198402;8.4;1
198403;11.3;1
198404;18;1
198405;14.3;1
198406;20.8;1
198407;26.6;1
198408;22.7;1
198409;20.2;1
198410;18.8;1
198411;13.7;1
198412;9.9;1
198501;3.7;1
198502;14.1;1
198503;10.2;1
198504;16.3;1
198505;17.2;1
198506;20.9;1
198507;25.3;1
198508;23.1;1
198509;25.2;1
198510;19.7;1
198511;9.9;1
198512;11.9;1
198601;7;1
198602;7.8;1
198603;13.2;1
198604;11.1;1
198605;21.3;1
198606;23;1
198607;25.3;1
198608;24.4;1
198609;23.7;1
198610;18.5;1
198611;13.3;1
198612;9.9;1
198701;6.4;1
198702;9;1
198703;12.6;1
198704;18.1;1
198705;16.7;1
198706;20.8;1
198707;23.1;1
198708;25.8;1
198709;26.5;1
198710;18.9;1
198711;12.4;1
198712;13.3;1
198801;12.4;1
198802;11;1
198803;12.6;1
198804;15.8;1
198805;18.3;1
198806;20.9;1
198807;23.8;1
198808;24.3;1
198809;21.5;1
198810;19.7;1
198811;16;1
198812;9.7;1
198901;12.8;1
198902;13;1
