# DONNEES MENSUELLES HOMOGENEISEES de TX : Moyenne mensuelle de la température maximale sous abri (en °C et 1/10) 
# NUM_POSTE= 33236002
# NOM_USUEL= CAP-FERRET
# LATITUDE (°) = 44.631
# LONGITUDE(°)= -1.252
# ALTITUDE (m) = 8
# NUM_SERIE= MTX133236002
# Amplitude minimale détectable de la série = 0.21
# Période homogénéisée : 195301 201712
# Date(s) de rupture(s) d'homogénéité : 198412 200512
#     Periode homogénéisée  195301 201712  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195301;7.7;1
195302;9;1
195303;15.1;1
195304;17.3;1
195305;20.7;1
195306;20.7;1
195307;23.6;1
195308;26.2;1
195309;23.1;1
195310;18.8;1
195311;13.7;1
195312;13.4;1
195401;8.6;1
195402;8.2;1
195403;14.5;1
195404;15.8;1
195405;18;1
195406;21.5;1
195407;22.5;1
195408;23.4;1
195409;22;1
195410;20.4;1
195411;15.5;1
195412;11.5;1
195501;11.5;1
195502;10.8;1
195503;12.2;1
195504;18.8;1
195505;19.7;1
195506;22.9;1
195507;25.6;1
195508;27.3;1
195509;22.7;1
195510;17;1
195511;12.6;1
195512;12.3;1
195601;10.1;1
195602;3.3;1
195603;14.5;1
195604;15.5;1
195605;19.4;1
195606;19.9;1
195607;23.3;1
195608;22.7;1
195609;23.5;1
195610;18.5;1
195611;11.9;1
195612;11.3;1
195701;9.8;1
195702;13.7;1
195703;17.5;1
195704;16.6;1
195705;18;1
195706;23.4;1
195707;25.2;1
195708;25.4;1
195709;21.6;1
195710;18.9;1
195711;11.1;1
195712;9.3;1
195801;10.3;1
195802;13.1;1
195803;12.5;1
195804;14.5;1
195805;19.8;1
195806;22.2;1
195807;23.1;1
195808;24.6;1
195809;25;1
195810;18;1
195811;11.6;1
195812;11.8;1
195901;11.4;1
195902;12.2;1
195903;15.7;1
195904;16.5;1
195905;19.4;1
195906;23.4;1
195907;26;1
195908;25.9;1
195909;24.3;1
195910;19.7;1
195911;13.6;1
195912;12;1
196001;10.7;1
196002;12.1;1
196003;15.2;1
196004;16.1;1
196005;21.3;1
196006;24.3;1
196007;22.9;1
196008;23.8;1
196009;21.5;1
196010;17.1;1
196011;14.7;1
196012;9.1;1
196101;10.1;1
196102;14.2;1
196103;15.6;1
196104;17.7;1
196105;19.8;1
196106;23;1
196107;23.6;1
196108;24;1
196109;24.9;1
196110;19.3;1
196111;12.9;1
196112;12.8;1
196201;11.2;1
196202;10.7;1
196203;11.2;1
196204;15.6;1
196205;17.9;1
196206;22.3;1
196207;23.2;1
196208;25.1;1
196209;23.3;1
196210;19.4;1
196211;11.9;1
196212;8.2;1
196301;6.9;1
196302;8.9;1
196303;13.8;1
196304;15.9;1
196305;17.8;1
196306;22;1
196307;24.2;1
196308;21.7;1
196309;21.2;1
196310;18.3;1
196311;16.1;1
196312;9;1
196401;7.4;1
196402;11.8;1
196403;12.8;1
196404;15.5;1
196405;21.3;1
196406;23.2;1
196407;25.1;1
196408;24.9;1
196409;24.4;1
196410;16.8;1
196411;12.2;1
196412;10.2;1
196501;10.3;1
196502;8.3;1
196503;13.5;1
196504;14.3;1
196505;18.5;1
196506;21;1
196507;23.1;1
196508;23.8;1
196509;19.7;1
196510;20.4;1
196511;14.3;1
196512;12.6;1
196601;10.4;1
196602;14.7;1
196603;13.2;1
196604;16.9;1
196605;19.5;1
196606;21.9;1
196607;22.7;1
196608;23.9;1
196609;24.3;1
196610;18.3;1
196611;11.8;1
196612;11.6;1
196701;9.8;1
196702;11.5;1
196703;13.7;1
196704;14.5;1
196705;18.8;1
196706;21.9;1
196707;24.3;1
196708;23.8;1
196709;22;1
196710;20.1;1
196711;14.2;1
196712;7.7;1
196801;10.9;1
196802;12.1;1
196803;12.9;1
196804;16.8;1
196805;17.6;1
196806;22.4;1
196807;25.2;1
196808;23.8;1
196809;21.6;1
196810;20.9;1
196811;14.4;1
196812;10.5;1
196901;11.3;1
196902;9.1;1
196903;12.6;1
196904;15;1
196905;19.4;1
196906;20.3;1
196907;25.1;1
196908;23.9;1
196909;20.9;1
196910;20.3;1
196911;13.3;1
196912;7.9;1
197001;10.4;1
197002;10.5;1
197003;10.1;1
197004;13.2;1
197005;19.4;1
197006;24.4;1
197007;24.3;1
197008;24.2;1
197009;24.1;1
197010;17.9;1
197011;15.8;1
197012;7.6;1
197101;10.9;1
197102;9.9;1
197103;10;1
197104;17;1
197105;18.7;1
197106;20.2;1
197107;26.8;1
197108;24.7;1
197109;23.4;1
197110;20.7;1
197111;11.3;1
197112;9.6;1
197201;9.5;1
197202;11.5;1
197203;14.1;1
197204;14.1;1
197205;17.2;1
197206;20.1;1
197207;24.5;1
197208;22.5;1
197209;20.4;1
197210;18.1;1
197211;13.3;1
197212;11.3;1
