# DONNEES MENSUELLES HOMOGENEISEES de TX : Moyenne mensuelle de la température maximale sous abri (en °C et 1/10) 
# NUM_POSTE= 33529001
# NOM_USUEL= CAZAUX
# LATITUDE (°) = 44.535
# LONGITUDE(°)= -1.132
# ALTITUDE (m) = 23
# NUM_SERIE= MTX133529001
# Amplitude minimale détectable de la série = 0.15
# Période homogénéisée : 195301 201712
# Date(s) de rupture(s) d'homogénéité : 196304 198612
#     Periode homogénéisée  195301 201712  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195301;7.7;1
195302;9.4;1
195303;16.6;1
195304;17.4;1
195305;21.3;1
195306;20.4;1
195307;23;1
195308;27.1;1
195309;23.7;1
195310;18.9;1
195311;14.5;1
195312;13.8;1
195401;8.6;1
195402;8.5;1
195403;14.6;1
195404;15.8;1
195405;18.3;1
195406;21.4;1
195407;22;1
195408;23.4;1
195409;22.4;1
195410;20.6;1
195411;15.5;1
195412;11.7;1
195501;11.6;1
195502;10.8;1
195503;12.5;1
195504;19.7;1
195505;19.7;1
195506;23.2;1
195507;26.2;1
195508;28;1
195509;22.7;1
195510;17.4;1
195511;12.9;1
195512;12.3;1
195601;10.3;1
195602;3;1
195603;15;1
195604;15.8;1
195605;19.9;1
195606;19.9;1
195607;23.4;1
195608;22.3;1
195609;23.6;1
195610;18.3;1
195611;11.5;1
195612;10.8;1
195701;9.5;1
195702;14.1;1
195703;18;1
195704;16.6;1
195705;17.8;1
195706;23.6;1
195707;24.4;1
195708;24.3;1
195709;21.9;1
195710;19.2;1
195711;11;1
195712;9.1;1
195801;10.2;1
195802;13.8;1
195803;12.6;1
195804;14.8;1
195805;20.7;1
195806;22.4;1
195807;23.4;1
195808;24.8;1
195809;25.7;1
195810;18.2;1
195811;11.7;1
195812;11.9;1
195901;11.4;1
195902;13.3;1
195903;15.9;1
195904;16.8;1
195905;19.9;1
195906;23.6;1
195907;26.3;1
195908;26.3;1
195909;24.9;1
195910;19.8;1
195911;13.3;1
195912;11.9;1
196001;10.4;1
196002;12.5;1
196003;15.5;1
196004;16.4;1
196005;22.3;1
196006;24.7;1
196007;22.5;1
196008;23.7;1
196009;21.4;1
196010;16.9;1
196011;14.6;1
196012;9;1
196101;9.8;1
196102;14.9;1
196103;16.9;1
196104;18.3;1
196105;20.4;1
196106;23.5;1
196107;23.9;1
196108;24.5;1
196109;26.5;1
196110;19.5;1
196111;12.6;1
196112;12.9;1
196201;10.9;1
196202;11;1
196203;11.7;1
196204;16.6;1
196205;18.1;1
196206;24.1;1
196207;24.3;1
196208;26.1;1
196209;24.6;1
196210;20.8;1
196211;11.6;1
196212;8.1;1
196301;7.1;1
196302;9.3;1
196303;14.6;1
196304;16.5;1
196305;18.1;1
196306;22;1
196307;25.3;1
196308;21.5;1
196309;21;1
196310;18.6;1
196311;15.9;1
196312;8.5;1
196401;7.4;1
196402;11.9;1
196403;12.9;1
196404;15.5;1
