# DONNEES MENSUELLES HOMOGENEISEES de TX : Moyenne mensuelle de la température maximale sous abri (en °C et 1/10) 
# NUM_POSTE= 35228001
# NOM_USUEL= DINARD
# LATITUDE (°) = 48.585
# LONGITUDE(°)= -2.076
# ALTITUDE (m) = 65
# NUM_SERIE= MTX135228001
# Amplitude minimale détectable de la série = 0.15
# Période homogénéisée : 195101 201612
# Date(s) de rupture(s) d'homogénéité : Aucune rupture d'homogénéité
#     Periode homogénéisée  195101 201612  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195101;9.1;1
195102;8.8;1
195103;9.7;1
195104;12.7;1
195105;14.3;1
195106;18.8;1
195107;20.6;1
195108;19.3;1
195109;19.5;1
195110;15.1;1
195111;12.6;1
195112;9.4;1
195201;7.9;1
195202;7.6;1
195203;12.2;1
195204;14.1;1
195205;18.3;1
195206;19.3;1
195207;20.9;1
195208;21.1;1
195209;16;1
195210;14.6;1
195211;9.3;1
195212;7.7;1
195301;6.2;1
195302;7.6;1
195303;12.1;1
195304;13.4;1
195305;17.8;1
195306;17.5;1
195307;20;1
195308;21.7;1
195309;18.9;1
195310;15.8;1
195311;10.9;1
195312;11.8;1
195401;7.3;1
195402;7.3;1
195403;11.7;1
195404;12.2;1
195405;15;1
195406;17.1;1
195407;18.3;1
195408;19;1
195409;18.5;1
195410;17.7;1
195411;12.4;1
195412;10.5;1
195501;8.2;1
195502;7.6;1
195503;8.2;1
195504;14.6;1
195505;15.8;1
195506;19.2;1
195507;21.1;1
195508;23.5;1
195509;19.7;1
195510;14.4;1
195511;11.6;1
195512;11.4;1
195601;9.3;1
195602;2.9;1
195603;12.4;1
195604;12;1
195605;16.7;1
195606;16.7;1
195607;20.1;1
195608;18.5;1
195609;19.2;1
195610;15;1
195611;10.4;1
195612;9.8;1
195701;8.6;1
195702;11.1;1
195703;15.5;1
195704;13.2;1
195705;15.2;1
195706;19.9;1
195707;20.7;1
195708;20.2;1
195709;18.5;1
195710;16;1
195711;10.3;1
195712;8.3;1
195801;8.6;1
195802;11.5;1
195803;8.9;1
195804;11.4;1
195805;17.1;1
195806;18;1
195807;19.6;1
195808;20.5;1
195809;20.2;1
195810;14.9;1
195811;10.5;1
195812;9.6;1
195901;8.3;1
195902;10.1;1
195903;13.1;1
195904;14.1;1
195905;16.4;1
195906;19.1;1
