# DONNEES MENSUELLES HOMOGENEISEES de TX : Moyenne mensuelle de la température maximale sous abri (en °C et 1/10) 
# NUM_POSTE= 36208001
# NOM_USUEL= STE-SEVERE
# LATITUDE (°) = 46.488
# LONGITUDE(°)= 2.067
# ALTITUDE (m) = 302
# NUM_SERIE= MTX136208001
# Amplitude minimale détectable de la série = 0.23
# Période homogénéisée : 195101 201812
# Date(s) de rupture(s) d'homogénéité : 196511 197212 198012 198812 199812
#     Periode homogénéisée  195101 201812  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195101;8.6;1
195102;8.7;1
195103;10.3;1
195104;15.4;1
195105;16.9;1
195106;21.9;1
195107;25.6;1
195108;23.5;1
195109;22;1
195110;15.3;1
195111;13.1;1
195112;9.9;1
195201;5.6;1
195202;6.2;1
195203;13.8;1
195204;18.6;1
195205;21.7;1
195206;26.2;1
195207;29.5;1
195208;26.4;1
195209;17.8;1
195210;15.8;1
195211;8.6;1
195212;6.6;1
195301;2.3;1
195302;6.6;1
195303;15.9;1
195304;16.6;1
195305;21.5;1
195306;20.6;1
195307;23.4;1
195308;26.2;1
195309;22.9;1
195310;16.4;1
195311;12.6;1
195312;11;1
195401;5.2;1
195402;5.6;1
195403;12.8;1
195404;14.7;1
195405;18.3;1
195406;22.3;1
195407;23.3;1
195408;22.7;1
195409;21.5;1
195410;17.8;1
195411;12.7;1
195412;8.5;1
195501;8.5;1
195502;7.7;1
195503;10;1
195504;18.7;1
195505;19.1;1
195506;23.3;1
195507;26.3;1
195508;28.8;1
195509;24.7;1
195510;16.6;1
195511;10.9;1
195512;10.5;1
195601;7.3;1
195602;-0.2;1
195603;12.2;1
195604;13.9;1
195605;20.9;1
195606;19.9;1
195607;23.9;1
195608;22.3;1
195609;23.5;1
195610;15.5;1
195611;8;1
195612;8.3;1
195701;6.3;1
195702;11.2;1
195703;17.7;1
195704;16;1
195705;17.1;1
195706;24.4;1
195707;25.1;1
195708;24.5;1
195709;21.1;1
195710;18.6;1
195711;9.9;1
195712;6.6;1
195801;7.6;1
195802;11.1;1
195803;9.9;1
195804;13.3;1
195805;19.2;1
195806;21.2;1
195807;23.2;1
195808;24.4;1
195809;24.3;1
195810;15.9;1
195811;9.2;1
195812;8;1
195901;6.9;1
195902;11.7;1
195903;13.9;1
195904;16.7;1
195905;21;1
195906;24.3;1
195907;29.8;1
195908;26.3;1
195909;25.5;1
195910;18.6;1
195911;10.9;1
195912;9;1
196001;6.7;1
196002;10.6;1
196003;13.1;1
196004;15.1;1
196005;21.8;1
196006;24.1;1
196007;23.4;1
196008;23.4;1
196009;19.5;1
196010;16.8;1
196011;13.1;1
196012;4.9;1
196101;6.7;1
196102;14.3;1
196103;15.4;1
196104;18.7;1
196105;18.4;1
196106;22.9;1
196107;24.1;1
196108;24.5;1
196109;25.6;1
196110;18;1
196111;9.8;1
196112;7.6;1
196201;7.9;1
196202;7.4;1
196203;7.6;1
196204;14.1;1
196205;16.7;1
196206;22.5;1
196207;25.6;1
196208;27.5;1
196209;22.8;1
196210;17.8;1
196211;8.5;1
196212;5.5;1
196301;3;1
196302;4.4;1
196303;12.1;1
196304;15.5;1
196305;18.4;1
196306;22.6;1
196307;27;1
196308;21.5;1
196309;20;1
196310;17.5;1
196311;12.8;1
196312;5.3;1
196401;4.3;1
196402;9.4;1
196403;9.7;1
196404;15.3;1
196405;21.6;1
196406;25.2;1
196407;30.3;1
196408;26.7;1
196409;24.2;1
196410;14;1
196411;8.8;1
196412;6.4;1
196501;7;1
196502;4.5;1
196503;12.4;1
196504;13.4;1
196505;17.9;1
196506;21.7;1
196507;23.7;1
196508;21.8;1
196509;18.1;1
196510;18.4;1
196511;9.7;1
196512;9.5;1
196601;6.1;1
196602;13.9;1
196603;10.3;1
196604;15.8;1
196605;18.1;1
196606;23.1;1
196607;22.2;1
196608;22.5;1
196609;24.4;1
196610;17.3;1
196611;8;1
196612;8.5;1
196701;6.2;1
196702;9.7;1
196703;12.4;1
196704;14.7;1
196705;18;1
196706;21.9;1
196707;28;1
196708;24.8;1
196709;20.9;1
196710;19.6;1
196711;11.3;1
196712;4;1
196801;6.7;1
196802;8.6;1
196803;12.3;1
196804;15.9;1
196805;17;1
196806;22.4;1
196807;25.8;1
196808;25.3;1
196809;21.1;1
196810;19.6;1
196811;11.6;1
196812;7.1;1
196901;9.1;1
196902;6.6;1
196903;11.6;1
196904;14.6;1
196905;19.5;1
196906;20.7;1
196907;26.3;1
196908;24.8;1
196909;21.4;1
196910;19.1;1
196911;10.3;1
196912;3;1
197001;7.9;1
197002;7.6;1
197003;8;1
197004;12.2;1
197005;19.5;1
197006;23.8;1
197007;23.4;1
197008;24.4;1
197009;23.7;1
197010;15.8;1
197011;13.4;1
197012;4.5;1
197101;8.4;1
197102;7.2;1
197103;7.6;1
197104;17.8;1
197105;19.8;1
197106;20.2;1
197107;26.9;1
197108;23.9;1
197109;21.6;1
197110;18.9;1
197111;7.8;1
197112;7.5;1
197201;6.7;1
197202;10.2;1
197203;14;1
197204;13.3;1
197205;16.8;1
197206;20.2;1
197207;24.8;1
197208;22.3;1
197209;18.4;1
197210;16.8;1
197211;11.5;1
197212;9.4;1
197301;4.4;1
197302;5.8;1
197303;11.7;1
197304;12.9;1
197305;19.6;1
197306;23.3;1
197307;23.4;1
197308;26.8;1
197309;23.1;1
197310;15.3;1
197311;14;1
197312;6.8;1
197401;10.9;1
197402;8.1;1
197403;10.8;1
197404;14.5;1
197405;16.7;1
197406;21.4;1
197407;24;1
197408;25.2;1
197409;18.1;1
197410;9.8;1
197411;10.1;1
197412;9.1;1
197501;9.6;1
197502;11.3;1
197503;7.8;1
197504;13.7;1
197505;16.2;1
197506;21.9;1
197507;26.2;1
197508;27.7;1
197509;21;1
197510;15.4;1
197511;9.7;1
197512;3.4;1
197601;6.5;1
197602;10.4;1
197603;11.9;1
197604;14.7;1
197605;20.2;1
197606;29.1;1
197607;27.7;1
197608;27.3;1
197609;20;1
197610;16.2;1
197611;8.8;1
197612;6.4;1
197701;6.7;1
197702;10.5;1
197703;13.6;1
197704;13.5;1
197705;17;1
197706;20;1
197707;22.9;1
197708;22.3;1
197709;20.7;1
197710;18.2;1
197711;9.9;1
197712;10.2;1
197801;6.6;1
197802;9.4;1
197803;12;1
197804;12.7;1
197805;16.4;1
197806;20.5;1
197807;23.2;1
197808;23.7;1
197809;22;1
197810;17.8;1
197811;12.4;1
197812;9.3;1
197901;4.8;1
197902;7.6;1
197903;9.9;1
197904;12.7;1
197905;17.6;1
197906;21.8;1
197907;25.4;1
197908;22.1;1
197909;22.3;1
197910;17.6;1
197911;10.9;1
197912;9.4;1
198001;5.1;1
198002;10.4;1
198003;9.9;1
198004;13.6;1
198005;17.2;1
198006;19.6;1
198007;21.6;1
198008;25.3;1
198009;23.8;1
198010;15.7;1
198011;8.8;1
198012;5.9;1
198101;7.6;1
198102;6.4;1
198103;14.8;1
198104;16.3;1
198105;17.5;1
198106;20.9;1
198107;22.9;1
198108;25;1
198109;21.3;1
198110;15.8;1
198111;11.7;1
198112;7.8;1
198201;9.6;1
198202;10.9;1
198203;11;1
198204;14.7;1
198205;19.8;1
198206;23.9;1
198207;27.8;1
198208;24.2;1
198209;24.9;1
198210;16.6;1
198211;12.7;1
198212;7.5;1
198301;9.2;1
198302;5.8;1
198303;11.5;1
198304;13.9;1
198305;16.6;1
198306;24.1;1
198307;30.1;1
198308;25.4;1
198309;22.4;1
198310;16.9;1
198311;11.7;1
198312;8.4;1
198401;7.1;1
198402;6.3;1
198403;10.4;1
198404;16.1;1
198405;14.7;1
198406;22.1;1
198407;26.9;1
198408;24.3;1
198409;19;1
198410;16.7;1
198411;14.7;1
198412;8.5;1
198501;2;1
198502;9.3;1
198503;9.6;1
198504;15.5;1
198505;17;1
198506;21.1;1
198507;26.9;1
198508;24.7;1
198509;26.2;1
198510;19.2;1
198511;7.2;1
198512;9.6;1
198601;7.1;1
198602;3.9;1
198603;11.2;1
198604;10.6;1
198605;19.7;1
198606;24;1
198607;26.7;1
198608;24.7;1
198609;21.6;1
198610;19.1;1
198611;12.1;1
198612;9.8;1
198701;0.1;1
198702;6.6;1
198703;9.2;1
198704;17.7;1
198705;16.9;1
198706;19.9;1
198707;24.3;1
198708;25.5;1
198709;25;1
198710;17.6;1
198711;10.4;1
198712;9.3;1
198801;10.4;1
198802;8.7;1
198803;10.2;1
198804;16.7;1
198805;19.2;1
198806;21.9;1
198807;24.4;1
198808;26.6;1
198809;21.4;1
198810;18.3;1
198811;10.8;1
198812;8.2;1
198901;8.7;1
198902;11.4;1
198903;15.4;1
198904;12.8;1
198905;23;1
198906;23.4;1
198907;26.6;1
198908;26.1;1
198909;22.6;1
198910;20.1;1
198911;11.9;1
198912;11.2;1
199001;9.9;1
199002;14.5;1
199003;14.8;1
199004;14.1;1
199005;22.3;1
199006;21.4;1
199007;27.1;1
199008;28.6;1
199009;22.4;1
199010;18.8;1
199011;10.4;1
199012;5.4;1
199101;6.9;1
199102;7.2;1
199103;14.3;1
199104;14.7;1
199105;17;1
199106;20.9;1
199107;27;1
199108;29.4;1
199109;25.1;1
199110;15;1
199111;10.8;1
199112;7;1
199201;5.9;1
199202;10.2;1
199203;12.5;1
199204;15;1
199205;22.5;1
199206;21.3;1
199207;25.5;1
199208;26.7;1
199209;21.7;1
199210;12.4;1
199211;13.9;1
199212;8.6;1
199301;10.6;1
199302;8.6;1
199303;13.3;1
199304;15.8;1
199305;19.9;1
199306;23.3;1
199307;24.1;1
199308;25.3;1
199309;19.1;1
199310;14;1
199311;8.2;1
199312;8.8;1
199401;7.9;1
199402;9.8;1
199403;14.7;1
199404;13.1;1
199405;20.6;1
199406;23;1
199407;29.4;1
199408;26.8;1
199409;19.7;1
199410;17.7;1
199411;14.8;1
199412;10.1;1
199501;7.9;1
199502;12.1;1
199503;12;1
199504;14.6;1
199505;20.3;1
199506;22.1;1
199507;28.2;1
199508;27;1
199509;19.2;1
199510;21.3;1
199511;12.2;1
199512;7.6;1
199601;11.5;1
199602;5.8;1
199603;12;1
199604;16.8;1
199605;18.1;1
199606;24.9;1
199607;25.6;1
199608;24.7;1
199609;20.6;1
199610;16.7;1
199611;9.7;1
199612;6.7;1
199701;6.1;1
199702;13.2;1
199703;15.5;1
199704;17.1;1
199705;20.3;1
199706;21.8;1
199707;25;1
199708;28.9;1
199709;24.2;1
199710;17.6;1
199711;13.3;1
199712;9.6;1
199801;8.4;1
199802;12.1;1
199803;13.5;1
199804;13.7;1
199805;21.5;1
199806;23.8;1
199807;25.3;1
199808;27.7;1
199809;21;1
199810;15.5;1
199811;8.9;1
199812;9.2;1
199901;9.6;1
199902;6.8;1
199903;13.6;1
199904;15.3;1
199905;21.6;1
199906;22.9;1
199907;27.1;1
199908;26.5;1
199909;23.8;1
199910;17.4;1
199911;9.1;1
199912;8.4;1
200001;6.5;1
200002;11.5;1
200003;12.3;1
200004;15.4;1
200005;21.7;1
200006;25;1
200007;22.9;1
200008;26.7;1
200009;23.1;1
200010;16.2;1
200011;12.1;1
200012;12.2;1
200101;9.1;1
200102;9.3;1
200103;14;1
200104;12.8;1
200105;20.9;1
200106;23.8;1
200107;25.5;1
200108;27.1;1
200109;19.4;1
