# DONNEES MENSUELLES HOMOGENEISEES de TX : Moyenne mensuelle de la température maximale sous abri (en °C et 1/10) 
# NUM_POSTE= 38442001
# NOM_USUEL= GRANDE-CHARTREUSE
# LATITUDE (°) = 45.363
# LONGITUDE(°)= 5.792
# ALTITUDE (m) = 945
# NUM_SERIE= MTX138442001
# Amplitude minimale détectable de la série = 0.2
# Période homogénéisée : 195901 201812
# Date(s) de rupture(s) d'homogénéité : 198812 200512 201012
#     Periode homogénéisée  195901 201812  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195901;3;1
195902;7.6;1
195903;9.7;1
195904;11.1;1
195905;14.8;1
195906;18.2;1
195907;22.4;1
195908;19.4;1
195909;17.5;1
195910;11.7;1
195911;6.6;1
195912;4.5;1
196001;2.2;1
196002;6.7;1
196003;8.3;1
196004;9.7;1
196005;17.5;1
196006;18.6;1
196007;18;1
196008;18.5;1
196009;14.2;1
196010;11.1;1
196011;7.5;1
196012;1.6;1
196101;2.5;1
196102;7.9;1
196103;10;1
196104;13.7;1
196105;13.2;1
196106;18;1
196107;19;1
196108;19.4;1
196109;21;1
196110;12.5;1
196111;7.3;1
196112;5.7;1
196201;4.2;1
196202;1.9;1
196203;3.3;1
196204;10;1
196205;12.9;1
196206;17.6;1
196207;20.4;1
196208;22.7;1
196209;17;1
196210;11.5;1
196211;3.9;1
196212;1.2;1
196301;-1.9;1
196302;-0.8;1
196303;5.9;1
196304;10.5;1
196305;12.8;1
196306;17.2;1
196307;21.2;1
196308;17.9;1
196309;15.5;1
196310;12.5;1
196311;9.8;1
196312;2.6;1
196401;2.7;1
196402;5.4;1
196403;4.7;1
196404;11.7;1
196405;17.1;1
196406;19.7;1
196407;23.1;1
196408;19.4;1
196409;18;1
196410;9;1
196411;6.2;1
196412;2.6;1
196501;2.5;1
196502;-0.8;1
196503;5.8;1
196504;8.1;1
196505;14.7;1
196506;19.2;1
196507;19.3;1
196508;19;1
196509;14.7;1
196510;14.8;1
196511;6.9;1
196512;4.1;1
196601;2.1;1
196602;7.9;1
196603;5;1
196604;11.8;1
196605;15;1
196606;19.4;1
196607;17.5;1
196608;18.1;1
196609;18.8;1
196610;13.2;1
196611;3.1;1
196612;1.9;1
196701;1.9;1
196702;4.8;1
196703;7.4;1
196704;10.1;1
196705;14.9;1
196706;16.6;1
196707;23.1;1
196708;20.6;1
196709;16.2;1
196710;15.5;1
196711;8.9;1
196712;-0.4;1
196801;1.4;1
196802;3.7;1
196803;6.9;1
196804;13.1;1
196805;13.2;1
196806;17.9;1
196807;20.1;1
196808;17;1
196809;15.7;1
196810;15.3;1
196811;6.8;1
196812;1.9;1
196901;4.3;1
196902;1.1;1
196903;5.9;1
196904;9.8;1
196905;16.4;1
196906;15.2;1
196907;20.6;1
196908;18.5;1
196909;16.9;1
196910;14.9;1
196911;6.9;1
196912;-1.4;1
197001;4.5;1
197002;1.6;1
197003;2;1
197004;6.5;1
197005;13.6;1
197006;19.2;1
197007;20;1
197008;20.1;1
197009;18.6;1
197010;11.3;1
197011;9.3;1
197012;1.4;1
197101;3.6;1
197102;2.7;1
197103;1.6;1
197104;13.3;1
197105;15.5;1
197106;16;1
197107;22.6;1
197108;22.3;1
197109;16.4;1
197110;13.9;1
197111;2.8;1
197112;5.6;1
197201;2.5;1
197202;5.5;1
197203;9;1
197204;8.1;1
197205;12.8;1
197206;16.4;1
197207;18.8;1
197208;17.6;1
197209;13.3;1
197210;12;1
197211;8.3;1
197212;6.8;1
197301;2.5;1
197302;0.4;1
197303;4.8;1
197304;6.2;1
197305;16.4;1
197306;18.2;1
197307;19.3;1
197308;21.5;1
197309;18.2;1
197310;11;1
197311;7.2;1
197312;2.9;1
197401;6.2;1
197402;2.8;1
197403;7.6;1
197404;10;1
197405;13.4;1
197406;16.7;1
197407;19.8;1
197408;20.4;1
197409;15.3;1
197410;4;1
197411;6;1
197412;4.8;1
197501;5.6;1
197502;5.7;1
197503;3.7;1
197504;9.1;1
197505;13.1;1
197506;16.2;1
197507;20.9;1
197508;20.3;1
197509;17.4;1
197510;10.3;1
197511;5;1
197512;2.3;1
197601;2.4;1
197602;5.1;1
197603;6.7;1
197604;10;1
197605;16;1
197606;21.7;1
197607;20.6;1
197608;19.1;1
197609;14.6;1
197610;11.7;1
197611;4.2;1
197612;3.7;1
197701;3.2;1
197702;5.7;1
197703;9.7;1
