# DONNEES MENSUELLES HOMOGENEISEES de TX : Moyenne mensuelle de la température maximale sous abri (en °C et 1/10) 
# NUM_POSTE= 40272002
# NOM_USUEL= ST M HINX STNA-INRA
# LATITUDE (°) = 43.571
# LONGITUDE(°)= -1.299
# ALTITUDE (m) = 37
# NUM_SERIE= MTX140272002
# Amplitude minimale détectable de la série = 0.17
# Période homogénéisée : 195901 202212
# Date(s) de rupture(s) d'homogénéité : 196512 198212 199112 200812
#     Periode homogénéisée  195901 202212  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195901;12.5;1
195902;13.3;1
195903;16.3;1
195904;17.3;1
195905;19.6;1
195906;23.8;1
195907;25.8;1
195908;25.4;1
195909;23.9;1
195910;19.4;1
195911;13.6;1
195912;12.8;1
196001;11;1
196002;14;1
196003;16.7;1
196004;16.7;1
196005;22.2;1
196006;24.5;1
196007;23;1
196008;24.1;1
196009;22.1;1
196010;17.7;1
196011;16;1
196012;9.7;1
196101;11.2;1
196102;16.7;1
196103;17.8;1
196104;20;1
196105;22;1
196106;23.9;1
196107;24.4;1
196108;24.6;1
196109;26.5;1
196110;19.7;1
196111;12;1
196112;13.5;1
196201;11.5;1
196202;9.8;1
196203;12.1;1
196204;16.4;1
196205;19.8;1
196206;23.4;1
196207;25;1
196208;27;1
196209;24.9;1
196210;20.8;1
196211;11.6;1
196212;8.4;1
196301;8.5;1
196302;9.3;1
196303;16.3;1
196304;16.9;1
196305;18.2;1
196306;23.3;1
196307;25.2;1
196308;22.3;1
196309;21.7;1
196310;19.7;1
196311;17.2;1
196312;9.8;1
196401;9.3;1
196402;13.5;1
196403;14.4;1
196404;16.7;1
196405;22.6;1
196406;24;1
196407;26.4;1
196408;25.3;1
196409;26.2;1
196410;17;1
196411;13.8;1
196412;10.1;1
196501;11;1
196502;8.1;1
196503;15.1;1
196504;14.7;1
196505;20.3;1
196506;21.9;1
196507;23.8;1
196508;24.3;1
196509;20.5;1
196510;20.5;1
196511;14.7;1
196512;12.2;1
196601;12.6;1
196602;15.9;1
196603;13.4;1
196604;18.9;1
196605;20;1
196606;23.1;1
196607;23;1
196608;24.9;1
196609;24.7;1
196610;19.1;1
196611;11.8;1
196612;11.8;1
196701;10.9;1
196702;13.5;1
196703;16;1
196704;15.7;1
196705;21;1
196706;22.5;1
196707;25.9;1
196708;25.3;1
196709;23.3;1
196710;21.8;1
196711;13.9;1
196712;7.6;1
196801;11.3;1
196802;13;1
196803;12.3;1
196804;18.2;1
196805;19;1
196806;23.5;1
196807;25.7;1
196808;24;1
196809;22.9;1
196810;22.8;1
196811;15.2;1
196812;11.4;1
196901;12.3;1
196902;10.7;1
196903;14.3;1
196904;15.5;1
196905;21.7;1
196906;21.3;1
196907;26.7;1
196908;24.9;1
196909;21.6;1
196910;20.8;1
196911;14.6;1
196912;9.8;1
197001;12.9;1
197002;11.2;1
197003;11.3;1
197004;14.4;1
197005;20.5;1
197006;24.3;1
197007;25.9;1
197008;25.9;1
197009;25.6;1
197010;18.9;1
197011;18.3;1
197012;8.1;1
197101;12.6;1
197102;11.5;1
197103;10.6;1
197104;17.9;1
197105;19.3;1
197106;20.4;1
197107;27.1;1
197108;25.4;1
197109;23.4;1
197110;22.3;1
197111;11.1;1
197112;10.5;1
197201;11.1;1
197202;12.9;1
197203;15.8;1
197204;14.8;1
197205;17.9;1
197206;20.3;1
197207;25.1;1
197208;23.6;1
197209;21;1
197210;19.3;1
197211;14.9;1
197212;13.3;1
197301;10.3;1
197302;10.4;1
197303;14.5;1
197304;16;1
197305;22.4;1
197306;22.4;1
197307;23.4;1
197308;26.5;1
197309;23.8;1
197310;18.8;1
197311;15.2;1
197312;10.6;1
197401;13.8;1
197402;11.7;1
197403;13.9;1
197404;15.8;1
197405;18.8;1
197406;23.2;1
197407;23.8;1
197408;24.6;1
197409;21.4;1
197410;14.1;1
197411;15;1
197412;12.5;1
197501;13.1;1
197502;14.6;1
197503;11.6;1
197504;14.9;1
197505;17.7;1
197506;21.4;1
197507;26.9;1
197508;26.5;1
197509;23;1
197510;19.9;1
197511;13.6;1
197512;6.8;1
197601;10;1
197602;13.2;1
197603;15;1
197604;15.1;1
197605;20;1
197606;26.6;1
197607;26.9;1
197608;26.2;1
197609;22.4;1
197610;18.4;1
197611;13.2;1
197612;10.6;1
197701;10.5;1
197702;15.2;1
197703;17.6;1
197704;15.7;1
197705;17.1;1
197706;20.3;1
197707;22.4;1
197708;22.7;1
197709;22.9;1
197710;20.8;1
197711;13.9;1
197712;13.5;1
197801;9.9;1
197802;13.2;1
197803;14.2;1
197804;14.7;1
197805;17.9;1
197806;20.8;1
197807;23.8;1
197808;24.5;1
197809;23.5;1
197810;19;1
197811;14.1;1
197812;14.6;1
197901;9.8;1
197902;12.2;1
197903;13.9;1
197904;14.9;1
197905;19.1;1
197906;21.5;1
197907;25.1;1
197908;23.7;1
197909;23.7;1
197910;20.4;1
197911;14.2;1
197912;13.9;1
198001;10.9;1
198002;14.3;1
198003;14;1
198004;15.9;1
198005;17.4;1
198006;20.4;1
198007;23.1;1
198008;25.6;1
198009;25.7;1
198010;18.9;1
198011;14.6;1
198012;10.6;1
198101;10.1;1
198102;11;1
198103;18.3;1
198104;17.2;1
198105;20;1
198106;23.5;1
198107;23.2;1
198108;25.9;1
198109;24.2;1
198110;19.4;1
198111;15.5;1
198112;12.6;1
198201;14.2;1
198202;13.7;1
198203;14;1
198204;17.7;1
198205;20.9;1
198206;24.1;1
198207;26.6;1
198208;23.1;1
198209;24.9;1
198210;18.3;1
198211;15.5;1
198212;11.5;1
198301;12.2;1
198302;10.9;1
198303;14.6;1
198304;17.8;1
198305;18.5;1
198306;23.9;1
198307;27.3;1
198308;25.4;1
198309;25.2;1
198310;21.1;1
198311;17.1;1
198312;13.2;1
198401;12;1
198402;10.4;1
198403;13.1;1
198404;19.5;1
198405;16.3;1
198406;22.7;1
198407;26.9;1
198408;25;1
198409;22.8;1
198410;20.4;1
198411;16.6;1
198412;11.9;1
198501;7.5;1
198502;15.5;1
198503;12.8;1
198504;18.2;1
198505;18.3;1
198506;22.8;1
198507;26.1;1
198508;25;1
198509;27;1
198510;21.7;1
198511;12.1;1
198512;13.2;1
198601;11.5;1
198602;10.8;1
198603;14.7;1
198604;12.8;1
198605;21;1
198606;22.2;1
198607;25.3;1
198608;25;1
198609;23.9;1
198610;20.6;1
198611;15.4;1
198612;13.4;1
198701;7.2;1
198702;11.1;1
198703;14.7;1
198704;19.3;1
198705;18.8;1
198706;22;1
198707;24.1;1
198708;25.8;1
198709;26.7;1
198710;20.2;1
198711;14.5;1
198712;13.8;1
198801;13.9;1
198802;12.9;1
198803;14.1;1
198804;17.3;1
198805;19.8;1
198806;22;1
198807;25.3;1
198808;25.3;1
198809;23.8;1
198810;21.9;1
198811;16.3;1
198812;10.3;1
198901;11.1;1
198902;14.5;1
198903;17.2;1
198904;14.7;1
198905;24.1;1
198906;24.4;1
198907;27.1;1
198908;27.1;1
198909;24.3;1
198910;22.1;1
198911;16.5;1
198912;16.2;1
199001;12.6;1
199002;17.6;1
199003;17.8;1
199004;15.5;1
199005;23.4;1
199006;22.7;1
199007;27.4;1
199008;28.5;1
199009;25.9;1
199010;20.6;1
199011;13;1
199012;8.5;1
199101;10.7;1
199102;11.6;1
199103;16.4;1
199104;15.6;1
199105;18.6;1
199106;22.1;1
199107;25.8;1
199108;28.4;1
199109;26.6;1
199110;17.8;1
199111;14.3;1
199112;11;1
199201;8.9;1
199202;13.5;1
199203;14.3;1
199204;16.1;1
199205;23.5;1
199206;20.7;1
199207;25.6;1
199208;26;1
199209;22.4;1
199210;15.8;1
199211;17.1;1
199212;12.1;1
199301;14.3;1
199302;12;1
199303;16;1
199304;17.3;1
199305;21.3;1
199306;23.6;1
199307;23.7;1
199308;25.3;1
199309;21.7;1
199310;17.3;1
199311;13.5;1
199312;14;1
199401;11.8;1
199402;13.7;1
199403;17.5;1
199404;15.1;1
199405;21.1;1
199406;23.3;1
199407;26.5;1
199408;26.6;1
199409;21.6;1
199410;20.2;1
199411;16.9;1
199412;13.6;1
199501;12.4;1
199502;15;1
199503;14.8;1
199504;17.3;1
199505;22.1;1
199506;23.2;1
199507;27.2;1
199508;26.2;1
199509;21.6;1
199510;24.3;1
199511;16.7;1
199512;12.6;1
199601;15.3;1
199602;10.6;1
199603;15.8;1
199604;18.2;1
199605;21;1
199606;24.3;1
199607;25.5;1
199608;24.4;1
199609;22.6;1
199610;20.5;1
199611;14.6;1
199612;11.5;1
199701;11.6;1
199702;16.9;1
199703;18.8;1
199704;19.6;1
199705;22.8;1
199706;22.5;1
199707;23.6;1
199708;27.2;1
199709;26.3;1
199710;22.5;1
199711;16.2;1
199712;12.9;1
199801;13.2;1
199802;15.6;1
199803;17.2;1
199804;16.3;1
199805;20.8;1
199806;23.2;1
199807;24.6;1
199808;26.8;1
199809;24;1
199810;18.8;1
199811;13.8;1
199812;12.6;1
199901;13.4;1
199902;10.2;1
199903;15.7;1
199904;17.9;1
199905;22;1
199906;22.9;1
199907;26.2;1
199908;26.7;1
199909;25.8;1
199910;20.6;1
199911;12.4;1
199912;12.5;1
200001;9.6;1
200002;14.8;1
200003;15.4;1
200004;17.9;1
200005;22.8;1
200006;25.2;1
200007;24.7;1
200008;26.2;1
200009;24.8;1
200010;18.8;1
200011;15.3;1
200012;16.1;1
200101;13.6;1
200102;13.2;1
200103;18.3;1
200104;16.3;1
200105;21;1
200106;24.6;1
200107;24.6;1
200108;27.3;1
200109;23;1
200110;24.4;1
200111;12.3;1
200112;9;1
200201;14.2;1
200202;14.8;1
200203;17.8;1
200204;18;1
200205;20.4;1
200206;22.8;1
200207;24.1;1
200208;23.5;1
200209;24.5;1
200210;21.4;1
200211;16.8;1
200212;14.9;1
200301;10.8;1
200302;11.1;1
200303;19.5;1
200304;19.7;1
200305;21.7;1
200306;27.2;1
200307;27.3;1
200308;31;1
200309;26;1
200310;18.7;1
200311;16.9;1
200312;12.7;1
200401;12.7;1
200402;13.4;1
200403;14.4;1
200404;16;1
200405;20.8;1
200406;26;1
200407;25.6;1
200408;27;1
200409;25;1
200410;21.8;1
200411;12.9;1
200412;11.2;1
200501;11.7;1
200502;9.8;1
200503;17.2;1
200504;18.3;1
200505;22.6;1
200506;26.4;1
200507;26.7;1
200508;25.6;1
200509;23.9;1
200510;22.2;1
200511;13.8;1
200512;7.6;1
200601;9.9;1
200602;10;1
200603;17.3;1
200604;18.1;1
200605;22.6;1
200606;26.4;1
200607;28.7;1
200608;24.4;1
200609;26.4;1
200610;23.2;1
200611;18.3;1
200612;11;1
200701;12;1
200702;14.7;1
200703;14.7;1
200704;19.4;1
200705;20.1;1
200706;24.2;1
200707;24.9;1
200708;25;1
200709;23.2;1
200710;19.8;1
200711;13.6;1
200712;11.3;1
200801;13.3;1
200802;17.2;1
200803;14.6;1
200804;18.3;1
200805;22.1;1
200806;23.5;1
200807;25.8;1
200808;25.8;1
200809;23.3;1
200810;19.9;1
200811;13.5;1
200812;10.4;1
200901;11;1
200902;12.5;1
200903;15.6;1
200904;16.7;1
200905;21;1
200906;24.9;1
200907;26.9;1
200908;27.1;1
200909;24.2;1
200910;21.7;1
200911;17.3;1
200912;11.9;1
201001;9.8;1
201002;11.5;1
201003;15.4;1
201004;19.9;1
201005;19.5;1
201006;22.8;1
201007;26.3;1
201008;26.4;1
201009;24.5;1
201010;19.8;1
201011;14.1;1
201012;10.8;1
201101;11.2;1
201102;14.5;1
201103;16.4;1
