# DONNEES MENSUELLES HOMOGENEISEES de TX : Moyenne mensuelle de la température maximale sous abri (en °C et 1/10) 
# NUM_POSTE= 53097001
# NOM_USUEL= EVRON
# LATITUDE (°) = 48.168
# LONGITUDE(°)= -0.388
# ALTITUDE (m) = 107
# NUM_SERIE= MTX153097001
# Amplitude minimale détectable de la série = 0.16
# Période homogénéisée : 195501 201612
# Date(s) de rupture(s) d'homogénéité : 196412 197312 199112 200412
#     Periode homogénéisée  195501 201612  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195501;8;1
195502;7.3;1
195503;9.6;1
195504;17;1
195505;17.5;1
195506;21.5;1
195507;25.2;1
195508;26.5;1
195509;20.7;1
195510;14.8;1
195511;11.3;1
195512;9.9;1
195601;7.9;1
195602;2.2;1
195603;13;1
195604;13.3;1
195605;19.5;1
195606;17.2;1
195607;22.2;1
195608;20.1;1
195609;21.2;1
195610;15;1
195611;9.3;1
195612;8.7;1
195701;7.2;1
195702;10.9;1
195703;15.8;1
195704;15.7;1
195705;16.7;1
195706;23.7;1
195707;23.3;1
195708;22.1;1
195709;19.5;1
195710;16.8;1
195711;9.6;1
195712;7.1;1
195801;7.8;1
195802;9.9;1
195803;9.3;1
195804;12.9;1
195805;18.1;1
195806;19.2;1
195807;22;1
195808;21.4;1
195809;21.5;1
195810;15.1;1
195811;9.5;1
195812;8.7;1
195901;6.7;1
195902;10.9;1
195903;14.1;1
195904;14.3;1
195905;19.6;1
195906;21.8;1
195907;26.4;1
195908;24.8;1
195909;25.1;1
195910;18;1
195911;10.2;1
195912;9.1;1
196001;7.1;1
196002;8.5;1
196003;13;1
196004;15.1;1
196005;20.9;1
196006;23.6;1
196007;20.2;1
196008;21.4;1
196009;19.1;1
196010;15;1
196011;11.6;1
196012;6.4;1
196101;6.9;1
196102;11.5;1
196103;14;1
196104;16;1
196105;17.9;1
196106;21.4;1
196107;23.3;1
196108;23.1;1
196109;23.5;1
196110;15.5;1
196111;9.5;1
196112;7.6;1
196201;7.9;1
196202;8.1;1
196203;7.8;1
196204;13.2;1
196205;15.6;1
196206;22.4;1
196207;22.8;1
196208;23.2;1
196209;20;1
196210;17;1
196211;9.1;1
196212;5.6;1
196301;1.7;1
196302;3.5;1
196303;11;1
196304;13.8;1
196305;16.7;1
196306;19.7;1
196307;23.3;1
196308;19;1
196309;19.5;1
196310;15.6;1
196311;12.3;1
196312;5.1;1
196401;4.5;1
196402;8.1;1
196403;9.5;1
196404;13.5;1
196405;19.9;1
196406;20.8;1
196407;24.5;1
196408;24.3;1
196409;22.7;1
196410;13.5;1
196411;9.9;1
196412;6.9;1
196501;7;1
196502;5.9;1
196503;11.1;1
196504;12.9;1
196505;16.9;1
196506;20.5;1
196507;20.3;1
196508;20.5;1
196509;17.4;1
196510;16.5;1
196511;9.3;1
196512;9.8;1
196601;6.3;1
196602;11.2;1
196603;11.5;1
196604;15.3;1
196605;17;1
196606;21.9;1
196607;21.2;1
196608;22.1;1
196609;22;1
196610;15.4;1
196611;8.8;1
196612;9;1
196701;7;1
196702;9.6;1
