# DONNEES MENSUELLES HOMOGENEISEES de TX : Moyenne mensuelle de la température maximale sous abri (en °C et 1/10) 
# NUM_POSTE= 53185001
# NOM_USUEL= PRE-EN-PAIL_SAPC
# LATITUDE (°) = 48.452
# LONGITUDE(°)= -0.183
# ALTITUDE (m) = 277
# NUM_SERIE= MTX153185001
# Amplitude minimale détectable de la série = 0.18
# Période homogénéisée : 195501 201612
# Date(s) de rupture(s) d'homogénéité : 195712 198412 200511
#     Periode homogénéisée  195501 201612  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195501;6.5;1
195502;6;1
195503;8.2;1
195504;15.8;1
195505;16.9;1
195506;20.9;1
195507;24.6;1
195508;26;1
195509;20.5;1
195510;14.2;1
195511;8.2;1
195512;8.5;1
195601;6.5;1
195602;0.8;1
195603;10.2;1
195604;11.4;1
195605;18.5;1
195606;16.5;1
195607;20.2;1
195608;17.2;1
195609;19.2;1
195610;13.4;1
195611;8;1
195612;6.9;1
195701;5.1;1
195702;8.6;1
195703;13.5;1
195704;14.1;1
195705;15.4;1
195706;22.2;1
195707;21.8;1
195708;20.8;1
195709;18;1
195710;15;1
195711;8.2;1
195712;6;1
195801;6.1;1
195802;8.1;1
195803;7.4;1
195804;10.6;1
195805;16.8;1
195806;17.7;1
195807;19.9;1
195808;20.2;1
195809;20.2;1
195810;13.6;1
195811;7.7;1
195812;6.4;1
195901;5.5;1
195902;8.1;1
195903;11.6;1
195904;13.1;1
195905;18.5;1
195906;21.4;1
195907;26.2;1
195908;24.6;1
195909;24.2;1
195910;16.8;1
195911;9.1;1
195912;7.7;1
196001;5.8;1
196002;7.4;1
196003;11.7;1
196004;14.4;1
196005;20.3;1
196006;22.2;1
196007;19.7;1
196008;20.9;1
196009;18.1;1
196010;13.8;1
196011;10.2;1
196012;5;1
196101;5.6;1
196102;10.5;1
196103;13.2;1
196104;15.2;1
196105;16.9;1
196106;20.5;1
196107;21.9;1
196108;22.1;1
196109;22.3;1
196110;14.4;1
196111;8.1;1
196112;6.5;1
196201;6.5;1
196202;6.2;1
196203;6.2;1
196204;12;1
196205;14.5;1
196206;20.4;1
196207;21.1;1
196208;20.9;1
196209;18.3;1
196210;15;1
196211;7.7;1
196212;4.5;1
196301;0.4;1
196302;1.9;1
196303;9.6;1
196304;12.4;1
196305;15.5;1
196306;19.2;1
196307;22;1
196308;17.9;1
196309;17.6;1
196310;13.9;1
196311;10.6;1
196312;3.7;1
196401;3.3;1
196402;6.8;1
196403;7.7;1
196404;12.2;1
196405;18.9;1
196406;19.8;1
196407;23.2;1
196408;22.8;1
196409;21.4;1
196410;12.5;1
196411;8.7;1
196412;5.7;1
196501;5.5;1
196502;3.9;1
196503;10;1
196504;12.1;1
196505;16.1;1
196506;20.3;1
196507;20;1
196508;20.1;1
196509;16.1;1
196510;15.7;1
196511;7.9;1
196512;8.1;1
196601;4.8;1
196602;9.8;1
196603;10.2;1
196604;14.1;1
196605;15.9;1
196606;21.8;1
196607;20;1
196608;20.5;1
196609;20.1;1
196610;13.9;1
196611;6.8;1
196612;7.7;1
196701;5.4;1
196702;8;1
196703;10.3;1
196704;12.4;1
196705;15.6;1
196706;19.8;1
196707;23.7;1
196708;21.1;1
196709;17.4;1
196710;15.1;1
196711;8.6;1
196712;5.6;1
196801;6.6;1
196802;5.5;1
196803;9.9;1
196804;14.2;1
196805;14.9;1
196806;19.9;1
196807;21.4;1
196808;20.3;1
196809;18.3;1
196810;15.6;1
196811;8.3;1
196812;4.3;1
196901;7.4;1
196902;4.9;1
196903;9.5;1
196904;13.4;1
196905;16.4;1
196906;19.1;1
196907;23.6;1
196908;22.6;1
196909;19.6;1
196910;18;1
196911;9.3;1
196912;3.9;1
197001;6.4;1
197002;6.4;1
197003;7.2;1
197004;10.2;1
