# DONNEES MENSUELLES HOMOGENEISEES de TX : Moyenne mensuelle de la température maximale sous abri (en °C et 1/10) 
# NUM_POSTE= 54405001
# NOM_USUEL= NANCY-OCHEY
# LATITUDE (°) = 48.581
# LONGITUDE(°)= 5.96
# ALTITUDE (m) = 336
# NUM_SERIE= MTX154405001
# Amplitude minimale détectable de la série = 0.12
# Période homogénéisée : 195901 201512
# Date(s) de rupture(s) d'homogénéité : 196012 196312 196612 198412 199106
#     Periode homogénéisée  195901 201512  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195901;3.6;1
195902;6.6;1
195903;12.1;1
195904;14.3;1
195905;19;1
195906;21.7;1
195907;26;1
195908;23.3;1
195909;22.6;1
195910;16;1
195911;6.6;1
195912;5.5;1
196001;3.7;1
196002;5.8;1
196003;10.9;1
196004;13.6;1
196005;19.3;1
196006;21.5;1
196007;19.5;1
196008;20.6;1
196009;16.7;1
196010;13.8;1
196011;9.4;1
196012;3.7;1
196101;2.8;1
196102;10;1
196103;11.7;1
196104;15.7;1
196105;16.4;1
196106;20.3;1
196107;21.8;1
196108;21.9;1
196109;23.5;1
196110;15;1
196111;7.8;1
196112;4.9;1
196201;5.8;1
196202;4.3;1
196203;5.9;1
196204;12.2;1
196205;14.9;1
196206;20.4;1
196207;21.8;1
196208;23.5;1
196209;18.7;1
196210;14.5;1
196211;5.5;1
196212;1.4;1
196301;-2.9;1
196302;-0.3;1
196303;9.5;1
196304;14.1;1
196305;16.5;1
196306;19.9;1
196307;22.9;1
196308;19.1;1
196309;18.6;1
196310;12.8;1
196311;10.9;1
196312;-0.7;1
196401;0.3;1
196402;6.7;1
196403;6.1;1
196404;13.5;1
196405;19.3;1
196406;22.8;1
196407;25.7;1
196408;22.7;1
196409;20.1;1
196410;10.8;1
196411;7.6;1
196412;3.5;1
196501;4.1;1
196502;1.9;1
196503;8.4;1
196504;11.1;1
196505;18.9;1
196506;20.3;1
196507;19.4;1
196508;20.4;1
196509;16.6;1
196510;14.9;1
196511;6.8;1
196512;5.2;1
196601;1.5;1
196602;10.1;1
196603;8.4;1
196604;14.3;1
196605;17.5;1
196606;21.2;1
196607;19.9;1
196608;20.3;1
196609;19.5;1
196610;15.3;1
196611;5.2;1
196612;4.9;1
196701;3.8;1
196702;7;1
196703;10.6;1
196704;12.6;1
196705;17.3;1
196706;19.8;1
196707;25.4;1
196708;21.7;1
196709;18.2;1
196710;15.9;1
196711;6.9;1
196712;1.9;1
196801;2.8;1
196802;5.7;1
196803;9.6;1
196804;14.6;1
196805;15.4;1
196806;19.9;1
196807;21.8;1
196808;20.2;1
196809;17.8;1
196810;15.1;1
196811;6.7;1
196812;1;1
196901;5.2;1
196902;2.1;1
196903;8.1;1
196904;12;1
196905;18.2;1
196906;18.2;1
196907;24.1;1
196908;22.3;1
196909;19.6;1
196910;15.6;1
196911;8.4;1
196912;-0.5;1
197001;4;1
197002;3.8;1
197003;5.7;1
197004;9.9;1
197005;16.7;1
197006;22.3;1
197007;21.2;1
197008;22.6;1
197009;20;1
197010;12.7;1
197011;10.5;1
197012;2.5;1
197101;3.9;1
197102;4.6;1
197103;5.7;1
197104;16.5;1
197105;19.4;1
197106;18.7;1
197107;25.3;1
197108;22.5;1
197109;18.8;1
197110;15.6;1
197111;5.8;1
197112;5.5;1
197201;2.4;1
197202;7.7;1
197203;12;1
197204;11.7;1
197205;15.5;1
197206;19;1
197207;21.7;1
197208;20.3;1
197209;16.4;1
197210;13.7;1
197211;8.2;1
197212;3.9;1
197301;2.2;1
197302;3.3;1
197303;9.3;1
197304;10.5;1
197305;18.3;1
197306;21.8;1
197307;22.2;1
197308;24.6;1
197309;20.7;1
197310;12.6;1
197311;7.7;1
197312;3.3;1
197401;7.4;1
197402;6.8;1
197403;10.3;1
197404;14.5;1
197405;16.7;1
197406;20;1
197407;21.3;1
197408;22.7;1
197409;17.4;1
197410;7.7;1
197411;8.1;1
197412;7.3;1
197501;7.3;1
197502;7.7;1
197503;6.5;1
197504;12.2;1
197505;16.3;1
197506;19.6;1
197507;23.6;1
197508;24.6;1
197509;19.9;1
197510;11.3;1
197511;6.9;1
197512;2.2;1
197601;3.6;1
197602;5.5;1
197603;8.3;1
197604;13.4;1
197605;19.6;1
197606;25.4;1
197607;26.2;1
197608;23.9;1
197609;18;1
197610;14.3;1
197611;7.3;1
197612;2.2;1
197701;4;1
197702;7.6;1
197703;11.8;1
197704;11.3;1
197705;16.3;1
197706;19.8;1
197707;22.2;1
197708;20.5;1
197709;17.7;1
197710;15.3;1
197711;8;1
197712;6;1
197801;3.5;1
197802;3.1;1
197803;9.7;1
197804;11.8;1
197805;15.3;1
197806;19;1
197807;20.6;1
197808;20.4;1
197809;18.4;1
197810;14;1
197811;6.2;1
197812;5.2;1
197901;-1;1
197902;4;1
197903;8.2;1
197904;11.6;1
197905;16.7;1
197906;21.1;1
197907;22.6;1
197908;20;1
197909;19.3;1
197910;14.6;1
197911;6.7;1
197912;6.9;1
198001;1.8;1
198002;8.2;1
198003;8.3;1
198004;11.6;1
198005;16.1;1
198006;18.4;1
198007;19;1
198008;22;1
198009;19.9;1
198010;12.3;1
198011;6.1;1
198012;3;1
198101;2.6;1
198102;4;1
198103;12.1;1
198104;13.5;1
198105;17.2;1
198106;19.3;1
198107;21.3;1
198108;22.2;1
198109;19.3;1
198110;12.4;1
198111;7.9;1
198112;3.8;1
198201;3.1;1
198202;6;1
198203;9.1;1
198204;12.9;1
198205;18.5;1
198206;21.6;1
198207;24.5;1
198208;21.4;1
198209;22;1
198210;12.8;1
198211;9.9;1
198212;4.8;1
198301;6.1;1
198302;2.7;1
198303;9;1
198304;12.9;1
198305;14.3;1
198306;22.1;1
198307;28.5;1
198308;25.3;1
198309;19.5;1
198310;13.6;1
198311;7.3;1
198312;4.4;1
198401;3.9;1
198402;4;1
198403;8.1;1
198404;12.9;1
198405;13.8;1
198406;19.8;1
198407;23.3;1
198408;22.8;1
198409;16.5;1
198410;13.8;1
198411;10.3;1
198412;4.5;1
198501;-1.9;1
198502;4.7;1
198503;6.9;1
198504;13.2;1
198505;16.8;1
198506;18.5;1
198507;23.8;1
198508;21.7;1
198509;21;1
198510;14.1;1
198511;3.7;1
198512;6.1;1
198601;3.8;1
198602;-2.1;1
198603;8.4;1
198604;9.9;1
198605;18.8;1
198606;22.1;1
198607;23.4;1
198608;22.4;1
198609;18;1
198610;15.3;1
198611;9.9;1
198612;5.3;1
198701;-2.2;1
198702;3.5;1
198703;5.9;1
198704;15.6;1
198705;14.4;1
198706;18.5;1
198707;22.1;1
198708;22;1
198709;21.8;1
198710;14.9;1
198711;7.3;1
198712;5;1
198801;7.3;1
198802;5.5;1
198803;7.3;1
198804;14.7;1
198805;18.8;1
198806;20.8;1
198807;21.5;1
198808;23.5;1
198809;17.4;1
198810;14.2;1
198811;7.4;1
198812;6.2;1
198901;5.3;1
198902;6.5;1
198903;13.3;1
198904;10.7;1
198905;21.3;1
198906;21;1
198907;24.4;1
198908;23.6;1
198909;19.9;1
198910;16.3;1
198911;7.5;1
198912;6.5;1
199001;5;1
199002;12;1
199003;12.9;1
199004;12.1;1
199005;20.6;1
199006;19.8;1
199007;23.6;1
199008;25;1
199009;18.4;1
199010;16;1
199011;7.6;1
199012;2.5;1
199101;3.2;1
199102;2.1;1
199103;11.9;1
199104;12.8;1
199105;15.1;1
199106;17.8;1
199107;25.6;1
199108;26.5;1
199109;22;1
199110;12.9;1
199111;6.9;1
199112;3.7;1
199201;3.5;1
199202;7;1
199203;10.2;1
199204;13.6;1
199205;20.4;1
199206;21.2;1
199207;24.3;1
199208;25.3;1
199209;19.3;1
199210;10.5;1
199211;9.8;1
199212;5.2;1
199301;7;1
199302;1.9;1
199303;10.4;1
199304;15.7;1
199305;19.4;1
199306;22;1
199307;22.3;1
199308;23.1;1
199309;17.1;1
199310;11;1
199311;4.1;1
199312;6.6;1
199401;5.6;1
199402;6;1
199403;11.9;1
199404;12;1
199405;17.3;1
199406;22;1
199407;27.7;1
199408;23.6;1
199409;17.4;1
199410;14.6;1
199411;11;1
199412;6.9;1
199501;5.1;1
199502;9.1;1
199503;8.6;1
199504;12.4;1
199505;18;1
199506;19.7;1
199507;26.6;1
199508;24.3;1
199509;16.5;1
199510;17.4;1
199511;8.2;1
199512;3.1;1
199601;2.4;1
199602;3.2;1
199603;8.1;1
199604;14.9;1
199605;15.7;1
199606;22.1;1
199607;22.9;1
199608;22.8;1
199609;16.8;1
199610;14.2;1
199611;6.7;1
199612;1.9;1
199701;1.1;1
199702;9;1
199703;12.5;1
199704;13.8;1
199705;18.5;1
199706;20.5;1
199707;22.8;1
199708;26.4;1
199709;21.6;1
199710;13.9;1
199711;9;1
199712;5.3;1
199801;6;1
199802;9.4;1
199803;10.7;1
199804;12.7;1
199805;19.9;1
199806;22;1
199807;22.5;1
199808;24.6;1
199809;17.9;1
199810;12.5;1
199811;4.8;1
199812;4.9;1
199901;6.8;1
199902;4.3;1
199903;10.5;1
199904;14.1;1
199905;19.6;1
199906;21;1
199907;24.5;1
199908;23.2;1
199909;21.7;1
199910;13.9;1
199911;6.4;1
199912;4.8;1
200001;4.5;1
200002;8.4;1
200003;9.9;1
200004;14.8;1
200005;19.9;1
200006;23.1;1
200007;20.5;1
200008;24.7;1
200009;20.4;1
200010;14.5;1
200011;9.9;1
200012;7.7;1
200101;5.5;1
200102;7.7;1
200103;10.9;1
200104;11.9;1
200105;20.1;1
200106;20.5;1
200107;24.8;1
200108;24.6;1
200109;15.6;1
200110;18.1;1
200111;7.2;1
200112;3.3;1
200201;3.8;1
200202;9.1;1
200203;11.3;1
200204;14.3;1
200205;17.5;1
200206;24.5;1
200207;23.2;1
200208;22.8;1
200209;18.6;1
200210;14.6;1
200211;10.6;1
200212;6.4;1
200301;2.6;1
200302;4.5;1
200303;14.1;1
200304;15.4;1
200305;19.4;1
200306;27.3;1
200307;26.4;1
200308;30.4;1
200309;21.6;1
200310;11.7;1
200311;10.1;1
200312;5.4;1
200401;4.2;1
200402;6.7;1
200403;9.7;1
200404;14.7;1
200405;17.6;1
200406;22;1
200407;23.4;1
200408;23.7;1
200409;20.2;1
200410;15.1;1
200411;7.2;1
200412;2.8;1
200501;4.9;1
200502;3;1
200503;10.5;1
200504;14.6;1
200505;18.6;1
200506;23.9;1
200507;23.7;1
200508;21.8;1
200509;21.1;1
200510;17.7;1
200511;7.6;1
200512;3.2;1
200601;2.1;1
200602;3.4;1
200603;7.7;1
200604;13.8;1
200605;17.9;1
200606;23.5;1
200607;29.5;1
200608;20;1
200609;22.4;1
200610;17.2;1
200611;11.4;1
200612;6.9;1
200701;7.2;1
200702;9.6;1
200703;10.5;1
200704;20.5;1
200705;20;1
200706;22.7;1
200707;21.8;1
200708;21.5;1
200709;17.9;1
200710;13.9;1
200711;7.3;1
200712;4.4;1
200801;7.2;1
200802;9;1
200803;8.6;1
200804;12.2;1
200805;21;1
200806;21.6;1
200807;24.1;1
200808;22.3;1
200809;16.8;1
200810;13.8;1
200811;8.7;1
200812;3.1;1
200901;2.4;1
200902;4.7;1
200903;9.5;1
200904;16.9;1
200905;20.4;1
200906;21.9;1
200907;23.8;1
200908;25.7;1
200909;20.8;1
200910;14.3;1
200911;11.2;1
200912;4.9;1
201001;0.6;1
201002;4.7;1
201003;9.7;1
201004;15.7;1
201005;15.9;1
201006;22.9;1
201007;26.7;1
201008;22;1
201009;18.2;1
201010;13.8;1
201011;7.6;1
201012;0.4;1
201101;4.8;1
201102;6.5;1
201103;12.8;1
201104;19.2;1
201105;21.4;1
201106;22;1
201107;21.3;1
201108;24;1
201109;21.6;1
201110;15.5;1
201111;9.6;1
201112;7.3;1
201201;5.8;1
201202;1.7;1
201203;14.2;1
201204;13.5;1
201205;19.9;1
201206;21;1
201207;22.8;1
201208;26.4;1
201209;21;1
201210;15;1
201211;8.6;1
201212;6.2;1
201301;2.9;1
201302;2.2;1
201303;6.8;1
