# DONNEES MENSUELLES HOMOGENEISEES de TX : Moyenne mensuelle de la température maximale sous abri (en °C et 1/10) 
# NUM_POSTE= 56009001
# NOM_USUEL= BELLE ILE-LE TALUT
# LATITUDE (°) = 47.294
# LONGITUDE(°)= -3.218
# ALTITUDE (m) = 34
# NUM_SERIE= MTX156009001
# Amplitude minimale détectable de la série = 0.15
# Période homogénéisée : 195101 201612
# Date(s) de rupture(s) d'homogénéité : 195912 199412
#     Periode homogénéisée  195101 201612  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195101;9.8;1
195102;9.7;1
195103;9.2;1
195104;12.9;1
195105;13.6;1
195106;18.2;1
195107;21.1;1
195108;19.2;1
195109;18.7;1
195110;15.2;1
195111;13.3;1
195112;11.6;1
195201;9.5;1
195202;8.7;1
195203;11.1;1
195204;13.5;1
195205;17.7;1
195206;20.3;1
195207;21.4;1
195208;20.6;1
195209;16.7;1
195210;14.7;1
195211;11.1;1
195212;9.4;1
195301;6.6;1
195302;8;1
195303;12.5;1
195304;12.7;1
195305;17.2;1
195306;17.8;1
195307;19;1
195308;21.5;1
195309;19.3;1
195310;15.6;1
195311;12.3;1
195312;12.6;1
195401;8.8;1
195402;7.9;1
195403;10.7;1
195404;13.8;1
195405;15;1
195406;16.8;1
195407;16.8;1
195408;18.1;1
195409;17.5;1
195410;16.8;1
195411;13.6;1
195412;11.6;1
195501;9.6;1
195502;8.7;1
195503;8.7;1
195504;14.5;1
195505;14.9;1
195506;18.4;1
195507;23.3;1
195508;24.3;1
195509;20.3;1
195510;15.3;1
195511;11.9;1
195512;11.8;1
195601;9.4;1
195602;3.7;1
195603;10.4;1
195604;12.1;1
195605;15.8;1
195606;16.2;1
195607;18.8;1
195608;18.1;1
195609;18.1;1
195610;15.2;1
195611;11.4;1
195612;11.2;1
195701;9.1;1
195702;10.6;1
195703;12.4;1
195704;13.9;1
195705;15.8;1
195706;19.9;1
195707;20.2;1
195708;20;1
195709;17.9;1
195710;16.2;1
195711;10.9;1
195712;9.6;1
195801;9.3;1
195802;10.1;1
195803;9.2;1
195804;12.1;1
195805;15.5;1
195806;17.1;1
195807;18.8;1
195808;18.9;1
195809;19.6;1
195810;15.1;1
195811;11.2;1
195812;10.2;1
195901;9.3;1
195902;9.3;1
195903;11.5;1
195904;12.6;1
195905;16.7;1
195906;19.6;1
195907;22.7;1
195908;22.6;1
195909;22.1;1
195910;16.9;1
195911;13.1;1
195912;11.6;1
196001;9.1;1
196002;9;1
196003;11.4;1
196004;13.8;1
196005;17.8;1
196006;20.9;1
196007;18.9;1
196008;19.3;1
196009;18.1;1
196010;15.4;1
196011;13.4;1
196012;9.4;1
196101;10;1
196102;11.1;1
196103;12.3;1
196104;14.3;1
196105;16.4;1
196106;19.4;1
196107;20.3;1
196108;19.8;1
196109;19.8;1
196110;16.2;1
196111;11.2;1
196112;9.4;1
196201;9.7;1
196202;8.7;1
196203;8.4;1
196204;12.7;1
196205;14.2;1
196206;19.2;1
196207;19.6;1
196208;20.1;1
196209;18.6;1
196210;16.7;1
196211;11.2;1
196212;8.4;1
196301;3.1;1
196302;5.8;1
196303;9.9;1
196304;11.7;1
196305;14.7;1
196306;17.2;1
196307;20.4;1
196308;18.2;1
196309;18.2;1
196310;15.8;1
196311;14.3;1
196312;7.9;1
196401;6.8;1
196402;8.9;1
196403;9.1;1
196404;11.6;1
196405;16;1
196406;18.3;1
196407;21.3;1
196408;20.5;1
196409;19.8;1
196410;14.4;1
196411;11.9;1
196412;9.9;1
196501;9.6;1
196502;6.7;1
196503;10.2;1
196504;12.1;1
196505;14.6;1
196506;17.1;1
196507;18.8;1
196508;19.1;1
196509;16.4;1
196510;16.3;1
196511;11.8;1
196512;11.6;1
196601;8.7;1
196602;11.3;1
196603;11.3;1
196604;13;1
196605;15.3;1
196606;18.2;1
196607;19.7;1
196608;19.4;1
196609;20;1
196610;15.8;1
196611;10.9;1
196612;11.2;1
196701;9.2;1
196702;9.5;1
196703;10.7;1
196704;13;1
196705;13.5;1
196706;18.5;1
196707;20.4;1
196708;19.6;1
196709;17.6;1
196710;15.7;1
196711;11.3;1
196712;9.6;1
196801;9.8;1
196802;8.3;1
196803;10.5;1
196804;12.3;1
196805;14.3;1
196806;18.2;1
196807;20.5;1
196808;20.5;1
196809;17.9;1
196810;17;1
196811;12.6;1
196812;9.9;1
196901;10.6;1
196902;7.9;1
196903;9.8;1
196904;12.6;1
196905;14.8;1
196906;18.6;1
196907;21.3;1
196908;20.1;1
196909;19.4;1
196910;17.7;1
196911;12.9;1
196912;9.6;1
197001;9.7;1
197002;9.7;1
197003;9.4;1
197004;11;1
197005;15.9;1
197006;20;1
197007;18.8;1
197008;20.1;1
197009;19.4;1
197010;15.9;1
197011;13.9;1
197012;8;1
197101;9.9;1
197102;8.9;1
197103;9.1;1
197104;13.9;1
197105;15.8;1
197106;16.7;1
197107;23.7;1
197108;20.3;1
197109;20.5;1
197110;17.6;1
197111;12.1;1
197112;9;1
197201;8.7;1
197202;9.6;1
197203;11;1
197204;12;1
197205;13;1
197206;15;1
197207;19.6;1
197208;19.5;1
197209;18.2;1
197210;14.7;1
197211;12.1;1
197212;10.6;1
197301;8.1;1
197302;8.7;1
197303;11.3;1
197304;12;1
197305;15.1;1
197306;19.8;1
197307;19.9;1
197308;22.2;1
197309;19.9;1
197310;14.9;1
197311;12.8;1
197312;10.2;1
197401;10.9;1
197402;10.1;1
197403;10.6;1
197404;13;1
197405;14.7;1
197406;18.5;1
197407;18.6;1
197408;20.3;1
197409;16.5;1
197410;12.6;1
197411;12.3;1
197412;11.7;1
197501;11.3;1
197502;10.4;1
197503;9.9;1
197504;12.7;1
197505;15.1;1
197506;20.3;1
197507;21.8;1
197508;22.4;1
197509;18.7;1
197510;15.3;1
197511;12.4;1
197512;8.4;1
197601;9.5;1
197602;8.8;1
197603;10.2;1
197604;13.9;1
197605;15.6;1
197606;22.5;1
197607;22.1;1
197608;23.6;1
197609;17.9;1
197610;15.6;1
197611;12.1;1
197612;9;1
197701;8.5;1
197702;10.3;1
197703;11.3;1
197704;11.6;1
197705;14.5;1
197706;16.3;1
197707;20.1;1
197708;19.4;1
197709;18.4;1
197710;16.3;1
197711;11.9;1
197712;11.2;1
197801;9;1
197802;9.4;1
197803;10.8;1
197804;11.2;1
197805;16.1;1
197806;17.5;1
197807;18.6;1
197808;19.5;1
197809;19.1;1
197810;16.1;1
197811;13.3;1
197812;11.3;1
197901;7.1;1
197902;8.5;1
197903;9.8;1
197904;11.7;1
197905;14.2;1
197906;17.7;1
197907;20.3;1
197908;18.7;1
197909;19;1
197910;16.2;1
197911;12.7;1
197912;11.7;1
198001;8.1;1
198002;10.2;1
198003;9.5;1
198004;13.2;1
198005;15.3;1
198006;16.4;1
198007;17.6;1
198008;19.7;1
198009;18.9;1
198010;15.1;1
198011;10.1;1
198012;10.1;1
198101;9.8;1
198102;8.1;1
198103;11;1
198104;13.1;1
198105;13.5;1
198106;17.4;1
198107;18.8;1
198108;21.9;1
198109;19.2;1
198110;15;1
198111;12.6;1
198112;11.1;1
198201;10.4;1
198202;10.4;1
198203;11.2;1
198204;14.3;1
198205;15.1;1
198206;18.2;1
198207;22.2;1
198208;20;1
198209;20;1
198210;15.1;1
198211;13.2;1
198212;10.7;1
198301;10.6;1
198302;7.3;1
198303;10.3;1
198304;11.4;1
198305;13.4;1
198306;19.2;1
198307;24.8;1
198308;21.6;1
198309;18.5;1
198310;15.7;1
198311;12.1;1
198312;10.7;1
