# DONNEES MENSUELLES HOMOGENEISEES de TX : Moyenne mensuelle de la température maximale sous abri (en °C et 1/10) 
# NUM_POSTE= 56185001
# NOM_USUEL= LORIENT-LANN BIHOUE
# LATITUDE (°) = 47.763
# LONGITUDE(°)= -3.436
# ALTITUDE (m) = 45
# NUM_SERIE= MTX156185001
# Amplitude minimale détectable de la série = 0.13
# Période homogénéisée : 195201 201612
# Date(s) de rupture(s) d'homogénéité : 195907 196812 200803
#     Periode homogénéisée  195201 201612  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195201;8.8;1
195202;9.1;1
195203;11.5;1
195204;14.5;1
195205;19.1;1
195206;21.1;1
195207;22.3;1
195208;21.5;1
195209;17.2;1
195210;15.1;1
195211;10.5;1
195212;9;1
195301;7.1;1
195302;8.3;1
195303;14.8;1
195304;14.1;1
195305;18.6;1
195306;19;1
195307;19.8;1
195308;22.2;1
195309;20.2;1
195310;16.4;1
195311;11.8;1
195312;12;1
195401;8;1
195402;8.1;1
195403;11.5;1
195404;13.9;1
195405;16;1
195406;17.2;1
195407;17.8;1
195408;19;1
195409;17.8;1
195410;16.8;1
195411;12.9;1
195412;11;1
195501;8.7;1
195502;8.5;1
195503;9;1
195504;15.2;1
195505;15.5;1
195506;19.5;1
195507;24.8;1
195508;26.1;1
195509;20.9;1
195510;15.9;1
195511;11.6;1
195512;11.7;1
195601;9.4;1
195602;3.3;1
195603;12.1;1
195604;12.7;1
195605;17.4;1
195606;17.3;1
195607;20;1
195608;17.9;1
195609;18.4;1
195610;15.4;1
195611;10.8;1
195612;10.4;1
195701;9;1
195702;10.9;1
195703;13.5;1
195704;13.9;1
195705;16.1;1
195706;21.2;1
195707;21.9;1
195708;20.8;1
195709;17.9;1
195710;16.6;1
195711;10.8;1
195712;9.3;1
195801;9;1
195802;10.8;1
195803;9.6;1
195804;12.5;1
195805;16.5;1
195806;17.9;1
195807;19.5;1
195808;19.3;1
195809;20.5;1
195810;15.4;1
195811;11;1
195812;9.8;1
195901;9.3;1
195902;10.6;1
195903;12.6;1
195904;13.6;1
195905;18.1;1
195906;20.7;1
195907;23.9;1
195908;23.1;1
195909;23.2;1
195910;17.3;1
195911;12.3;1
195912;11.1;1
