# DONNEES MENSUELLES HOMOGENEISEES de TX : Moyenne mensuelle de la température maximale sous abri (en °C et 1/10) 
# NUM_POSTE= 63426001
# NOM_USUEL= TAUVES
# LATITUDE (°) = 45.545
# LONGITUDE(°)= 2.598
# ALTITUDE (m) = 852
# NUM_SERIE= MTX163426001
# Amplitude minimale détectable de la série = 0.19
# Période homogénéisée : 195901 201812
# Date(s) de rupture(s) d'homogénéité : 196212 196912 197412 199210 200006
#     Periode homogénéisée  195901 201812  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195901;4.9;1
195902;10.3;1
195903;10.6;1
195904;11.3;1
195905;16.5;1
195906;19.4;1
195907;23.3;1
195908;20.9;1
195909;20.4;1
195910;13.8;1
195911;8.5;1
195912;6.2;1
196001;4.2;1
196002;7.4;1
196003;9.6;1
196004;11;1
196005;18.6;1
196006;20.3;1
196007;18.8;1
196008;19.1;1
196009;16.1;1
196010;12.2;1
196011;9.3;1
196012;2.1;1
196101;3;1
196102;10.8;1
196103;12.5;1
196104;14.9;1
196105;14.5;1
196106;19.2;1
196107;20.1;1
196108;20.8;1
196109;22.8;1
196110;14.5;1
196111;8.4;1
196112;7.7;1
196201;5.3;1
196202;4.3;1
196203;4.4;1
196204;11.4;1
196205;13.6;1
196206;19.5;1
196207;21.2;1
196208;23;1
196209;19.7;1
196210;15.1;1
196211;5.8;1
196212;3.1;1
196301;1.4;1
196302;1.8;1
196303;7.9;1
196304;11.7;1
196305;15.2;1
196306;17.6;1
196307;21.5;1
196308;17.4;1
196309;16.5;1
196310;14.2;1
196311;10.5;1
196312;5;1
196401;4.8;1
196402;5.7;1
196403;6.6;1
196404;11.3;1
196405;16.9;1
196406;19.3;1
196407;24;1
196408;20.8;1
196409;20;1
196410;10.3;1
196411;8.4;1
196412;3.5;1
196501;3;1
196502;0.8;1
196503;8;1
196504;9.1;1
196505;14.8;1
196506;19.6;1
196507;19.4;1
196508;19.7;1
196509;14.5;1
196510;16.7;1
196511;7.5;1
196512;5.7;1
196601;4.9;1
196602;9.7;1
196603;7.2;1
196604;12;1
196605;15.4;1
196606;19.4;1
196607;18.1;1
196608;18.7;1
196609;20.4;1
196610;13.4;1
196611;4.9;1
196612;4.5;1
196701;4.5;1
196702;7.5;1
196703;9.1;1
196704;11.4;1
196705;14.9;1
196706;17.6;1
196707;23.8;1
196708;20.6;1
196709;16.7;1
196710;15.3;1
196711;10.2;1
196712;2;1
196801;3.9;1
196802;5.4;1
196803;8.2;1
196804;13.4;1
196805;13;1
196806;18.2;1
196807;20.2;1
196808;18.3;1
196809;16.3;1
196810;17.9;1
196811;9.9;1
196812;4.1;1
196901;6;1
196902;2.4;1
196903;6.9;1
196904;10.8;1
196905;16.1;1
196906;15.5;1
196907;22.2;1
196908;19.8;1
196909;18.6;1
196910;17.3;1
196911;6.5;1
196912;0.7;1
197001;5.8;1
197002;2.7;1
197003;3.4;1
197004;8.4;1
197005;15.6;1
197006;20;1
197007;20;1
197008;21;1
197009;20.6;1
197010;13.5;1
197011;10.4;1
197012;2.7;1
197101;5;1
197102;3.6;1
