# DONNEES MENSUELLES HOMOGENEISEES de TX : Moyenne mensuelle de la température maximale sous abri (en °C et 1/10) 
# NUM_POSTE= 64189001
# NOM_USUEL= SOCOA
# LATITUDE (°) = 43.395
# LONGITUDE(°)= -1.687
# ALTITUDE (m) = 21
# NUM_SERIE= MTX164189001
# Amplitude minimale détectable de la série = 0.2
# Période homogénéisée : 195501 201812
# Date(s) de rupture(s) d'homogénéité : 197612 198812 200910
#     Periode homogénéisée  195501 201812  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195501;14.5;1
195502;12.1;1
195503;13.3;1
195504;16.9;1
195505;20.1;1
195506;21.5;1
195507;23.6;1
195508;25.2;1
195509;21.7;1
195510;17.3;1
195511;14.2;1
195512;14.5;1
195601;12.5;1
195602;5.1;1
195603;15.1;1
195604;14.8;1
195605;18.1;1
195606;18.8;1
195607;22.2;1
195608;21.8;1
195609;23.2;1
195610;18.7;1
195611;12.6;1
195612;12.4;1
195701;11.3;1
195702;16.3;1
195703;19.1;1
195704;14.9;1
195705;16.8;1
195706;21.6;1
195707;23.8;1
195708;22.8;1
195709;21.8;1
195710;18.7;1
195711;13.3;1
195712;11.8;1
195801;12.4;1
195802;15.8;1
195803;14.1;1
195804;14.4;1
195805;20.5;1
195806;21.7;1
195807;22.3;1
195808;24;1
195809;24.8;1
195810;18.8;1
195811;13.8;1
195812;14.1;1
195901;13.9;1
195902;13.2;1
195903;16.3;1
195904;17.4;1
195905;18.7;1
195906;21.6;1
195907;24.5;1
195908;23.9;1
195909;23.1;1
195910;20.2;1
195911;14.7;1
195912;14;1
196001;12.7;1
196002;15.1;1
196003;16.5;1
196004;16.2;1
196005;20.6;1
196006;23.1;1
196007;22.2;1
196008;23.8;1
196009;21.3;1
196010;18.5;1
196011;16.9;1
196012;10.9;1
196101;12.1;1
196102;16.9;1
196103;16.1;1
196104;18.1;1
196105;20.2;1
196106;21.6;1
196107;23.1;1
196108;23;1
196109;24.6;1
196110;20;1
196111;14.9;1
196112;15.2;1
196201;12.8;1
196202;10.7;1
196203;13.4;1
196204;14.6;1
196205;18.3;1
196206;21.2;1
196207;23.1;1
196208;24;1
196209;23.5;1
196210;20.7;1
196211;12.6;1
196212;10.6;1
196301;9.8;1
196302;10.2;1
196303;16;1
196304;16.1;1
196305;16.5;1
196306;21.9;1
196307;23.4;1
196308;21.3;1
196309;20.6;1
196310;19.2;1
196311;17.5;1
196312;11.7;1
196401;12.1;1
196402;13;1
196403;14.2;1
196404;15.4;1
196405;20.7;1
196406;22.2;1
196407;23.4;1
196408;24.3;1
196409;25.1;1
196410;17.1;1
196411;14.2;1
196412;11.7;1
196501;11.8;1
196502;9;1
196503;15.4;1
196504;14.1;1
196505;17.9;1
196506;20;1
196507;22.1;1
196508;23;1
196509;20.2;1
196510;21.5;1
196511;15.6;1
196512;13.9;1
196601;13.7;1
196602;17.3;1
196603;13.2;1
196604;18.1;1
196605;18.5;1
196606;21.6;1
196607;21.8;1
196608;23;1
196609;24.1;1
196610;19.3;1
196611;12.7;1
196612;12.6;1
196701;12;1
196702;13.6;1
196703;15.2;1
196704;14;1
196705;20;1
196706;20.4;1
196707;23.3;1
196708;22.9;1
196709;22.3;1
196710;21.1;1
196711;15.1;1
196712;9.7;1
196801;12.4;1
196802;13.8;1
196803;13.1;1
196804;16.9;1
196805;17.5;1
196806;20.7;1
196807;23.5;1
196808;22.5;1
196809;22.1;1
196810;22.5;1
196811;17;1
196812;12.8;1
196901;13.4;1
196902;11.1;1
196903;14.1;1
196904;14.5;1
196905;20.3;1
196906;19.3;1
196907;24.2;1
196908;23;1
196909;20.6;1
196910;21.2;1
196911;15;1
196912;11.2;1
197001;14.5;1
197002;12.1;1
197003;10.8;1
197004;13.2;1
197005;18.5;1
197006;22.2;1
197007;23.5;1
197008;23.8;1
197009;24.1;1
197010;18.6;1
197011;18.3;1
197012;10;1
197101;13.7;1
197102;11.6;1
197103;10.8;1
197104;17.4;1
197105;18.6;1
197106;19.7;1
197107;25.6;1
197108;24.3;1
197109;22.4;1
197110;22.3;1
197111;12.3;1
197112;12;1
197201;11.8;1
197202;13;1
197203;15;1
197204;13.9;1
197205;16.3;1
197206;19.1;1
197207;23.2;1
197208;21.8;1
197209;19.6;1
197210;18.6;1
197211;15.3;1
197212;14.3;1
197301;11.7;1
197302;10.9;1
197303;13.6;1
197304;14.7;1
197305;21.3;1
197306;21.1;1
197307;22.4;1
197308;24.7;1
197309;23.5;1
197310;19.1;1
197311;15.7;1
197312;11.5;1
197401;15.1;1
197402;12.3;1
197403;13.9;1
197404;15.1;1
197405;18.2;1
197406;21.9;1
197407;22.4;1
197408;23.8;1
197409;21.2;1
197410;14.8;1
197411;15.6;1
197412;13.8;1
197501;14.2;1
197502;15.1;1
197503;12.3;1
197504;14.2;1
197505;16.8;1
197506;21.1;1
197507;24.9;1
197508;25.1;1
197509;22.5;1
197510;20.3;1
197511;15.1;1
197512;9.1;1
197601;11;1
197602;13.1;1
197603;13.7;1
197604;13.6;1
197605;18.4;1
197606;23.5;1
197607;25.2;1
197608;24.8;1
197609;22;1
197610;19.2;1
197611;14.1;1
197612;13.1;1
197701;11.4;1
197702;15.6;1
197703;17.1;1
197704;15.1;1
197705;16.3;1
197706;19.4;1
197707;21.5;1
197708;22.2;1
197709;21.7;1
197710;20.9;1
197711;14.6;1
197712;15.5;1
197801;11.6;1
197802;13.6;1
197803;13.6;1
197804;14.2;1
197805;16.4;1
197806;20;1
197807;21.7;1
197808;23.1;1
197809;22;1
197810;18.4;1
197811;15;1
197812;16;1
197901;11.9;1
197902;12.6;1
197903;13.9;1
197904;14.3;1
197905;17.9;1
197906;20;1
197907;22.8;1
197908;23;1
197909;22.3;1
197910;20.8;1
197911;14.3;1
197912;14.5;1
198001;11.7;1
198002;14.5;1
198003;13.8;1
198004;14.9;1
198005;16.8;1
198006;20.5;1
198007;22.5;1
198008;24.6;1
198009;24.2;1
198010;19.1;1
198011;15.7;1
198012;11.6;1
198101;10.9;1
198102;11.2;1
198103;18.3;1
198104;16.1;1
198105;19.1;1
198106;21.6;1
198107;22.8;1
198108;24.4;1
198109;23.4;1
198110;20.3;1
198111;16.2;1
198112;14;1
198201;15.1;1
198202;13.9;1
198203;13.5;1
198204;16.2;1
198205;19.8;1
198206;23.3;1
198207;25.3;1
198208;23.5;1
198209;25.4;1
198210;19.4;1
198211;16.6;1
198212;13.1;1
198301;13.4;1
198302;11.5;1
198303;14.4;1
198304;18.1;1
198305;17.7;1
198306;22.4;1
198307;25.1;1
198308;24.2;1
198309;24.4;1
198310;21.6;1
198311;18.4;1
198312;13.7;1
198401;12.6;1
198402;10.7;1
198403;12.6;1
198404;17.7;1
198405;16;1
198406;21.2;1
198407;24.8;1
198408;24.5;1
198409;22.7;1
198410;20.3;1
198411;17.4;1
198412;13.4;1
198501;8.5;1
198502;15.8;1
198503;12.8;1
198504;17.2;1
198505;17.7;1
198506;21.9;1
198507;25.2;1
198508;24.3;1
198509;25.6;1
198510;21.3;1
198511;13.4;1
198512;14.5;1
198601;11.8;1
198602;11.4;1
198603;14.9;1
198604;12.4;1
198605;19;1
198606;21.2;1
198607;23.4;1
198608;24.1;1
198609;22.5;1
198610;20.2;1
198611;16.6;1
198612;14.3;1
198701;9.7;1
198702;12;1
198703;14.3;1
198704;19.2;1
198705;17.7;1
198706;21.2;1
198707;23.3;1
198708;25;1
198709;26;1
198710;21.2;1
198711;15.9;1
198712;16.2;1
198801;14.9;1
198802;13.5;1
198803;14.1;1
198804;17.1;1
198805;19.5;1
198806;21.9;1
198807;23.7;1
198808;24.8;1
198809;22.6;1
198810;22.1;1
198811;17.6;1
198812;11.8;1
198901;13.4;1
198902;14.8;1
198903;17;1
198904;15.3;1
198905;22.3;1
198906;22.9;1
198907;26.4;1
198908;25.6;1
198909;22.8;1
198910;21.8;1
198911;18.1;1
198912;17.7;1
199001;14.2;1
199002;18.1;1
199003;17.4;1
199004;15.2;1
199005;21.7;1
199006;21.6;1
199007;25.2;1
199008;25.6;1
199009;23.8;1
199010;20.6;1
199011;14;1
199012;9.6;1
199101;11.7;1
199102;11.9;1
199103;16;1
199104;14.6;1
199105;16.6;1
199106;20.5;1
199107;24.2;1
199108;25.9;1
199109;24.9;1
199110;17.7;1
199111;15.3;1
199112;12.8;1
199201;10.4;1
199202;13.5;1
199203;13.9;1
199204;15.3;1
199205;21.8;1
199206;19.7;1
199207;24.2;1
199208;25.8;1
199209;22.6;1
199210;16.3;1
199211;17.5;1
199212;13.2;1
199301;14.3;1
199302;12.3;1
199303;14.3;1
199304;16.6;1
199305;20.4;1
199306;22;1
199307;22.6;1
199308;25.1;1
199309;21.8;1
199310;18.1;1
199311;14.9;1
199312;14.8;1
199401;12.6;1
199402;14.7;1
199403;16.4;1
199404;14.7;1
199405;20.4;1
199406;22.3;1
199407;24.9;1
199408;25.3;1
199409;21.2;1
199410;20.3;1
199411;17.4;1
199412;14.1;1
199501;13.4;1
199502;15.7;1
199503;15.1;1
199504;15.5;1
199505;21;1
199506;21.9;1
199507;26.3;1
199508;25.4;1
199509;21.8;1
199510;24;1
199511;17.8;1
199512;14.1;1
199601;16.4;1
199602;11.6;1
199603;15.8;1
199604;17.6;1
199605;19.9;1
199606;23.1;1
199607;24.3;1
199608;23.6;1
199609;21;1
199610;19.5;1
199611;15.2;1
199612;13.1;1
199701;13.1;1
199702;16.7;1
199703;16.9;1
199704;17.7;1
199705;22.2;1
199706;22.3;1
199707;23.1;1
199708;26;1
199709;24.4;1
199710;22.7;1
199711;17.3;1
199712;14.2;1
199801;15.1;1
199802;16.3;1
199803;16.6;1
199804;16.7;1
199805;19.7;1
199806;22.5;1
199807;23.9;1
199808;25.2;1
199809;24.1;1
199810;19;1
199811;14.9;1
199812;13.2;1
199901;14.2;1
199902;11;1
199903;15.6;1
199904;17.5;1
199905;21.6;1
199906;21.9;1
199907;24.7;1
199908;25.8;1
199909;25.1;1
199910;20.9;1
199911;13.5;1
199912;13.6;1
200001;11;1
200002;14.6;1
200003;14;1
200004;17.6;1
200005;20.8;1
200006;23.5;1
200007;24;1
200008;24.9;1
200009;23.8;1
200010;18.9;1
200011;15.9;1
200012;16.8;1
200101;14.3;1
200102;13.5;1
200103;19;1
200104;16.2;1
200105;19.3;1
200106;22.1;1
200107;23.4;1
200108;26.1;1
200109;22.8;1
200110;24.6;1
200111;13.2;1
200112;11.3;1
200201;15.9;1
200202;15.3;1
200203;17;1
200204;16.8;1
200205;20;1
200206;21.4;1
200207;22.9;1
200208;22.7;1
200209;23.3;1
200210;21.4;1
200211;17.3;1
200212;16.1;1
200301;12.1;1
200302;12.3;1
200303;18.5;1
200304;18.8;1
200305;19.9;1
200306;25.3;1
200307;24.8;1
200308;28;1
200309;24.3;1
200310;19.1;1
200311;17.7;1
200312;14.2;1
200401;13.7;1
200402;13.3;1
200403;14.3;1
200404;16.3;1
200405;18.9;1
200406;24;1
200407;24.1;1
200408;26.7;1
200409;24.1;1
200410;22;1
200411;14.6;1
200412;12.6;1
200501;12.7;1
200502;10.3;1
200503;16.8;1
200504;17.8;1
200505;21.3;1
200506;24.8;1
200507;25.4;1
200508;25.1;1
200509;23.1;1
200510;23;1
200511;15.1;1
200512;9.9;1
200601;11.2;1
200602;11.3;1
200603;17.3;1
200604;17.3;1
200605;21.6;1
200606;24.3;1
200607;27.6;1
200608;24.6;1
200609;24.8;1
200610;23.9;1
200611;19.2;1
200612;13.3;1
200701;13.8;1
200702;16.4;1
200703;14.9;1
200704;17.7;1
200705;19.5;1
200706;23.3;1
200707;24.8;1
200708;24.6;1
200709;22.4;1
200710;19.1;1
200711;13.9;1
200712;13.2;1
200801;14.7;1
200802;17.2;1
200803;14.9;1
200804;17.7;1
200805;21.7;1
200806;22;1
200807;24.3;1
200808;24.8;1
200809;23;1
200810;19.4;1
200811;13.9;1
200812;11.8;1
200901;12;1
200902;12.9;1
200903;14.9;1
200904;16.2;1
200905;19.4;1
200906;23.6;1
200907;25.6;1
200908;25.6;1
200909;23;1
200910;21.2;1
200911;17.9;1
200912;13.2;1
201001;10.8;1
201002;12.3;1
201003;15.3;1
201004;17.9;1
201005;18.3;1
201006;21.4;1
201007;24.6;1
201008;25;1
201009;23.1;1
201010;19.7;1
201011;14.7;1
201012;12.2;1
201101;12;1
201102;14.3;1
201103;16.1;1
201104;20.4;1
201105;21.4;1
201106;22.3;1
201107;22.4;1
201108;25.1;1
201109;25.2;1
201110;21.7;1
201111;19.1;1
201112;14.5;1
201201;12.9;1
201202;9;1
201203;16;1
201204;15.2;1
201205;20.9;1
201206;24.4;1
201207;23.9;1
201208;26.9;1
201209;24.1;1
201210;20.7;1
201211;17;1
201212;15.2;1
201301;12.9;1
201302;11.9;1
201303;16.2;1
201304;17.8;1
201305;16.5;1
201306;20.2;1
201307;26.5;1
201308;25.1;1
201309;24.2;1
201310;23;1
201311;14.4;1
201312;15.1;1
201401;14.7;1
201402;14.9;1
201403;15.8;1
201404;18.4;1
201405;19.2;1
201406;23.7;1
201407;24.2;1
201408;24.6;1
201409;25.9;1
201410;24.2;1
201411;18.7;1
201412;12.8;1
201501;12.7;1
201502;11.1;1
201503;13.6;1
201504;19.4;1
201505;20.7;1
201506;23.6;1
201507;25.9;1
201508;26.4;1
201509;22.6;1
201510;20.9;1
201511;18.4;1
201512;18.8;1
201601;15.7;1
201602;14;1
201603;14.6;1
201604;17.5;1
201605;20.6;1
201606;22.8;1
201607;25;1
201608;26.5;1
201609;25.7;1
201610;20.3;1
201611;15.3;1
201612;15.8;1
201701;11.1;1
201702;15.7;1
201703;17;1
201704;17.7;1
201705;22.2;1
201706;24.3;1
201707;24.8;1
201708;25.4;1
201709;22.5;1
201710;21.9;1
201711;15.8;1
201712;13.2;1
201801;13.7;1
201802;10.6;1
201803;15.4;1
201804;18.9;1
201805;18.8;1
201806;23.1;1
201807;26.3;1
201808;26.1;1
201809;25.6;1
201810;19.8;1
201811;17.4;1
201812;15.1;1
201901;10.9;0
201902;17.3;0
201903;17.3;0
201904;17.8;0
201905;18.4;0
201906;23.6;0
201907;25.6;0
201908;26.3;0
201909;24.2;0
201910;22;0
201911;15.3;0
201912;15.6;0
202001;14.3;0
202002;16.9;0
202003;15.9;0
202004;20.1;0
202005;22.5;0
202006;22.6;0
202007;25.3;0
