# DONNEES MENSUELLES HOMOGENEISEES de TX : Moyenne mensuelle de la température maximale sous abri (en °C et 1/10) 
# NUM_POSTE= 71105001
# NOM_USUEL= MACON
# LATITUDE (°) = 46.295
# LONGITUDE(°)= 4.794
# ALTITUDE (m) = 219
# NUM_SERIE= MTX171105001
# Amplitude minimale détectable de la série = 0.16
# Période homogénéisée : 195101 201512
# Date(s) de rupture(s) d'homogénéité : 198112 198812 200908
#     Periode homogénéisée  195101 201512  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195101;7.6;1
195102;8.2;1
195103;10.4;1
195104;15.5;1
195105;17.5;1
195106;22;1
195107;24.9;1
195108;23.7;1
195109;22.2;1
195110;14.2;1
195111;12.7;1
195112;5.9;1
195201;4.2;1
195202;4.6;1
195203;13.7;1
195204;17.6;1
195205;21.1;1
195206;25.4;1
195207;29.3;1
195208;26.3;1
195209;17.9;1
195210;14.7;1
195211;9;1
195212;5.5;1
195301;1.6;1
195302;5.3;1
195303;15;1
195304;17;1
195305;22.1;1
195306;21.2;1
195307;24.5;1
195308;26.1;1
195309;22.9;1
195310;17.1;1
195311;8.2;1
195312;8.9;1
195401;3.3;1
195402;5;1
195403;13.3;1
195404;13.8;1
195405;18.6;1
195406;23.3;1
195407;23.4;1
195408;23.3;1
195409;21.5;1
195410;17.1;1
195411;12.1;1
195412;8.1;1
195501;7.2;1
195502;7.8;1
195503;10.2;1
195504;17.3;1
195505;19.3;1
195506;22.7;1
195507;24.9;1
195508;25.2;1
195509;21.5;1
195510;15;1
195511;9.9;1
195512;9;1
195601;6.8;1
195602;-2.6;1
195603;11.8;1
195604;13.7;1
195605;20.2;1
195606;19.5;1
195607;23.6;1
195608;21.3;1
195609;22.6;1
195610;14.2;1
195611;6.7;1
195612;7.5;1
195701;4.3;1
195702;10.8;1
195703;16.1;1
195704;16.1;1
195705;17.3;1
195706;23;1
195707;24.7;1
195708;23.5;1
195709;21.3;1
195710;17.9;1
195711;9;1
195712;5.7;1
195801;6.3;1
195802;9.7;1
195803;9;1
195804;12.6;1
195805;21.8;1
195806;21.8;1
195807;24.7;1
195808;24.8;1
195809;23.2;1
195810;14.6;1
195811;7.1;1
195812;7.3;1
195901;6.2;1
195902;8.1;1
195903;14.6;1
