# DONNEES MENSUELLES HOMOGENEISEES de TX : Moyenne mensuelle de la température maximale sous abri (en °C et 1/10) 
# NUM_POSTE= 71320001
# NOM_USUEL= MT-ST-VINCENT
# LATITUDE (°) = 46.628
# LONGITUDE(°)= 4.477
# ALTITUDE (m) = 601
# NUM_SERIE= MTX171320001
# Amplitude minimale détectable de la série = 0.15
# Période homogénéisée : 195101 201512
# Date(s) de rupture(s) d'homogénéité : 197003 197712 198712 200712 201112
#     Periode homogénéisée  195101 201512  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195101;5;1
195102;4.9;1
195103;7.1;1
195104;11.7;1
195105;13.8;1
195106;18.8;1
195107;21.5;1
195108;20.3;1
195109;18.4;1
195110;11.4;1
195111;9.6;1
195112;6.4;1
195201;1.7;1
195202;1.7;1
195203;10.2;1
195204;14.6;1
195205;17.9;1
195206;22;1
195207;26.3;1
195208;23.6;1
195209;14.3;1
195210;12;1
195211;6;1
195212;3.4;1
195301;-1;1
195302;1.9;1
195303;12;1
195304;13.8;1
195305;18.9;1
195306;17.8;1
195307;20.5;1
195308;22.9;1
195309;19.7;1
195310;13.7;1
195311;9;1
195312;7.7;1
195401;0.5;1
195402;1.7;1
195403;9.9;1
195404;10.7;1
195405;15.4;1
195406;19.9;1
195407;20.1;1
195408;19.9;1
195409;17.4;1
195410;14.9;1
195411;9.1;1
195412;5.6;1
195501;5.6;1
195502;4.3;1
195503;6.7;1
195504;14.1;1
195505;15.9;1
195506;19.4;1
195507;21.7;1
195508;22.7;1
195509;18.5;1
195510;12.5;1
195511;8.1;1
195512;7.2;1
195601;4.6;1
195602;-5.1;1
195603;8.5;1
195604;10.8;1
195605;17.3;1
195606;16.7;1
195607;20.4;1
195608;18.2;1
195609;18.8;1
195610;11.5;1
195611;4.3;1
195612;5.3;1
195701;4.2;1
195702;8.4;1
195703;12.4;1
195704;13;1
195705;14.1;1
195706;20;1
195707;21;1
195708;20.3;1
195709;17.9;1
195710;15;1
195711;6.5;1
195712;4.1;1
195801;3.6;1
195802;7.7;1
195803;6;1
195804;9.2;1
195805;18.7;1
195806;18.5;1
195807;20.7;1
195808;21.3;1
195809;19.9;1
195810;12;1
195811;5.2;1
195812;5.2;1
195901;3.7;1
195902;7.8;1
195903;11.8;1
195904;12.8;1
195905;17.8;1
195906;21.2;1
195907;26.1;1
195908;22.9;1
195909;21;1
195910;14.8;1
195911;7.6;1
195912;6.3;1
196001;3.1;1
196002;6.7;1
196003;10.1;1
196004;11.8;1
196005;18.5;1
196006;21.1;1
196007;19.5;1
196008;20;1
196009;15.5;1
196010;12.5;1
196011;9.1;1
196012;2;1
196101;3.6;1
196102;9.4;1
196103;11.4;1
196104;15.1;1
196105;15;1
196106;20.3;1
196107;20.8;1
196108;20.7;1
196109;22.9;1
196110;14.2;1
196111;5.6;1
196112;5;1
196201;4.7;1
196202;2.8;1
196203;5;1
196204;11.9;1
196205;14.5;1
196206;19.8;1
196207;21.5;1
196208;24.3;1
196209;18.7;1
196210;14.2;1
196211;4.9;1
196212;1;1
196301;-2.4;1
196302;-0.7;1
196303;8.4;1
196304;12.5;1
196305;15.1;1
196306;18.8;1
196307;22.3;1
196308;18.7;1
196309;17.2;1
196310;13;1
196311;10.8;1
196312;1.6;1
196401;0.8;1
196402;6.1;1
196403;5.9;1
196404;12.5;1
196405;17.5;1
196406;21.2;1
196407;25.6;1
196408;22.1;1
196409;19.7;1
196410;10.2;1
196411;6.1;1
196412;3.8;1
196501;3.6;1
196502;0.7;1
196503;8;1
196504;10;1
196505;14.6;1
196506;19.9;1
196507;19.5;1
196508;19.8;1
196509;15.6;1
196510;14.5;1
196511;7.2;1
196512;6.3;1
196601;2.2;1
196602;9.2;1
196603;7.2;1
196604;13.6;1
196605;16.6;1
196606;20.9;1
196607;19.3;1
196608;19.6;1
196609;19.8;1
196610;15.1;1
196611;4.3;1
196612;4.4;1
196701;3;1
196702;6.2;1
196703;9.4;1
196704;11.6;1
196705;16;1
196706;19.1;1
196707;24.7;1
196708;21.5;1
196709;17.5;1
196710;15.9;1
196711;7.6;1
196712;0.9;1
196801;3.2;1
196802;5.4;1
196803;8.9;1
196804;13.5;1
196805;14.3;1
196806;18.7;1
196807;21.2;1
196808;18.9;1
196809;16.8;1
196810;15.5;1
196811;7;1
196812;2.3;1
196901;5.2;1
196902;1.9;1
196903;7.7;1
196904;11.2;1
196905;16.6;1
196906;16.7;1
196907;22.5;1
196908;21;1
196909;18.6;1
196910;15.1;1
196911;8;1
196912;-0.7;1
197001;4.6;1
197002;3.7;1
197003;4.4;1
197004;8.7;1
197005;15.6;1
197006;21.1;1
197007;20.5;1
197008;21.4;1
197009;19.5;1
197010;11.9;1
197011;10.1;1
197012;0.9;1
197101;4.2;1
197102;3.9;1
197103;3.8;1
197104;15.3;1
197105;17.2;1
197106;17.8;1
197107;24.2;1
197108;21.7;1
197109;18;1
197110;14.8;1
197111;4.8;1
197112;4.6;1
197201;3.1;1
197202;7.1;1
197203;10.6;1
197204;9.9;1
197205;14.2;1
197206;17.7;1
197207;20.8;1
197208;20.1;1
197209;15.8;1
197210;13.3;1
197211;9.2;1
197212;5.2;1
197301;0.8;1
197302;2.1;1
197303;8;1
197304;9.5;1
197305;17.2;1
197306;20.8;1
197307;21.1;1
197308;24;1
197309;21;1
197310;11.4;1
197311;7.5;1
197312;3.2;1
197401;6.6;1
197402;5.1;1
197403;9.6;1
197404;12.8;1
197405;15.1;1
197406;18.6;1
197407;21.1;1
197408;22.7;1
197409;16.6;1
197410;6.6;1
197411;7.7;1
197412;6.2;1
197501;6.2;1
197502;6.4;1
197503;5;1
197504;11.1;1
197505;14;1
197506;18.5;1
197507;22.1;1
197508;22.8;1
197509;18.3;1
197510;11.1;1
197511;7.1;1
197512;1.6;1
197601;2.3;1
197602;5.1;1
197603;8.2;1
197604;12.4;1
197605;17.8;1
197606;25;1
197607;24.7;1
197608;22.5;1
197609;16.9;1
197610;12.6;1
197611;6.2;1
197612;2.4;1
197701;3.3;1
197702;7;1
197703;10.4;1
197704;9.9;1
197705;14.7;1
197706;17.6;1
197707;20.4;1
197708;19.3;1
197709;17.3;1
197710;15.2;1
197711;7.1;1
197712;6;1
197801;2.5;1
197802;4.6;1
197803;8.5;1
197804;9.3;1
197805;14.4;1
197806;19.1;1
197807;21.1;1
197808;20.7;1
197809;18.8;1
197810;13.7;1
197811;8.2;1
197812;6.5;1
197901;0.2;1
197902;4.4;1
197903;8.2;1
197904;10.3;1
197905;15.8;1
197906;19.6;1
197907;22.8;1
197908;19.7;1
197909;18.7;1
197910;14.2;1
197911;6.8;1
197912;6.3;1
198001;2.5;1
198002;7.3;1
198003;7;1
198004;10;1
198005;14.6;1
198006;17.6;1
198007;19;1
198008;21.7;1
198009;20.1;1
198010;12.2;1
198011;6.5;1
198012;2.3;1
198101;2.6;1
198102;2.9;1
198103;11.6;1
198104;13.2;1
198105;15;1
198106;18.7;1
198107;20.1;1
198108;21.9;1
198109;18.6;1
198110;12.9;1
198111;8.6;1
198112;4.3;1
198201;5.5;1
198202;6.3;1
198203;7.8;1
198204;12.2;1
198205;17.1;1
198206;21.2;1
198207;24.1;1
198208;21.1;1
198209;20.9;1
198210;12.1;1
198211;9.4;1
198212;4.4;1
198301;6.2;1
198302;1.6;1
198303;8.2;1
198304;10.8;1
198305;13.4;1
198306;21.8;1
198307;28.4;1
198308;23.4;1
198309;18.9;1
198310;13.3;1
198311;6.8;1
198312;4.7;1
198401;3.8;1
198402;2.6;1
198403;7.7;1
198404;12.3;1
198405;12.2;1
198406;19.3;1
198407;23.2;1
198408;21.4;1
198409;15.5;1
198410;12.7;1
198411;11.3;1
198412;4.6;1
198501;-2;1
198502;3.8;1
198503;6.1;1
198504;13.1;1
198505;14.4;1
198506;18.7;1
198507;23.3;1
198508;22.1;1
198509;22.5;1
198510;15.3;1
198511;3.7;1
198512;5.6;1
198601;3.5;1
198602;-1.8;1
198603;8.2;1
198604;7.9;1
198605;16.8;1
198606;20.8;1
198607;23.6;1
198608;22.2;1
198609;18.8;1
198610;15;1
198611;9.1;1
198612;5.5;1
198701;-2.9;1
198702;3.3;1
198703;5.7;1
198704;14.5;1
198705;14;1
198706;17.8;1
198707;22.1;1
198708;21.7;1
198709;21.6;1
198710;14.3;1
198711;7.4;1
198712;5;1
198801;6.8;1
198802;4.7;1
198803;6.6;1
198804;14.1;1
198805;16.9;1
198806;19.7;1
198807;21.7;1
198808;23.7;1
198809;18.3;1
198810;14.2;1
198811;6.8;1
198812;4.9;1
198901;5;1
198902;7.7;1
198903;12.2;1
198904;9.9;1
198905;19.8;1
198906;20.3;1
198907;23.4;1
198908;23.6;1
198909;19;1
198910;15.7;1
198911;7.5;1
198912;7.3;1
199001;5.6;1
199002;11.3;1
199003;11.3;1
199004;10.9;1
199005;19.5;1
199006;19.1;1
199007;22.6;1
199008;24.7;1
199009;18.4;1
199010;15;1
199011;6.6;1
199012;2.1;1
199101;3.6;1
199102;3.7;1
199103;11.6;1
199104;11.8;1
199105;14.7;1
199106;18.8;1
199107;24.8;1
199108;26.1;1
199109;21.5;1
199110;11.3;1
199111;7.2;1
199112;2.5;1
199201;2.2;1
199202;6;1
199203;8.5;1
199204;12.8;1
199205;19.2;1
199206;18.8;1
199207;22.5;1
199208;24.9;1
199209;18.3;1
199210;9.3;1
199211;10;1
199212;4.9;1
199301;7;1
199302;4.1;1
199303;10;1
199304;13.9;1
199305;17.6;1
199306;20.7;1
199307;21.3;1
199308;23.7;1
199309;16.6;1
199310;10.9;1
199311;4.4;1
199312;5.9;1
199401;4.5;1
199402;6.1;1
199403;11.9;1
199404;10.5;1
199405;17;1
199406;20.9;1
199407;26.2;1
199408;24.3;1
199409;16.6;1
199410;13.9;1
199411;10.9;1
199412;6.3;1
199501;4.3;1
199502;8.4;1
199503;8.1;1
199504;12.4;1
199505;17;1
199506;19.2;1
199507;25.4;1
199508;23.8;1
199509;15.7;1
199510;17.4;1
199511;7.9;1
199512;3.6;1
199601;4.9;1
199602;2.5;1
199603;7.7;1
199604;13.9;1
199605;15.2;1
199606;21.4;1
199607;22.1;1
199608;22;1
199609;16.6;1
199610;13.3;1
199611;7;1
199612;3.3;1
199701;2;1
199702;8.5;1
199703;12.6;1
199704;14.5;1
199705;17.9;1
199706;19.1;1
199707;22;1
199708;25.8;1
199709;21;1
199710;14;1
199711;9.6;1
199712;5.6;1
199801;4.8;1
199802;8;1
199803;9.8;1
199804;11.4;1
199805;18.5;1
199806;20.5;1
199807;23.1;1
199808;24.3;1
199809;17;1
199810;12.2;1
199811;5.3;1
199812;5.1;1
199901;6;1
199902;3.3;1
199903;10.2;1
199904;12.7;1
199905;19;1
199906;19.6;1
199907;23.6;1
199908;23.7;1
199909;21.9;1
199910;14;1
199911;5.7;1
199912;4.8;1
200001;3.4;1
200002;7.8;1
200003;9.6;1
200004;13.2;1
200005;19.3;1
200006;22.1;1
200007;19.9;1
200008;23.2;1
200009;20.3;1
200010;13.5;1
200011;9.5;1
200012;7.8;1
200101;5.6;1
200102;6.5;1
200103;10.8;1
200104;10.5;1
200105;18.8;1
200106;20.3;1
200107;23;1
200108;23.3;1
200109;15.4;1
200110;17.7;1
200111;5.6;1
200112;1.1;1
200201;5.8;1
200202;7.6;1
200203;11.2;1
200204;13.9;1
200205;15.9;1
200206;23.1;1
200207;22.3;1
200208;22.1;1
200209;17.6;1
200210;14.1;1
200211;10.1;1
200212;6.4;1
200301;1.9;1
200302;3.8;1
200303;13;1
200304;14.7;1
200305;18.9;1
200306;28;1
200307;26.1;1
200308;30.3;1
200309;19.9;1
200310;11.3;1
200311;10.1;1
200312;5;1
200401;3.4;1
200402;5.9;1
200403;8.4;1
200404;12.1;1
200405;16.6;1
200406;21.7;1
200407;22.6;1
200408;22.2;1
200409;19.4;1
200410;15.6;1
200411;6.9;1
200412;4.3;1
200501;3.6;1
200502;1.4;1
200503;9.1;1
200504;13.3;1
200505;18.2;1
200506;24;1
200507;23.8;1
200508;22.7;1
200509;20.1;1
200510;17.5;1
200511;6.7;1
200512;2.1;1
200601;2.5;1
200602;2.3;1
200603;7.9;1
200604;13.1;1
200605;16.9;1
200606;23.6;1
200607;29.1;1
200608;19.3;1
200609;21.8;1
200610;17.3;1
200611;11;1
200612;6.2;1
200701;5.3;1
200702;8.4;1
200703;9.1;1
200704;19.1;1
200705;17.7;1
200706;20.6;1
200707;20.5;1
200708;19.9;1
200709;16.8;1
200710;13;1
200711;6.5;1
200712;4.3;1
200801;7.3;1
200802;8.3;1
200803;7.6;1
200804;12;1
200805;19.4;1
200806;20.3;1
200807;22.5;1
200808;21.6;1
200809;16.6;1
200810;13.1;1
200811;8;1
200812;3.1;1
200901;1.9;1
200902;4.1;1
200903;9;1
200904;14.8;1
200905;19.8;1
200906;21.5;1
200907;23.2;1
200908;25.4;1
200909;19.9;1
200910;14.2;1
200911;11.4;1
200912;4.8;1
201001;0.3;1
201002;3.7;1
201003;8.7;1
201004;15.2;1
201005;14.9;1
201006;20.4;1
201007;25.1;1
201008;21.6;1
201009;17.7;1
201010;13;1
201011;7.1;1
201012;2.3;1
201101;4;1
201102;6.6;1
201103;11;1
201104;18;1
201105;21;1
201106;21.9;1
201107;21.3;1
201108;23.7;1
201109;21.5;1
201110;15.2;1
201111;10.6;1
201112;7.1;1
201201;4.3;1
201202;1;1
201203;13.6;1
201204;11.9;1
201205;18.5;1
201206;21.3;1
201207;21.8;1
201208;24;1
201209;19.2;1
201210;14.3;1
201211;9.1;1
201212;5.7;1
201301;2.8;1
201302;1.5;1
201303;7;1
201304;12.1;1
201305;13.4;1
201306;20.2;1
201307;25.4;1
201308;23.1;1
201309;18.6;1
201310;15.5;1
201311;6.2;1
201312;7.1;1
201401;6.9;1
201402;7.6;1
201403;12.3;1
201404;15.3;1
201405;16.7;1
201406;24.1;1
201407;21.5;1
201408;20.3;1
201409;20;1
201410;16.8;1
201411;10.9;1
201412;4;1
201501;3.5;1
201502;3.5;1
201503;10.3;1
201504;15.5;1
201505;18.3;1
201506;23.9;1
201507;28.9;1
201508;25.2;1
201509;17.9;1
201510;12.5;1
201511;11.3;1
201512;11.2;1
201601;7.2;0
201602;7;0
201603;9.3;0
201604;12.8;0
201605;16.7;0
201606;20.8;0
201607;23.3;0
201608;24.6;0
201609;21.8;0
201610;12;0
201611;7.9;0
201612;5.5;0
201701;0.7;0
201702;8.3;0
201703;12;0
201704;13.6;0
201705;18.3;0
201706;23.8;0
201707;23.9;0
201708;24.7;0
201709;17.1;0
201710;15.3;0
201711;7.2;0
201712;4.3;0
201801;7.3;0
201802;1.1;0
201803;8.6;0
201804;16.6;0
201805;19.1;0
201806;23;0
201807;27.6;0
201808;26.8;0
201809;23.4;0
201810;15.6;0
201811;8.8;0
201812;6;0
201901;2.4;0
201902;9.5;0
201903;11.3;0
201904;13.4;0
201905;15.8;0
201906;24;0
201907;27.5;0
201908;25.4;0
201909;21.5;0
201910;15.2;0
201911;7.8;0
201912;7.7;0
202001;7.1;0
202002;9.6;0
202003;10.6;0
202004;18.1;0
202005;18.6;0
202006;21.3;0
202007;26.2;0
202008;27;0
202009;22.4;0
202010;12.4;0
202011;11;0
202012;6.2;0
202101;3.1;0
202102;8.7;0
202103;10.3;0
202104;12.7;0
