# DONNEES MENSUELLES HOMOGENEISEES de TX : Moyenne mensuelle de la température maximale sous abri (en °C et 1/10) 
# NUM_POSTE= 72093001
# NOM_USUEL= CORMES
# LATITUDE (°) = 48.18
# LONGITUDE(°)= 0.71
# ALTITUDE (m) = 122
# NUM_SERIE= MTX172093001
# Amplitude minimale détectable de la série = 0.16
# Période homogénéisée : 195301 202212
# Date(s) de rupture(s) d'homogénéité : 197405 198212 200612
#     Periode homogénéisée  195301 202212  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195301;2.3;1
195302;5.9;1
195303;14.9;1
195304;15.7;1
195305;20.7;1
195306;21.2;1
195307;21.5;1
195308;24;1
195309;21.1;1
195310;15.3;1
195311;8.5;1
195312;10.3;1
195401;4.5;1
195402;5.1;1
195403;11.4;1
195404;14.2;1
195405;17.9;1
195406;20.1;1
195407;21.6;1
195408;21.9;1
195409;19;1
195410;16.9;1
195411;11;1
195412;8.4;1
195501;7.1;1
195502;6.6;1
195503;8.5;1
195504;16.9;1
195505;17.7;1
195506;22.1;1
195507;25.1;1
195508;25.7;1
195509;21.3;1
195510;14.3;1
195511;10.3;1
195512;8.7;1
195601;6.8;1
195602;0.4;1
195603;12.7;1
195604;13.4;1
195605;20.1;1
195606;18.1;1
195607;22.7;1
195608;20.4;1
195609;21.4;1
195610;14.4;1
195611;8.6;1
195612;7.7;1
195701;6.1;1
195702;10.3;1
195703;15.5;1
195704;15.5;1
195705;16.6;1
195706;23.8;1
195707;23.7;1
195708;22.2;1
195709;18.7;1
195710;16.2;1
195711;8.6;1
195712;5.4;1
195801;6.5;1
195802;9.2;1
195803;8.5;1
195804;12.7;1
195805;18.9;1
195806;20.4;1
195807;23.1;1
195808;22.1;1
195809;21.6;1
195810;14.5;1
195811;8.8;1
195812;7.7;1
195901;6.3;1
195902;9.3;1
195903;13;1
195904;15.2;1
195905;19.9;1
195906;23;1
195907;27;1
195908;25.3;1
195909;25;1
195910;18.3;1
195911;9.8;1
195912;8.3;1
196001;6.1;1
196002;7.7;1
196003;12.7;1
196004;15.1;1
196005;20.3;1
196006;23.8;1
196007;21.1;1
196008;22.4;1
196009;19;1
196010;14.8;1
196011;11.4;1
196012;5.1;1
196101;6;1
196102;11.6;1
196103;14.2;1
196104;16.8;1
196105;18.3;1
196106;21.5;1
196107;23.5;1
196108;23.7;1
196109;24.4;1
196110;15.4;1
196111;8.8;1
196112;7.1;1
196201;7.2;1
196202;7.3;1
196203;7.3;1
196204;13.7;1
196205;16.9;1
196206;22.8;1
196207;23.6;1
196208;23.9;1
196209;20.4;1
196210;16.6;1
196211;8.2;1
196212;4.5;1
196301;0.6;1
196302;2.4;1
196303;10.3;1
196304;14;1
196305;16.9;1
196306;20.5;1
196307;23.8;1
196308;19.6;1
196309;19.2;1
196310;15.1;1
196311;12.1;1
196312;3.6;1
196401;3.6;1
196402;8.1;1
196403;8.8;1
196404;13.9;1
