# DONNEES MENSUELLES HOMOGENEISEES de TX : Moyenne mensuelle de la température maximale sous abri (en °C et 1/10) 
# NUM_POSTE= 73026001
# NOM_USUEL= AVRIEUX
# LATITUDE (°) = 45.214
# LONGITUDE(°)= 6.717
# ALTITUDE (m) = 1104
# NUM_SERIE= MTX173026001
# Amplitude minimale détectable de la série = 0.24
# Période homogénéisée : 195101 202012
# Date(s) de rupture(s) d'homogénéité : 195410 196712 200212 200812
#     Periode homogénéisée  195101 202012  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195101;2.2;1
195102;3.4;1
195103;6.1;1
195104;12.6;1
195105;15.2;1
195106;20.5;1
195107;23;1
195108;21.4;1
195109;19.5;1
195110;13.3;1
195111;7.5;1
195112;2.6;1
195201;-0.6;1
195202;1.7;1
195203;10.4;1
195204;14.5;1
195205;18.4;1
195206;23.2;1
195207;26.3;1
195208;23.4;1
195209;15.2;1
195210;12.1;1
195211;3.3;1
195212;0.4;1
195301;-1.9;1
195302;1.9;1
195303;10.6;1
195304;13.7;1
195305;19;1
195306;17.5;1
195307;23.1;1
195308;22.2;1
195309;19.7;1
195310;13.2;1
195311;9;1
195312;4.9;1
195401;-0.8;1
195402;3.4;1
195403;10.4;1
195404;10.6;1
195405;15.9;1
195406;20.9;1
195407;20.1;1
195408;19.7;1
195409;18.3;1
195410;13.4;1
195411;7.5;1
195412;1.4;1
195501;4.6;1
195502;2.8;1
195503;7.9;1
195504;13.9;1
195505;16.4;1
195506;19.6;1
195507;21.6;1
195508;21.8;1
195509;18;1
195510;12.5;1
195511;6.7;1
195512;4.4;1
195601;3.2;1
195602;-3.8;1
195603;8.2;1
195604;10.2;1
195605;17.7;1
195606;17.6;1
195607;22.2;1
195608;20.6;1
195609;20.2;1
195610;11.9;1
195611;4.2;1
195612;1.4;1
195701;3.6;1
195702;7.1;1
195703;14.9;1
195704;12.5;1
195705;13.9;1
195706;19.9;1
195707;22.4;1
195708;21.6;1
195709;18.4;1
195710;15;1
195711;6.5;1
195712;1.2;1
195801;1.4;1
195802;5.9;1
195803;5;1
195804;9.3;1
195805;19.6;1
195806;18.8;1
195807;22.3;1
195808;23.6;1
195809;21.1;1
195810;12.8;1
195811;6.5;1
195812;1.7;1
195901;1.2;1
195902;8.7;1
195903;10.7;1
195904;13.7;1
195905;16.3;1
195906;20.9;1
195907;24.8;1
195908;21.3;1
195909;19.9;1
195910;12.9;1
195911;6.4;1
195912;1.8;1
196001;1.6;1
196002;6.3;1
196003;9;1
196004;13.1;1
196005;19.3;1
196006;21.4;1
196007;20.2;1
196008;21.3;1
196009;15.9;1
196010;10.2;1
196011;6.7;1
196012;0.1;1
196101;2;1
196102;7.1;1
196103;12.6;1
196104;15.1;1
196105;16.1;1
196106;21.5;1
196107;21.1;1
196108;22.7;1
196109;23.5;1
196110;14;1
196111;5.9;1
196112;2.9;1
196201;2.5;1
196202;2.9;1
196203;4.9;1
196204;10.6;1
196205;15.9;1
196206;20.2;1
196207;22.9;1
196208;25.4;1
196209;19.4;1
196210;14.2;1
196211;4;1
196212;-0.8;1
196301;-2.3;1
196302;0.5;1
196303;6.8;1
196304;12.6;1
196305;16.2;1
196306;19.4;1
196307;23.8;1
196308;19.7;1
196309;17.7;1
196310;14;1
196311;7.3;1
196312;0.5;1
196401;2;1
196402;6.6;1
196403;7.7;1
196404;13.4;1
196405;19.4;1
196406;21.1;1
196407;24.6;1
196408;21.7;1
196409;19.7;1
196410;10.5;1
196411;8.1;1
196412;0.8;1
196501;1.5;1
196502;0.9;1
196503;7.9;1
196504;10.2;1
196505;16.7;1
196506;21.7;1
196507;20.7;1
196508;20.9;1
196509;15.7;1
196510;16;1
196511;5.3;1
196512;1.2;1
196601;-0.4;1
196602;7.4;1
196603;7.3;1
196604;13.9;1
196605;17.4;1
196606;21.9;1
196607;19.8;1
196608;20.1;1
196609;21.1;1
196610;14;1
196611;2.5;1
196612;0.4;1
196701;1;1
196702;5.3;1
196703;9.3;1
196704;12.3;1
196705;16.5;1
196706;19.2;1
196707;25.2;1
196708;22.7;1
196709;18.6;1
196710;17.5;1
196711;8;1
196712;-1;1
196801;0.3;1
196802;5.6;1
196803;9.5;1
196804;15.5;1
196805;16;1
196806;20.2;1
196807;22.5;1
196808;17.8;1
196809;17.1;1
196810;16.1;1
196811;5.8;1
196812;0.7;1
196901;2.4;1
196902;0.9;1
196903;7.9;1
196904;11.1;1
196905;17.9;1
196906;17.6;1
196907;23.1;1
196908;20.3;1
196909;19;1
196910;16.8;1
196911;6.2;1
196912;-2.3;1
197001;3.9;1
197002;2.2;1
197003;4.3;1
197004;9.3;1
197005;15.1;1
197006;21.2;1
197007;21.8;1
197008;22.2;1
197009;21.5;1
197010;12.9;1
197011;8.2;1
197012;-0.1;1
197101;2;1
197102;5.1;1
197103;2.5;1
197104;14.4;1
197105;17.1;1
197106;18.2;1
197107;24.9;1
197108;24.9;1
197109;19.1;1
197110;16.5;1
197111;3.8;1
197112;1.9;1
197201;1.8;1
197202;5.1;1
197203;10.2;1
197204;11.6;1
197205;15.8;1
197206;18.8;1
197207;22.1;1
197208;20.6;1
197209;15.6;1
197210;13.6;1
197211;8.3;1
197212;3.2;1
197301;3;1
197302;2;1
197303;7.6;1
197304;9.9;1
197305;18.6;1
197306;20.4;1
197307;21.6;1
197308;23.2;1
197309;20.3;1
197310;12.8;1
197311;7.3;1
197312;1.5;1
197401;5.8;1
197402;4.6;1
197403;9.1;1
197404;11.8;1
197405;16;1
197406;19;1
197407;21.7;1
197408;23.8;1
197409;17.8;1
197410;6;1
197411;5.5;1
197412;1.9;1
197501;4.5;1
197502;7.7;1
197503;6.5;1
197504;12.1;1
197505;15.9;1
197506;18.4;1
197507;23;1
197508;21.5;1
197509;19.5;1
197510;13.2;1
197511;5.9;1
197512;1.1;1
197601;1.8;1
197602;6.7;1
197603;9.6;1
197604;12.1;1
197605;17.9;1
197606;23.2;1
197607;22.2;1
197608;21;1
197609;16.6;1
197610;13.3;1
197611;4.1;1
197612;0.5;1
197701;2;1
197702;5.4;1
197703;11.5;1
197704;11.4;1
197705;15.1;1
197706;17.9;1
197707;21.5;1
197708;18.8;1
197709;17.5;1
197710;15;1
197711;5.5;1
197712;2.9;1
197801;1.4;1
197802;3.2;1
197803;7.6;1
197804;9.6;1
197805;14.4;1
197806;19.1;1
197807;21.6;1
197808;21.1;1
197809;19.1;1
197810;14.3;1
197811;8.2;1
197812;3.1;1
197901;0.5;1
197902;4.1;1
197903;8.1;1
197904;8.9;1
197905;16.9;1
197906;20.7;1
197907;22.3;1
197908;20;1
197909;17.9;1
197910;14;1
197911;4.4;1
197912;2.4;1
198001;1.2;1
198002;5.7;1
198003;7.5;1
198004;9;1
198005;14.3;1
